WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,RelativeHumidity,Rainfall24Hr,LandVisibility,DewPoint,WindDirection,MeanSeaLevelPressure,AirTemperature,StationPressure,Rainfall
48353,LOEI,เลย,เลย,17.45000,101.73333,27.15,09-30-2019,10:00:00,5.6,66,0.00,4.00,22.4,060,1011.93,29.5,983.41,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.19,09-30-2019,10:00:00,3.7,57,0.00,8.00,21.2,240,1012.30,30.6,992.27,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.21,09-30-2019,10:00:00,0.0,56,0.00,6.00,20.6,000,1012.92,30.2,991.31,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.94,09-30-2019,10:00:00,9.3,53,0.00,6.00,19.7,320,1011.98,30.5,992.63,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.85,09-30-2019,10:00:00,0.0,57,0.00,7.00,20.3,000,1012.38,29.7,995.71,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.32,09-30-2019,10:00:00,3.7,57,0.00,5.00,19.3,310,1012.67,28.5,995.26,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.22,09-30-2019,10:00:00,0.0,63,0.00,8.00,22.5,000,1011.57,30.4,985.98,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.52,09-30-2019,10:00:00,0.0,79,0.00,5.00,26.5,000,1011.38,30.5,1005.63,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.34,09-30-2019,10:00:00,0.0,72,0.00,8.00,25.4,000,1011.93,31.0,1005.79,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.87,09-30-2019,10:00:00,0.0,62,0.00,7.00,22.3,000,1012.62,30.5,996.29,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.24,09-30-2019,10:00:00,0.0,71,0.00,10.00,23.7,000,1010.73,29.6,988.52,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.94,09-30-2019,10:00:00,3.7,70,0.00,6.00,24.6,100,1012.25,30.6,997.96,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,31.93,09-30-2019,10:00:00,0.0,69,0.00,8.00,25.1,000,1011.94,31.5,995.72,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.48,09-30-2019,10:00:00,7.4,66,0.00,8.00,23.8,060,1011.93,31.0,1006.74,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.50,09-30-2019,10:00:00,0.0,65,0.00,12.00,23.2,000,1010.79,30.5,997.69,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.77,09-30-2019,10:00:00,3.7,68,0.00,5.00,25.0,020,1011.87,31.7,1002.65,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.83,09-30-2019,10:00:00,3.7,57,0.00,6.00,21.0,200,1012.10,30.4,990.55,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.65,09-30-2019,10:00:00,0.0,57,0.00,10.00,21.5,000,1012.37,31.0,995.01,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.33,09-30-2019,10:00:00,9.3,53,0.00,12.00,19.3,030,1011.55,30.0,995.80,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.41,09-30-2019,10:00:00,0.0,61,0.00,8.00,22.0,000,1011.33,30.4,992.58,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.30,09-30-2019,10:00:00,0.0,66,0.00,9.00,20.6,000,1015.90,27.6,964.55,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,33.40,09-30-2019,10:00:00,0.0,72,0.00,3.00,25.9,000,1011.74,31.5,1007.83,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.28,09-30-2019,10:00:00,7.4,76,0.00,8.00,21.3,150,1011.85,25.8,917.59,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.04,09-30-2019,10:00:00,0.0,67,0.00,8.00,21.8,000,1012.11,28.6,996.13,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.56,09-30-2019,10:00:00,3.7,69,0.00,5.00,25.5,120,1011.97,31.8,1007.98,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.66,09-30-2019,10:00:00,0.0,60,0.00,10.00,23.3,000,1012.81,32.0,1002.25,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.16,09-30-2019,10:00:00,3.7,64,0.00,10.00,24.2,090,1012.22,31.9,1010.31,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.55,09-30-2019,10:00:00,5.6,58,0.00,7.00,22.7,070,1012.10,32.0,991.48,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.50,09-30-2019,10:00:00,0.0,57,0.00,8.00,20.1,000,1011.79,29.5,994.19,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,19.94,09-30-2019,10:00:00,0.0,46,0.00,10.00,17.5,000,1011.79,30.5,995.74,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.58,09-30-2019,10:00:00,5.6,61,0.00,8.00,21.5,340,1011.72,29.8,997.75,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.09,09-30-2019,10:00:00,0.0,66,0.00,9.00,23.0,000,1011.88,30.0,997.13,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.53,09-30-2019,10:00:00,3.7,68,0.00,8.00,23.3,030,1012.63,29.8,998.02,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.28,09-30-2019,10:00:00,0.0,63,0.01,6.00,24.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1011.25,32.1,1008.27,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.38,09-30-2019,10:00:00,0.0,60,0.00,10.00,22.6,000,1011.79,31.2,1003.91,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,34.49,09-30-2019,10:00:00,3.7,73,0.00,8.00,26.4,050,1011.89,32.0,1010.79,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.75,09-30-2019,10:00:00,0.0,71,0.00,8.00,23.4,000,1014.52,29.2,999.83,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.97,09-30-2019,10:00:00,7.4,68,0.00,8.00,18.3,010,1010.91,24.6,877.52,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.90,09-30-2019,10:00:00,0.0,69,0.00,7.00,24.6,000,1012.21,31.0,1006.38,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.27,09-30-2019,10:00:00,3.7,68,0.00,5.00,26.3,050,1012.08,33.0,1011.29,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.34,09-30-2019,10:00:00,5.6,72,0.00,10.00,25.4,210,1011.95,31.0,1011.51,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,32.93,09-30-2019,10:00:00,0.0,73,19.30,7.00,25.7,000,1012.59,31.0,1001.38,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.45,09-30-2019,10:00:00,3.7,58,0.00,5.00,23.2,360,1011.99,32.6,1010.99,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.54,09-30-2019,10:00:00,3.7,61,0.00,7.00,23.3,180,1012.15,31.8,1010.34,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.46,09-30-2019,10:00:00,0.0,60,0.00,9.00,23.2,000,1011.71,31.9,1010.95,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,31.97,09-30-2019,10:00:00,5.6,68,0.00,7.00,25.2,150,1012.16,31.8,1011.46,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.77,09-30-2019,10:00:00,3.7,68,0.00,7.00,25.0,060,1011.56,31.7,1010.86,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.71,09-30-2019,10:00:00,3.7,62,0.00,8.00,22.8,060,1012.12,30.8,991.12,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.01,09-30-2019,10:00:00,0.0,66,0.00,9.00,23.0,000,1012.23,30.1,995.60,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.46,09-30-2019,10:00:00,3.7,63,0.00,9.00,22.0,350,1013.20,29.7,996.81,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.68,09-30-2019,10:00:00,0.0,63,0.00,6.00,22.8,000,1011.92,30.5,990.21,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.80,09-30-2019,10:00:00,7.4,59,0.00,10.00,21.6,250,1011.22,30.5,968.29,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.88,09-30-2019,10:00:00,5.6,67,0.00,9.00,22.9,360,1012.19,29.6,991.70,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.19,09-30-2019,10:00:00,5.6,69,0.00,7.00,23.6,040,1014.18,30.0,993.43,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.95,09-30-2019,10:00:00,0.0,61,0.00,8.00,24.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1011.85,32.5,1011.43,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.68,09-30-2019,10:00:00,0.0,73,0.00,11.00,25.0,000,1012.07,30.4,1010.66,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.93,09-30-2019,10:00:00,0.0,73,0.00,8.00,25.7,000,1011.79,31.0,1006.90,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,31.23,09-30-2019,10:00:00,7.4,66,0.00,7.00,24.8,250,1012.11,32.0,1008.85,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.14,09-30-2019,10:00:00,0.0,69,0.00,10.00,25.2,000,1011.89,31.6,1010.80,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.69,09-30-2019,10:00:00,7.4,65,0.00,10.00,25.0,080,1011.84,32.5,1011.55,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.27,09-30-2019,10:00:00,3.7,65,0.00,10.00,24.8,060,1011.70,32.3,1011.03,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.52,09-30-2019,10:00:00,3.7,66,0.00,7.00,24.9,120,1011.37,32.0,1010.89,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.15,09-30-2019,10:00:00,7.4,65,0.00,5.00,24.7,120,1012.02,32.1,1010.63,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,34.65,09-30-2019,10:00:00,0.0,74,0.00,1.00,26.5,000,1011.99,31.8,1010.33,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.13,09-30-2019,10:00:00,0.0,67,0.00,10.00,24.2,000,1013.47,30.9,1005.52,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,34.82,09-30-2019,10:00:00,13.0,75,0.00,10.00,26.6,270,1011.42,31.6,1011.14,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,33.81,09-30-2019,10:00:00,0.0,75,0.00,12.00,26.1,000,1011.70,31.0,1008.59,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,33.33,09-30-2019,10:00:00,0.0,79,0.00,7.00,25.9,000,1011.81,29.8,1004.90,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,32.52,09-30-2019,10:00:00,5.6,70,0.00,7.00,25.4,300,1012.32,31.5,1006.78,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,37.70,09-30-2019,10:00:00,0.0,77,0.00,.80,28.0,000,1012.77,32.6,1003.58,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.34,09-30-2019,10:00:00,0.0,72,0.00,6.00,25.4,000,1012.54,31.0,1011.29,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.08,09-30-2019,10:00:00,3.7,63,0.00,8.00,24.1,110,1011.74,32.0,1011.31,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.09,09-30-2019,10:00:00,0.0,63,0.00,7.00,23.0,000,1012.09,31.0,999.93,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.98,09-30-2019,10:00:00,5.6,67,0.00,6.00,24.6,100,1012.05,31.6,1011.34,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.43,09-30-2019,10:00:00,11.1,74,0.00,5.00,25.9,220,1012.15,31.1,1009.73,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.67,09-30-2019,10:00:00,7.4,74,0.00,7.00,25.5,220,1011.91,30.6,1011.39,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.20,09-30-2019,10:00:00,7.4,63,0.00,9.00,24.2,270,1011.44,32.2,1006.35,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.60,09-30-2019,10:00:00,0.0,71,1.20,8.00,25.5,000,1011.73,31.4,1011.32,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.75,09-30-2019,10:00:00,0.0,75,0.00,8.00,25.6,000,1011.89,30.5,1009.14,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.46,09-30-2019,10:00:00,5.6,70,0.00,6.00,24.3,150,1013.14,30.5,1012.36,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,34.43,09-30-2019,10:00:00,3.7,74,0.00,8.00,26.4,270,1011.62,31.7,1011.17,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.08,09-30-2019,10:00:00,0.0,66,0.00,7.00,24.1,000,1012.61,31.3,1011.93,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.12,09-30-2019,10:00:00,1.9,65,0.00,8.00,24.2,160,1012.36,31.6,1010.85,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,21.43,09-30-2019,10:00:00,1.9,47,0.00,9.00,18.6,220,1012.84,31.1,1011.93,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,33.33,09-30-2019,10:00:00,7.4,79,0.00,10.00,25.9,100,1012.71,29.8,1012.03,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,33.17,09-30-2019,10:00:00,1.9,78,0.00,10.00,25.8,140,1012.93,30.0,1012.14,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.50,09-30-2019,10:00:00,0.0,76,0.00,10.00,25.4,000,1012.40,30.1,1011.77,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,34.93,09-30-2019,10:00:00,7.4,77,0.00,10.00,26.6,350,1012.71,31.1,1012.31,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,32.17,09-30-2019,10:00:00,3.7,74,0.00,8.00,25.3,320,1014.27,30.5,1010.08,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.71,09-30-2019,10:00:00,0.0,66,0.00,10.00,22.8,000,1012.95,29.8,1011.34,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.17,09-30-2019,10:00:00,0.0,78,0.00,8.00,25.8,000,1012.36,30.0,1008.91,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,32.59,09-30-2019,10:00:00,0.0,77,1.40,10.00,25.5,000,1012.65,30.0,1011.30,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.58,09-30-2019,10:00:00,0.0,69,11.50,10.00,24.4,000,1012.31,30.7,1011.43,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.54,09-30-2019,10:00:00,9.3,70,4.40,10.00,24.4,050,1012.25,30.4,1008.71,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.34,09-30-2019,10:00:00,0.0,72,21.80,10.00,25.4,000,1012.48,31.0,1012.05,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.68,09-30-2019,10:00:00,3.7,70,23.60,10.00,25.0,050,1011.73,31.1,1010.74,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,35.39,09-30-2019,10:00:00,9.3,79,0.00,10.00,26.9,050,1012.64,30.9,1011.83,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.60,09-30-2019,10:00:00,0.0,72,0.00,10.00,25.0,000,1012.73,30.5,1010.93,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.27,09-30-2019,10:00:00,5.6,73,0.00,12.00,24.8,230,1012.74,30.2,1011.99,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.16,09-30-2019,10:00:00,5.6,64,0.00,10.00,24.2,120,1012.84,31.9,1008.88,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.49,09-30-2019,10:00:00,0.0,66,0.70,10.00,24.4,000,1012.80,31.5,1012.13,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.37,09-30-2019,10:00:00,0.0,66,0.00,10.00,24.3,000,1012.74,31.3,1011.63,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.93,09-30-2019,10:00:00,0.0,73,6.60,11.00,25.7,000,1012.91,31.0,1010.02,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.64,09-30-2019,10:00:00,9.3,74,0.00,10.00,25.0,180,1012.17,30.1,1011.48,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,30.39,09-30-2019,10:00:00,7.4,72,4.40,10.00,24.3,190,1013.28,29.9,1009.17,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.48,09-30-2019,10:00:00,5.6,66,0.80,12.00,23.8,170,1012.77,31.0,1012.19,0.00
