WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,VaporPressure,DewPoint,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.60,07-22-2019,13:00:00,1001.12,29.07,23.6,0.00,31.5,63,1007.22,230,13.0,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-22-2019,13:00:00,991.83,28.09,23.0,0.00,31.0,63,1008.07,000,0.0,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.30,07-22-2019,13:00:00,984.76,27.29,22.5,0.00,27.4,75,1007.05,000,0.0,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,30.30,07-22-2019,13:00:00,993.82,24.15,20.5,0.00,30.9,54,1008.04,270,11.1,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.20,07-22-2019,13:00:00,990.58,26.23,21.9,0.00,31.6,56,1006.71,000,0.0,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,9.50,07-22-2019,13:00:00,1002.64,33.86,26.1,0.00,31.3,74,1007.80,120,5.6,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.20,07-22-2019,13:00:00,993.45,31.85,25.1,0.20,31.6,69,1006.44,000,0.0,8.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,6.70,07-22-2019,13:00:00,998.71,33.80,26.1,0.01,30.3,78,1007.94,110,3.7,9.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-22-2019,13:00:00,985.52,30.08,24.1,0.00,32.0,63,1006.85,270,9.3,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.30,07-22-2019,13:00:00,989.89,34.07,26.2,0.00,32.5,70,1007.08,240,9.3,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-22-2019,13:00:00,990.45,34.34,26.4,0.00,30.0,81,1006.11,160,3.7,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.40,07-22-2019,13:00:00,987.07,30.37,24.3,0.00,33.4,59,1005.53,180,3.7,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.30,07-22-2019,13:00:00,958.15,27.44,22.6,0.00,28.5,71,1009.01,000,0.0,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.30,07-22-2019,13:00:00,1003.63,32.35,25.4,0.00,31.7,69,1007.53,320,3.7,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,15.20,07-22-2019,13:00:00,913.60,23.80,20.3,0.40,22.0,90,1008.70,190,5.6,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,17.40,07-22-2019,13:00:00,990.89,33.09,25.7,0.00,30.8,75,1006.67,260,3.7,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-22-2019,13:00:00,1003.73,31.76,25.0,0.00,35.3,56,1007.66,070,1.9,12.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-22-2019,13:00:00,997.40,28.02,23.0,0.00,34.5,51,1007.82,000,0.0,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-22-2019,13:00:00,1005.62,31.01,24.6,0.00,34.4,57,1007.51,120,5.6,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-22-2019,13:00:00,985.71,23.39,20.0,0.00,34.4,43,1006.05,270,5.6,12.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.40,07-22-2019,13:00:00,989.26,30.46,24.3,0.00,30.5,70,1006.71,220,14.8,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,22.80,07-22-2019,13:00:00,990.41,31.19,24.7,0.00,31.0,69,1006.34,260,11.1,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,15.80,07-22-2019,13:00:00,993.18,31.64,25.0,0.00,31.5,68,1007.00,000,0.0,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,15.60,07-22-2019,13:00:00,993.45,31.72,25.0,0.00,30.0,75,1008.15,000,0.0,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,16.60,07-22-2019,13:00:00,992.41,31.04,24.7,0.00,34.0,58,1006.74,270,11.1,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-22-2019,13:00:00,1004.30,24.37,20.7,0.00,36.2,41,1007.22,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,07-22-2019,13:00:00,999.20,27.62,22.7,0.00,33.6,53,1006.98,000,0.0,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-22-2019,13:00:00,1006.22,29.50,23.8,0.00,34.8,53,1007.30,250,9.3,10.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,4.90,07-22-2019,13:00:00,993.02,26.45,22.0,0.00,32.0,56,1007.48,000,0.0,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.40,07-22-2019,13:00:00,873.08,23.49,20.1,0.00,24.4,77,1005.89,300,5.6,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-22-2019,13:00:00,1001.26,30.52,24.4,0.00,35.0,54,1006.99,200,5.6,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.60,07-22-2019,13:00:00,1006.65,37.48,27.8,0.00,34.8,67,1007.43,270,5.6,12.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-22-2019,13:00:00,1007.15,31.73,25.0,0.00,32.1,66,1007.59,210,14.8,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.60,07-22-2019,13:00:00,996.76,31.33,24.8,0.00,33.3,61,1007.84,000,0.0,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,6.90,07-22-2019,13:00:00,1006.66,32.54,25.5,0.00,35.1,58,1007.65,000,0.0,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-22-2019,13:00:00,1005.98,28.43,23.2,0.00,34.0,53,1007.76,000,0.0,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,07-22-2019,13:00:00,1006.29,29.46,23.8,0.00,34.5,54,1007.04,180,7.4,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,07-22-2019,13:00:00,1006.93,29.66,23.9,0.00,33.9,56,1007.62,150,3.7,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-22-2019,13:00:00,1006.33,30.15,24.2,0.00,35.8,51,1007.01,270,7.4,12.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-22-2019,13:00:00,985.90,30.69,24.5,0.00,36.6,50,1006.39,250,13.0,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.10,07-22-2019,13:00:00,990.92,25.08,21.1,0.00,33.0,50,1007.31,240,11.1,13.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.70,07-22-2019,13:00:00,991.34,27.26,22.5,0.00,33.7,52,1007.42,270,9.3,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-22-2019,13:00:00,985.47,25.41,21.4,0.00,33.6,49,1006.85,290,18.5,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-22-2019,13:00:00,964.78,25.96,21.7,0.00,31.6,56,1007.40,260,25.9,15.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-22-2019,13:00:00,986.78,26.36,22.0,0.00,34.8,47,1006.82,120,18.5,12.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,6.00,07-22-2019,13:00:00,988.26,31.66,25.0,0.00,32.9,63,1008.71,250,14.8,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,6.70,07-22-2019,13:00:00,1007.32,31.52,24.9,0.00,32.0,66,1007.75,150,16.7,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-22-2019,13:00:00,1006.34,31.90,25.1,0.00,32.6,65,1007.73,000,0.0,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-22-2019,13:00:00,1002.94,32.92,25.7,0.00,32.8,66,1007.78,000,0.0,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.70,07-22-2019,13:00:00,1003.76,28.22,23.1,0.00,36.0,48,1006.96,210,9.3,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,07-22-2019,13:00:00,1006.60,31.24,24.8,0.00,33.4,61,1007.69,100,3.7,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-22-2019,13:00:00,1007.23,32.59,25.5,0.00,35.4,57,1007.52,220,7.4,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-22-2019,13:00:00,1007.04,31.82,25.1,0.00,35.6,55,1007.71,230,7.4,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-22-2019,13:00:00,1009.46,31.92,25.1,0.00,33.3,62,1009.94,000,0.0,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.20,07-22-2019,13:00:00,1006.35,30.29,24.3,0.00,34.2,56,1007.72,230,20.4,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1.50,07-22-2019,13:00:00,1006.36,32.81,25.6,0.00,31.5,71,1008.02,180,13.0,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-22-2019,13:00:00,1001.26,27.01,22.4,0.00,34.0,51,1009.09,000,0.0,12.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.20,07-22-2019,13:00:00,1007.67,30.66,24.5,0.00,33.4,60,1007.95,300,7.4,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-22-2019,13:00:00,1005.21,31.11,24.7,0.00,32.5,64,1008.29,000,0.0,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-22-2019,13:00:00,1001.23,30.36,24.3,0.00,32.0,64,1008.06,250,11.1,12.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-22-2019,13:00:00,1002.63,31.52,24.9,0.00,32.0,66,1008.14,250,3.7,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-22-2019,13:00:00,999.70,31.08,24.7,0.00,35.4,54,1008.78,230,9.3,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,4.60,07-22-2019,13:00:00,1007.04,31.72,25.0,0.00,33.9,60,1008.28,180,7.4,15.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,8.30,07-22-2019,13:00:00,1007.56,35.88,27.1,0.00,34.8,65,1007.98,170,18.5,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,2.40,07-22-2019,13:00:00,995.69,28.51,23.2,0.00,33.9,54,1007.68,220,5.6,9.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.60,07-22-2019,13:00:00,1007.37,33.53,26.0,0.00,31.7,72,1008.07,110,7.4,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,07-22-2019,13:00:00,1005.97,28.55,23.3,0.00,34.2,53,1008.35,180,14.8,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,07-22-2019,13:00:00,1008.27,32.68,25.5,0.00,31.3,72,1008.78,240,9.3,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-22-2019,13:00:00,1002.99,30.16,24.2,0.00,33.3,59,1008.05,240,3.7,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,4.60,07-22-2019,13:00:00,1007.75,32.32,25.3,0.00,33.9,61,1008.16,000,0.0,9.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.90,07-22-2019,13:00:00,1005.59,33.40,25.9,0.00,31.5,72,1008.32,220,7.4,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-22-2019,13:00:00,1006.73,35.09,26.7,0.00,32.0,74,1007.50,230,11.1,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10.60,07-22-2019,13:00:00,1008.43,30.33,24.3,0.00,31.0,68,1008.88,210,5.6,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-22-2019,13:00:00,1007.43,27.87,22.9,0.00,33.3,54,1008.10,240,5.6,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-22-2019,13:00:00,1006.76,28.55,23.3,0.00,34.2,53,1008.26,270,7.4,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.10,07-22-2019,13:00:00,1007.61,26.20,21.9,0.00,33.3,51,1008.51,210,9.3,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-22-2019,13:00:00,1008.47,31.06,24.7,0.00,31.5,67,1009.14,100,9.3,12.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-22-2019,13:00:00,1007.52,29.96,24.1,0.00,34.6,54,1008.29,230,5.6,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-22-2019,13:00:00,1006.78,30.62,24.4,0.00,33.8,58,1007.40,150,5.6,12.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-22-2019,13:00:00,1006.84,29.29,23.7,0.00,34.7,53,1007.24,000,0.0,15.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-22-2019,13:00:00,1005.68,27.21,22.5,0.00,34.1,51,1009.80,310,7.4,8.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.01,07-22-2019,13:00:00,1006.61,24.92,21.0,0.00,33.2,49,1008.18,000,0.0,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-22-2019,13:00:00,1004.78,26.46,22.0,0.00,34.0,50,1008.18,220,11.1,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-22-2019,13:00:00,1006.80,30.24,24.2,0.00,31.8,64,1008.13,090,5.6,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.20,07-22-2019,13:00:00,1007.96,29.42,23.8,0.00,32.1,62,1008.83,270,11.1,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-22-2019,13:00:00,1004.98,29.79,24.0,0.00,32.7,60,1008.48,000,0.0,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-22-2019,13:00:00,1007.84,31.06,24.7,0.00,32.2,65,1008.27,140,9.3,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,2.50,07-22-2019,13:00:00,1007.07,31.68,25.0,0.00,31.8,67,1008.04,240,9.3,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-22-2019,13:00:00,1007.86,33.63,26.0,0.00,30.5,77,1008.66,270,11.1,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-22-2019,13:00:00,1006.36,32.75,25.6,0.00,34.1,61,1008.13,310,9.3,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.30,07-22-2019,13:00:00,1007.01,31.68,25.0,0.00,31.1,70,1007.75,070,7.4,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.20,07-22-2019,13:00:00,1003.66,25.30,21.3,0.00,34.4,47,1007.56,080,7.4,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-22-2019,13:00:00,1007.45,32.59,25.5,0.00,34.3,60,1008.12,000,0.0,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,4.00,07-22-2019,13:00:00,1006.28,27.94,22.9,0.00,34.6,51,1007.36,040,5.6,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-22-2019,13:00:00,1003.92,29.64,23.9,0.00,35.7,51,1006.76,150,11.1,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-22-2019,13:00:00,1006.78,34.53,26.5,0.00,33.8,66,1007.45,000,0.0,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-22-2019,13:00:00,1004.44,28.10,23.0,0.00,34.4,52,1008.46,290,7.4,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,2.20,07-22-2019,13:00:00,1007.54,30.94,24.6,0.00,32.7,63,1008.12,070,13.0,12.00
