WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,DewPoint,MaximumTemperature,WindDirection,VaporPressure,AirTemperature,WindSpeed,MeanSeaLevelPressure
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-24-2019,19:00:00,996.11,13.90,2.80,94,24.0,30.3,000,29.79,25.0,0.0,1007.49
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-24-2019,19:00:00,1004.82,0.00,0.00,82,25.5,34.6,190,32.63,28.9,11.1,1005.82
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,08-24-2019,19:00:00,1003.56,1.60,0.00,70,24.2,33.9,000,30.26,30.4,0.0,1005.36
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.00,08-24-2019,19:00:00,1005.28,4.50,4.20,88,25.9,32.9,000,33.37,28.0,0.0,1006.05
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-24-2019,19:00:00,1006.18,0.10,0.10,93,25.5,33.0,230,32.66,26.8,7.4,1006.88
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-24-2019,19:00:00,1005.67,3.40,0.10,82,25.2,33.9,270,32.02,28.6,9.3,1006.37
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-24-2019,19:00:00,983.99,0.70,0.00,66,23.2,32.8,270,28.48,30.2,7.4,1004.87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,08-24-2019,19:00:00,988.45,5.80,0.00,91,25.9,28.5,000,33.41,27.6,0.0,1005.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,08-24-2019,19:00:00,989.33,6.60,0.00,92,25.8,29.6,000,33.17,27.2,0.0,1005.72
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-24-2019,19:00:00,982.90,0.30,0.00,64,23.1,33.4,000,28.26,30.8,0.0,1004.43
