WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindSpeed,WindDirection,RelativeHumidity,Rainfall,StationPressure,AirTemperature,VaporPressure,LandVisibility,MeanSeaLevelPressure,MinimumTemperature
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.8,09-01-2019,07:00:00,20.20,0.0,000,96,0.00,990.19,25.5,31.25,10.00,1006.09,24.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.3,09-01-2019,07:00:00,1.30,1.9,180,96,0.00,986.68,25.0,30.32,10.00,1005.66,24.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.8,09-01-2019,07:00:00,12.50,0.0,000,95,2.00,956.02,22.7,26.09,7.00,1007.78,22.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.6,09-01-2019,07:00:00,6.50,7.4,140,92,0.00,1002.16,26.0,30.84,4.00,1006.13,25.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.0,09-01-2019,07:00:00,42.60,7.4,240,97,0.50,911.35,20.5,23.41,.90,1006.71,20.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.0,09-01-2019,07:00:00,5.60,0.0,000,98,0.20,990.32,25.3,31.68,10.00,1006.38,24.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,23.8,09-01-2019,07:00:00,2.10,9.3,200,87,0.00,1002.75,26.1,29.41,10.00,1006.79,25.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.3,09-01-2019,07:00:00,4.30,0.0,000,96,0.30,997.07,25.0,30.32,7.00,1007.82,24.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.8,09-01-2019,07:00:00,1.90,3.7,150,96,1.60,1005.64,25.5,31.25,9.00,1007.58,25.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.9,09-01-2019,07:00:00,1.10,3.7,210,93,0.00,985.82,25.1,29.70,10.00,1006.80,24.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.8,09-01-2019,07:00:00,7.50,9.3,210,96,0.10,988.57,25.5,31.25,10.00,1006.31,24.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.9,09-01-2019,07:00:00,4.30,7.4,220,97,0.10,989.98,25.3,31.41,10.00,1006.21,24.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.3,09-01-2019,07:00:00,11.90,0.0,000,97,0.00,992.97,24.9,30.40,10.00,1007.10,24.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.1,09-01-2019,07:00:00,7.00,0.0,000,97,0.00,992.59,24.5,29.93,8.00,1007.55,23.9
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.2,09-01-2019,07:00:00,8.10,3.7,160,98,0.10,992.25,24.5,30.20,9.00,1007.05,23.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.2,09-01-2019,07:00:00,6.10,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",91,0.00,1003.27,25.8,30.19,10.00,1006.30,25.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.8,09-01-2019,07:00:00,7.20,5.6,120,94,0.00,998.56,25.8,31.27,10.00,1006.54,25.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.1,09-01-2019,07:00:00,0.00,7.4,160,89,0.00,1006.14,26.0,30.03,8.00,1007.25,25.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.3,09-01-2019,07:00:00,0.00,0.0,000,94,0.00,992.39,25.3,30.34,8.00,1007.16,23.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.2,09-01-2019,07:00:00,40.40,7.4,200,99,1.80,873.30,19.4,22.28,.05,1008.53,19.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.7,09-01-2019,07:00:00,0.40,5.6,160,94,0.00,1001.41,25.7,31.08,6.00,1007.31,24.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,09-01-2019,07:00:00,0.00,7.4,160,90,0.00,1006.76,26.2,30.67,8.00,1007.56,25.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.3,09-01-2019,07:00:00,1.00,16.7,230,80,1.00,1007.11,27.0,28.67,10.00,1007.56,27.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.1,09-01-2019,07:00:00,37.50,0.0,000,97,7.00,995.70,24.5,29.93,3.00,1007.09,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.4,09-01-2019,07:00:00,0.01,3.7,190,89,0.00,1006.41,26.4,30.51,12.00,1007.42,25.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.3,09-01-2019,07:00:00,0.01,5.6,160,89,0.00,1005.54,26.2,30.40,7.00,1007.37,26.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.7,09-01-2019,07:00:00,0.01,0.0,000,92,0.00,1006.40,25.0,29.26,8.00,1007.17,24.5
