WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,WindDirection,MeanSeaLevelPressure,DewPoint,LandVisibility,Rainfall,VaporPressure,RelativeHumidity,StationPressure,Rainfall24Hr
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.9,09-15-2019,01:00:00,7.4,140,1007.60,23.5,10.00,0.00,29.02,82,988.11,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.5,09-15-2019,01:00:00,0.0,000,1008.60,23.3,10.00,0.00,28.59,88,991.76,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.2,09-15-2019,01:00:00,0.0,000,1008.39,23.1,10.00,0.00,28.31,88,990.86,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.0,09-15-2019,01:00:00,0.0,000,1006.65,24.6,10.00,0.00,30.84,92,980.82,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.7,09-15-2019,01:00:00,0.0,000,1008.14,26.3,10.00,0.00,34.15,98,1002.35,0.50
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.5,09-15-2019,01:00:00,0.0,000,1007.61,25.5,12.00,0.00,32.63,94,1001.41,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.0,09-15-2019,01:00:00,0.0,000,1008.32,23.3,10.00,0.00,28.67,80,991.87,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.5,09-15-2019,01:00:00,0.0,000,1006.75,24.0,10.00,0.00,29.91,92,984.33,8.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.9,09-15-2019,01:00:00,0.0,000,1008.20,25.3,8.00,0.00,32.30,91,993.79,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.0,09-15-2019,01:00:00,0.0,000,1008.03,24.3,8.00,0.00,30.30,90,991.58,0.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.5,09-15-2019,01:00:00,0.0,000,1007.77,25.8,10.00,0.00,33.19,96,1002.53,10.90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.7,09-15-2019,01:00:00,0.0,000,1006.74,24.4,10.00,0.00,30.54,93,993.49,4.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.5,09-15-2019,01:00:00,0.0,000,1007.68,25.4,11.00,0.00,32.36,88,998.36,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.8,09-15-2019,01:00:00,0.0,000,1007.72,25.1,10.00,0.00,31.82,90,986.01,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.8,09-15-2019,01:00:00,0.0,000,1008.03,25.7,10.00,0.00,32.94,94,990.50,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.0,09-15-2019,01:00:00,0.0,000,1007.69,24.3,10.00,0.00,30.32,96,991.74,3.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.0,09-15-2019,01:00:00,0.0,000,1006.81,25.1,8.00,0.00,31.93,95,987.87,0.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.2,09-15-2019,01:00:00,0.0,000,1007.68,21.7,6.00,0.00,25.92,91,956.01,28.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.1,09-15-2019,01:00:00,9.3,210,1007.36,26.1,6.00,0.00,33.82,94,1003.40,0.90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,09-15-2019,01:00:00,5.6,070,1009.50,20.1,.20,0.00,23.55,97,913.90,0.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.7,09-15-2019,01:00:00,0.0,000,1007.97,26.1,6.00,0.00,33.87,97,991.95,11.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.2,09-15-2019,01:00:00,0.0,000,1007.34,25.5,10.00,0.00,32.61,90,1003.30,0.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,09-15-2019,01:00:00,0.0,000,1009.23,24.8,7.00,3.50,31.25,96,998.48,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.5,09-15-2019,01:00:00,5.6,090,1008.12,24.2,9.00,0.00,30.15,82,1006.19,7.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.5,09-15-2019,01:00:00,0.0,000,1007.42,24.3,10.00,0.00,30.43,88,986.52,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.5,09-15-2019,01:00:00,0.0,000,1007.53,25.1,10.00,0.00,31.79,92,989.83,20.20
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.8,09-15-2019,01:00:00,0.0,000,1007.11,25.2,10.00,0.00,32.10,91,990.93,19.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.2,09-15-2019,01:00:00,0.0,000,1007.13,25.1,10.00,0.00,31.77,88,993.10,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,09-15-2019,01:00:00,0.0,000,1008.37,25.3,8.00,0.00,32.20,96,993.47,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.0,09-15-2019,01:00:00,0.0,000,1006.92,26.3,6.00,0.00,34.19,96,992.25,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.5,09-15-2019,01:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.22,25.7,10.00,0.00,32.93,90,1004.21,0.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.7,09-15-2019,01:00:00,0.0,000,1007.86,25.3,7.00,0.00,32.18,92,999.89,17.10
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.7,09-15-2019,01:00:00,11.1,230,1007.72,23.9,6.00,0.00,29.72,85,1006.61,1.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.0,09-15-2019,01:00:00,0.0,000,1007.90,23.1,8.00,0.00,28.18,84,993.15,4.50
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.5,09-15-2019,01:00:00,5.6,180,1009.16,19.5,8.00,0.01,22.65,100,873.88,14.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.8,09-15-2019,01:00:00,0.0,000,1007.79,25.1,10.00,0.00,31.82,90,1001.90,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.0,09-15-2019,01:00:00,3.7,180,1008.71,24.6,7.00,0.00,30.84,92,1007.90,0.50
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.8,09-15-2019,01:00:00,0.0,000,1007.09,24.6,10.00,0.50,31.00,83,1006.64,2.80
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.0,09-15-2019,01:00:00,0.0,000,1008.57,24.3,4.00,0.40,30.32,96,997.18,23.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.7,09-15-2019,01:00:00,0.0,000,1007.48,25.3,10.00,0.00,32.18,92,1006.46,0.20
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.1,09-15-2019,01:00:00,0.0,000,1007.80,24.5,7.00,0.00,30.76,91,1005.97,26.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.8,09-15-2019,01:00:00,0.0,000,1007.16,25.1,5.00,0.20,31.82,96,1006.39,0.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.0,09-15-2019,01:00:00,5.6,350,1007.43,25.0,10.00,0.01,31.65,94,1006.73,10.60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.6,09-15-2019,01:00:00,0.0,000,1007.57,24.7,7.00,0.00,31.17,95,1006.87,27.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.8,09-15-2019,01:00:00,0.0,000,1008.17,23.9,10.00,0.00,29.66,89,986.92,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.7,09-15-2019,01:00:00,0.0,000,1007.52,25.1,7.00,0.00,31.91,91,990.79,3.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.5,09-15-2019,01:00:00,0.0,000,1007.86,24.8,6.00,0.00,31.25,96,991.34,22.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.0,09-15-2019,01:00:00,0.0,000,1007.83,23.8,10.00,0.00,29.52,93,985.81,4.60
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.5,09-15-2019,01:00:00,3.7,360,1008.43,23.0,8.00,14.70,28.17,97,964.64,14.70
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.0,09-15-2019,01:00:00,0.0,000,1007.76,24.3,8.00,0.00,30.32,96,987.05,2.60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.9,09-15-2019,01:00:00,7.4,180,1009.24,24.9,8.00,0.00,31.47,100,988.23,3.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.0,09-15-2019,01:00:00,0.0,000,1007.66,24.6,10.00,0.20,30.84,92,1007.22,5.70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.1,09-15-2019,01:00:00,0.0,000,1007.93,24.4,6.00,0.00,30.50,96,1006.50,14.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.1,09-15-2019,01:00:00,0.0,000,1008.14,23.9,7.00,0.00,29.74,99,1003.16,19.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.3,09-15-2019,01:00:00,0.0,000,1007.56,24.4,10.00,0.00,30.59,89,1004.26,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.5,09-15-2019,01:00:00,0.0,000,1007.55,25.2,10.00,0.00,32.07,98,1006.44,36.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.6,09-15-2019,01:00:00,0.0,000,1007.61,25.5,7.00,0.20,32.54,93,1007.31,3.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.8,09-15-2019,01:00:00,0.0,000,1007.89,25.6,10.00,0.00,32.92,99,1007.40,33.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.7,09-15-2019,01:00:00,11.1,080,1007.73,25.3,10.00,0.20,32.18,97,1006.31,5.20
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.5,09-15-2019,01:00:00,0.0,000,1009.70,23.8,8.00,0.00,29.41,96,1001.61,17.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.8,09-15-2019,01:00:00,0.0,000,1007.08,25.7,6.00,0.01,32.94,94,1006.79,4.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.8,09-15-2019,01:00:00,0.0,000,1007.30,25.7,10.00,0.00,32.94,94,1004.17,26.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,26.5,09-15-2019,01:00:00,9.3,220,1007.21,25.5,10.00,2.40,32.63,94,1000.26,2.90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,09-15-2019,01:00:00,0.0,000,1008.28,24.3,10.00,0.30,30.32,96,1002.63,17.30
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.6,09-15-2019,01:00:00,0.0,000,1008.68,24.7,8.00,0.60,31.17,95,1007.41,2.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.4,09-15-2019,01:00:00,3.7,330,1007.68,24.4,11.00,0.20,30.51,89,1007.25,0.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.2,09-15-2019,01:00:00,0.0,000,1008.40,23.6,10.00,0.00,29.13,97,996.01,40.50
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.1,09-15-2019,01:00:00,3.7,300,1008.10,24.2,10.00,0.00,30.22,89,1007.39,11.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.0,09-15-2019,01:00:00,3.7,200,1007.78,25.1,7.00,3.70,31.94,90,1005.34,5.60
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.0,09-15-2019,01:00:00,0.0,000,1007.42,25.1,10.00,3.50,31.93,95,1006.90,6.60
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.7,09-15-2019,01:00:00,0.0,000,1007.72,25.3,8.00,3.20,32.18,92,1002.56,5.20
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.5,09-15-2019,01:00:00,0.0,000,1007.82,23.8,7.00,3.00,29.41,96,1007.40,27.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.5,09-15-2019,01:00:00,3.7,200,1008.07,23.8,8.00,4.50,29.41,96,1005.27,54.40
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,09-15-2019,01:00:00,9.3,240,1008.61,22.8,10.00,0.00,27.77,80,1007.82,0.01
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.8,09-15-2019,01:00:00,0.0,000,1007.86,23.9,6.00,0.80,29.69,95,1007.39,37.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.3,09-15-2019,01:00:00,0.0,000,1009.96,23.1,7.00,1.40,28.28,93,1009.27,8.80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.7,09-15-2019,01:00:00,0.0,000,1010.34,23.7,8.00,0.00,29.25,94,1008.79,10.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.6,09-15-2019,01:00:00,13.0,220,1011.91,22.6,4.00,40.60,27.33,94,1010.98,73.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,09-15-2019,01:00:00,9.3,320,1010.18,23.8,9.00,0.40,29.46,91,1009.48,20.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.5,09-15-2019,01:00:00,1.9,240,1011.05,22.8,10.00,3.80,27.66,96,1010.25,13.60
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.2,09-15-2019,01:00:00,9.3,320,1009.32,22.7,8.00,0.70,27.60,91,1008.68,4.60
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,09-15-2019,01:00:00,7.4,330,1009.83,22.5,10.00,0.00,27.27,88,1009.42,21.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.0,09-15-2019,01:00:00,0.0,000,1012.88,23.6,5.00,0.90,29.04,97,1008.60,17.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.5,09-15-2019,01:00:00,0.0,000,1011.24,23.2,6.00,3.00,28.42,98,1009.60,10.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,09-15-2019,01:00:00,0.0,000,1011.30,23.1,6.00,1.30,28.18,96,1007.77,13.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.0,09-15-2019,01:00:00,0.0,000,1010.15,22.5,8.00,0.00,27.25,91,1008.78,2.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.2,09-15-2019,01:00:00,0.0,000,1011.77,23.9,10.00,6.00,29.66,98,1010.88,16.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.2,09-15-2019,01:00:00,0.0,000,1010.95,22.1,9.00,1.00,26.66,94,1007.33,13.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.4,09-15-2019,01:00:00,0.0,000,1010.19,23.8,8.00,3.00,29.49,97,1009.75,18.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.2,09-15-2019,01:00:00,9.3,020,1010.85,22.2,7.00,4.90,26.72,79,1009.86,21.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.2,09-15-2019,01:00:00,7.4,290,1010.82,24.6,10.00,0.80,30.96,97,1010.00,47.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.7,09-15-2019,01:00:00,0.0,000,1010.82,23.0,8.00,0.10,28.01,96,1008.98,13.40
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.5,09-15-2019,01:00:00,5.6,220,1010.27,22.2,10.00,0.00,26.73,77,1009.52,1.50
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.7,09-15-2019,01:00:00,5.6,120,1010.41,24.0,10.00,0.00,29.77,96,1006.38,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.4,09-15-2019,01:00:00,0.0,000,1010.42,22.8,10.00,0.00,27.69,91,1009.73,13.30
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.6,09-15-2019,01:00:00,0.0,000,1010.57,23.7,10.00,0.00,29.33,95,1007.62,7.60
