WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,StationPressure,RelativeHumidity,DewPoint,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.00,07-25-2019,22:00:00,0.00,3.7,993.15,75,22.5,4.20,27.19,1009.61,27.2,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,07-25-2019,22:00:00,0.00,0.0,987.67,75,22.4,1.90,27.11,1009.56,27.3,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,07-25-2019,22:00:00,0.00,7.4,966.66,74,20.7,0.01,24.37,1010.21,25.7,280
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,07-25-2019,22:00:00,0.00,0.0,988.75,77,22.0,2.00,26.47,1009.39,26.5,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,07-25-2019,22:00:00,0.00,16.7,989.61,85,23.3,3.00,28.62,1010.56,26.1,200
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,07-25-2019,22:00:00,0.00,0.0,1009.89,80,24.5,0.00,30.67,1010.32,28.2,000
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,07-25-2019,22:00:00,1.70,0.0,1009.42,95,23.9,10.50,29.69,1010.85,24.8,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,07-25-2019,22:00:00,0.00,0.0,1006.13,97,25.1,10.10,31.79,1011.11,25.5,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,07-25-2019,22:00:00,0.00,0.0,1007.00,72,22.2,0.01,26.78,1010.30,27.7,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,07-25-2019,22:00:00,0.00,0.0,1009.19,83,23.4,0.01,28.82,1010.30,26.5,000
