WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,DewPoint,MeanSeaLevelPressure,Rainfall,VaporPressure,WindDirection,WindSpeed,RelativeHumidity,StationPressure,LandVisibility
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,9.60,08-19-2019,04:00:00,23.8,23.1,1007.59,0.00,28.18,000,0.0,96,971.79,4.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.00,08-19-2019,04:00:00,24.9,23.6,1006.27,0.00,29.08,000,0.0,92,976.44,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-19-2019,04:00:00,26.5,23.6,1007.27,0.00,29.08,000,0.0,84,999.95,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-19-2019,04:00:00,26.0,24.3,1006.22,0.00,30.30,000,0.0,90,986.29,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-19-2019,04:00:00,25.5,24.0,1006.62,0.00,29.91,000,0.0,92,977.87,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.60,08-19-2019,04:00:00,26.4,24.4,1006.31,0.00,30.51,000,0.0,89,986.13,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,8.30,08-19-2019,04:00:00,25.1,23.9,1006.63,0.00,29.70,000,0.0,93,984.79,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,7.60,08-19-2019,04:00:00,25.6,24.7,1006.24,0.00,31.17,000,0.0,95,986.70,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,8.00,08-19-2019,04:00:00,25.9,24.9,1006.92,0.00,31.46,000,0.0,94,990.12,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1.40,08-19-2019,04:00:00,24.5,23.8,1007.52,0.00,29.41,000,0.0,96,989.97,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-19-2019,04:00:00,26.6,25.9,1006.34,0.00,33.38,000,0.0,96,980.57,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-19-2019,04:00:00,26.7,26.1,1008.06,0.00,33.87,000,0.0,97,1002.26,10.00
