WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,DewPoint,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,AirTemperature,WindDirection,Rainfall,WindSpeed
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,58,10-17-2019,13:00:00,14.00,22.7,27.55,2.10,1011.83,1009.92,32.0,000,0.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,51,10-17-2019,13:00:00,10.00,20.7,24.40,0.00,1011.21,990.62,32.2,080,0.00,13.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,54,10-17-2019,13:00:00,10.00,21.6,25.74,0.00,1011.02,993.59,32.2,050,0.00,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,55,10-17-2019,13:00:00,10.00,22.0,26.47,0.00,1011.00,995.06,32.3,060,0.00,11.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,55,10-17-2019,13:00:00,10.00,23.6,29.17,0.00,1010.55,996.78,33.8,060,0.00,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,51,10-17-2019,13:00:00,12.00,21.9,26.20,0.00,1010.90,996.32,33.3,000,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,57,10-17-2019,13:00:00,10.00,23.3,28.56,0.00,1010.90,996.45,32.8,050,0.00,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,54,10-17-2019,13:00:00,10.00,22.5,27.20,0.00,1011.77,1008.80,33.1,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,46,10-17-2019,13:00:00,10.00,20.7,24.34,0.00,1011.07,1003.27,33.9,060,0.00,9.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,59,10-17-2019,13:00:00,10.00,24.2,30.28,0.00,1011.58,1010.49,33.5,070,0.00,11.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,47,10-17-2019,13:00:00,8.00,18.7,21.61,0.20,1011.47,996.93,31.5,000,0.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,74,10-17-2019,13:00:00,8.00,19.5,22.69,0.00,1009.60,876.35,24.5,070,0.00,1.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,69,10-17-2019,13:00:00,10.00,25.7,32.99,0.00,1011.13,1005.32,32.0,060,0.00,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,56,10-17-2019,13:00:00,12.00,24.6,30.85,0.00,1011.08,1010.30,34.6,050,0.00,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,59,10-17-2019,13:00:00,10.00,23.8,29.42,0.00,1010.74,1010.30,32.8,120,0.00,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,52,10-17-2019,13:00:00,10.00,22.5,27.26,0.00,1010.47,999.37,33.7,000,0.00,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,58,10-17-2019,13:00:00,9.00,23.3,28.53,0.00,1011.27,1010.27,32.5,060,0.00,5.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,52,10-17-2019,13:00:00,13.00,21.9,26.25,0.00,1011.61,1009.81,32.9,060,0.00,13.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,62,10-17-2019,13:00:00,11.00,24.0,29.91,0.00,1011.15,1010.39,32.2,040,0.00,3.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,63,10-17-2019,13:00:00,10.00,23.6,29.07,0.00,1010.72,1010.02,31.5,070,0.00,11.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,47,10-17-2019,13:00:00,12.00,21.4,25.46,0.00,1009.35,1008.66,34.2,090,0.00,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,58,10-17-2019,13:00:00,10.00,22.1,26.59,0.00,1011.37,990.44,31.5,080,0.00,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,53,10-17-2019,13:00:00,10.00,21.2,25.10,0.00,1011.08,994.57,32.0,070,0.00,9.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,59,10-17-2019,13:00:00,10.00,23.0,28.10,0.00,1011.73,995.49,32.0,040,0.00,7.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,59,10-17-2019,13:00:00,10.00,23.0,28.10,0.00,1011.23,989.64,32.0,030,0.00,13.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,57,10-17-2019,13:00:00,10.00,20.9,24.65,0.00,1010.96,968.01,30.3,070,0.00,29.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,60,10-17-2019,13:00:00,10.00,22.8,27.68,0.00,1010.84,990.51,31.5,030,0.00,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,63,10-17-2019,13:00:00,10.00,23.8,29.47,0.00,1013.50,992.88,31.7,050,0.00,18.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,65,10-17-2019,13:00:00,10.00,24.0,29.92,0.00,1010.97,1010.54,31.5,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,71,10-17-2019,13:00:00,11.00,25.8,33.15,0.00,1010.67,1009.27,31.8,070,0.00,5.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,67,10-17-2019,13:00:00,9.00,25.1,31.81,0.00,1010.68,1005.81,32.0,000,0.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,61,10-17-2019,13:00:00,12.00,23.2,28.35,0.00,1011.47,1008.21,31.7,000,0.00,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,61,10-17-2019,13:00:00,10.00,23.9,29.66,0.00,1011.28,1010.19,32.5,350,0.00,1.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,62,10-17-2019,13:00:00,10.00,24.0,29.91,0.00,1010.31,1010.01,32.2,070,0.00,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,54,10-17-2019,13:00:00,{'@attributes': {'Unit': 'km'}},23.6,29.13,0.00,1010.79,1010.12,34.2,120,0.00,5.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,58,10-17-2019,13:00:00,10.00,23.7,29.25,0.00,1010.54,1010.06,33.0,110,0.00,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,59,10-17-2019,13:00:00,10.00,23.5,28.89,0.00,1011.19,1009.80,32.4,080,0.00,18.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,68,10-17-2019,13:00:00,10.00,24.3,30.33,0.00,1011.32,1009.65,31.0,060,0.00,18.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,66,10-17-2019,13:00:00,12.00,25.0,31.73,0.00,1012.19,1004.28,32.1,000,0.00,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,62,10-17-2019,13:00:00,12.00,25.6,32.84,0.00,1010.25,1009.97,34.0,030,0.00,14.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,63,10-17-2019,13:00:00,12.00,25.7,33.08,0.00,1010.48,1007.40,33.7,350,0.00,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,68,10-17-2019,13:00:00,10.00,24.8,31.35,0.00,1010.37,1003.51,31.5,040,0.00,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,60,10-17-2019,13:00:00,8.00,23.3,28.58,4.50,1010.96,1005.43,32.1,030,0.00,3.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,68,10-17-2019,13:00:00,10.00,25.0,31.77,0.00,1011.27,1002.06,31.7,000,0.00,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,72,10-17-2019,13:00:00,10.00,25.0,31.60,1.00,1011.54,1010.28,30.5,320,0.00,11.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,61,10-17-2019,13:00:00,11.00,25.0,31.67,0.00,1010.97,1010.55,33.6,150,0.00,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,71,10-17-2019,13:00:00,6.00,24.0,29.91,0.00,1011.03,998.84,29.8,040,0.00,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,75,10-17-2019,13:00:00,8.00,25.8,33.17,10.40,1011.12,1010.41,30.7,060,0.00,11.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,60,10-17-2019,13:00:00,10.00,25.0,31.59,1.00,1010.76,1008.37,33.7,030,0.00,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,64,10-17-2019,13:00:00,8.00,24.6,30.90,0.01,1010.15,1009.63,32.4,050,0.00,5.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,63,10-17-2019,13:00:00,15.00,23.8,29.47,0.40,1009.76,1004.67,31.7,010,0.00,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,58,10-17-2019,13:00:00,10.00,24.2,30.20,0.00,1009.56,1009.16,33.6,050,0.00,11.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,52,10-17-2019,13:00:00,10.00,22.3,26.87,0.00,1009.58,1006.86,33.5,180,0.00,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,96,10-17-2019,13:00:00,8.00,25.3,32.20,23.30,1011.73,1010.94,26.0,000,0.00,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,70,10-17-2019,13:00:00,8.00,26.5,34.60,5.80,1009.43,1008.98,32.6,310,0.00,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,96,10-17-2019,13:00:00,8.00,24.8,31.25,54.00,1009.90,1009.21,25.5,000,30.10,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,95,10-17-2019,13:00:00,7.00,23.9,29.69,29.80,1009.42,1007.88,24.8,000,20.40,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,82,10-17-2019,13:00:00,8.00,23.1,28.29,4.80,1010.01,1009.09,26.5,000,4.20,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,82,10-17-2019,13:00:00,10.00,26.2,34.00,24.00,1010.22,1009.54,29.7,050,0.20,11.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,89,10-17-2019,13:00:00,8.00,24.8,31.27,20.90,1010.91,1010.11,26.8,020,1.20,7.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,77,10-17-2019,13:00:00,10.00,25.5,32.59,11.40,1009.89,1009.26,30.0,050,0.00,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,83,10-17-2019,13:00:00,10.00,25.9,33.41,10.50,1009.84,1009.44,29.0,020,0.00,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,91,10-17-2019,13:00:00,5.00,27.0,35.71,29.30,1012.18,1007.97,28.7,000,0.00,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,79,10-17-2019,13:00:00,12.00,24.1,29.93,0.00,1010.22,1008.61,28.1,330,0.00,5.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,71,10-17-2019,13:00:00,8.00,24.7,31.15,0.30,1009.75,1006.31,30.7,230,0.00,5.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,78,10-17-2019,13:00:00,10.00,24.7,31.13,37.20,1009.84,1008.49,29.0,120,0.00,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,72,10-17-2019,13:00:00,10.00,25.7,32.97,10.20,1008.99,1008.11,31.3,050,0.00,7.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,69,10-17-2019,13:00:00,10.00,24.1,30.09,1.40,1009.50,1005.97,30.6,030,0.00,16.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,67,10-17-2019,13:00:00,10.00,23.8,29.53,0.40,1009.34,1008.91,30.6,070,0.00,5.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,62,10-17-2019,13:00:00,10.00,23.2,28.51,0.00,1009.29,1008.31,31.5,080,0.00,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,79,10-17-2019,13:00:00,10.00,25.6,32.91,2.60,1009.51,1008.70,29.6,000,0.00,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,74,10-17-2019,13:00:00,10.00,23.9,29.74,37.40,1009.80,1007.99,29.0,080,0.10,9.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,85,10-17-2019,13:00:00,11.00,26.9,35.48,28.00,1010.50,1009.75,29.7,070,0.00,11.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,79,10-17-2019,13:00:00,10.00,24.9,31.49,25.00,1009.73,1005.75,28.9,990,0.01,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,71,10-17-2019,13:00:00,10.00,24.2,30.22,1.70,1009.39,1008.72,30.1,000,0.00,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,88,10-17-2019,13:00:00,7.00,24.8,31.38,135.60,1009.62,1008.50,27.0,090,0.20,13.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,82,10-17-2019,13:00:00,10.00,26.3,34.29,21.60,1009.67,1006.77,29.7,060,0.01,5.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,75,10-17-2019,13:00:00,12.00,25.7,32.96,12.10,1008.64,1007.96,30.6,040,0.00,5.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,70,10-17-2019,13:00:00,10.00,24.9,31.47,14.40,1009.57,1005.49,31.0,000,0.00,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,61,10-17-2019,13:00:00,12.00,23.4,28.74,40.40,1009.20,1008.62,31.9,040,0.00,9.3
