WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,LandVisibility,WindSpeed,DewPoint,Rainfall,WindDirection,StationPressure,MeanSeaLevelPressure,RelativeHumidity,AirTemperature
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.40,09-11-2019,10:00:00,29.52,7.00,0.0,23.8,0.40,000,977.58,1013.45,93,25.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.90,09-11-2019,10:00:00,30.43,15.00,7.4,24.3,0.00,140,983.09,1012.96,88,26.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-11-2019,10:00:00,28.92,10.00,0.0,23.5,0.00,000,1004.69,1012.04,83,26.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.40,09-11-2019,10:00:00,30.44,6.00,7.4,24.3,1.60,190,993.67,1013.78,93,25.5
48353,LOEI,เลย,เลย,17.45000,101.73333,1.60,09-11-2019,10:00:00,28.67,13.00,3.7,23.3,0.00,180,984.61,1013.40,80,27.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,66.30,09-11-2019,10:00:00,29.91,11.00,1.9,24.0,1.10,190,993.40,1013.79,92,25.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,66.50,09-11-2019,10:00:00,29.50,12.00,0.0,23.8,1.10,000,992.34,1014.28,88,26.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,38.20,09-11-2019,10:00:00,28.59,10.00,0.0,23.3,1.80,000,994.25,1013.95,88,25.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,81.90,09-11-2019,10:00:00,28.48,10.00,0.0,23.2,3.80,000,998.05,1015.04,90,25.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,84.50,09-11-2019,10:00:00,30.17,12.00,0.0,24.2,2.00,000,997.33,1014.95,93,25.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.00,09-11-2019,10:00:00,30.81,9.00,0.0,24.5,0.60,000,987.29,1013.32,93,25.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,15.50,09-11-2019,10:00:00,34.27,10.00,0.0,26.3,0.00,000,1007.48,1013.29,93,27.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,14.00,09-11-2019,10:00:00,33.78,10.00,0.0,26.1,0.00,000,1007.28,1013.50,92,27.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,13.70,09-11-2019,10:00:00,29.19,12.00,0.0,23.6,0.00,000,998.35,1014.85,77,28.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.20,09-11-2019,10:00:00,28.48,8.00,5.6,23.2,0.70,200,990.00,1012.58,90,25.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.01,09-11-2019,10:00:00,30.12,6.00,3.7,24.2,0.01,180,999.79,1014.26,84,27.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.60,09-11-2019,10:00:00,31.17,7.00,0.0,24.7,1.60,000,998.24,1014.83,95,25.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.50,09-11-2019,10:00:00,29.79,10.00,5.6,24.0,0.00,080,1008.36,1013.60,76,28.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.70,09-11-2019,10:00:00,31.39,12.00,0.0,24.8,0.00,000,999.22,1012.44,83,28.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.60,09-11-2019,10:00:00,32.53,10.00,0.0,25.4,0.01,000,1004.13,1013.50,90,27.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,18.20,09-11-2019,10:00:00,30.84,8.00,5.6,24.6,0.50,180,991.97,1013.87,92,26.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,5.90,09-11-2019,10:00:00,31.63,10.00,9.3,25.0,0.70,240,996.23,1013.87,90,26.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,6.80,09-11-2019,10:00:00,30.17,10.00,0.0,24.2,1.70,000,997.51,1013.53,93,25.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,11.50,09-11-2019,10:00:00,31.52,8.00,5.6,24.9,0.30,170,993.95,1012.98,91,26.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,16.40,09-11-2019,10:00:00,27.25,9.00,0.0,22.5,0.00,000,963.57,1015.50,91,24.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.10,09-11-2019,10:00:00,30.18,8.00,9.3,24.2,0.00,130,1009.50,1013.46,76,28.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.80,09-11-2019,10:00:00,23.52,3.00,9.3,20.1,0.40,230,918.50,1014.38,94,21.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.80,09-11-2019,10:00:00,32.32,7.00,0.0,25.3,0.20,000,997.64,1013.77,95,26.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-11-2019,10:00:00,29.96,10.00,7.4,24.1,0.00,160,1009.68,1013.71,73,29.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,21.60,09-11-2019,10:00:00,29.71,9.00,0.0,23.9,0.00,000,1004.05,1014.70,71,29.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.90,09-11-2019,10:00:00,28.50,10.00,11.1,23.2,0.00,180,1011.94,1013.86,65,30.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,16.90,09-11-2019,10:00:00,30.18,10.00,0.0,24.2,0.10,000,993.04,1014.06,86,26.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,15.10,09-11-2019,10:00:00,30.84,10.00,0.0,24.6,0.50,000,996.20,1014.04,92,26.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.90,09-11-2019,10:00:00,31.49,8.00,5.6,24.9,0.40,250,997.17,1013.47,93,26.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.30,09-11-2019,10:00:00,29.46,10.00,0.0,23.8,0.10,000,1000.01,1014.10,78,28.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,6.40,09-11-2019,10:00:00,30.56,7.00,0.0,24.4,0.00,000,999.45,1014.34,81,28.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.70,09-11-2019,10:00:00,32.73,7.00,3.7,25.5,0.01,200,999.24,1013.99,90,27.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,09-11-2019,10:00:00,29.93,10.00,0.0,24.1,0.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1010.66,1013.68,74,29.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,36.60,09-11-2019,10:00:00,29.46,10.00,0.0,23.8,0.01,000,1006.01,1013.96,74,29.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.50,09-11-2019,10:00:00,29.65,8.00,7.4,23.9,0.00,200,1012.67,1013.77,74,29.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,35.50,09-11-2019,10:00:00,25.57,8.00,0.0,21.5,0.00,000,998.72,1013.47,69,27.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,55.80,09-11-2019,10:00:00,23.42,4.00,5.6,20.0,0.00,240,879.45,1015.24,99,20.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,6.80,09-11-2019,10:00:00,31.87,10.00,0.0,25.1,0.10,000,1008.38,1014.28,84,28.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.40,09-11-2019,10:00:00,29.60,9.00,0.0,23.9,0.00,000,1013.37,1014.17,72,29.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-11-2019,10:00:00,30.04,10.00,13.0,24.1,0.00,230,1013.45,1013.89,64,31.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,5.90,09-11-2019,10:00:00,30.02,6.00,0.0,24.1,0.00,000,1003.09,1014.48,84,27.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-11-2019,10:00:00,28.20,12.00,0.0,23.1,0.00,000,1013.13,1014.13,66,30.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.01,09-11-2019,10:00:00,26.58,13.00,9.3,22.1,0.00,180,1012.20,1014.01,62,30.2
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-11-2019,10:00:00,26.54,9.00,0.0,22.1,0.00,000,1012.90,1013.66,59,30.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,09-11-2019,10:00:00,29.33,10.00,7.4,23.7,0.00,140,1012.89,1013.59,67,30.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.10,09-11-2019,10:00:00,31.56,7.00,3.7,24.9,0.00,300,1013.22,1013.92,74,30.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.10,09-11-2019,10:00:00,27.94,10.00,3.7,22.9,0.00,250,992.72,1013.86,69,29.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.90,09-11-2019,10:00:00,30.86,9.00,0.0,24.6,0.00,000,997.11,1013.92,85,27.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.90,09-11-2019,10:00:00,32.20,9.00,7.4,25.3,0.00,270,997.62,1014.13,87,27.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.20,09-11-2019,10:00:00,29.08,10.00,7.4,23.6,0.00,280,992.01,1013.88,73,28.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,12.60,09-11-2019,10:00:00,26.18,10.00,14.8,21.8,0.00,250,970.35,1013.76,70,27.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,09-11-2019,10:00:00,29.65,9.00,7.4,23.9,0.00,260,993.03,1013.58,74,29.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,4.60,09-11-2019,10:00:00,33.26,8.00,7.4,25.8,0.01,230,994.58,1015.56,93,27.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.10,09-11-2019,10:00:00,27.53,10.00,3.7,22.7,0.00,200,1013.40,1013.83,66,29.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,18.40,09-11-2019,10:00:00,30.98,10.00,0.0,24.6,0.00,000,1012.32,1013.74,80,28.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,4.70,09-11-2019,10:00:00,33.58,8.00,0.0,26.0,0.00,000,1008.73,1013.66,81,29.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-11-2019,10:00:00,27.28,12.00,3.7,22.5,0.00,190,1010.78,1014.06,64,30.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.80,09-11-2019,10:00:00,30.34,10.00,0.0,24.3,0.00,000,1013.22,1014.33,78,28.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,09-11-2019,10:00:00,28.51,10.00,3.7,23.2,0.00,140,1013.67,1013.97,62,31.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.50,09-11-2019,10:00:00,30.77,10.00,3.7,24.5,0.00,280,1012.95,1013.64,67,31.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.50,09-11-2019,10:00:00,30.55,10.00,7.4,24.4,0.00,240,1013.76,1014.25,73,29.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,6.20,09-11-2019,10:00:00,30.03,10.00,7.4,24.1,0.00,300,1012.70,1014.10,71,30.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-11-2019,10:00:00,33.65,10.00,0.0,26.0,0.00,000,1012.42,1014.09,74,31.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,4.80,09-11-2019,10:00:00,29.75,12.00,0.0,24.0,0.00,000,1007.63,1015.62,70,30.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-11-2019,10:00:00,27.68,10.00,0.0,22.8,0.00,000,1013.59,1013.87,60,31.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-11-2019,10:00:00,30.31,10.00,5.6,24.3,0.00,260,1010.71,1013.84,71,30.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-11-2019,10:00:00,25.09,12.00,0.0,21.2,0.00,000,1007.09,1014.00,58,30.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.90,09-11-2019,10:00:00,31.98,10.00,3.7,25.2,0.00,280,1008.54,1014.14,80,29.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-11-2019,10:00:00,29.26,15.00,9.3,23.7,0.00,230,1005.93,1015.15,61,32.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.40,09-11-2019,10:00:00,31.26,12.00,0.0,24.8,0.00,000,1013.06,1014.33,80,28.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,4.10,09-11-2019,10:00:00,31.31,11.00,3.7,24.8,0.00,180,1013.52,1013.95,72,30.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-11-2019,10:00:00,27.63,12.00,3.7,22.7,0.00,240,1001.59,1013.81,66,29.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-11-2019,10:00:00,29.33,10.00,0.0,23.7,0.00,000,1012.92,1013.63,67,30.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-11-2019,10:00:00,26.97,10.00,7.4,22.3,0.00,180,1011.67,1014.07,55,32.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-11-2019,10:00:00,30.31,12.00,7.4,24.3,0.00,300,1013.54,1014.06,71,30.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-11-2019,10:00:00,24.59,17.00,9.3,20.8,0.00,280,1008.85,1013.95,51,32.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.40,09-11-2019,10:00:00,29.48,8.00,0.0,23.8,0.00,000,1013.44,1013.85,66,31.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.10,09-11-2019,10:00:00,33.85,8.00,11.1,26.1,0.00,260,1011.56,1014.32,77,30.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-11-2019,10:00:00,32.34,10.00,5.6,25.4,0.00,090,1013.53,1014.32,72,31.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,13.00,09-11-2019,10:00:00,32.15,8.00,3.7,25.3,0.50,230,1013.45,1013.91,85,28.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.00,09-11-2019,10:00:00,29.49,8.00,0.0,23.8,0.00,000,1013.36,1014.04,72,29.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-11-2019,10:00:00,30.80,9.00,3.7,24.5,0.00,290,1012.31,1013.84,75,29.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.01,09-11-2019,10:00:00,29.91,10.00,0.0,24.0,0.00,000,1013.38,1014.30,71,29.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.10,09-11-2019,10:00:00,33.25,10.00,14.8,25.8,0.00,070,1013.66,1014.35,79,29.9
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.60,09-11-2019,10:00:00,31.48,10.00,3.7,24.9,0.00,360,1013.54,1014.34,73,30.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.60,09-11-2019,10:00:00,31.68,10.00,3.7,25.0,0.00,100,1013.22,1013.85,73,30.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.80,09-11-2019,10:00:00,34.87,10.00,0.0,26.6,0.00,000,1013.50,1013.91,79,30.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-11-2019,10:00:00,31.88,8.00,9.3,25.1,0.00,040,1011.41,1015.61,73,30.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-11-2019,10:00:00,30.70,12.00,0.0,24.5,0.00,000,1012.60,1014.20,72,30.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,20.50,09-11-2019,10:00:00,33.59,12.00,0.0,26.0,0.00,000,1010.34,1013.80,78,30.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,4.20,09-11-2019,10:00:00,29.75,9.00,0.0,24.0,0.00,000,1012.59,1013.94,70,30.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-11-2019,10:00:00,31.19,10.00,7.4,24.7,0.00,240,1012.72,1013.60,72,30.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-11-2019,10:00:00,31.52,10.00,7.4,24.9,0.00,100,1010.56,1014.10,75,29.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-11-2019,10:00:00,32.05,10.00,7.4,25.2,0.00,090,1013.34,1013.78,74,30.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-11-2019,10:00:00,30.25,10.00,9.3,24.2,0.00,100,1012.10,1013.09,67,31.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-11-2019,10:00:00,34.97,10.00,7.4,26.7,0.00,100,1012.66,1013.48,84,29.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-11-2019,10:00:00,30.59,6.00,0.0,24.4,0.00,000,1011.95,1013.75,72,30.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,34.60,09-11-2019,10:00:00,32.55,9.00,7.4,25.5,0.00,080,1013.44,1014.20,81,29.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.40,09-11-2019,10:00:00,29.90,10.00,5.6,24.0,1.40,220,1010.46,1014.47,80,27.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-11-2019,10:00:00,27.30,8.00,0.0,22.5,0.00,000,1011.42,1012.10,63,30.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-11-2019,10:00:00,27.61,10.00,0.0,22.7,0.00,000,1013.73,1014.84,67,29.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.60,09-11-2019,10:00:00,30.54,10.00,0.0,24.4,1.60,000,1011.11,1014.03,78,28.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.30,09-11-2019,10:00:00,34.97,8.00,0.0,26.7,0.00,000,1012.74,1013.43,84,29.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,2.90,09-11-2019,10:00:00,31.84,6.00,0.0,25.1,0.00,000,1010.26,1014.36,74,30.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-11-2019,10:00:00,29.89,10.00,0.0,24.0,0.00,000,1013.35,1013.94,68,30.5
