WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,AirTemperature,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,LandVisibility,DewPoint,Rainfall,MinimumTemperature,WindSpeed
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1012.61,09-25-2019,07:00:00,0.00,27.8,32.12,1013.30,000,86,9.00,25.2,0.00,26.7,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1012.74,09-25-2019,07:00:00,0.00,26.5,30.43,1013.23,310,88,10.00,24.3,0.00,26.5,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1012.97,09-25-2019,07:00:00,0.00,26.8,27.52,1014.39,010,78,8.00,22.7,0.00,26.2,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1011.78,09-25-2019,07:00:00,0.00,28.6,32.88,1013.47,040,84,8.00,25.6,0.00,28.0,22.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.07,09-25-2019,07:00:00,0.00,24.4,29.49,1015.21,000,97,8.00,23.8,0.00,24.0,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1012.77,09-25-2019,07:00:00,0.00,27.0,30.56,1013.06,060,86,8.00,24.4,0.00,25.7,3.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.04,09-25-2019,07:00:00,0.00,27.5,32.36,1013.18,000,88,10.00,25.4,0.00,25.5,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.03,09-25-2019,07:00:00,20.70,26.8,27.52,1013.02,060,78,10.00,22.7,0.00,25.0,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.76,09-25-2019,07:00:00,0.00,25.8,26.54,1014.42,000,80,8.00,22.1,0.00,24.8,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1004.95,09-25-2019,07:00:00,12.80,26.5,27.77,1014.34,000,80,8.00,22.8,0.00,26.0,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.82,09-25-2019,07:00:00,0.20,25.8,29.66,1014.10,320,89,5.00,23.9,0.00,24.3,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1012.75,09-25-2019,07:00:00,0.40,25.7,30.28,1013.19,350,92,11.00,24.2,0.40,25.2,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1001.62,09-25-2019,07:00:00,2.50,24.5,29.41,1014.07,000,96,7.00,23.8,2.50,24.0,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1012.54,09-25-2019,07:00:00,0.00,26.1,29.95,1013.26,000,89,8.00,24.1,0.00,25.8,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1010.71,09-25-2019,07:00:00,6.30,25.1,29.18,1013.17,360,92,6.00,23.6,0.00,24.6,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1012.06,09-25-2019,07:00:00,0.00,26.0,26.88,1012.59,070,80,10.00,22.3,0.00,25.4,5.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.47,09-25-2019,07:00:00,17.20,25.5,27.04,1012.68,010,83,11.00,22.4,0.00,24.8,7.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1012.40,09-25-2019,07:00:00,0.00,26.2,27.49,1012.81,040,81,7.00,22.6,0.00,25.3,9.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.54,09-25-2019,07:00:00,0.00,25.5,31.25,1013.34,000,96,8.00,24.8,0.00,25.0,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.10,09-25-2019,07:00:00,0.00,26.7,29.45,1012.89,000,84,10.00,23.8,0.00,23.5,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.73,09-25-2019,07:00:00,0.00,24.6,29.07,1012.19,100,94,7.00,23.6,0.00,23.7,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.79,09-25-2019,07:00:00,0.00,25.0,30.32,1012.48,000,96,8.00,24.3,0.00,24.8,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.75,09-25-2019,07:00:00,0.00,25.0,30.58,1012.29,000,97,8.00,24.4,0.00,24.8,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.41,09-25-2019,07:00:00,0.00,25.0,29.00,1012.34,000,92,10.00,23.5,0.00,24.8,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.64,09-25-2019,07:00:00,5.00,27.7,33.33,1012.33,350,90,9.00,25.9,0.00,26.0,9.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.61,09-25-2019,07:00:00,8.30,24.5,29.67,1012.42,000,97,7.00,23.9,5.60,24.5,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.50,09-25-2019,07:00:00,14.70,24.7,30.30,1012.14,330,97,10.00,24.3,10.10,24.4,7.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1012.06,09-25-2019,07:00:00,34.60,24.8,30.48,1012.47,000,97,8.00,24.4,10.50,24.2,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.94,09-25-2019,07:00:00,7.70,24.6,30.38,1014.21,000,98,4.00,24.3,0.00,23.8,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.63,09-25-2019,07:00:00,1.40,25.0,31.12,1012.25,000,98,4.00,24.7,1.40,23.6,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.60,09-25-2019,07:00:00,2.90,24.7,30.30,1012.12,000,97,10.00,24.3,2.60,24.5,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.13,09-25-2019,07:00:00,14.80,24.9,30.40,1011.50,300,97,7.00,24.3,6.40,24.9,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.28,09-25-2019,07:00:00,14.80,23.7,28.77,1011.18,000,98,8.00,23.4,0.00,23.4,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.88,09-25-2019,07:00:00,2.60,25.0,30.05,1012.48,070,95,8.00,24.1,0.00,24.0,9.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.87,09-25-2019,07:00:00,0.10,26.9,31.19,1011.30,030,88,9.00,24.7,0.00,26.3,7.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.19,09-25-2019,07:00:00,11.90,25.5,30.44,1011.20,000,93,9.00,24.3,0.00,22.4,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.81,09-25-2019,07:00:00,0.00,26.0,29.50,1011.63,000,88,8.00,23.8,0.00,25.6,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.65,09-25-2019,07:00:00,1.50,25.5,30.44,1011.48,020,93,7.00,24.3,0.01,25.2,7.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.98,09-25-2019,07:00:00,4.10,27.9,31.47,1011.73,100,84,9.00,24.9,1.40,26.7,1.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.91,09-25-2019,07:00:00,4.20,25.7,31.63,1011.95,000,96,7.00,25.0,0.01,23.5,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.30,09-25-2019,07:00:00,0.00,27.6,29.52,1010.98,080,80,8.00,23.8,0.00,26.5,5.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.27,09-25-2019,07:00:00,0.00,26.7,31.63,1011.39,000,90,10.00,25.0,0.00,25.0,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.82,09-25-2019,07:00:00,1.00,25.0,31.12,1011.77,000,98,6.00,24.7,0.00,22.6,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.96,09-25-2019,07:00:00,5.60,25.4,29.99,1010.66,000,92,7.00,24.1,0.00,24.8,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.81,09-25-2019,07:00:00,10.90,24.4,29.49,1011.99,000,97,3.00,23.8,0.00,23.8,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.30,09-25-2019,07:00:00,4.10,25.2,28.83,1010.90,000,90,9.00,23.4,0.00,.0,0.0
