WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,WindDirection,VaporPressure,LandVisibility,MaximumTemperature,WindSpeed,Rainfall24Hr,StationPressure,RelativeHumidity,DewPoint,AirTemperature
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1011.08,09-11-2019,19:00:00,0.00,000,29.62,10.00,30.2,0.0,1.20,983.46,86,23.9,26.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1010.40,09-11-2019,19:00:00,0.00,000,28.34,10.00,29.5,0.0,1.40,976.69,85,23.2,25.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1011.37,09-11-2019,19:00:00,1.00,190,29.91,12.00,31.4,3.7,1.10,992.72,92,24.0,25.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,1010.92,09-11-2019,19:00:00,0.00,000,30.50,10.00,30.3,0.0,0.00,988.09,84,24.4,27.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1010.78,09-11-2019,19:00:00,0.01,000,30.09,10.00,29.9,0.0,0.01,980.72,92,24.1,25.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1010.96,09-11-2019,19:00:00,0.80,000,29.11,7.00,27.6,0.0,1.40,975.24,89,23.6,25.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1010.28,09-11-2019,19:00:00,0.00,280,30.97,12.00,30.3,3.7,5.90,980.49,89,24.6,26.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1011.03,09-11-2019,19:00:00,0.60,000,30.64,8.00,29.4,0.0,9.20,1003.70,86,24.4,26.9
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1010.28,09-11-2019,19:00:00,0.00,020,31.63,10.00,28.5,7.4,23.20,990.32,90,25.0,26.7
48353,LOEI,เลย,เลย,17.45000,101.73333,1009.94,09-11-2019,19:00:00,0.00,350,29.72,13.00,30.0,3.7,1.60,981.21,85,23.9,26.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1010.74,09-11-2019,19:00:00,2.30,000,29.46,12.00,29.5,0.0,51.50,990.40,91,23.8,25.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1010.93,09-11-2019,19:00:00,0.00,000,30.83,12.00,29.5,0.0,66.50,989.14,87,24.5,27.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1010.65,09-11-2019,19:00:00,0.00,000,31.74,15.00,28.8,0.0,38.20,991.10,90,25.0,26.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.76,09-11-2019,19:00:00,0.00,000,29.50,12.00,28.4,0.0,81.90,988.01,88,23.8,26.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1011.67,09-11-2019,19:00:00,0.00,000,31.11,10.00,28.1,0.0,84.60,994.14,93,24.7,26.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1010.26,09-11-2019,19:00:00,2.50,000,29.41,8.00,31.1,0.0,33.70,984.21,96,23.8,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1011.02,09-11-2019,19:00:00,0.60,000,32.48,10.00,32.1,0.0,13.10,1005.20,97,25.4,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1011.37,09-11-2019,19:00:00,0.10,000,32.20,10.00,31.3,0.0,11.00,1005.13,96,25.3,26.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1011.71,09-11-2019,19:00:00,0.00,000,29.44,12.00,29.5,0.0,18.20,995.10,92,23.8,25.1
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1011.02,09-11-2019,19:00:00,0.50,000,27.01,8.00,27.0,0.0,5.60,988.41,89,22.4,24.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,1012.09,09-11-2019,19:00:00,0.00,260,27.40,6.00,29.2,7.4,1.60,997.58,82,22.6,26.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1011.51,09-11-2019,19:00:00,1.00,000,27.25,7.00,29.5,0.0,4.00,994.89,91,22.5,24.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1011.86,09-11-2019,19:00:00,0.00,000,29.97,10.00,31.6,0.0,1.30,1006.60,87,24.1,26.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1009.42,09-11-2019,19:00:00,0.00,000,31.14,12.00,30.0,0.0,13.30,996.21,86,24.7,27.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1011.37,09-11-2019,19:00:00,0.20,000,30.22,8.00,30.1,0.0,1.10,1001.98,89,24.2,26.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1010.65,09-11-2019,19:00:00,0.00,010,31.55,8.00,28.5,3.7,18.20,988.88,90,24.9,26.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1010.28,09-11-2019,19:00:00,0.00,220,29.69,10.00,33.0,5.6,3.10,992.75,81,23.9,27.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1010.31,09-11-2019,19:00:00,0.00,000,31.11,10.00,30.0,0.0,6.80,994.43,87,24.7,27.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1009.72,09-11-2019,19:00:00,0.00,000,31.66,10.00,28.8,0.0,11.50,990.79,89,25.0,27.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1013.80,09-11-2019,19:00:00,0.20,000,23.68,7.00,26.6,0.0,10.30,961.78,84,20.2,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1011.20,09-11-2019,19:00:00,17.50,330,29.41,3.00,31.4,5.6,27.10,1007.19,96,23.8,24.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1011.57,09-11-2019,19:00:00,0.60,230,22.68,.60,22.0,11.1,5.50,915.59,97,19.5,20.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1010.53,09-11-2019,19:00:00,0.00,000,31.94,8.00,30.0,0.0,3.30,994.49,90,25.1,27.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1011.28,09-11-2019,19:00:00,0.00,300,28.12,10.00,33.5,1.9,0.00,1007.25,74,23.0,28.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1010.39,09-11-2019,19:00:00,0.00,000,29.16,7.00,33.1,0.0,0.60,999.78,70,23.6,29.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.12,09-11-2019,19:00:00,0.00,300,28.24,10.00,34.1,5.6,0.00,1009.19,78,23.1,27.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1010.58,09-11-2019,19:00:00,0.00,330,27.29,10.00,30.2,5.6,17.60,989.68,75,22.5,27.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1010.60,09-11-2019,19:00:00,0.00,000,31.33,10.00,29.5,0.0,15.10,992.90,86,24.8,27.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1010.18,09-11-2019,19:00:00,0.00,000,32.03,10.00,30.0,0.0,7.90,994.02,85,25.2,27.9
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1011.22,09-11-2019,19:00:00,0.00,000,31.56,10.00,30.3,0.0,5.30,997.17,84,24.9,27.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1011.61,09-11-2019,19:00:00,0.00,000,32.21,7.00,30.6,0.0,1.80,996.71,90,25.3,27.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1011.26,09-11-2019,19:00:00,0.50,000,34.23,8.00,30.6,0.0,1.80,996.58,91,26.3,28.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1010.51,09-11-2019,19:00:00,0.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.89,10.00,34.2,0.0,0.40,1007.49,84,24.6,27.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1012.66,09-11-2019,19:00:00,0.00,000,32.39,10.00,31.2,0.0,11.60,1004.71,83,25.4,28.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.16,09-11-2019,19:00:00,0.00,000,32.01,7.00,34.0,0.0,0.20,1008.06,70,25.2,31.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1011.15,09-11-2019,19:00:00,0.00,000,28.86,8.00,32.0,0.0,29.10,996.47,75,23.5,28.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1012.40,09-11-2019,19:00:00,0.00,280,22.62,3.00,24.9,3.7,10.60,876.82,98,19.5,19.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1010.41,09-11-2019,19:00:00,0.00,000,33.29,10.00,33.9,0.0,6.80,1004.56,81,25.8,29.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.26,09-11-2019,19:00:00,0.00,270,29.92,10.00,34.6,5.6,0.40,1009.46,65,24.0,31.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.11,09-11-2019,19:00:00,0.00,210,31.35,10.00,32.7,11.1,0.00,1009.67,73,24.8,30.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1013.20,09-11-2019,19:00:00,0.00,000,25.93,6.00,30.7,0.0,4.60,1001.75,82,21.7,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.16,09-11-2019,19:00:00,1.40,000,30.12,10.00,35.4,0.0,1.40,1010.14,84,24.2,27.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.29,09-11-2019,19:00:00,0.00,000,30.09,10.00,34.4,0.0,0.01,1008.48,69,24.1,30.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.99,09-11-2019,19:00:00,0.10,000,29.44,7.00,34.6,0.0,0.10,1010.22,79,23.8,27.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1010.48,09-11-2019,19:00:00,0.00,160,30.59,10.00,34.5,5.6,0.01,1009.78,72,24.4,30.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.08,09-11-2019,19:00:00,2.20,000,33.45,7.00,33.6,0.0,32.20,1009.38,85,25.9,28.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1010.20,09-11-2019,19:00:00,0.00,000,27.47,10.00,34.0,0.0,0.01,989.19,64,22.6,30.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1010.82,09-11-2019,19:00:00,0.00,000,30.78,8.00,31.8,0.0,0.90,994.12,80,24.5,28.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1011.07,09-11-2019,19:00:00,0.00,100,31.23,8.00,31.8,3.7,1.90,994.64,82,24.8,28.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1010.49,09-11-2019,19:00:00,0.00,000,29.90,10.00,33.6,0.0,0.20,988.69,76,24.0,28.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1011.04,09-11-2019,19:00:00,0.01,000,28.42,10.00,30.0,0.0,0.01,967.45,86,23.2,25.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1010.36,09-11-2019,19:00:00,0.00,120,30.97,10.00,33.9,3.7,0.30,989.77,84,24.6,27.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1012.25,09-11-2019,19:00:00,0.00,090,33.67,9.00,31.0,3.7,2.60,991.30,97,26.0,26.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1011.38,09-11-2019,19:00:00,0.50,000,30.12,10.00,31.6,0.0,0.50,1010.95,84,24.2,27.2
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.75,09-11-2019,19:00:00,0.00,000,31.56,6.00,33.4,0.0,1.10,1008.33,84,24.9,27.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1010.13,09-11-2019,19:00:00,0.50,000,31.46,7.00,33.0,0.0,2.70,1005.18,89,24.9,26.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.22,09-11-2019,19:00:00,0.00,300,28.09,10.00,35.2,9.3,0.00,1007.95,66,23.0,30.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1010.81,09-11-2019,19:00:00,16.00,280,30.50,5.00,34.4,3.7,16.00,1009.69,96,24.4,25.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.40,09-11-2019,19:00:00,0.00,230,30.49,10.00,34.5,7.4,0.01,1010.10,66,24.4,31.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.30,09-11-2019,19:00:00,0.00,230,29.87,10.00,34.6,5.6,0.00,1009.62,63,24.0,31.9
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.54,09-11-2019,19:00:00,0.00,000,31.48,10.00,33.8,0.0,0.00,1010.05,73,24.9,30.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1010.57,09-11-2019,19:00:00,0.00,330,27.96,10.00,34.1,11.1,1.60,1009.18,60,22.9,31.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1010.47,09-11-2019,19:00:00,0.00,210,33.58,10.00,32.5,18.5,0.00,1008.80,81,26.0,29.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.20,09-11-2019,19:00:00,0.00,000,32.28,10.00,33.9,0.0,0.00,1004.17,87,25.3,27.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.29,09-11-2019,19:00:00,0.00,150,27.54,10.00,34.5,5.6,0.00,1010.01,61,22.7,31.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.67,09-11-2019,19:00:00,0.00,000,28.78,.00,32.5,0.0,0.00,1007.55,70,23.4,29.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.82,09-11-2019,19:00:00,0.00,240,27.96,10.00,32.4,9.3,0.00,1003.91,68,22.9,29.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1010.81,09-11-2019,19:00:00,0.00,000,33.24,10.00,33.0,0.0,0.00,1005.23,82,25.8,29.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.62,09-11-2019,19:00:00,0.00,260,28.12,10.00,37.5,5.6,0.00,1002.37,65,23.0,30.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.85,09-11-2019,19:00:00,0.01,230,30.15,10.00,33.5,3.7,0.01,1011.58,82,24.2,27.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.91,09-11-2019,19:00:00,0.00,210,30.31,11.00,34.1,18.5,0.00,1010.48,71,24.3,30.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.35,09-11-2019,19:00:00,0.00,240,25.61,10.00,34.5,3.7,0.00,999.10,66,21.5,28.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.13,09-11-2019,19:00:00,0.00,240,30.85,10.00,31.6,9.3,0.00,1010.41,77,24.6,29.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.24,09-11-2019,19:00:00,0.00,230,27.26,10.00,36.2,7.4,0.00,1008.82,65,22.5,29.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.77,09-11-2019,19:00:00,0.00,230,30.29,10.00,31.5,9.3,0.00,1009.25,76,24.3,29.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1010.84,09-11-2019,19:00:00,0.00,310,26.95,12.00,35.4,1.9,0.00,1005.70,67,22.3,29.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.25,09-11-2019,19:00:00,0.00,000,31.21,7.00,33.2,0.0,0.40,1010.84,78,24.8,28.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1011.48,09-11-2019,19:00:00,0.00,000,32.45,8.00,32.5,0.0,2.10,1008.70,89,25.4,27.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.57,09-11-2019,19:00:00,0.00,210,28.71,10.00,32.5,9.3,0.00,1010.78,78,23.4,27.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.47,09-11-2019,19:00:00,0.00,070,31.66,7.00,31.6,3.7,2.50,1011.01,89,25.0,27.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1012.02,09-11-2019,19:00:00,2.40,000,29.66,8.00,32.4,0.0,2.80,1011.33,89,23.9,25.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.62,09-11-2019,19:00:00,0.00,250,28.48,8.00,34.4,1.9,6.80,1010.08,90,23.2,25.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.16,09-11-2019,19:00:00,0.00,000,31.69,10.00,32.3,0.0,0.01,1011.24,87,25.0,27.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.55,09-11-2019,19:00:00,0.00,000,33.37,10.00,31.0,0.0,0.10,1010.86,85,25.9,28.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.46,09-11-2019,19:00:00,9.00,020,26.84,7.00,34.0,3.7,9.20,1011.65,87,22.3,24.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.52,09-11-2019,19:00:00,2.20,240,32.61,10.00,33.2,3.7,2.80,1010.88,90,25.5,27.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.59,09-11-2019,19:00:00,0.01,000,29.35,10.00,32.9,0.0,0.30,1011.18,85,23.7,26.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.37,09-11-2019,19:00:00,0.50,000,30.71,6.00,32.9,0.0,3.10,1009.11,94,24.5,25.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.29,09-11-2019,19:00:00,2.00,000,30.84,8.00,34.0,0.0,2.00,1008.67,92,24.6,26.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.54,09-11-2019,19:00:00,0.00,000,30.43,10.00,34.0,0.0,1.50,1008.05,88,24.3,26.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.16,09-11-2019,19:00:00,2.50,000,28.49,{'@attributes': {'Unit': 'km'}},33.1,0.0,2.50,1009.80,88,23.2,25.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.00,09-11-2019,19:00:00,0.00,000,32.12,10.00,31.3,0.0,0.00,1010.12,86,25.2,27.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.20,09-11-2019,19:00:00,0.00,000,31.54,10.00,33.5,0.0,0.00,1007.65,81,24.9,28.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.30,09-11-2019,19:00:00,0.00,320,31.90,10.00,32.9,3.7,0.00,1010.86,82,25.1,28.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.14,09-11-2019,19:00:00,0.00,000,33.86,10.00,32.3,0.0,1.20,1010.15,93,26.1,27.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.29,09-11-2019,19:00:00,0.00,000,28.95,10.00,33.5,0.0,0.00,1010.47,75,23.5,28.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.08,09-11-2019,19:00:00,0.00,000,32.10,7.00,33.3,0.0,0.00,1009.27,79,25.2,29.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.40,09-11-2019,19:00:00,0.00,250,26.95,9.00,33.0,1.9,0.00,1010.65,73,22.3,27.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.07,09-11-2019,19:00:00,0.00,340,30.81,8.00,35.1,3.7,1.40,1007.05,88,24.5,26.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.56,09-11-2019,19:00:00,0.00,000,30.60,10.00,34.5,0.0,0.00,1009.88,75,24.4,29.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1012.15,09-11-2019,19:00:00,0.00,030,28.26,10.00,33.4,5.6,2.40,1011.02,85,23.1,25.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.86,09-11-2019,19:00:00,0.00,070,33.20,10.00,33.3,5.6,1.60,1007.95,83,25.8,28.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.57,09-11-2019,19:00:00,0.00,000,33.99,7.00,33.5,0.0,0.30,1009.89,85,26.2,29.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.50,09-11-2019,19:00:00,0.00,000,30.90,6.00,34.2,0.0,2.90,1007.39,79,24.6,28.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.70,09-11-2019,19:00:00,0.00,050,30.16,10.00,32.8,9.3,0.00,1010.12,73,24.2,29.5
