WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,Rainfall24Hr,StationPressure,VaporPressure,DewPoint,MeanSeaLevelPressure,RelativeHumidity,LandVisibility,AirTemperature,Rainfall
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,130,08-10-2019,13:00:00,1.9,6.60,985.40,31.23,24.8,1001.86,71,12.00,30.6,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,140,08-10-2019,13:00:00,5.6,18.40,984.74,31.28,24.8,1001.91,76,12.00,29.5,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,120,08-10-2019,13:00:00,13.0,65.80,973.92,32.92,25.6,999.20,76,12.00,30.3,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,180,08-10-2019,13:00:00,9.3,15.70,994.73,35.46,26.9,1000.44,89,8.00,29.0,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,08-10-2019,13:00:00,0.0,15.80,993.62,34.87,26.6,999.73,87,10.00,29.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,180,08-10-2019,13:00:00,11.1,0.01,984.18,27.67,22.8,1000.18,54,10.00,33.2,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,320,08-10-2019,13:00:00,3.7,51.90,976.35,31.72,25.0,998.43,86,10.00,27.6,21.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,08-10-2019,13:00:00,0.0,17.20,986.01,31.05,24.7,1000.20,77,6.00,29.1,0.80
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,08-10-2019,13:00:00,0.0,31.30,983.09,34.51,26.4,999.19,82,12.00,29.8,0.60
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,100,08-10-2019,13:00:00,11.1,34.70,995.66,31.82,25.1,1000.83,82,10.00,28.5,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,190,08-10-2019,13:00:00,3.7,9.70,986.31,31.84,25.1,999.23,71,12.00,30.9,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,110,08-10-2019,13:00:00,9.3,9.60,990.47,32.88,25.6,999.61,74,10.00,30.7,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,150,08-10-2019,13:00:00,14.8,3.40,977.85,28.54,23.3,999.02,61,10.00,31.8,0.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,230,08-10-2019,13:00:00,13.0,0.60,984.01,31.11,24.7,1001.09,64,12.00,32.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,190,08-10-2019,13:00:00,7.4,8.20,984.99,31.28,24.8,1000.59,76,12.00,29.5,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,200,08-10-2019,13:00:00,9.3,45.00,980.61,28.74,23.4,999.04,61,10.00,31.9,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,08-10-2019,13:00:00,0.0,20.00,949.27,31.95,25.1,999.74,85,6.00,28.0,3.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,230,08-10-2019,13:00:00,11.1,10.20,996.19,33.99,26.2,1000.10,85,1.00,29.0,0.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,220,08-10-2019,13:00:00,5.6,34.30,906.21,27.46,22.6,999.46,85,4.00,25.3,0.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,08-10-2019,13:00:00,0.0,0.50,985.05,34.24,26.3,1000.66,71,10.00,32.3,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,180,08-10-2019,13:00:00,9.3,39.60,996.46,32.67,25.5,1000.42,74,10.00,30.6,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,170,08-10-2019,13:00:00,11.1,25.00,990.70,31.03,24.7,1001.19,71,10.00,30.5,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,150,08-10-2019,13:00:00,11.1,3.10,998.76,28.25,23.1,1000.65,58,10.00,32.5,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,220,08-10-2019,13:00:00,9.3,1.20,979.39,28.43,23.2,999.58,51,12.00,34.7,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,170,08-10-2019,13:00:00,11.1,33.00,982.90,32.75,25.6,1000.25,75,10.00,30.5,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,08-10-2019,13:00:00,0.0,31.20,984.66,35.68,27.0,1000.61,89,10.00,29.1,3.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,230,08-10-2019,13:00:00,7.4,25.90,987.95,30.90,24.6,1001.73,69,10.00,31.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,08-10-2019,13:00:00,0.0,41.40,987.76,34.31,26.3,1002.35,79,10.00,30.4,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,320,08-10-2019,13:00:00,9.3,14.70,987.34,35.53,26.9,1001.79,84,10.00,30.0,0.40
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",08-10-2019,13:00:00,0.0,8.40,997.74,33.90,26.1,1000.73,91,10.00,27.7,1.90
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,090,08-10-2019,13:00:00,11.1,7.60,992.60,34.10,26.2,1000.34,67,10.00,33.2,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,170,08-10-2019,13:00:00,7.4,14.80,1000.06,33.26,25.8,1001.15,76,6.00,30.6,0.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,080,08-10-2019,13:00:00,5.6,30.40,986.43,31.27,24.8,1000.83,70,9.00,30.9,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,200,08-10-2019,13:00:00,11.1,90.60,868.63,23.28,19.9,1002.80,99,.10,20.1,9.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,190,08-10-2019,13:00:00,9.3,8.20,994.80,33.24,25.8,1000.55,71,10.00,31.7,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,210,08-10-2019,13:00:00,14.8,0.00,1000.40,29.70,23.9,1001.18,57,12.00,33.5,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,08-10-2019,13:00:00,9.3,1.70,1000.78,31.68,25.0,1001.22,70,10.00,31.1,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-10-2019,13:00:00,0.0,2.40,990.66,33.21,25.8,1001.88,90,4.00,27.5,1.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,210,08-10-2019,13:00:00,16.7,0.00,999.81,30.61,24.4,1000.79,61,12.00,33.1,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,180,08-10-2019,13:00:00,5.6,31.50,999.12,30.53,24.4,1000.90,62,8.00,32.5,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,220,08-10-2019,13:00:00,11.1,0.00,1000.08,28.82,23.4,1000.83,61,9.00,31.8,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,190,08-10-2019,13:00:00,20.4,2.40,1001.34,29.56,23.9,1002.03,66,10.00,30.9,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,240,08-10-2019,13:00:00,5.6,26.50,1000.69,31.28,24.8,1001.37,62,8.00,33.0,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,280,08-10-2019,13:00:00,7.4,0.40,980.00,30.80,24.5,1000.86,75,9.00,29.4,0.20
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,190,08-10-2019,13:00:00,5.6,40.50,984.75,31.68,25.0,1001.10,67,12.00,31.8,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-10-2019,13:00:00,11.1,25.80,985.41,32.43,25.4,1001.41,63,14.00,33.4,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-10-2019,13:00:00,0.0,0.01,979.03,28.43,23.2,1000.25,53,10.00,34.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,140,08-10-2019,13:00:00,7.4,30.00,958.38,27.42,22.6,1001.20,72,10.00,28.2,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,200,08-10-2019,13:00:00,7.4,0.00,980.32,26.59,22.1,1000.20,47,11.00,35.2,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,180,08-10-2019,13:00:00,16.7,9.20,981.89,34.30,26.3,1002.30,74,10.00,31.5,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,260,08-10-2019,13:00:00,7.4,16.70,1001.56,31.29,24.8,1001.99,79,10.00,28.8,0.30
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,270,08-10-2019,13:00:00,9.3,36.40,1000.07,34.07,26.2,1001.46,70,10.00,32.5,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-10-2019,13:00:00,0.0,3.60,996.82,33.27,25.8,1001.66,73,8.00,31.3,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,230,08-10-2019,13:00:00,14.8,0.01,998.40,28.91,23.5,1001.64,68,8.00,30.0,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,250,08-10-2019,13:00:00,3.7,0.01,1000.42,32.47,25.4,1001.50,71,5.00,31.2,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,200,08-10-2019,13:00:00,7.4,0.10,1001.69,30.90,24.6,1001.98,64,10.00,32.4,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,210,08-10-2019,13:00:00,7.4,0.01,1001.12,31.11,24.7,1001.79,64,10.00,32.5,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,160,08-10-2019,13:00:00,9.3,0.01,1001.47,32.01,25.2,1001.95,70,10.00,31.4,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,210,08-10-2019,13:00:00,18.5,0.00,1000.33,31.03,24.7,1001.71,61,10.00,33.3,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-10-2019,13:00:00,37.0,0.00,1000.77,33.63,26.0,1002.42,77,10.00,30.5,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,08-10-2019,13:00:00,18.5,0.01,995.43,29.66,23.9,1003.26,61,15.00,32.5,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,180,08-10-2019,13:00:00,5.6,4.50,1001.86,34.49,26.4,1002.14,73,10.00,32.0,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,240,08-10-2019,13:00:00,7.4,0.50,999.29,31.72,25.0,1002.38,75,10.00,30.0,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,210,08-10-2019,13:00:00,11.1,0.70,995.95,30.72,24.5,1002.81,75,12.00,29.5,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,210,08-10-2019,13:00:00,14.8,0.00,995.82,28.24,23.1,1001.20,44,8.00,37.4,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,240,08-10-2019,13:00:00,20.4,0.01,993.65,31.56,24.9,1002.85,77,10.00,29.5,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,270,08-10-2019,13:00:00,7.4,0.30,1001.96,32.26,25.3,1003.21,81,8.00,29.0,0.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,250,08-10-2019,13:00:00,20.4,27.90,1001.70,28.86,23.5,1002.12,66,11.00,30.4,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,230,08-10-2019,13:00:00,7.4,0.80,990.65,30.47,24.4,1002.75,73,10.00,29.8,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,240,08-10-2019,13:00:00,7.4,0.00,1002.06,30.58,24.4,1002.77,69,10.00,30.7,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,230,08-10-2019,13:00:00,18.5,12.30,1001.01,30.98,24.6,1003.40,67,10.00,31.6,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,240,08-10-2019,13:00:00,25.9,0.50,1002.74,34.22,26.3,1003.25,78,10.00,30.5,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,120,08-10-2019,13:00:00,3.7,1.90,997.48,30.90,24.6,1002.55,69,14.00,31.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,230,08-10-2019,13:00:00,9.3,65.90,1002.87,30.86,24.6,1003.27,70,8.00,30.7,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,210,08-10-2019,13:00:00,11.1,90.40,1000.85,34.39,26.4,1003.58,80,8.00,30.3,0.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,240,08-10-2019,13:00:00,3.7,4.00,1002.55,29.80,24.0,1003.33,72,10.00,29.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,280,08-10-2019,13:00:00,7.4,27.60,1003.83,33.58,26.0,1004.28,92,6.00,27.4,5.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,270,08-10-2019,13:00:00,7.4,11.50,1003.45,29.06,23.6,1004.12,67,8.00,30.5,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,270,08-10-2019,13:00:00,7.4,6.20,1004.76,29.57,23.9,1006.28,73,9.00,29.2,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,220,08-10-2019,13:00:00,7.4,44.00,1005.27,30.48,24.4,1006.18,80,10.00,28.1,0.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-10-2019,13:00:00,0.0,1.70,1003.88,31.23,24.8,1004.55,68,12.00,31.3,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,250,08-10-2019,13:00:00,9.3,10.30,1004.63,31.64,25.0,1005.41,71,10.00,30.8,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,330,08-10-2019,13:00:00,7.4,4.10,1003.26,26.84,22.3,1003.88,53,12.00,33.2,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,270,08-10-2019,13:00:00,7.4,2.40,1004.46,31.56,24.9,1004.86,65,10.00,32.3,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,220,08-10-2019,13:00:00,14.8,1.20,1002.68,28.66,23.3,1006.82,60,6.00,32.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,280,08-10-2019,13:00:00,11.1,21.20,1004.96,28.29,23.1,1006.56,70,10.00,29.1,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,210,08-10-2019,13:00:00,7.4,14.80,1003.51,32.05,25.2,1006.96,77,8.00,29.6,2.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,270,08-10-2019,13:00:00,25.9,2.80,1004.07,34.07,26.2,1005.42,89,10.00,28.2,1.80
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,240,08-10-2019,13:00:00,14.8,88.00,1006.53,31.54,24.9,1007.41,81,10.00,28.5,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-10-2019,13:00:00,0.0,11.40,1003.56,30.07,24.1,1007.11,81,10.00,27.6,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,270,08-10-2019,13:00:00,16.7,21.80,1006.25,28.40,23.2,1006.69,70,10.00,29.3,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,290,08-10-2019,13:00:00,11.1,45.10,1005.97,29.19,23.6,1006.96,77,9.00,28.0,0.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,280,08-10-2019,13:00:00,48.2,10.80,1006.30,32.63,25.5,1007.11,82,10.00,28.9,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,290,08-10-2019,13:00:00,7.4,39.00,1004.96,32.55,25.5,1006.76,81,10.00,29.0,4.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,270,08-10-2019,13:00:00,11.1,3.70,1005.01,28.66,23.3,1005.75,60,11.00,32.0,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,250,08-10-2019,13:00:00,18.5,15.80,1002.17,30.50,24.4,1006.12,72,10.00,30.1,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,250,08-10-2019,13:00:00,14.8,17.20,1007.19,32.22,25.3,1007.87,82,6.00,28.7,1.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,270,08-10-2019,13:00:00,13.0,11.20,1004.69,30.29,24.3,1005.79,69,10.00,30.7,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,280,08-10-2019,13:00:00,18.5,23.60,1003.26,32.34,25.4,1006.14,72,8.00,31.0,0.01
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,230,08-10-2019,13:00:00,14.8,10.60,1004.51,33.66,26.0,1005.18,67,14.00,33.0,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,240,08-10-2019,13:00:00,9.3,6.20,1002.16,28.52,23.3,1006.19,56,10.00,33.2,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,240,08-10-2019,13:00:00,11.1,3.80,1005.73,22.51,19.4,1006.30,41,12.00,34.5,0.00
