WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,AirTemperature,MinimumTemperature,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,DewPoint,WindSpeed,Rainfall,MeanSeaLevelPressure
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.20,09-15-2019,07:00:00,984.60,24.8,24.3,93,29.16,000,10.00,23.6,0.0,0.00,1007.08
48376,TAK,ตาก,ตาก,16.87833,99.14333,11.00,09-15-2019,07:00:00,994.47,25.6,24.2,94,30.90,000,4.00,24.6,0.0,11.00,1008.95
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.20,09-15-2019,07:00:00,992.01,26.5,25.0,88,30.43,000,7.00,24.3,0.0,0.00,1008.44
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.90,09-15-2019,07:00:00,1003.08,26.3,25.0,98,33.35,000,10.00,25.9,0.0,0.00,1008.32
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,4.00,09-15-2019,07:00:00,993.57,25.0,24.3,93,29.52,000,12.00,23.8,0.0,0.00,1006.86
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-15-2019,07:00:00,998.83,26.5,25.7,96,33.19,000,10.00,25.8,0.0,0.00,1008.18
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-15-2019,07:00:00,986.75,26.0,25.6,93,31.11,110,8.00,24.7,3.7,0.00,1008.54
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-15-2019,07:00:00,991.41,27.5,25.2,84,30.97,000,10.00,24.6,0.0,0.00,1008.91
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.20,09-15-2019,07:00:00,992.26,25.0,23.8,88,27.70,030,10.00,22.8,3.7,0.00,1008.22
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-15-2019,07:00:00,988.73,25.5,24.6,97,31.52,000,10.00,24.9,0.0,0.00,1007.72
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,28.60,09-15-2019,07:00:00,958.34,22.5,21.6,92,25.04,000,7.00,21.1,0.0,0.00,1010.26
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.90,09-15-2019,07:00:00,1003.90,26.5,25.3,96,33.19,000,3.00,25.8,0.0,0.00,1007.87
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.80,09-15-2019,07:00:00,913.78,21.6,19.6,97,25.07,150,.70,21.1,5.6,0.30,1009.03
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.90,09-15-2019,07:00:00,992.45,25.4,24.1,91,29.46,000,8.00,23.8,0.0,0.00,1008.55
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-15-2019,07:00:00,1003.40,25.0,24.6,96,30.32,000,8.00,24.3,0.0,0.00,1007.46
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,4.90,09-15-2019,07:00:00,997.92,25.5,24.0,92,29.91,000,9.00,24.0,0.0,0.00,1008.67
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,7.40,09-15-2019,07:00:00,1006.39,25.8,25.5,93,31.00,000,9.00,24.6,0.0,0.00,1008.33
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-15-2019,07:00:00,987.44,25.4,24.8,88,28.67,000,10.00,23.3,0.0,0.00,1008.43
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-15-2019,07:00:00,990.42,25.5,24.2,92,29.91,000,10.00,24.0,0.0,0.00,1008.19
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-15-2019,07:00:00,991.84,26.0,25.1,87,29.23,060,10.00,23.7,7.4,0.00,1008.07
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1.10,09-15-2019,07:00:00,994.15,24.5,23.7,93,28.63,140,10.00,23.3,7.4,1.10,1008.32
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.80,09-15-2019,07:00:00,994.08,24.1,23.0,96,28.70,000,8.00,23.4,0.0,0.80,1009.08
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-15-2019,07:00:00,994.09,25.7,24.6,91,30.01,000,7.00,24.1,0.0,0.00,1008.85
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,3.60,09-15-2019,07:00:00,1004.50,25.9,25.2,94,31.46,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,24.9,0.0,0.00,1007.54
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,9.20,09-15-2019,07:00:00,1000.04,26.0,25.0,92,30.84,000,10.00,24.6,0.0,0.00,1008.02
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-15-2019,07:00:00,1006.51,25.5,25.0,95,30.98,000,8.00,24.6,0.0,0.00,1007.62
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-15-2019,07:00:00,993.46,25.3,24.1,93,30.07,000,8.00,24.1,0.0,0.00,1008.25
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,14.20,09-15-2019,07:00:00,877.76,19.5,18.9,99,22.42,050,9.00,19.3,3.7,0.00,1013.63
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-15-2019,07:00:00,1002.10,25.0,23.8,96,30.32,000,10.00,24.3,0.0,0.00,1008.02
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.50,09-15-2019,07:00:00,1006.68,25.7,25.1,97,31.90,000,9.00,25.1,0.0,0.00,1007.49
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,2.70,09-15-2019,07:00:00,1007.21,26.2,26.2,94,32.04,000,10.00,25.2,0.0,0.00,1007.65
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.00,09-15-2019,07:00:00,996.82,24.7,24.2,97,30.03,000,4.00,24.1,0.0,0.00,1008.22
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-15-2019,07:00:00,1006.83,27.0,25.6,92,32.77,000,10.00,25.6,0.0,0.00,1007.84
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.50,09-15-2019,07:00:00,1005.95,25.3,25.0,95,30.60,000,7.00,24.4,0.0,0.00,1007.79
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1.20,09-15-2019,07:00:00,1007.08,25.9,24.9,97,32.56,000,6.00,25.5,0.0,0.00,1007.85
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.40,09-15-2019,07:00:00,1007.29,25.5,25.0,96,31.25,050,4.00,24.8,3.7,0.00,1008.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.10,09-15-2019,07:00:00,1006.97,25.1,24.6,97,30.77,000,7.00,24.5,0.0,0.00,1007.68
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-15-2019,07:00:00,987.07,26.0,24.5,92,30.84,020,12.00,24.6,3.7,0.00,1008.32
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-15-2019,07:00:00,991.32,26.0,24.5,97,32.48,000,7.00,25.4,0.0,0.00,1008.11
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.40,09-15-2019,07:00:00,992.50,25.7,24.0,98,32.45,350,9.00,25.4,3.7,0.00,1009.04
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,4.10,09-15-2019,07:00:00,986.70,24.5,24.2,96,29.41,000,10.00,23.8,0.0,0.00,1008.77
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.70,09-15-2019,07:00:00,964.70,23.1,22.0,99,27.99,040,12.00,22.9,3.7,0.00,1008.56
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-15-2019,07:00:00,987.30,24.5,23.8,95,29.15,000,10.00,23.6,0.0,0.00,1008.04
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.20,09-15-2019,07:00:00,988.76,25.1,23.9,100,31.85,000,3.00,25.1,0.0,0.00,1009.76
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,6.00,09-15-2019,07:00:00,1006.91,26.4,25.8,91,31.33,010,10.00,24.8,3.7,0.00,1007.34
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,13.70,09-15-2019,07:00:00,1006.14,24.8,24.5,97,30.48,000,8.00,24.4,0.0,0.00,1007.57
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,12.90,09-15-2019,07:00:00,1002.61,24.4,24.0,99,30.28,000,2.00,24.2,0.0,0.00,1007.59
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,20.90,09-15-2019,07:00:00,1004.64,25.2,23.2,94,30.15,000,10.00,24.2,0.0,20.90,1007.96
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,36.30,09-15-2019,07:00:00,1006.87,25.6,24.7,98,32.26,000,5.00,25.3,0.0,0.40,1007.98
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,2.90,09-15-2019,07:00:00,1007.48,26.0,25.5,96,32.20,080,6.00,25.3,3.7,0.00,1007.78
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,13.30,09-15-2019,07:00:00,1006.80,26.0,25.7,95,31.93,000,8.00,25.1,0.0,11.30,1007.49
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.00,09-15-2019,07:00:00,1006.21,26.2,25.2,94,32.04,000,10.00,25.2,0.0,0.00,1006.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,4.60,09-15-2019,07:00:00,1006.26,26.2,24.9,97,32.87,000,6.00,25.6,0.0,0.00,1007.67
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,7.00,09-15-2019,07:00:00,1005.91,27.5,27.0,96,35.23,010,10.00,26.8,11.1,0.00,1007.59
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,14.00,09-15-2019,07:00:00,1001.64,24.2,23.7,98,29.66,000,10.00,23.9,0.0,0.00,1009.74
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.30,09-15-2019,07:00:00,1007.40,26.2,25.3,96,32.59,000,2.00,25.5,0.0,0.00,1007.69
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,61.00,09-15-2019,07:00:00,1004.60,26.1,24.5,93,31.57,000,10.00,24.9,0.0,15.00,1007.75
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,3.40,09-15-2019,07:00:00,1000.41,26.3,26.0,93,31.68,000,10.00,25.0,0.0,0.50,1007.37
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,13.50,09-15-2019,07:00:00,1002.49,25.1,24.3,96,30.50,000,8.00,24.4,0.0,0.00,1008.13
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,35.50,09-15-2019,07:00:00,1000.26,26.3,24.4,93,31.96,000,10.00,25.1,0.0,17.00,1009.62
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,2.50,09-15-2019,07:00:00,1006.97,25.3,24.6,97,31.14,000,12.00,24.7,0.0,0.00,1008.25
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.20,09-15-2019,07:00:00,1006.71,26.0,25.0,88,29.50,300,8.00,23.8,3.7,0.00,1007.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,40.50,09-15-2019,07:00:00,995.44,24.2,23.8,97,29.13,000,10.00,23.6,0.0,0.00,1007.83
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.00,09-15-2019,07:00:00,1006.83,26.0,25.6,91,30.57,000,10.00,24.4,0.0,0.00,1007.55
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,38.90,09-15-2019,07:00:00,1005.11,25.5,25.0,92,29.91,000,8.00,24.0,0.0,32.50,1007.56
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,4.10,09-15-2019,07:00:00,1007.07,26.0,25.6,96,32.20,000,10.00,25.3,0.0,0.30,1007.59
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,4.80,09-15-2019,07:00:00,1002.63,25.2,25.2,94,30.15,280,8.00,24.2,7.4,0.90,1007.82
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10.70,09-15-2019,07:00:00,1007.40,24.8,24.1,97,30.48,000,7.00,24.4,0.0,0.00,1007.82
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.50,09-15-2019,07:00:00,1005.11,24.5,24.0,99,30.46,000,8.00,24.3,0.0,8.00,1007.91
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-15-2019,07:00:00,1007.92,26.3,25.5,82,27.93,240,10.00,22.9,3.7,0.00,1008.71
48501,TRAD,ตราด,ตราด,11.76667,102.88333,44.80,09-15-2019,07:00:00,1007.04,24.5,23.5,96,29.41,090,3.00,23.8,5.6,20.00,1007.51
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.80,09-15-2019,07:00:00,1008.80,23.5,23.3,97,28.17,000,7.00,23.0,0.0,1.80,1009.49
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.20,09-15-2019,07:00:00,1006.97,24.2,23.5,91,27.60,210,7.00,22.7,11.1,1.80,1008.51
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,97.20,09-15-2019,07:00:00,1009.46,24.1,23.4,94,28.19,220,7.00,23.1,7.4,4.40,1010.39
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,20.10,09-15-2019,07:00:00,1008.27,25.0,23.7,88,27.70,300,9.00,22.8,7.4,0.10,1008.97
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,14.00,09-15-2019,07:00:00,1008.97,22.9,22.5,97,27.16,210,7.00,22.4,3.7,0.20,1009.78
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,4.80,09-15-2019,07:00:00,1007.80,24.5,23.6,91,28.11,000,10.00,23.0,0.0,0.00,1008.44
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.00,09-15-2019,07:00:00,1008.09,24.8,23.6,90,28.13,240,10.00,23.0,7.4,0.00,1008.50
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,17.10,09-15-2019,07:00:00,1007.17,24.0,23.0,97,28.78,000,5.00,23.4,0.0,0.00,1011.44
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.20,09-15-2019,07:00:00,1008.61,23.5,22.9,98,28.42,000,4.00,23.2,0.0,0.00,1010.24
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,14.10,09-15-2019,07:00:00,1006.72,23.0,22.8,98,27.57,000,7.00,22.7,0.0,0.00,1010.25
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,2.00,09-15-2019,07:00:00,1008.03,24.8,24.0,89,27.87,330,9.00,22.9,5.6,0.00,1009.40
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.80,09-15-2019,07:00:00,1009.39,23.5,23.1,97,28.17,000,10.00,23.0,0.0,1.80,1010.29
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,15.20,09-15-2019,07:00:00,1006.37,23.4,22.3,96,27.75,000,10.00,22.8,0.0,0.00,1009.98
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,20.80,09-15-2019,07:00:00,1009.26,25.7,24.2,84,27.64,270,9.00,22.7,5.6,0.01,1009.70
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.10,09-15-2019,07:00:00,1008.15,28.0,23.2,70,26.54,310,7.00,22.1,18.5,0.40,1009.14
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,47.80,09-15-2019,07:00:00,1009.06,27.1,24.5,89,31.85,290,10.00,25.1,22.2,0.20,1009.88
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,16.00,09-15-2019,07:00:00,1007.84,23.6,23.3,98,28.60,000,7.00,23.3,0.0,0.10,1009.67
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.50,09-15-2019,07:00:00,1009.28,26.2,25.2,80,27.23,250,10.00,22.5,5.6,0.00,1010.04
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,09-15-2019,07:00:00,1006.10,24.4,23.6,95,28.97,120,10.00,23.5,5.6,0.00,1010.14
48570,SATUN,สตูล,สตูล,6.65000,100.08333,13.10,09-15-2019,07:00:00,1009.35,24.3,23.2,92,28.02,000,10.00,23.0,0.0,0.00,1010.04
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,14.20,09-15-2019,07:00:00,1008.75,25.2,24.2,90,28.83,000,10.00,23.4,0.0,0.00,1009.88
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.60,09-15-2019,07:00:00,1007.15,24.4,22.4,97,29.75,000,{'@attributes': {'Unit': 'km'}},24.0,0.0,0.00,1010.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.90,09-15-2019,07:00:00,1009.36,24.6,24.0,98,30.38,000,8.00,24.3,0.0,0.00,1010.06
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,9.50,09-15-2019,07:00:00,1006.42,24.1,23.6,94,28.19,000,6.00,23.1,0.0,0.00,1010.59
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,7.10,09-15-2019,07:00:00,1008.70,24.7,.0,89,27.69,000,9.00,22.8,0.0,0.00,1009.30
