WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,Rainfall,AirTemperature,WindSpeed,DewPoint,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.69,09-03-2019,13:00:00,10.00,0.00,29.7,5.6,24.0,1005.97,71,300,29.77,8.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.98,09-03-2019,13:00:00,10.00,0.00,29.0,7.4,23.9,1006.08,74,310,29.74,9.10
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.63,09-03-2019,13:00:00,12.00,0.00,28.5,9.3,24.2,1006.53,78,270,30.15,8.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.25,09-03-2019,13:00:00,7.00,4.20,26.6,7.4,25.2,1005.85,92,270,31.99,29.30
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.08,09-03-2019,13:00:00,10.00,0.00,29.0,16.7,24.7,1007.34,78,280,31.13,10.50
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.53,09-03-2019,13:00:00,8.00,0.01,27.5,7.4,25.1,1007.79,87,320,31.80,0.90
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.59,09-03-2019,13:00:00,11.00,0.00,30.5,13.0,24.7,1006.02,71,330,31.03,6.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.08,09-03-2019,13:00:00,8.00,0.10,28.5,5.6,24.0,1008.29,77,320,29.87,0.70
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.78,09-03-2019,13:00:00,8.00,0.00,29.4,3.7,26.0,1006.49,82,290,33.66,2.20
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.96,09-03-2019,13:00:00,9.00,0.00,30.2,7.4,24.3,1007.37,71,250,30.42,20.30
