WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,VaporPressure,DewPoint,RelativeHumidity,AirTemperature,Rainfall24Hr,LandVisibility,WindSpeed,MeanSeaLevelPressure,Rainfall,WindDirection
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,972.45,08-10-2019,16:00:00,32.01,25.2,70,31.4,65.80,13.00,3.7,997.60,0.00,080
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,993.56,08-10-2019,16:00:00,36.17,27.2,82,30.7,8.80,10.00,9.3,999.23,0.00,090
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,991.63,08-10-2019,16:00:00,34.99,26.7,81,30.3,5.80,10.00,7.4,997.70,0.00,170
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,982.86,08-10-2019,16:00:00,29.89,24.0,68,30.5,0.01,10.00,9.3,998.98,0.00,180
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,974.47,08-10-2019,16:00:00,32.03,25.2,85,27.9,52.70,10.00,0.0,996.48,0.80,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,983.89,08-10-2019,16:00:00,33.75,26.1,80,30.0,17.40,7.00,5.6,998.01,1.00,190
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,981.27,08-10-2019,16:00:00,35.46,26.9,89,29.0,28.30,7.00,0.0,997.39,1.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,993.56,08-10-2019,16:00:00,32.71,25.5,83,28.8,34.70,10.00,7.4,998.71,0.00,120
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,984.45,08-10-2019,16:00:00,31.89,25.1,70,31.2,4.50,12.00,0.0,997.34,0.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,988.18,08-10-2019,16:00:00,31.73,25.0,66,32.1,9.60,10.00,3.7,997.25,0.00,090
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,977.13,08-10-2019,16:00:00,27.18,22.5,52,33.8,3.40,10.00,13.0,998.15,0.00,150
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,983.52,08-10-2019,16:00:00,32.34,25.4,72,31.0,0.60,12.00,9.3,1000.68,0.00,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,983.35,08-10-2019,16:00:00,31.52,24.9,66,32.0,8.20,12.00,5.6,998.80,0.00,200
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,978.77,08-10-2019,16:00:00,29.70,23.9,57,33.5,16.00,10.00,0.0,997.07,0.00,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,949.19,08-10-2019,16:00:00,29.60,23.9,81,27.5,20.40,10.00,0.0,999.74,0.40,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,994.16,08-10-2019,16:00:00,32.81,25.6,90,27.3,32.50,8.00,14.8,998.08,27.30,090
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,904.72,08-10-2019,16:00:00,27.69,22.8,91,24.4,50.60,3.50,5.6,998.10,18.00,280
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.91,08-10-2019,16:00:00,33.88,26.1,67,33.1,0.50,10.00,5.6,1002.50,0.00,150
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,994.17,08-10-2019,16:00:00,33.21,25.8,77,30.3,40.70,10.00,7.4,998.13,1.10,160
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,989.11,08-10-2019,16:00:00,29.96,24.1,64,31.8,20.10,10.00,11.1,999.54,0.00,200
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,996.72,08-10-2019,16:00:00,30.31,24.3,71,30.0,3.30,10.00,7.4,998.61,0.20,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,978.73,08-10-2019,16:00:00,30.56,24.4,86,27.0,14.00,6.00,0.0,999.43,14.00,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,981.00,08-10-2019,16:00:00,30.90,24.6,64,32.4,9.50,10.00,14.8,998.20,0.00,180
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,982.39,08-10-2019,16:00:00,30.36,24.3,61,32.7,10.10,10.00,11.1,998.11,0.00,250
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,985.98,08-10-2019,16:00:00,29.95,24.1,59,33.2,25.90,10.00,7.4,999.63,0.00,240
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,986.00,08-10-2019,16:00:00,32.43,25.4,70,31.6,41.40,10.00,3.7,1000.51,0.00,160
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,985.19,08-10-2019,16:00:00,34.57,26.5,69,33.0,14.70,10.00,11.1,999.46,0.00,230
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,995.21,08-10-2019,16:00:00,33.29,25.8,78,30.2,8.90,10.00,0.0,998.17,0.50,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,990.44,08-10-2019,16:00:00,32.23,25.3,67,32.2,3.50,10.00,7.4,998.18,0.01,080
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,998.37,08-10-2019,16:00:00,31.48,24.9,76,29.6,14.80,8.00,11.1,999.46,0.01,200
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,986.80,08-10-2019,16:00:00,34.24,26.3,71,32.3,30.40,9.00,3.7,1001.15,0.00,100
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,866.67,08-10-2019,16:00:00,24.01,20.4,99,20.6,97.40,.10,13.0,1000.30,6.80,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,992.79,08-10-2019,16:00:00,32.93,25.7,73,31.0,8.20,10.00,14.8,998.54,0.00,140
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,999.08,08-10-2019,16:00:00,33.82,26.1,87,28.5,1.80,8.00,7.4,999.87,1.80,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1000.18,08-10-2019,16:00:00,31.64,25.0,71,30.8,0.00,10.00,18.5,1000.62,0.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,989.10,08-10-2019,16:00:00,32.35,25.4,93,26.5,11.90,4.00,0.0,1000.35,9.50,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,998.20,08-10-2019,16:00:00,32.01,25.2,70,31.4,0.00,12.00,14.8,999.19,0.00,200
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,997.37,08-10-2019,16:00:00,32.42,25.4,79,29.5,31.70,8.00,7.4,999.16,0.20,200
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,998.61,08-10-2019,16:00:00,28.83,23.4,68,30.1,0.00,9.00,18.5,999.36,0.00,220
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,999.49,08-10-2019,16:00:00,32.34,25.3,78,29.6,0.00,10.00,22.2,1000.18,0.00,010
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,998.97,08-10-2019,16:00:00,31.28,24.8,62,33.0,26.50,8.00,5.6,999.65,0.00,220
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,977.78,08-10-2019,16:00:00,29.37,23.7,58,33.2,0.40,12.00,5.6,998.33,0.01,290
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,982.69,08-10-2019,16:00:00,29.54,23.8,59,33.0,40.50,14.00,9.3,998.95,0.00,180
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,983.37,08-10-2019,16:00:00,30.58,24.4,57,34.2,25.80,14.00,13.0,999.30,0.00,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,977.28,08-10-2019,16:00:00,28.97,23.5,58,33.0,0.01,10.00,18.5,998.53,0.00,210
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,956.30,08-10-2019,16:00:00,27.39,22.6,64,30.2,30.00,10.00,7.4,998.73,0.00,050
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,978.58,08-10-2019,16:00:00,28.11,23.0,54,33.7,0.00,11.00,11.1,998.53,0.00,120
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,979.70,08-10-2019,16:00:00,32.81,25.6,64,33.3,9.20,10.00,14.8,999.95,0.00,160
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1000.19,08-10-2019,16:00:00,33.66,26.0,86,28.7,5.90,10.00,24.1,1000.62,0.30,200
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,998.19,08-10-2019,16:00:00,31.14,24.7,68,31.4,36.40,11.00,0.0,999.57,0.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,996.07,08-10-2019,16:00:00,33.29,25.8,70,32.0,3.60,8.00,0.0,1000.90,0.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,996.40,08-10-2019,16:00:00,31.33,24.8,78,29.1,0.01,12.00,11.1,999.65,0.01,190
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,998.48,08-10-2019,16:00:00,31.56,24.9,74,30.2,0.01,10.00,7.4,999.56,0.00,200
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,999.98,08-10-2019,16:00:00,32.30,25.3,76,30.0,0.01,8.00,9.3,1000.28,0.01,220
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1000.09,08-10-2019,16:00:00,33.17,25.8,78,30.0,0.00,10.00,7.4,1000.77,0.00,170
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,999.96,08-10-2019,16:00:00,32.05,25.2,77,29.6,0.00,10.00,1.9,1000.44,0.00,150
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,998.76,08-10-2019,16:00:00,31.29,24.8,79,28.8,1.60,10.00,25.9,1000.15,1.60,230
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,999.45,08-10-2019,16:00:00,33.41,25.9,83,29.0,0.00,10.00,33.3,1001.11,0.00,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,994.34,08-10-2019,16:00:00,28.17,23.1,63,30.9,0.00,12.00,18.5,1002.20,0.00,230
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1000.32,08-10-2019,16:00:00,33.47,25.9,76,30.7,4.50,10.00,0.0,1000.60,0.00,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,997.62,08-10-2019,16:00:00,31.98,25.2,80,29.0,0.50,10.00,9.3,1000.71,0.00,260
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,994.41,08-10-2019,16:00:00,32.55,25.5,81,29.0,0.70,12.00,13.0,1001.26,0.00,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,995.54,08-10-2019,16:00:00,33.50,25.9,81,29.6,0.30,8.00,11.1,1001.06,0.30,260
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,992.42,08-10-2019,16:00:00,32.55,25.5,81,29.0,0.00,10.00,18.5,1001.62,0.00,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1000.01,08-10-2019,16:00:00,34.36,26.4,86,28.9,1.60,8.00,3.7,1001.25,1.30,140
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1000.14,08-10-2019,16:00:00,30.01,24.1,75,29.0,1.70,11.00,18.5,1000.56,0.00,180
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,988.93,08-10-2019,16:00:00,32.68,25.5,88,27.8,7.60,8.00,7.4,1001.09,7.10,230
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1000.46,08-10-2019,16:00:00,32.39,25.4,83,28.5,1.20,7.00,7.4,1001.16,1.20,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1000.43,08-10-2019,16:00:00,33.00,25.7,80,29.5,12.60,10.00,14.8,1002.83,0.30,220
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1001.38,08-10-2019,16:00:00,33.58,26.0,81,29.5,0.50,10.00,24.1,1001.89,0.00,270
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,996.31,08-10-2019,16:00:00,31.05,24.7,77,29.1,1.80,11.00,5.6,1001.40,0.01,300
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1001.50,08-10-2019,16:00:00,32.13,25.2,78,29.5,44.40,8.00,9.3,1001.91,0.01,230
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,999.77,08-10-2019,16:00:00,33.17,25.8,78,30.0,87.20,8.00,3.7,1002.50,0.00,200
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1001.65,08-10-2019,16:00:00,29.46,23.8,78,28.0,4.00,6.00,7.4,1002.43,0.01,280
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1003.02,08-10-2019,16:00:00,32.88,25.6,88,27.9,12.90,6.00,9.3,1003.47,0.00,250
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1002.30,08-10-2019,16:00:00,30.42,24.3,78,28.5,8.60,7.00,3.7,1002.97,0.00,280
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1004.47,08-10-2019,16:00:00,29.90,24.0,80,27.8,3.80,8.00,3.7,1005.99,0.20,250
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1003.74,08-10-2019,16:00:00,30.50,24.4,84,27.4,29.90,9.00,7.4,1004.65,2.40,220
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1002.86,08-10-2019,16:00:00,31.35,24.8,65,32.2,0.80,12.00,5.6,1003.53,0.00,300
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1003.26,08-10-2019,16:00:00,31.00,24.6,75,29.5,8.00,10.00,9.3,1004.04,0.00,250
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1002.18,08-10-2019,16:00:00,28.66,23.3,60,32.0,3.30,12.00,7.4,1002.80,0.00,240
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1003.25,08-10-2019,16:00:00,29.48,23.8,66,31.0,2.40,10.00,7.4,1003.64,0.00,270
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1001.25,08-10-2019,16:00:00,28.75,23.4,67,30.2,0.70,6.00,9.3,1005.41,0.00,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1003.38,08-10-2019,16:00:00,27.55,22.7,65,30.0,13.20,10.00,11.1,1004.97,0.00,230
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1001.74,08-10-2019,16:00:00,29.33,23.7,67,30.5,12.80,8.00,14.8,1005.17,0.00,230
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1002.72,08-10-2019,16:00:00,26.76,22.2,62,30.3,2.80,10.00,16.7,1004.06,0.01,240
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1003.98,08-10-2019,16:00:00,32.22,25.3,82,28.7,56.30,10.00,11.1,1004.86,1.50,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1001.39,08-10-2019,16:00:00,27.82,22.8,66,30.0,9.40,10.00,11.1,1004.90,0.00,300
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1004.54,08-10-2019,16:00:00,29.94,24.1,70,30.1,15.20,10.00,11.1,1004.97,0.00,260
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1003.77,08-10-2019,16:00:00,27.98,22.9,67,29.8,20.10,10.00,7.4,1004.75,0.00,280
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1005.23,08-10-2019,16:00:00,31.69,25.0,79,29.0,9.40,10.00,37.0,1006.04,0.00,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1003.50,08-10-2019,16:00:00,29.24,23.7,71,29.6,32.90,10.00,5.6,1005.29,0.00,200
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1004.78,08-10-2019,16:00:00,30.83,24.5,87,27.0,3.90,11.00,7.4,1005.53,0.20,280
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1002.27,08-10-2019,16:00:00,30.32,24.3,89,26.3,19.20,10.00,11.1,1006.27,3.40,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1006.60,08-10-2019,16:00:00,27.70,22.8,88,25.0,32.40,6.00,0.0,1007.29,15.20,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1004.44,08-10-2019,16:00:00,31.23,24.8,82,28.2,7.60,10.00,0.0,1005.55,1.20,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1003.73,08-10-2019,16:00:00,32.32,25.3,95,26.2,28.40,7.00,3.7,1006.66,4.80,220
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1004.91,08-10-2019,16:00:00,30.83,24.5,99,24.7,29.80,2.00,9.3,1005.60,19.20,230
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1002.42,08-10-2019,16:00:00,28.81,23.4,93,24.6,11.90,6.00,14.8,1006.57,5.70,260
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1004.72,08-10-2019,16:00:00,29.50,23.8,60,32.7,3.80,10.00,13.0,1005.29,0.00,080
