WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,Rainfall24Hr,VaporPressure,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,MinimumTemperature,LandVisibility,AirTemperature
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,92,08-16-2019,07:00:00,000,0.00,32.77,25.6,0.0,1005.23,999.45,0.00,24.7,10.00,27.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,90,08-16-2019,07:00:00,000,0.00,31.55,24.9,0.0,1004.58,998.40,0.00,26.4,10.00,26.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,90,08-16-2019,07:00:00,000,0.00,30.67,24.5,0.0,1005.53,989.08,0.00,25.5,10.00,26.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,93,08-16-2019,07:00:00,000,0.00,29.16,23.6,0.0,1005.47,983.02,0.00,24.2,10.00,24.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,72,08-16-2019,07:00:00,270,0.00,27.32,22.5,11.1,1005.51,991.19,0.00,27.3,6.00,28.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,67,08-16-2019,07:00:00,000,0.00,26.13,21.8,0.0,1004.58,988.32,0.00,26.0,7.00,28.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,93,08-16-2019,07:00:00,120,0.00,32.66,25.5,5.6,1004.85,999.64,0.00,25.8,10.00,26.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,93,08-16-2019,07:00:00,000,0.00,31.49,24.9,0.0,1003.37,990.18,0.00,25.5,10.00,26.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,93,08-16-2019,07:00:00,000,0.00,31.49,24.9,0.0,1004.93,995.61,0.00,25.6,10.00,26.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,86,08-16-2019,07:00:00,240,1.70,30.64,24.4,7.4,1004.52,982.88,0.00,26.5,9.00,26.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,84,08-16-2019,07:00:00,220,5.80,30.02,24.1,11.1,1003.70,986.26,0.00,25.7,10.00,27.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,92,08-16-2019,07:00:00,000,4.20,31.79,25.1,0.0,1004.61,988.79,0.40,25.7,10.00,26.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,83,08-16-2019,07:00:00,200,6.30,30.42,24.3,9.3,1003.65,984.86,0.00,26.4,8.00,27.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,96,08-16-2019,07:00:00,000,10.10,27.66,22.8,0.0,1008.40,956.75,0.00,22.8,7.00,23.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,96,08-16-2019,07:00:00,080,0.00,33.59,26.0,3.7,1004.98,1001.03,0.00,25.8,3.00,26.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,08-16-2019,07:00:00,260,0.10,24.68,20.9,7.4,1006.74,911.58,0.00,20.6,.15,21.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,94,08-16-2019,07:00:00,000,4.20,32.94,25.7,0.0,1004.80,988.84,0.00,25.7,7.00,26.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,91,08-16-2019,07:00:00,000,0.20,30.94,24.6,0.0,1004.42,1000.39,0.00,25.6,7.00,26.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,92,08-16-2019,07:00:00,330,0.00,30.84,24.6,5.6,1006.34,995.64,0.00,25.4,9.00,26.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,93,08-16-2019,07:00:00,000,0.00,30.63,24.4,0.0,1005.83,1003.89,0.00,25.3,9.00,25.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,84,08-16-2019,07:00:00,260,0.00,30.02,24.1,7.4,1004.67,983.86,0.00,25.9,10.00,27.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,88,08-16-2019,07:00:00,200,14.70,31.00,24.6,11.1,1004.84,987.21,0.00,26.0,10.00,26.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,86,08-16-2019,07:00:00,180,0.30,30.94,24.6,11.1,1004.28,988.18,0.00,27.0,10.00,27.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,87,08-16-2019,07:00:00,000,0.00,30.34,24.3,0.0,1006.20,992.16,0.00,26.2,10.00,26.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,92,08-16-2019,07:00:00,000,0.00,30.84,24.6,0.0,1006.41,991.54,0.00,25.3,8.00,26.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,90,08-16-2019,07:00:00,000,0.00,30.67,24.5,0.0,1006.79,992.09,0.00,25.8,8.00,26.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,94,08-16-2019,07:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",12.20,31.65,25.0,0.0,1005.18,1002.16,0.00,24.8,10.00,26.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,93,08-16-2019,07:00:00,000,0.00,32.07,25.2,0.0,1005.15,997.20,0.00,26.3,10.00,26.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,86,08-16-2019,07:00:00,180,0.00,30.18,24.2,7.4,1005.73,1004.62,0.00,26.1,7.00,26.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,83,08-16-2019,07:00:00,000,0.00,29.56,23.8,0.0,1006.27,991.59,0.00,25.9,9.00,26.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-16-2019,07:00:00,190,55.40,22.15,19.1,5.6,1007.68,872.52,0.00,18.9,.05,19.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,92,08-16-2019,07:00:00,240,0.00,31.79,25.1,11.1,1005.66,999.78,0.00,25.5,8.00,26.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,77,08-16-2019,07:00:00,240,0.00,29.19,23.6,11.1,1006.39,1005.59,0.00,27.0,9.00,28.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,78,08-16-2019,07:00:00,230,0.00,31.13,24.7,11.1,1005.95,1005.51,0.00,28.5,10.00,29.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,94,08-16-2019,07:00:00,000,0.20,30.15,24.2,0.0,1007.50,996.13,0.00,25.0,6.00,25.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,83,08-16-2019,07:00:00,180,0.30,29.85,24.0,3.7,1006.06,1005.05,0.00,26.5,10.00,27.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,88,08-16-2019,07:00:00,140,0.00,30.43,24.3,3.7,1005.79,1003.97,0.00,26.1,7.00,26.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,88,08-16-2019,07:00:00,000,0.00,30.81,24.5,0.0,1006.10,1005.33,0.00,26.2,8.00,26.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,79,08-16-2019,07:00:00,210,0.00,30.12,24.2,9.3,1006.56,1005.86,0.00,27.0,10.00,28.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,95,08-16-2019,07:00:00,000,0.60,34.31,26.3,0.0,1006.22,1005.52,0.00,26.8,7.00,27.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,82,08-16-2019,07:00:00,250,0.00,29.77,24.0,3.7,1005.58,984.48,0.00,26.5,10.00,27.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,93,08-16-2019,07:00:00,000,0.00,30.17,24.2,0.0,1006.20,989.41,0.00,24.7,7.00,25.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,90,08-16-2019,07:00:00,180,0.00,29.74,23.9,5.6,1006.29,989.80,0.00,24.6,8.00,25.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,87,08-16-2019,07:00:00,000,0.01,30.83,24.5,0.0,1005.54,983.72,0.00,26.7,10.00,27.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,81,08-16-2019,07:00:00,190,0.00,26.53,22.1,14.8,1006.38,962.96,0.00,25.4,10.00,25.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,89,08-16-2019,07:00:00,210,11.00,30.03,24.1,5.6,1005.91,985.31,0.00,25.4,8.00,26.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,94,08-16-2019,07:00:00,190,0.80,32.04,25.2,14.8,1006.80,985.94,0.00,25.5,9.00,26.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,87,08-16-2019,07:00:00,240,3.50,31.41,24.9,3.7,1006.35,1005.92,0.00,27.0,10.00,27.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,08-16-2019,07:00:00,000,0.00,32.59,25.5,0.0,1006.30,1004.88,0.00,25.8,8.00,26.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,96,08-16-2019,07:00:00,000,0.00,32.40,25.4,0.0,1006.34,1001.39,0.00,25.3,8.00,26.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,76,08-16-2019,07:00:00,230,0.00,28.18,23.1,5.6,1006.23,1002.95,0.00,25.6,11.00,27.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,90,08-16-2019,07:00:00,000,0.00,30.30,24.3,0.0,1006.35,1005.24,0.00,24.8,10.00,26.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,82,08-16-2019,07:00:00,180,0.00,31.23,24.8,3.7,1006.63,1006.33,0.00,27.3,10.00,28.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,80,08-16-2019,07:00:00,000,0.00,30.87,24.6,0.0,1006.38,1005.69,0.00,27.5,10.00,28.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,84,08-16-2019,07:00:00,000,0.00,31.56,24.9,0.0,1005.94,1005.46,0.00,27.7,10.00,27.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,77,08-16-2019,07:00:00,210,0.00,29.96,24.1,11.1,1006.39,1004.99,0.00,27.3,10.00,28.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,83,08-16-2019,07:00:00,210,0.00,33.12,25.8,18.5,1006.57,1004.91,0.00,28.8,10.00,29.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,95,08-16-2019,07:00:00,180,0.00,32.32,25.3,3.7,1007.65,999.62,0.00,25.7,10.00,26.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,83,08-16-2019,07:00:00,000,0.00,32.10,25.2,0.0,1006.51,1006.23,0.00,27.4,10.00,28.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,87,08-16-2019,07:00:00,200,0.00,33.20,25.8,5.6,1006.18,1003.06,0.00,28.0,10.00,28.2
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,85,08-16-2019,07:00:00,250,0.00,31.95,25.1,7.4,1006.63,999.72,0.00,27.6,10.00,28.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,08-16-2019,07:00:00,000,0.00,32.77,25.6,0.0,1006.94,1001.35,0.00,26.0,8.00,27.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,84,08-16-2019,07:00:00,240,0.00,31.87,25.1,14.8,1006.42,997.15,0.00,27.7,10.00,28.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,95,08-16-2019,07:00:00,000,5.60,30.23,24.2,0.0,1007.07,1005.80,0.00,24.8,12.00,25.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,76,08-16-2019,07:00:00,220,16.80,28.10,23.0,5.6,1006.39,1005.96,0.00,27.0,11.00,27.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,08-16-2019,07:00:00,000,0.00,28.55,23.3,0.0,1006.92,994.56,0.00,23.9,10.00,24.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,84,08-16-2019,07:00:00,000,0.00,30.02,24.1,0.0,1006.75,1006.04,0.00,26.6,10.00,27.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,80,08-16-2019,07:00:00,240,0.00,31.46,24.9,5.6,1006.90,1004.48,0.00,27.8,10.00,28.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,85,08-16-2019,07:00:00,200,0.00,33.16,25.8,3.7,1006.94,1006.42,0.00,28.0,10.00,28.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,84,08-16-2019,07:00:00,280,0.00,32.07,25.2,1.9,1006.98,1001.84,0.00,27.5,11.00,28.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,91,08-16-2019,07:00:00,000,0.40,34.44,26.4,0.0,1007.54,1007.13,0.00,27.4,7.00,28.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,94,08-16-2019,07:00:00,000,0.00,34.36,26.4,0.0,1007.67,1004.91,0.00,26.5,8.00,27.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,78,08-16-2019,07:00:00,000,0.00,28.43,23.2,0.0,1007.71,1006.92,0.00,26.3,10.00,27.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,93,08-16-2019,07:00:00,210,4.30,33.86,26.1,3.7,1007.82,1007.36,2.10,26.7,7.00,27.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,89,08-16-2019,07:00:00,000,4.80,29.66,23.9,0.0,1008.94,1008.25,0.00,24.8,7.00,25.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,08-16-2019,07:00:00,000,0.40,29.00,23.5,0.0,1008.30,1006.77,0.00,25.0,8.00,25.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,95,08-16-2019,07:00:00,000,46.40,30.05,24.1,0.0,1009.29,1008.36,1.20,24.9,6.00,25.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,86,08-16-2019,07:00:00,000,5.50,30.26,24.2,0.0,1008.88,1008.19,0.00,25.5,12.00,26.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,99,08-16-2019,07:00:00,180,4.60,30.65,24.4,3.7,1009.11,1008.30,0.00,24.3,8.00,24.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,96,08-16-2019,07:00:00,000,2.60,30.32,24.3,0.0,1008.61,1007.97,0.00,24.1,10.00,25.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,94,08-16-2019,07:00:00,120,0.00,30.15,24.2,7.4,1008.56,1008.16,0.00,24.1,10.00,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,90,08-16-2019,07:00:00,000,3.10,29.74,23.9,0.0,1010.60,1006.36,0.00,24.8,6.00,25.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,08-16-2019,07:00:00,000,9.60,29.30,23.7,0.0,1009.48,1007.85,0.00,23.6,12.00,24.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,96,08-16-2019,07:00:00,000,2.40,29.41,23.8,0.0,1009.63,1006.12,0.00,24.3,7.00,24.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,95,08-16-2019,07:00:00,000,0.70,29.69,23.9,0.0,1009.40,1008.03,0.50,24.0,9.00,24.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,93,08-16-2019,07:00:00,240,17.00,31.38,24.8,9.3,1008.77,1007.88,6.00,25.2,10.00,26.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,97,08-16-2019,07:00:00,000,16.70,30.40,24.3,0.0,1008.83,1005.24,2.20,23.6,10.00,24.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,94,08-16-2019,07:00:00,000,19.60,31.27,24.8,0.0,1008.89,1008.45,1.40,25.3,10.00,25.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,81,08-16-2019,07:00:00,290,24.40,30.17,24.2,7.4,1008.25,1007.26,0.00,25.1,10.00,27.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,91,08-16-2019,07:00:00,270,59.00,32.49,25.4,27.8,1008.61,1007.79,14.00,24.8,7.00,27.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,95,08-16-2019,07:00:00,000,48.40,28.79,23.4,0.0,1009.97,1008.14,4.90,23.9,3.00,24.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,84,08-16-2019,07:00:00,260,4.60,29.27,23.7,7.4,1010.56,1009.81,0.01,25.3,10.00,26.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,93,08-16-2019,07:00:00,230,0.40,29.34,23.7,9.3,1010.14,1006.10,0.40,24.3,10.00,24.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,94,08-16-2019,07:00:00,000,12.00,28.36,23.2,0.0,1011.01,1010.32,2.20,23.9,7.00,24.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,92,08-16-2019,07:00:00,190,0.00,29.36,23.7,5.6,1010.20,1009.07,0.00,24.4,10.00,25.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,08-16-2019,07:00:00,000,15.00,29.69,23.9,0.0,1010.53,1007.58,0.00,23.1,10.00,24.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,95,08-16-2019,07:00:00,000,0.00,29.33,23.7,0.0,1010.17,1009.47,0.00,24.1,10.00,24.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,91,08-16-2019,07:00:00,230,0.00,27.94,22.9,9.3,1010.72,1006.54,0.00,23.6,10.00,24.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,90,08-16-2019,07:00:00,000,3.00,27.95,22.9,0.0,1009.84,1009.25,0.00,.0,9.00,24.7
