WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,WindDirection,Rainfall24Hr,AirTemperature,StationPressure,VaporPressure,MeanSeaLevelPressure,Rainfall,WindSpeed,LandVisibility
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,22.6,09-21-2019,13:00:00,55,040,2.80,32.8,999.74,27.44,1007.55,0.00,16.7,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.1,09-21-2019,13:00:00,92,320,3.20,26.5,1007.13,31.79,1008.24,2.30,7.4,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.8,09-21-2019,13:00:00,70,080,10.70,30.9,992.39,31.27,1006.89,0.00,3.7,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.7,09-21-2019,13:00:00,74,000,2.00,24.7,873.14,23.00,1005.81,0.00,0.0,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.6,09-21-2019,13:00:00,91,000,14.60,28.1,1001.59,34.73,1007.45,9.60,0.0,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.6,09-21-2019,13:00:00,92,000,7.30,27.0,1007.61,32.77,1008.41,0.90,0.0,7.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.1,09-21-2019,13:00:00,95,120,40.00,26.0,1008.07,31.93,1008.52,3.50,7.4,8.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.2,09-21-2019,13:00:00,86,000,51.20,27.8,997.59,32.12,1008.88,2.00,0.0,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.5,09-21-2019,13:00:00,91,000,12.70,27.1,1007.54,32.69,1008.56,1.00,0.0,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.0,09-21-2019,13:00:00,94,000,31.70,27.0,1006.66,33.62,1008.49,1.90,0.0,5.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.5,09-21-2019,13:00:00,90,000,51.20,27.2,1007.46,32.61,1008.22,0.70,0.0,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,09-21-2019,13:00:00,96,200,37.40,24.8,1007.64,29.95,1008.35,29.60,5.6,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.4,09-21-2019,13:00:00,76,140,1.50,30.2,1006.63,32.42,1007.33,0.20,3.7,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.7,09-21-2019,13:00:00,67,060,13.20,30.5,986.52,29.33,1007.44,0.01,11.1,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.6,09-21-2019,13:00:00,78,090,8.30,29.8,990.80,32.75,1007.37,0.00,5.6,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.5,09-21-2019,13:00:00,75,090,6.60,29.5,991.81,30.72,1008.12,0.00,9.3,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.0,09-21-2019,13:00:00,91,000,19.70,25.6,986.05,29.82,1008.03,5.10,0.0,9.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.6,09-21-2019,13:00:00,83,050,36.00,26.7,964.69,29.19,1008.01,1.00,18.5,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.4,09-21-2019,13:00:00,74,210,3.80,29.4,986.91,30.52,1007.31,0.00,11.1,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.0,09-21-2019,13:00:00,78,050,10.60,30.2,988.94,33.59,1009.59,0.00,22.2,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.8,09-21-2019,13:00:00,78,100,3.20,30.0,1007.09,33.17,1007.52,0.40,5.6,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.8,09-21-2019,13:00:00,71,000,25.60,30.8,1006.07,31.35,1007.47,0.10,0.0,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.6,09-21-2019,13:00:00,75,000,2.20,30.5,1002.16,32.75,1007.03,0.30,0.0,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.7,09-21-2019,13:00:00,93,200,11.90,26.0,1005.22,31.11,1008.53,9.50,5.6,4.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.9,09-21-2019,13:00:00,99,000,13.60,25.1,1007.83,31.58,1008.94,10.40,0.0,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.8,09-21-2019,13:00:00,96,050,32.50,25.5,1008.33,31.25,1008.63,30.90,3.7,5.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.9,09-21-2019,13:00:00,97,000,15.30,25.3,1007.60,31.41,1008.29,12.50,0.0,2.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.8,09-21-2019,13:00:00,96,000,9.90,25.5,1007.68,31.25,1008.18,9.90,0.0,8.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.4,09-21-2019,13:00:00,93,180,17.20,25.6,1007.03,30.63,1008.44,0.40,7.4,7.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.6,09-21-2019,13:00:00,89,000,0.50,27.6,1006.30,32.84,1007.98,0.50,0.0,8.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.8,09-21-2019,13:00:00,92,180,2.50,26.2,1002.01,31.22,1010.05,2.50,7.4,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.7,09-21-2019,13:00:00,83,270,5.40,28.8,1007.36,33.00,1007.64,0.00,5.6,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.7,09-21-2019,13:00:00,85,000,30.20,28.5,1004.28,32.96,1007.40,2.70,0.0,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.5,09-21-2019,13:00:00,75,270,19.90,29.5,1001.01,30.72,1007.90,0.00,5.6,12.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.7,09-21-2019,13:00:00,81,320,37.90,29.2,1002.06,32.96,1007.62,2.50,3.7,6.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.9,09-21-2019,13:00:00,81,260,26.00,28.5,1001.64,31.54,1010.94,15.20,7.4,9.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.8,09-21-2019,13:00:00,72,350,0.00,31.4,1007.30,33.19,1008.54,0.00,22.2,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.6,09-21-2019,13:00:00,71,130,3.50,32.4,1006.72,34.76,1007.15,0.00,3.7,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.6,09-21-2019,13:00:00,63,000,51.40,31.5,995.16,29.07,1007.24,0.00,0.0,9.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.5,09-21-2019,13:00:00,73,110,59.80,30.9,1006.85,32.72,1007.56,0.00,13.0,12.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.5,09-21-2019,13:00:00,81,180,6.40,29.0,1005.97,32.55,1008.39,0.20,7.4,8.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.5,09-21-2019,13:00:00,81,000,4.40,29.0,1008.13,32.55,1008.64,0.60,0.0,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.8,09-21-2019,13:00:00,86,000,16.50,27.4,1002.71,31.33,1007.86,0.90,0.0,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,09-21-2019,13:00:00,87,000,57.50,27.6,1007.63,32.00,1008.04,9.60,0.0,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.4,09-21-2019,13:00:00,87,000,31.90,27.7,1006.00,32.48,1008.76,8.90,0.0,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.0,09-21-2019,13:00:00,74,150,9.10,31.2,1006.91,33.65,1007.68,0.00,11.1,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.1,09-21-2019,13:00:00,83,180,13.50,28.2,1008.07,31.79,1008.52,0.00,3.7,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.4,09-21-2019,13:00:00,68,280,1.00,31.1,1007.45,30.53,1008.13,0.00,7.4,10.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.4,09-21-2019,13:00:00,81,280,5.60,28.0,1007.07,30.56,1008.60,5.40,7.4,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.6,09-21-2019,13:00:00,84,200,2.20,27.6,1008.90,30.89,1009.82,2.20,5.6,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.5,09-21-2019,13:00:00,64,030,0.00,32.2,1008.14,30.77,1008.82,0.00,13.0,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.4,09-21-2019,13:00:00,56,220,0.00,33.5,1007.95,28.84,1008.73,0.00,5.6,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.7,09-21-2019,13:00:00,64,070,8.30,32.5,1007.41,31.11,1008.04,0.00,11.1,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.4,09-21-2019,13:00:00,71,000,3.40,31.2,1007.58,32.47,1007.98,0.00,0.0,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.0,09-21-2019,13:00:00,57,250,0.00,32.7,1006.49,28.08,1010.64,0.00,3.7,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.0,09-21-2019,13:00:00,56,000,7.60,32.8,1007.26,28.00,1008.84,0.00,0.0,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.2,09-21-2019,13:00:00,59,000,0.00,33.5,1005.11,30.28,1008.52,0.00,0.0,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.4,09-21-2019,13:00:00,62,120,1.10,32.5,1007.47,30.53,1008.80,0.00,9.3,9.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.8,09-21-2019,13:00:00,78,300,0.00,28.9,1008.81,31.21,1009.69,0.00,5.6,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.1,09-21-2019,13:00:00,62,230,0.00,32.4,1005.61,30.03,1009.11,0.00,11.1,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,22.9,09-21-2019,13:00:00,60,270,0.00,31.8,1008.43,27.99,1008.86,0.00,5.6,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.8,09-21-2019,13:00:00,69,280,0.00,31.2,1008.16,31.31,1009.14,0.00,11.1,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.8,09-21-2019,13:00:00,74,260,0.00,31.0,1008.31,33.22,1009.12,0.00,9.3,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.0,09-21-2019,13:00:00,65,250,0.00,32.5,1006.54,31.69,1008.32,0.00,9.3,7.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.6,09-21-2019,13:00:00,70,040,0.00,30.6,1007.55,30.94,1008.29,0.00,11.1,6.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.9,09-21-2019,13:00:00,58,230,0.00,32.3,1004.67,27.85,1008.60,0.00,13.0,7.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.2,09-21-2019,13:00:00,61,260,0.00,32.8,1008.02,30.28,1008.69,0.00,5.6,5.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.0,09-21-2019,13:00:00,59,000,0.00,33.0,1006.87,29.83,1007.96,0.00,0.0,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.7,09-21-2019,13:00:00,58,270,0.00,34.0,1005.31,31.04,1008.17,0.00,18.5,8.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.0,09-21-2019,13:00:00,72,350,0.00,32.7,1006.93,35.74,1007.61,0.00,9.3,7.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.8,09-21-2019,13:00:00,57,060,0.00,33.5,1004.14,29.41,1008.18,0.00,9.3,4.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.5,09-21-2019,13:00:00,62,070,8.80,31.7,1007.63,28.91,1008.21,0.00,16.7,8.00
