WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,DewPoint,WindSpeed,LandVisibility,StationPressure,MinimumTemperature,WindDirection,AirTemperature,Rainfall24Hr
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-05-2019,07:00:00,29.10,1005.27,91,23.6,0.0,10.00,990.38,24.5,000,25.2,0.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-05-2019,07:00:00,30.22,1004.70,89,24.2,5.6,8.00,990.02,25.6,240,26.1,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.20,08-05-2019,07:00:00,29.97,1002.44,94,24.1,0.0,10.00,999.41,24.3,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.1,8.80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-05-2019,07:00:00,29.46,1003.24,91,23.8,0.0,10.00,995.27,24.8,000,25.4,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.50,08-05-2019,07:00:00,29.54,1003.97,92,23.8,3.7,8.00,1002.86,24.0,180,25.3,2.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-05-2019,07:00:00,30.11,1004.77,90,24.2,0.0,8.00,990.07,24.7,000,25.9,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10.00,08-05-2019,07:00:00,21.73,1005.69,99,18.8,5.6,.05,870.67,17.5,200,19.0,12.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.10,08-05-2019,07:00:00,30.69,1003.81,96,24.5,0.0,10.00,997.91,24.0,000,25.2,19.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-05-2019,07:00:00,29.25,1004.26,86,23.7,7.4,8.00,1003.46,25.4,180,26.3,1.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,2.50,08-05-2019,07:00:00,31.22,1005.04,92,24.8,9.3,7.00,1004.59,26.2,230,26.2,2.50
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-05-2019,07:00:00,27.66,1004.60,96,22.8,0.0,5.00,993.20,23.2,000,23.5,41.70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.60,08-05-2019,07:00:00,29.10,1003.91,91,23.6,0.0,10.00,1002.90,24.6,000,25.2,3.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-05-2019,07:00:00,30.28,1003.78,92,24.2,3.7,8.00,1001.95,25.4,200,25.7,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.10,08-05-2019,07:00:00,29.25,1003.86,94,23.7,0.0,7.00,1003.09,24.4,000,24.7,1.30
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.40,08-05-2019,07:00:00,29.16,1004.84,93,23.6,9.3,10.00,1004.13,23.5,180,24.8,7.60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.20,08-05-2019,07:00:00,28.18,1004.55,84,23.1,5.6,7.00,1003.84,25.3,280,26.0,0.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-05-2019,07:00:00,27.42,1004.10,79,22.6,0.0,10.00,982.98,26.0,000,26.6,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-05-2019,07:00:00,29.13,1004.61,88,23.6,0.0,8.00,987.87,24.6,000,25.8,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-05-2019,07:00:00,28.80,1004.88,85,23.4,3.7,7.00,988.44,24.5,180,26.2,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-05-2019,07:00:00,27.67,1004.19,81,22.8,0.0,10.00,982.35,25.5,000,26.3,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-05-2019,07:00:00,25.03,1003.87,74,21.1,7.4,15.00,960.65,24.4,240,26.1,1.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-05-2019,07:00:00,27.14,1004.00,81,22.4,5.6,10.00,983.44,25.2,150,26.0,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-05-2019,07:00:00,29.58,1005.76,89,23.9,11.1,8.00,984.90,25.0,210,25.9,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,2.20,08-05-2019,07:00:00,29.50,1004.69,88,23.8,7.4,10.00,1004.26,25.2,230,26.0,9.40
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-05-2019,07:00:00,27.89,1004.61,86,22.9,0.0,6.00,1003.19,25.2,000,25.4,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-05-2019,07:00:00,31.11,1005.63,93,24.7,5.6,6.00,1000.69,25.4,240,26.0,0.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.30,08-05-2019,07:00:00,29.00,1004.27,92,23.5,7.4,12.00,1000.96,23.1,220,25.0,0.80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.10,08-05-2019,07:00:00,30.58,1004.17,97,24.4,0.0,7.00,1003.06,24.6,000,25.0,1.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,17.10,08-05-2019,07:00:00,30.32,1004.51,96,24.3,0.0,8.00,1004.21,23.6,000,25.0,18.30
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.90,08-05-2019,07:00:00,30.93,1004.42,98,24.6,0.0,8.00,1003.73,23.2,000,24.9,7.90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,13.50,08-05-2019,07:00:00,30.58,1004.53,97,24.4,0.0,10.00,1004.04,24.4,000,25.0,14.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.80,08-05-2019,07:00:00,30.87,1004.46,96,24.6,5.6,10.00,1003.05,24.3,200,25.3,4.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-05-2019,07:00:00,31.30,1005.26,87,24.8,18.5,10.00,1003.58,26.5,230,27.1,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,18.90,08-05-2019,07:00:00,27.49,1006.73,96,22.6,3.7,.50,998.63,23.0,230,23.4,19.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,6.60,08-05-2019,07:00:00,34.85,1004.48,98,26.6,0.0,8.00,1004.19,25.6,000,26.9,6.70
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.50,08-05-2019,07:00:00,30.56,1004.84,81,24.4,7.4,10.00,1001.73,26.5,270,28.0,0.70
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.60,08-05-2019,07:00:00,28.26,1005.49,77,23.1,13.0,10.00,998.58,25.5,210,27.5,0.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-05-2019,07:00:00,31.46,1005.20,89,24.9,0.0,7.00,999.61,26.0,000,26.9,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.40,08-05-2019,07:00:00,30.48,1006.14,85,24.4,16.7,10.00,996.84,26.0,260,27.1,0.50
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.00,08-05-2019,07:00:00,30.38,1005.31,98,24.3,0.0,12.00,1004.04,24.5,000,24.6,5.80
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.40,08-05-2019,07:00:00,28.72,1004.65,84,23.4,11.1,11.00,1004.22,25.3,200,26.3,2.50
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,5.00,08-05-2019,07:00:00,29.57,1005.50,97,23.9,0.0,8.00,993.16,23.8,000,24.3,18.20
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,2.30,08-05-2019,07:00:00,31.96,1005.05,99,25.1,7.4,10.00,1004.34,25.0,240,25.3,7.80
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,2.60,08-05-2019,07:00:00,30.02,1005.80,84,24.1,11.1,9.00,1003.37,26.6,240,27.0,2.60
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.20,08-05-2019,07:00:00,32.77,1005.44,92,25.6,13.0,8.00,1004.92,27.0,270,27.0,7.20
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,4.70,08-05-2019,07:00:00,31.88,1005.44,93,25.1,1.9,9.00,1000.28,26.2,250,26.4,4.70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.80,08-05-2019,07:00:00,31.68,1005.89,93,25.0,0.0,6.00,1005.47,26.0,000,26.3,31.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,9.20,08-05-2019,07:00:00,32.20,1006.62,96,25.3,0.0,8.00,1003.84,24.8,000,26.0,20.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,2.30,08-05-2019,07:00:00,31.17,1005.89,95,24.7,0.0,8.00,1005.11,25.2,000,25.6,9.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,4.20,08-05-2019,07:00:00,33.19,1005.09,96,25.8,11.1,4.00,1004.63,23.5,230,26.5,106.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.20,08-05-2019,07:00:00,30.44,1005.93,93,24.3,0.0,7.00,1005.24,24.7,000,25.5,6.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-05-2019,07:00:00,29.48,1005.90,83,23.8,7.4,8.00,1004.37,26.2,270,27.0,5.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-05-2019,07:00:00,30.17,1007.25,81,24.2,5.6,10.00,1006.33,26.5,210,27.8,6.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-05-2019,07:00:00,30.40,1006.72,80,24.3,0.0,10.00,1006.04,27.2,000,28.2,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-05-2019,07:00:00,30.48,1007.25,97,24.4,0.0,9.00,1006.45,24.5,000,24.8,1.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-05-2019,07:00:00,28.47,1006.50,82,23.2,0.0,10.00,1005.87,25.2,000,26.6,1.80
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-05-2019,07:00:00,30.84,1006.65,92,24.6,0.0,10.00,1006.24,24.6,000,26.0,2.50
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-05-2019,07:00:00,28.80,1008.78,78,23.4,3.7,5.00,1004.57,24.5,230,27.5,0.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-05-2019,07:00:00,28.53,1008.93,96,23.3,0.0,6.00,1007.30,22.8,000,24.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-05-2019,07:00:00,30.38,1007.75,98,24.3,0.0,7.00,1004.24,24.4,000,24.6,13.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-05-2019,07:00:00,30.79,1006.78,95,24.5,0.0,9.00,1005.41,25.1,000,25.4,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-05-2019,07:00:00,32.55,1006.75,81,25.5,18.5,10.00,1005.87,27.4,240,29.0,0.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-05-2019,07:00:00,34.69,1007.44,93,26.5,0.0,10.00,1003.89,24.0,000,27.8,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-05-2019,07:00:00,28.91,1007.45,72,23.5,0.0,10.00,1007.01,28.5,000,29.0,0.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-05-2019,07:00:00,30.72,1006.94,75,24.5,9.3,10.00,1005.96,27.1,240,29.5,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-05-2019,07:00:00,32.34,1007.47,78,25.3,27.8,10.00,1006.66,25.5,250,29.6,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-05-2019,07:00:00,29.74,1007.19,90,23.9,0.0,8.00,1005.37,25.5,000,25.7,1.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-05-2019,07:00:00,29.50,1007.50,81,23.8,7.4,8.00,1006.75,26.6,210,27.3,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-05-2019,07:00:00,30.42,1008.01,95,24.3,0.0,5.00,1003.99,24.0,000,25.2,3.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-05-2019,07:00:00,31.08,1008.35,94,24.7,0.0,10.00,1007.66,24.1,000,25.7,8.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-05-2019,07:00:00,30.59,1007.58,89,24.4,5.6,10.00,1006.46,25.8,220,26.3,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-05-2019,07:00:00,29.57,1008.20,97,23.9,0.0,8.00,1005.25,23.4,000,24.3,0.80
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-05-2019,07:00:00,29.69,1007.47,95,23.9,0.0,8.00,1006.78,24.2,000,24.8,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-05-2019,07:00:00,27.01,1008.14,89,22.4,9.3,7.00,1003.98,23.2,220,24.3,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-05-2019,07:00:00,25.68,1007.92,83,21.5,0.0,9.00,1007.33,.0,000,24.7,0.00
