WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,LandVisibility,AirTemperature,DewPoint,WindDirection,StationPressure,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,Rainfall
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.92,09-24-2019,22:00:00,0.00,9.00,28.0,23.5,000,1006.82,77,1014.15,0.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.39,09-24-2019,22:00:00,0.00,6.00,27.2,21.3,070,995.80,70,1015.84,11.1,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,24.78,09-24-2019,22:00:00,0.00,6.00,24.0,20.9,000,986.59,83,1015.74,0.0,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.05,09-24-2019,22:00:00,0.00,7.00,26.7,21.8,050,995.35,74,1015.70,3.7,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.43,09-24-2019,22:00:00,0.00,7.00,25.0,22.0,000,994.93,83,1017.00,0.0,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.12,09-24-2019,22:00:00,0.00,7.00,25.7,20.5,140,996.06,73,1015.78,5.6,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,19.60,09-24-2019,22:00:00,0.00,10.00,26.0,17.2,000,999.63,58,1016.58,0.0,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.04,09-24-2019,22:00:00,0.00,10.00,23.5,19.8,000,999.03,80,1016.80,0.0,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.78,09-24-2019,22:00:00,0.00,9.00,25.9,23.4,000,989.14,86,1015.20,0.0,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.12,09-24-2019,22:00:00,0.01,10.00,28.3,25.8,280,1008.05,86,1013.85,9.3,0.01
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.95,09-24-2019,22:00:00,0.00,12.00,28.0,25.1,000,1008.10,85,1014.32,0.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.96,09-24-2019,22:00:00,0.00,10.00,26.2,20.4,000,999.45,70,1016.08,0.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.47,09-24-2019,22:00:00,0.00,10.00,26.5,22.0,000,990.75,77,1013.24,0.0,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.23,09-24-2019,22:00:00,3.00,4.00,26.3,25.3,000,1000.84,94,1015.38,0.0,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.11,09-24-2019,22:00:00,0.00,7.00,24.5,23.0,000,998.68,91,1015.34,0.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.46,09-24-2019,22:00:00,0.00,8.00,28.6,24.9,000,1009.52,80,1014.76,0.0,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.06,09-24-2019,22:00:00,0.00,10.00,27.0,21.8,000,1000.48,73,1013.76,0.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.14,09-24-2019,22:00:00,0.00,8.00,27.3,24.7,000,1005.18,86,1014.57,0.0,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.63,09-24-2019,22:00:00,0.00,8.00,26.6,21.5,050,993.06,74,1014.94,3.7,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.36,09-24-2019,22:00:00,0.00,6.00,27.0,22.6,060,996.67,77,1014.30,7.4,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.28,09-24-2019,22:00:00,0.00,10.00,26.1,20.6,050,999.36,72,1015.37,7.4,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.97,09-24-2019,22:00:00,0.00,8.00,25.3,22.9,000,995.14,87,1014.26,0.0,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.87,09-24-2019,22:00:00,0.00,7.00,23.0,21.0,000,961.75,89,1013.77,0.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.35,09-24-2019,22:00:00,0.00,6.00,28.2,25.4,340,1010.38,85,1014.35,7.4,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.13,09-24-2019,22:00:00,0.00,7.00,20.4,19.1,010,919.72,92,1016.00,5.6,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.21,09-24-2019,22:00:00,0.00,10.00,26.2,21.9,080,998.74,77,1014.89,7.4,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.00,09-24-2019,22:00:00,1.00,6.00,26.8,24.6,000,1010.57,88,1014.63,0.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.47,09-24-2019,22:00:00,0.50,7.00,26.5,22.0,000,1004.73,77,1015.51,0.0,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.43,09-24-2019,22:00:00,0.90,9.00,26.5,24.3,330,1012.84,88,1014.79,3.7,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.21,09-24-2019,22:00:00,0.00,10.00,26.8,21.2,000,993.93,72,1014.97,0.0,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.80,09-24-2019,22:00:00,0.00,10.00,26.1,22.2,040,996.70,79,1014.54,7.4,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.06,09-24-2019,22:00:00,0.00,10.00,27.0,21.8,060,998.05,73,1014.33,5.6,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.71,09-24-2019,22:00:00,0.00,10.00,26.5,20.2,010,1000.10,69,1014.26,3.7,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.73,09-24-2019,22:00:00,0.00,8.00,26.5,19.6,000,999.84,66,1014.81,0.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.15,09-24-2019,22:00:00,0.00,80.00,26.9,21.8,060,1000.29,74,1015.08,9.3,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.30,09-24-2019,22:00:00,0.10,8.00,27.1,24.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.47,87,1013.50,0.0,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.62,09-24-2019,22:00:00,0.00,7.00,26.6,20.8,000,1006.30,71,1014.32,0.0,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.85,09-24-2019,22:00:00,0.00,7.00,27.2,24.0,040,1012.79,83,1013.91,5.6,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.02,09-24-2019,22:00:00,0.00,8.00,27.0,24.1,000,999.84,84,1014.64,0.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.57,09-24-2019,22:00:00,0.00,8.00,19.1,18.0,060,879.11,93,1015.39,9.3,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.74,09-24-2019,22:00:00,0.00,10.00,25.7,23.9,010,1007.06,90,1013.00,3.7,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.96,09-24-2019,22:00:00,0.00,7.00,28.5,25.7,000,1013.36,85,1014.16,0.0,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.37,09-24-2019,22:00:00,0.00,10.00,28.9,24.3,000,1012.94,76,1013.38,0.0,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,28.11,09-24-2019,22:00:00,0.50,6.00,24.5,23.0,000,1003.31,91,1014.79,0.0,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.88,09-24-2019,22:00:00,0.20,10.00,27.5,24.0,360,1013.01,81,1014.03,1.9,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.49,09-24-2019,22:00:00,1.00,8.00,26.9,23.2,000,1012.51,80,1014.35,0.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.18,09-24-2019,22:00:00,0.00,5.00,26.8,24.2,000,1013.07,86,1013.84,0.0,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.23,09-24-2019,22:00:00,0.00,9.00,28.4,24.2,000,1013.02,78,1013.72,0.0,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.19,09-24-2019,22:00:00,0.00,7.00,28.0,23.6,060,1012.54,77,1013.24,3.7,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.88,09-24-2019,22:00:00,0.00,8.00,27.0,22.9,000,993.29,78,1014.60,0.0,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.64,09-24-2019,22:00:00,0.00,7.00,26.8,23.9,000,997.53,84,1014.38,0.0,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,29.28,09-24-2019,22:00:00,0.00,6.00,25.3,23.7,000,998.40,91,1015.05,0.0,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.56,09-24-2019,22:00:00,0.00,8.00,26.4,22.1,000,992.24,77,1014.29,0.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.62,09-24-2019,22:00:00,10.50,8.00,24.2,20.8,070,971.09,82,1015.07,14.8,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.08,09-24-2019,22:00:00,0.00,7.00,24.9,23.6,000,993.54,92,1014.40,0.0,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.18,09-24-2019,22:00:00,0.00,7.00,24.2,24.2,050,994.97,100,1016.16,3.7,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.84,09-24-2019,22:00:00,3.30,8.00,26.0,24.6,330,1013.21,92,1013.65,3.7,2.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.43,09-24-2019,22:00:00,0.80,8.00,26.5,24.3,000,1011.93,88,1013.36,0.0,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.63,09-24-2019,22:00:00,0.00,7.00,26.7,25.0,000,1008.44,90,1013.41,0.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.19,09-24-2019,22:00:00,0.00,10.00,26.7,23.6,000,1010.38,83,1013.70,0.0,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.91,09-24-2019,22:00:00,0.00,10.00,26.7,25.1,000,1012.65,91,1013.76,0.0,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.82,09-24-2019,22:00:00,0.00,10.00,28.7,24.5,000,1013.29,78,1013.59,0.0,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.54,09-24-2019,22:00:00,0.00,10.00,28.5,24.9,000,1012.80,81,1013.29,0.0,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.85,09-24-2019,22:00:00,0.00,10.00,29.2,24.0,120,1012.34,74,1013.75,5.6,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.25,09-24-2019,22:00:00,0.01,10.00,25.5,24.8,000,1007.14,96,1015.25,0.0,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.63,09-24-2019,22:00:00,0.00,6.00,28.9,25.5,050,1012.87,82,1013.15,3.7,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.84,09-24-2019,22:00:00,0.00,10.00,26.0,24.6,000,1010.22,92,1013.38,0.0,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.85,09-24-2019,22:00:00,20.70,10.00,25.0,24.6,000,1006.34,97,1013.37,0.0,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.97,09-24-2019,22:00:00,0.00,8.00,27.5,24.6,060,1008.25,84,1013.87,5.6,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.82,09-24-2019,22:00:00,42.30,5.00,25.6,24.0,230,1012.75,91,1014.03,3.7,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.11,09-24-2019,22:00:00,3.00,11.00,28.0,24.7,010,1013.00,82,1013.43,13.0,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.66,09-24-2019,22:00:00,0.00,8.00,25.8,23.9,000,1001.86,89,1014.25,0.0,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.28,09-24-2019,22:00:00,0.00,8.00,27.8,23.1,000,1012.54,76,1013.25,0.0,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.44,09-24-2019,22:00:00,6.30,8.00,25.1,23.8,350,1010.78,92,1013.25,5.6,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.28,09-24-2019,22:00:00,0.10,10.00,25.7,24.2,070,1012.60,92,1013.13,3.7,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.32,09-24-2019,22:00:00,17.20,7.00,25.0,24.3,000,1007.95,96,1013.17,0.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.86,09-24-2019,22:00:00,0.00,7.00,27.3,24.6,000,1012.64,85,1013.06,0.0,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.55,09-24-2019,22:00:00,0.00,8.00,26.8,24.9,000,1010.23,90,1013.02,0.0,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.44,09-24-2019,22:00:00,0.40,8.00,27.7,23.8,310,1012.54,79,1013.33,5.6,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.56,09-24-2019,22:00:00,0.00,7.00,25.6,23.8,070,1012.26,90,1012.73,7.4,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.85,09-24-2019,22:00:00,0.00,10.00,27.1,25.1,000,1012.37,89,1013.06,0.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.51,09-24-2019,22:00:00,0.00,6.00,26.4,24.4,030,1011.36,89,1012.90,1.9,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.98,09-24-2019,22:00:00,0.00,10.00,27.6,23.5,360,1012.17,79,1013.09,3.7,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,33.13,09-24-2019,22:00:00,5.00,9.00,27.6,25.8,000,1012.22,90,1012.91,0.0,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.84,09-24-2019,22:00:00,2.80,8.00,26.0,24.6,000,1012.42,92,1013.23,0.0,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.32,09-24-2019,22:00:00,1.00,7.00,26.2,25.3,000,1011.83,95,1012.46,0.0,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.94,09-24-2019,22:00:00,6.60,8.00,26.8,25.7,000,1012.38,94,1012.79,0.0,2.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.69,09-24-2019,22:00:00,7.10,5.00,25.2,24.5,000,1010.63,96,1014.89,0.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.08,09-24-2019,22:00:00,0.00,7.00,24.9,23.6,000,1011.19,92,1012.82,0.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.05,09-24-2019,22:00:00,0.30,10.00,25.0,24.1,000,1009.19,95,1012.71,0.0,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.19,09-24-2019,22:00:00,5.00,8.00,26.5,25.8,100,1011.30,96,1012.67,7.4,5.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.85,09-24-2019,22:00:00,14.80,10.00,25.0,24.6,000,1011.75,97,1012.65,0.0,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.61,09-24-2019,22:00:00,2.60,8.00,24.9,23.9,000,1008.56,94,1012.16,0.0,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.80,09-24-2019,22:00:00,0.10,8.00,27.5,25.1,000,1012.05,87,1012.49,0.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.41,09-24-2019,22:00:00,11.90,8.00,25.3,24.9,000,1010.84,97,1011.85,0.0,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.19,09-24-2019,22:00:00,0.00,8.00,28.0,23.6,020,1011.36,77,1012.17,11.1,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.84,09-24-2019,22:00:00,0.80,8.00,26.0,24.6,070,1010.84,92,1012.67,9.3,0.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,32.30,09-24-2019,22:00:00,2.70,8.00,28.6,25.3,180,1011.59,83,1012.35,5.6,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.38,09-24-2019,22:00:00,4.20,10.00,27.0,24.8,990,1008.52,88,1012.53,3.7,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.93,09-24-2019,22:00:00,0.00,8.00,28.1,24.1,000,1011.62,79,1012.30,0.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.18,09-24-2019,22:00:00,0.00,10.00,28.6,24.7,000,1010.80,80,1011.92,0.0,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.24,09-24-2019,22:00:00,1.00,10.00,26.5,24.8,000,1009.64,90,1012.58,0.0,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.65,09-24-2019,22:00:00,10.00,6.00,26.0,25.0,000,1011.26,94,1011.96,0.0,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.79,09-24-2019,22:00:00,5.40,6.00,25.0,24.0,000,1008.86,94,1013.04,0.0,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.19,09-24-2019,22:00:00,12.50,10.00,28.0,23.6,120,1011.81,77,1012.40,5.6,0.00
