WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,DewPoint,RelativeHumidity,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-11-2019,13:00:00,10.00,0.0,47.90,32.42,0.40,25.4,82,28.8,000,974.67,1001.83
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-11-2019,13:00:00,12.00,0.0,10.00,29.24,0.00,23.7,64,31.3,000,967.87,1000.66
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-11-2019,13:00:00,15.00,5.6,15.90,31.68,0.00,25.0,70,31.1,210,983.22,1001.35
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-11-2019,13:00:00,10.00,0.0,27.60,33.78,5.00,26.1,88,28.2,000,979.20,1001.76
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-11-2019,13:00:00,9.00,7.4,17.20,31.38,8.20,24.8,88,27.0,260,972.61,1002.28
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-11-2019,13:00:00,8.00,0.0,23.50,31.40,0.00,24.9,75,29.7,000,966.60,1001.50
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-11-2019,13:00:00,15.00,5.6,13.10,33.68,0.10,26.0,76,30.8,140,971.89,1001.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-11-2019,13:00:00,7.00,9.3,1.90,33.32,0.00,25.9,72,31.6,140,994.80,1001.96
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-11-2019,13:00:00,8.00,7.4,20.30,36.78,2.20,27.5,83,30.7,240,982.35,1001.89
48353,LOEI,เลย,เลย,17.45000,101.73333,08-11-2019,13:00:00,12.00,7.4,19.10,31.93,0.80,25.1,69,31.5,200,973.27,1001.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-11-2019,13:00:00,15.00,5.6,24.90,33.43,0.00,25.9,74,31.1,120,982.72,1002.52
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-11-2019,13:00:00,15.00,11.1,25.20,32.10,0.00,25.2,70,31.3,170,982.01,1003.34
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-11-2019,13:00:00,15.00,9.3,2.60,30.98,0.00,24.6,69,30.9,150,983.39,1002.53
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-11-2019,13:00:00,13.00,3.7,0.00,30.32,0.00,24.3,65,31.7,120,986.91,1003.33
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-11-2019,13:00:00,12.00,9.3,0.00,30.70,0.00,24.5,72,30.2,140,986.29,1003.44
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-11-2019,13:00:00,13.00,5.6,45.00,31.52,0.00,24.9,66,32.0,200,975.59,1000.78
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-11-2019,13:00:00,10.00,9.3,1.70,34.54,0.00,26.5,76,31.2,180,996.62,1002.30
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-11-2019,13:00:00,12.00,7.4,1.90,33.52,0.00,26.0,75,31.0,200,995.77,1001.84
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-11-2019,13:00:00,10.00,11.1,4.40,28.68,0.00,23.3,57,33.0,210,986.80,1002.85
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-11-2019,13:00:00,9.00,11.1,17.80,29.09,0.00,23.6,78,27.8,170,978.76,1000.88
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-11-2019,13:00:00,5.00,0.0,5.60,36.30,2.00,27.3,87,29.8,000,988.38,1002.57
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-11-2019,13:00:00,7.00,0.0,10.50,31.31,0.00,24.8,72,30.5,000,985.52,1001.63
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-11-2019,13:00:00,10.00,3.7,0.40,31.68,0.00,25.0,67,31.8,270,997.23,1002.35
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-11-2019,13:00:00,12.00,0.0,0.60,32.58,0.00,25.5,67,32.5,000,988.24,1001.12
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-11-2019,13:00:00,10.00,3.7,9.90,32.17,0.00,25.3,74,30.5,100,992.97,1002.14
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-11-2019,13:00:00,12.00,11.1,33.40,29.63,0.00,23.9,64,31.5,210,981.26,1002.53
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-11-2019,13:00:00,12.00,14.8,37.40,33.25,0.00,25.8,64,33.5,230,984.92,1001.97
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-11-2019,13:00:00,12.00,5.6,0.00,31.93,0.00,25.1,69,31.5,220,986.84,1002.37
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-11-2019,13:00:00,11.00,3.7,18.10,29.34,0.00,23.7,61,32.2,190,982.94,1001.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-11-2019,13:00:00,9.00,0.0,19.30,26.84,5.90,22.3,75,27.0,000,952.29,1003.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-11-2019,13:00:00,9.00,11.1,30.40,31.31,0.00,24.8,66,31.9,200,998.10,1001.97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-11-2019,13:00:00,4.00,14.8,48.40,28.29,0.10,23.1,92,24.6,220,908.73,1002.46
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-11-2019,13:00:00,10.00,7.4,3.00,34.65,0.00,26.5,74,31.8,230,986.94,1002.61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-11-2019,13:00:00,10.00,5.6,1.10,31.23,0.00,24.8,66,32.0,230,998.62,1002.57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-11-2019,13:00:00,8.00,7.4,0.00,30.82,0.00,24.5,63,32.5,200,992.73,1003.17
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-11-2019,13:00:00,10.00,7.4,0.20,31.14,0.00,24.7,68,31.4,200,1001.37,1003.26
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-11-2019,13:00:00,10.00,11.1,14.00,28.39,0.00,23.2,54,33.7,230,981.26,1001.56
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-11-2019,13:00:00,11.00,14.8,9.40,31.89,0.00,25.1,70,31.2,170,985.06,1002.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-11-2019,13:00:00,10.00,11.1,19.90,32.75,5.20,25.6,75,30.5,200,986.48,1002.38
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-11-2019,13:00:00,10.00,3.7,5.20,33.58,4.30,26.0,81,29.5,240,989.87,1003.75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-11-2019,13:00:00,10.00,5.6,0.20,31.68,0.00,25.0,67,31.8,210,989.42,1003.98
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-11-2019,13:00:00,10.00,11.1,0.00,34.49,0.00,26.4,68,33.1,230,989.19,1003.52
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-11-2019,13:00:00,10.00,0.0,0.50,31.68,0.00,25.0,67,31.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1000.06,1003.02
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-11-2019,13:00:00,10.00,5.6,0.30,28.25,0.00,23.1,58,32.5,190,994.15,1001.92
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-11-2019,13:00:00,8.00,14.8,0.20,31.15,0.00,24.7,63,32.8,230,1003.16,1004.24
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-11-2019,13:00:00,8.00,3.7,0.00,31.35,0.00,24.8,68,31.5,200,989.66,1004.09
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-11-2019,13:00:00,.10,11.1,55.00,23.72,15.60,20.2,99,20.4,190,870.37,1004.67
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-11-2019,13:00:00,10.00,5.6,3.30,32.16,0.00,25.3,64,33.0,220,996.76,1002.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-11-2019,13:00:00,4.00,9.3,1.90,31.35,0.01,24.8,65,32.2,230,1002.69,1003.48
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-11-2019,13:00:00,10.00,9.3,0.00,29.68,0.00,23.9,66,31.1,210,1003.74,1004.18
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-11-2019,13:00:00,4.00,0.0,33.30,29.48,2.20,23.8,83,27.0,000,993.15,1004.42
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-11-2019,13:00:00,12.00,7.4,0.00,30.94,0.00,24.6,63,32.7,220,1002.05,1003.04
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-11-2019,13:00:00,8.00,0.0,0.30,30.73,0.00,24.5,62,32.6,000,1000.87,1002.65
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-11-2019,13:00:00,9.00,0.0,0.40,30.57,0.01,24.4,61,32.8,000,1001.77,1002.52
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-11-2019,13:00:00,10.00,16.7,0.01,31.80,0.00,25.1,70,31.3,190,1003.30,1003.99
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-11-2019,13:00:00,7.00,7.4,0.20,34.24,0.00,26.3,71,32.3,240,1002.53,1003.22
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-11-2019,13:00:00,12.00,9.3,0.01,26.23,0.00,21.9,46,35.3,240,981.37,1001.85
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-11-2019,13:00:00,13.00,11.1,0.00,31.61,0.00,25.0,64,32.6,200,986.91,1003.26
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-11-2019,13:00:00,10.00,3.7,0.00,32.43,0.00,25.4,63,33.4,210,987.32,1003.35
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-11-2019,13:00:00,10.00,9.3,0.00,29.67,0.00,23.9,54,34.6,270,981.12,1002.34
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-11-2019,13:00:00,10.00,11.1,2.50,28.65,0.00,23.3,64,31.0,190,960.35,1002.85
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-11-2019,13:00:00,10.00,5.6,1.00,27.01,0.00,22.4,51,34.0,120,982.27,1002.27
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-11-2019,13:00:00,10.00,18.5,0.60,33.89,0.20,26.1,76,30.9,180,983.82,1004.32
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-11-2019,13:00:00,10.00,20.4,1.20,33.41,0.00,25.9,80,29.7,190,1003.44,1003.87
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-11-2019,13:00:00,10.00,9.3,0.30,34.88,0.00,26.6,69,33.0,240,1002.17,1003.56
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-11-2019,13:00:00,8.00,3.7,0.00,32.82,0.00,25.6,68,32.2,230,998.95,1003.79
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-11-2019,13:00:00,12.00,13.0,0.01,30.40,0.00,24.3,60,33.0,210,999.82,1003.03
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-11-2019,13:00:00,10.00,0.0,0.00,31.57,0.00,24.9,63,33.0,000,1002.35,1003.43
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-11-2019,13:00:00,10.00,14.8,0.10,34.16,0.00,26.3,70,32.4,210,1003.96,1004.25
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-11-2019,13:00:00,10.00,14.8,0.00,34.74,0.00,26.6,70,32.8,210,1002.88,1003.55
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-11-2019,13:00:00,10.00,5.6,0.00,30.69,0.00,24.5,61,33.0,260,1003.40,1003.88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-11-2019,13:00:00,10.00,24.1,1.60,30.12,0.00,24.2,62,32.3,200,1002.60,1003.98
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-11-2019,13:00:00,10.00,33.3,0.00,32.75,0.00,25.6,75,30.5,190,1002.76,1004.41
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-11-2019,13:00:00,10.00,14.8,0.00,30.37,0.00,24.3,66,31.3,180,997.51,1005.39
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-11-2019,13:00:00,10.00,7.4,0.00,32.82,0.00,25.6,68,32.2,180,1003.45,1003.73
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-11-2019,13:00:00,10.00,7.4,0.00,32.51,0.00,25.4,73,30.8,230,1001.15,1004.23
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-11-2019,13:00:00,12.00,7.4,0.20,32.34,0.00,25.4,72,31.0,240,997.85,1004.68
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-11-2019,13:00:00,7.00,11.1,1.20,34.99,0.01,26.7,72,32.5,200,998.23,1003.71
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-11-2019,13:00:00,10.00,25.9,0.00,31.93,0.00,25.1,72,30.8,220,995.30,1004.48
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-11-2019,13:00:00,14.00,11.1,2.20,31.93,0.00,25.1,69,31.5,150,1003.67,1004.91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-11-2019,13:00:00,11.00,9.3,0.40,36.01,0.00,27.2,76,32.0,170,1002.21,1002.63
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-11-2019,13:00:00,10.00,7.4,8.70,32.96,0.90,25.7,85,28.5,230,992.75,1004.92
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-11-2019,13:00:00,10.00,7.4,3.00,32.26,0.00,25.3,71,31.1,100,1003.40,1004.10
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-11-2019,13:00:00,10.00,18.5,0.30,30.65,0.00,24.5,64,32.0,220,1002.35,1004.74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-11-2019,13:00:00,10.00,20.4,0.01,34.22,0.00,26.3,78,30.5,240,1004.58,1005.09
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-11-2019,13:00:00,12.00,11.1,0.01,31.31,0.00,24.8,69,31.2,200,999.53,1004.60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-11-2019,13:00:00,8.00,9.3,1.40,33.37,0.70,25.9,85,28.7,230,1005.23,1005.64
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-11-2019,13:00:00,8.00,7.4,9.30,34.07,6.00,26.2,93,27.5,200,1002.80,1005.56
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-11-2019,13:00:00,10.00,14.8,7.30,29.19,0.00,23.6,69,30.0,170,1004.25,1005.02
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-11-2019,13:00:00,7.00,1.9,58.40,32.04,15.20,25.2,94,26.2,050,1005.66,1006.12
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-11-2019,13:00:00,7.00,3.7,27.40,31.69,5.30,25.0,87,27.3,180,1006.00,1006.68
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-11-2019,13:00:00,8.00,0.0,23.40,30.15,3.80,24.2,78,28.5,000,1003.96,1005.47
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-11-2019,13:00:00,6.00,9.3,57.60,29.34,24.40,23.7,93,24.9,190,1006.70,1007.62
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-11-2019,13:00:00,10.00,5.6,7.40,33.25,7.40,25.8,89,27.8,260,1006.25,1006.94
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-11-2019,13:00:00,9.00,5.6,7.40,33.45,5.20,25.9,89,27.9,250,1006.45,1007.25
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-11-2019,13:00:00,10.00,9.3,0.00,30.61,0.00,24.4,63,32.4,330,1005.45,1006.07
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-11-2019,13:00:00,10.00,22.2,0.00,34.22,0.00,26.3,65,33.8,210,1005.76,1006.16
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-11-2019,13:00:00,6.00,13.0,0.01,34.81,0.01,26.6,92,28.0,210,1004.80,1009.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-11-2019,13:00:00,10.00,0.0,9.10,30.32,8.50,24.3,96,25.0,000,1006.75,1008.37
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-11-2019,13:00:00,7.00,0.0,13.40,29.99,6.60,24.1,92,25.4,000,1004.64,1008.14
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-11-2019,13:00:00,10.00,13.0,8.90,29.63,0.00,23.9,64,31.5,160,1005.74,1007.08
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-11-2019,13:00:00,10.00,14.8,18.40,32.20,5.00,25.3,87,27.7,240,1006.21,1007.09
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-11-2019,13:00:00,10.00,7.4,15.20,30.81,10.70,24.5,93,25.7,300,1003.57,1007.14
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-11-2019,13:00:00,10.00,11.1,2.20,31.76,0.00,25.0,71,31.0,250,1006.52,1006.95
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-11-2019,13:00:00,6.00,9.3,5.20,31.38,1.20,24.8,88,27.0,300,1006.32,1007.32
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-11-2019,13:00:00,10.00,24.1,1.80,33.73,0.00,26.1,75,31.1,250,1006.67,1007.48
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-11-2019,13:00:00,12.00,14.8,20.40,32.59,1.00,25.5,74,30.7,190,1005.31,1007.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-11-2019,13:00:00,12.00,1.9,12.70,30.32,0.00,24.3,62,32.4,160,1005.94,1006.68
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-11-2019,13:00:00,10.00,13.0,17.00,29.87,0.00,24.0,63,31.9,240,1002.96,1006.89
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-11-2019,13:00:00,10.00,7.4,53.50,28.37,0.00,23.2,63,31.0,200,1006.43,1007.11
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-11-2019,13:00:00,10.00,9.3,12.60,29.22,0.00,23.7,61,32.0,200,1006.48,1007.58
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-11-2019,13:00:00,12.00,16.7,35.40,32.66,0.00,25.5,67,32.4,260,1004.29,1007.15
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-11-2019,13:00:00,12.00,0.0,31.40,34.38,0.00,26.4,66,33.6,000,1005.27,1005.94
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-11-2019,13:00:00,10.00,3.7,9.10,29.62,0.00,23.9,57,33.6,240,1002.97,1007.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-11-2019,13:00:00,10.00,9.3,0.20,31.52,0.00,24.9,66,32.0,060,1006.45,1007.03
