WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,WindSpeed,Rainfall24Hr,WindDirection,MaximumTemperature,LandVisibility,VaporPressure,AirTemperature,MeanSeaLevelPressure,RelativeHumidity
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-20-2019,19:00:00,1001.00,26.5,3.7,0.01,270,34.5,10.00,34.66,28.9,1006.75,87
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-20-2019,19:00:00,1000.69,26.0,0.0,0.20,000,34.2,10.00,33.70,28.3,1006.85,88
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-20-2019,19:00:00,991.68,24.6,0.0,6.30,000,34.0,10.00,30.84,26.0,1008.19,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.60,09-20-2019,19:00:00,983.77,24.9,0.0,8.40,000,32.8,10.00,31.41,26.3,1006.11,92
48376,TAK,ตาก,ตาก,16.87833,99.14333,2.40,09-20-2019,19:00:00,993.78,25.4,0.0,33.50,000,30.9,7.00,32.46,26.7,1008.19,93
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-20-2019,19:00:00,991.22,25.3,0.0,32.50,000,31.0,7.00,32.20,26.0,1007.66,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-20-2019,19:00:00,1002.33,25.6,5.6,12.40,130,31.8,10.00,32.80,28.0,1007.55,87
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.60,09-20-2019,19:00:00,993.34,24.9,0.0,21.50,000,34.0,12.00,31.46,25.9,1006.58,94
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.10,09-20-2019,19:00:00,998.00,26.4,0.0,26.70,000,31.2,10.00,34.36,27.5,1007.31,94
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-20-2019,19:00:00,986.33,24.6,0.0,0.90,000,32.8,10.00,30.89,26.6,1008.06,89
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1.00,09-20-2019,19:00:00,991.08,25.3,0.0,4.10,000,32.5,8.00,32.20,26.0,1008.67,96
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,6.20,09-20-2019,19:00:00,992.04,24.0,0.0,6.20,000,33.7,7.00,29.91,25.5,1007.96,92
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,09-20-2019,19:00:00,988.24,25.0,0.0,18.90,000,32.5,8.00,31.65,26.0,1007.18,94
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.30,09-20-2019,19:00:00,955.61,22.1,0.0,15.60,000,29.5,7.00,26.60,24.8,1006.98,85
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.60,09-20-2019,19:00:00,1003.63,25.0,14.8,42.50,140,31.2,4.00,31.71,26.6,1007.60,91
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.80,09-20-2019,19:00:00,913.49,21.1,5.6,7.60,340,26.6,6.00,25.05,22.2,1008.51,94
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-20-2019,19:00:00,991.89,25.3,0.0,2.70,000,33.2,{'@attributes': {'Unit': 'km'}},32.21,27.0,1007.89,90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-20-2019,19:00:00,1003.38,26.0,3.7,68.80,030,31.4,10.00,33.61,28.4,1007.40,87
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-20-2019,19:00:00,997.03,23.9,0.0,7.00,000,31.9,6.00,29.69,27.4,1007.70,81
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.01,09-20-2019,19:00:00,1005.33,25.4,0.0,19.80,000,30.7,7.00,32.52,28.0,1007.26,86
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-20-2019,19:00:00,986.72,23.3,3.7,121.40,060,31.1,10.00,28.63,27.7,1007.54,77
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.40,09-20-2019,19:00:00,990.39,24.6,0.0,43.00,000,30.6,10.00,30.92,25.9,1008.13,93
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.50,09-20-2019,19:00:00,991.42,25.2,0.0,42.00,000,31.2,10.00,32.12,26.1,1007.63,95
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-20-2019,19:00:00,994.12,24.1,5.6,26.90,160,30.7,10.00,29.96,27.4,1008.15,82
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-20-2019,19:00:00,993.77,24.4,0.0,21.10,000,31.5,10.00,30.59,26.3,1008.66,89
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.01,09-20-2019,19:00:00,993.38,25.5,0.0,8.00,000,28.0,6.00,32.71,26.4,1008.10,95
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.01,09-20-2019,19:00:00,1003.40,26.9,0.0,8.90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.0,10.00,35.54,28.9,1006.40,89
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,09-20-2019,19:00:00,999.43,25.1,0.0,8.30,000,32.1,7.00,31.79,28.2,1007.35,83
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-20-2019,19:00:00,1005.48,25.6,0.0,3.20,000,32.5,6.00,32.88,28.6,1006.58,84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,2.50,09-20-2019,19:00:00,993.47,21.5,0.0,14.30,000,30.1,8.00,25.71,26.5,1008.19,74
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-20-2019,19:00:00,874.00,19.9,1.9,18.20,190,23.2,4.00,23.28,20.1,1009.00,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.40,09-20-2019,19:00:00,1001.94,26.3,0.0,1.80,000,33.2,10.00,34.19,27.7,1007.81,92
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-20-2019,19:00:00,1005.87,25.9,5.6,17.00,130,31.5,8.00,33.41,29.0,1006.66,83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-20-2019,19:00:00,1006.58,24.7,18.5,81.50,210,31.4,10.00,31.09,28.7,1007.02,79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-20-2019,19:00:00,995.62,25.3,0.0,28.90,000,33.5,6.00,32.18,26.7,1006.93,92
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-20-2019,19:00:00,1006.31,25.2,0.0,47.00,000,33.7,10.00,32.10,28.5,1007.32,83
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-20-2019,19:00:00,1005.53,24.3,0.0,15.80,000,31.5,7.00,30.34,26.6,1007.35,87
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.10,09-20-2019,19:00:00,1005.80,23.6,14.8,0.80,220,33.7,7.00,29.21,27.0,1006.57,82
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,09-20-2019,19:00:00,1007.07,24.9,9.3,0.40,180,31.5,8.00,31.54,28.5,1007.77,81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-20-2019,19:00:00,1007.02,23.8,0.0,38.20,000,33.5,7.00,29.45,26.7,1007.73,84
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.30,09-20-2019,19:00:00,986.95,25.0,3.7,11.10,150,32.2,8.00,31.68,26.3,1008.18,93
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.30,09-20-2019,19:00:00,991.29,25.2,0.0,62.70,000,29.4,7.00,32.01,25.9,1008.08,96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-20-2019,19:00:00,991.86,24.6,0.0,91.40,000,29.7,8.00,31.00,25.8,1008.38,93
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-20-2019,19:00:00,986.16,24.5,0.0,2.20,000,31.5,10.00,30.70,27.5,1008.00,84
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-20-2019,19:00:00,964.84,23.6,3.7,34.20,270,30.2,8.00,29.08,24.9,1008.43,92
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-20-2019,19:00:00,987.44,24.7,0.0,2.80,000,30.6,10.00,31.08,25.7,1008.11,94
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.01,09-20-2019,19:00:00,988.64,24.7,0.0,16.40,000,30.5,9.00,31.10,24.7,1009.67,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,2.00,09-20-2019,19:00:00,1006.68,24.8,11.1,7.40,230,31.3,9.00,31.38,26.0,1007.12,93
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-20-2019,19:00:00,1006.33,24.8,0.0,2.10,000,32.6,6.00,31.38,27.0,1007.75,88
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.10,09-20-2019,19:00:00,1003.30,25.4,0.0,4.00,000,31.7,7.00,32.48,26.0,1008.25,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-20-2019,19:00:00,1004.17,24.0,0.0,0.30,000,33.4,8.00,29.85,28.2,1007.45,78
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1.30,09-20-2019,19:00:00,1005.83,25.6,0.0,1.30,000,33.2,10.00,32.77,27.0,1006.94,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-20-2019,19:00:00,1007.08,24.7,7.4,52.80,160,31.5,10.00,31.13,29.0,1007.38,78
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-20-2019,19:00:00,1007.01,24.5,0.0,63.50,000,32.0,10.00,30.72,29.5,1007.69,75
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-20-2019,19:00:00,1006.97,24.6,0.0,59.80,000,34.2,10.00,30.88,29.3,1007.46,76
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-20-2019,19:00:00,1005.86,25.2,16.7,3.80,160,33.1,8.00,32.01,29.3,1007.26,79
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-20-2019,19:00:00,1005.72,27.3,27.8,67.00,210,29.8,10.00,36.25,28.4,1007.39,94
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-20-2019,19:00:00,1001.61,24.6,0.0,0.01,000,31.2,10.00,30.84,26.0,1009.66,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-20-2019,19:00:00,1007.14,25.2,0.0,27.80,000,32.7,10.00,32.12,27.8,1007.42,86
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-20-2019,19:00:00,1004.56,25.4,0.0,29.10,000,31.2,10.00,32.52,28.0,1007.69,86
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-20-2019,19:00:00,1000.66,25.0,7.4,4.40,210,29.7,10.00,31.75,27.9,1007.58,85
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-20-2019,19:00:00,1002.86,25.2,0.0,15.00,000,31.8,10.00,31.99,26.6,1008.47,92
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-20-2019,19:00:00,1001.34,25.4,11.1,4.30,230,30.0,10.00,32.36,27.5,1010.67,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-20-2019,19:00:00,1006.44,24.1,7.4,3.40,210,32.0,10.00,30.01,25.7,1007.71,91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1.90,09-20-2019,19:00:00,1007.12,24.4,9.3,1.90,300,32.2,8.00,30.63,25.6,1007.55,93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.80,09-20-2019,19:00:00,995.96,24.3,0.0,52.00,000,31.3,10.00,30.32,25.0,1008.31,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,3.00,09-20-2019,19:00:00,1007.09,24.8,5.6,59.80,240,31.3,10.00,31.25,25.5,1007.81,96
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,09-20-2019,19:00:00,1005.34,23.9,7.4,22.20,180,31.3,10.00,29.60,27.5,1007.77,81
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-20-2019,19:00:00,1007.51,25.1,16.7,48.10,230,30.2,10.00,31.79,28.2,1008.02,83
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-20-2019,19:00:00,1002.68,24.7,1.9,14.30,200,30.9,10.00,31.05,27.4,1007.83,85
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.20,09-20-2019,19:00:00,1008.05,25.4,0.0,58.60,000,30.4,7.00,32.53,27.3,1008.46,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-20-2019,19:00:00,1005.91,25.3,0.0,94.50,000,29.5,8.00,32.21,27.0,1008.68,90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1.20,09-20-2019,19:00:00,1008.01,24.7,5.6,23.30,100,32.3,10.00,31.13,26.3,1008.80,91
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.20,09-20-2019,19:00:00,1008.60,25.1,0.0,24.30,000,27.5,6.00,31.93,26.0,1009.06,95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.00,09-20-2019,19:00:00,1008.20,23.9,0.0,1.00,000,32.7,8.00,29.69,27.4,1008.88,81
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.20,09-20-2019,19:00:00,1006.99,24.0,7.4,0.40,270,32.8,8.00,29.90,27.8,1008.52,80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-20-2019,19:00:00,1008.15,24.4,3.7,12.40,170,32.0,10.00,30.56,28.0,1009.06,81
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-20-2019,19:00:00,1008.50,25.3,0.0,0.00,000,32.5,10.00,32.20,27.7,1009.19,87
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-20-2019,19:00:00,1008.08,24.9,0.0,0.00,000,33.5,10.00,31.49,27.2,1008.87,87
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,4.10,09-20-2019,19:00:00,1008.02,25.2,0.0,8.20,000,32.5,9.00,31.98,25.6,1008.65,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1.40,09-20-2019,19:00:00,1008.21,24.7,0.0,4.80,000,32.0,7.00,31.08,25.7,1008.62,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-20-2019,19:00:00,1006.30,24.3,0.0,0.00,000,33.5,6.00,30.29,27.0,1010.53,85
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-20-2019,19:00:00,1007.22,25.0,0.0,8.20,000,33.8,10.00,31.65,26.0,1008.84,94
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-20-2019,19:00:00,1005.48,24.1,0.0,2.80,000,34.0,8.00,30.02,27.0,1008.96,84
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-20-2019,19:00:00,1007.26,25.6,0.0,1.10,000,31.3,7.00,32.76,27.7,1008.61,88
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-20-2019,19:00:00,1007.35,25.1,0.0,1.60,000,31.0,10.00,31.95,28.0,1008.23,85
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-20-2019,19:00:00,1005.31,24.5,0.0,2.30,000,32.5,10.00,30.81,27.7,1008.87,83
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-20-2019,19:00:00,1008.33,23.7,0.0,0.00,000,33.3,10.00,29.33,29.5,1008.76,71
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-20-2019,19:00:00,1007.07,24.1,0.0,0.00,000,31.3,10.00,30.01,29.0,1008.05,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-20-2019,19:00:00,1008.30,23.1,0.0,0.00,000,31.3,10.00,28.26,27.5,1009.11,77
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-20-2019,19:00:00,1007.20,24.6,0.0,2.60,000,32.6,7.00,30.97,27.5,1009.01,84
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-20-2019,19:00:00,1008.09,23.5,1.9,0.00,170,32.7,5.00,28.91,30.0,1008.84,68
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-20-2019,19:00:00,1005.05,24.4,5.6,0.20,240,31.5,7.00,30.64,27.9,1009.04,82
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-20-2019,19:00:00,1008.01,25.6,0.0,0.20,000,30.8,6.00,32.75,28.4,1008.69,85
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-20-2019,19:00:00,1007.54,24.0,7.4,0.00,200,32.3,10.00,29.85,29.2,1008.65,74
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-20-2019,19:00:00,1006.03,25.1,3.7,0.00,230,31.3,7.00,31.95,28.0,1008.94,85
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-20-2019,19:00:00,1007.58,26.3,0.0,0.00,000,33.0,6.00,34.15,28.8,1008.27,86
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-20-2019,19:00:00,1005.29,25.4,0.0,0.00,000,32.8,4.00,32.43,28.1,1009.41,85
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-20-2019,19:00:00,1008.36,23.4,5.6,30.70,270,31.5,7.00,28.70,26.0,1008.95,85
