WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,VaporPressure,WindDirection,StationPressure,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,DewPoint,AirTemperature,LandVisibility
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,62,10-07-2019,10:00:00,0.0,28.79,000,1011.84,3.80,0.00,1012.60,23.4,31.5,10.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,71,10-07-2019,10:00:00,7.4,29.13,110,1011.27,13.40,0.00,1011.97,23.6,29.4,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,62,10-07-2019,10:00:00,5.6,27.14,130,1011.48,0.00,0.00,1012.18,22.4,30.5,12.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,69,10-07-2019,10:00:00,5.6,28.12,050,991.44,0.00,0.00,1012.55,23.0,29.3,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,72,10-07-2019,10:00:00,9.3,28.91,040,995.50,5.60,0.00,1012.19,23.5,29.0,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,72,10-07-2019,10:00:00,7.4,29.88,010,996.06,11.80,0.00,1012.44,24.0,29.5,9.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,75,10-07-2019,10:00:00,0.0,30.01,000,990.83,21.50,0.00,1012.67,24.1,29.0,6.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,73,10-07-2019,10:00:00,11.1,26.24,080,969.29,0.01,0.00,1012.76,21.9,27.1,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,68,10-07-2019,10:00:00,0.0,27.96,000,991.66,11.40,0.00,1012.15,22.9,29.5,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,79,10-07-2019,10:00:00,16.7,31.49,070,993.22,44.70,0.00,1014.05,24.9,28.9,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,77,10-07-2019,10:00:00,0.0,29.49,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1011.90,0.30,0.00,1012.33,23.8,28.3,9.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,64,10-07-2019,10:00:00,0.0,28.15,000,1010.50,0.00,0.00,1011.91,23.0,30.6,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,71,10-07-2019,10:00:00,0.0,30.31,000,1006.91,7.30,0.00,1011.82,24.3,30.0,10.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,71,10-07-2019,10:00:00,0.0,29.33,000,1009.25,0.00,0.00,1012.53,23.7,29.5,9.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,70,10-07-2019,10:00:00,3.7,29.75,090,1011.49,0.01,0.00,1012.59,24.0,30.0,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,74,10-07-2019,10:00:00,0.0,31.44,000,1011.99,11.70,0.00,1012.29,24.9,30.0,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,68,10-07-2019,10:00:00,3.7,29.89,150,1011.82,11.50,0.00,1012.51,24.0,30.5,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,72,10-07-2019,10:00:00,3.7,31.51,150,1012.08,16.40,0.00,1012.57,24.9,30.6,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,73,10-07-2019,10:00:00,7.4,29.77,070,1011.51,15.00,0.00,1012.92,24.0,29.3,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,85,10-07-2019,10:00:00,13.0,30.29,050,1010.75,0.00,0.00,1012.43,24.3,27.0,7.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,76,10-07-2019,10:00:00,0.0,30.77,000,1005.44,23.70,0.00,1013.44,24.5,29.1,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,75,10-07-2019,10:00:00,3.7,31.72,080,1011.58,0.00,0.00,1011.86,25.0,30.0,8.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,71,10-07-2019,10:00:00,5.6,30.31,270,1008.67,0.20,0.00,1011.79,24.3,30.0,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,80,10-07-2019,10:00:00,5.6,31.26,270,1005.05,0.00,0.00,1011.99,24.8,28.5,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,71,10-07-2019,10:00:00,5.6,30.62,200,1007.09,0.00,0.00,1012.66,24.4,30.3,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,78,10-07-2019,10:00:00,0.0,33.93,000,1003.73,0.00,0.00,1012.99,26.2,30.5,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,78,10-07-2019,10:00:00,3.7,31.21,320,1011.82,0.30,0.00,1013.08,24.8,28.9,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,93,10-07-2019,10:00:00,16.7,32.26,350,1011.87,3.50,0.50,1012.31,25.3,26.6,8.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,74,10-07-2019,10:00:00,7.4,29.74,040,1000.30,15.30,0.00,1012.54,23.9,29.0,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,72,10-07-2019,10:00:00,11.1,31.51,020,1011.36,0.00,0.00,1012.07,24.9,30.6,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,75,10-07-2019,10:00:00,7.4,31.32,180,1009.61,0.00,0.00,1012.03,24.8,29.8,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,71,10-07-2019,10:00:00,7.4,31.23,210,1011.43,0.30,0.00,1011.94,24.8,30.6,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,67,10-07-2019,10:00:00,5.6,29.14,090,1006.76,1.50,0.00,1011.89,23.6,30.4,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,70,10-07-2019,10:00:00,5.6,30.34,330,1011.72,0.20,0.00,1012.13,24.3,30.3,11.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,79,10-07-2019,10:00:00,0.0,33.33,000,1009.41,0.70,0.00,1012.17,25.9,29.8,10.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,67,10-07-2019,10:00:00,7.4,30.86,110,1011.38,0.00,0.00,1012.16,24.6,31.4,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,70,10-07-2019,10:00:00,7.4,31.89,260,1011.29,0.40,0.00,1011.74,25.1,31.2,10.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,80,10-07-2019,10:00:00,3.7,30.59,070,1011.28,2.00,0.00,1011.96,24.4,28.3,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,66,10-07-2019,10:00:00,3.7,28.86,050,1010.78,1.00,0.00,1012.30,23.5,30.4,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,66,10-07-2019,10:00:00,3.7,28.78,190,1011.20,12.60,0.00,1012.11,23.4,30.5,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,73,10-07-2019,10:00:00,9.3,29.96,120,1011.34,0.00,0.00,1012.03,24.1,29.4,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,77,10-07-2019,10:00:00,0.0,31.56,000,1011.56,13.90,0.00,1012.35,24.9,29.5,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,75,10-07-2019,10:00:00,0.0,32.55,000,1011.03,0.00,0.00,1011.66,25.5,30.4,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,74,10-07-2019,10:00:00,0.0,32.67,000,1011.42,0.80,0.00,1011.82,25.5,30.6,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,75,10-07-2019,10:00:00,0.0,30.72,000,1010.13,0.10,0.00,1014.33,24.5,29.5,10.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,78,10-07-2019,10:00:00,0.0,31.13,000,1010.97,0.00,0.00,1012.58,24.7,29.0,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,78,10-07-2019,10:00:00,0.0,31.13,000,1010.03,0.01,0.00,1013.51,24.7,29.0,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,71,10-07-2019,10:00:00,5.6,29.63,020,1010.61,0.00,0.00,1011.95,23.9,29.8,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,74,10-07-2019,10:00:00,0.0,29.85,000,1010.90,0.00,0.00,1011.78,24.0,29.2,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,68,10-07-2019,10:00:00,0.0,29.42,000,1007.81,3.00,0.00,1011.35,23.8,30.4,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,78,10-07-2019,10:00:00,3.7,31.13,280,1011.13,10.80,0.60,1011.57,24.7,29.0,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,74,10-07-2019,10:00:00,9.3,30.24,250,1011.09,5.10,0.00,1012.08,24.2,29.4,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,81,10-07-2019,10:00:00,11.1,30.95,330,1010.77,0.00,0.00,1011.59,24.6,28.2,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,73,10-07-2019,10:00:00,0.0,31.15,000,1010.00,36.00,0.00,1011.80,24.7,30.0,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,71,10-07-2019,10:00:00,7.4,30.62,340,1011.34,0.00,0.00,1012.09,24.4,30.3,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,71,10-07-2019,10:00:00,11.1,29.63,050,1008.26,24.60,0.00,1012.24,23.9,29.8,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,66,10-07-2019,10:00:00,0.0,29.17,000,1010.87,0.00,0.00,1011.54,23.6,30.7,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,75,10-07-2019,10:00:00,7.4,31.00,330,1011.22,14.00,0.00,1012.33,24.6,29.5,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,79,10-07-2019,10:00:00,11.1,31.81,060,1009.07,3.60,0.00,1011.98,25.1,29.2,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,73,10-07-2019,10:00:00,0.0,29.96,000,1011.59,1.70,0.00,1012.27,24.1,29.4,11.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,76,10-07-2019,10:00:00,0.0,30.49,000,1008.43,4.00,0.00,1012.55,24.4,29.1,8.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,66,10-07-2019,10:00:00,0.0,28.67,000,1011.71,0.00,0.00,1012.30,23.3,30.3,10.00
