WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,AirTemperature,WindDirection,RelativeHumidity,VaporPressure,LandVisibility,DewPoint,StationPressure,MeanSeaLevelPressure,WindSpeed
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-15-2019,04:00:00,8.20,25.5,000,96,31.25,8.00,24.8,983.54,1005.94,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-15-2019,04:00:00,0.00,26.2,000,92,31.22,8.00,24.8,993.44,1007.88,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-15-2019,04:00:00,0.20,26.5,000,88,30.43,8.00,24.3,991.08,1007.50,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-15-2019,04:00:00,10.90,26.2,000,96,32.59,10.00,25.5,1002.04,1007.28,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-15-2019,04:00:00,4.00,25.4,000,93,30.25,10.00,24.2,992.70,1005.95,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-15-2019,04:00:00,0.00,26.7,000,92,32.18,11.00,25.3,997.47,1006.80,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-15-2019,04:00:00,0.00,26.6,050,91,31.71,9.00,25.0,985.42,1007.13,1.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-15-2019,04:00:00,0.00,26.0,000,98,32.76,10.00,25.6,990.06,1007.62,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-15-2019,04:00:00,3.20,24.5,000,96,29.41,10.00,23.8,991.47,1007.44,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-15-2019,04:00:00,0.40,25.9,000,97,32.29,8.00,25.3,987.54,1006.48,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-15-2019,04:00:00,28.60,22.8,000,93,25.76,6.00,21.6,955.40,1007.11,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-15-2019,04:00:00,0.90,26.5,000,93,32.07,6.00,25.2,1002.76,1006.72,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-15-2019,04:00:00,0.50,21.4,260,97,24.76,.40,20.9,912.83,1008.05,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-15-2019,04:00:00,8.90,25.6,000,96,31.44,5.00,24.9,991.34,1007.41,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-15-2019,04:00:00,0.30,25.5,000,92,29.91,10.00,24.0,1002.42,1006.47,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.40,09-15-2019,04:00:00,4.90,24.7,000,94,29.25,7.00,23.7,997.07,1007.84,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.50,09-15-2019,04:00:00,9.10,26.0,120,92,30.84,9.00,24.6,1005.08,1007.01,1.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-15-2019,04:00:00,0.00,25.7,000,90,29.74,3.00,23.9,985.99,1006.93,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-15-2019,04:00:00,0.00,25.4,040,88,28.67,10.00,23.3,989.23,1006.99,7.4
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-15-2019,04:00:00,0.00,25.5,000,92,29.91,10.00,24.0,990.44,1006.67,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-15-2019,04:00:00,0.00,26.0,080,92,30.84,10.00,24.6,992.95,1007.02,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-15-2019,04:00:00,0.00,25.8,000,96,31.82,8.00,25.1,993.06,1007.96,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-15-2019,04:00:00,0.00,26.5,000,98,33.75,6.00,26.1,992.42,1007.11,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,3.50,09-15-2019,04:00:00,3.60,26.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",94,32.82,10.00,25.6,1003.26,1006.28,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-15-2019,04:00:00,14.70,25.6,000,93,30.36,7.00,24.3,999.08,1007.07,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-15-2019,04:00:00,0.00,26.2,000,85,29.07,6.00,23.6,1006.31,1007.42,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-15-2019,04:00:00,0.00,25.2,000,86,27.54,8.00,22.7,991.91,1006.67,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-15-2019,04:00:00,14.20,19.2,150,96,21.35,8.00,18.6,872.93,1008.20,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-15-2019,04:00:00,0.00,25.0,000,92,29.00,10.00,23.5,1001.12,1007.03,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-15-2019,04:00:00,0.50,25.5,180,92,29.91,7.00,24.0,1007.49,1008.30,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-15-2019,04:00:00,2.80,27.5,000,86,31.52,10.00,24.9,1005.65,1006.10,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-15-2019,04:00:00,23.00,24.5,000,96,29.41,4.00,23.8,996.42,1007.82,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-15-2019,04:00:00,0.20,26.0,000,96,32.20,10.00,25.3,1005.68,1006.70,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-15-2019,04:00:00,3.70,26.0,000,89,29.76,7.00,24.0,1005.01,1006.84,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.80,09-15-2019,04:00:00,1.20,25.0,000,96,30.32,5.00,24.3,1005.80,1006.57,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-15-2019,04:00:00,10.60,25.1,030,97,30.77,6.00,24.5,1006.21,1006.92,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-15-2019,04:00:00,27.10,25.1,000,96,30.50,7.00,24.4,1005.84,1006.55,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-15-2019,04:00:00,0.00,25.1,000,92,29.44,10.00,23.8,985.78,1007.06,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-15-2019,04:00:00,0.20,25.8,000,93,30.73,7.00,24.5,990.01,1006.78,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-15-2019,04:00:00,13.20,25.2,000,96,30.69,6.00,24.5,990.83,1007.36,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-15-2019,04:00:00,4.60,24.5,000,96,29.41,10.00,23.8,984.91,1006.94,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-15-2019,04:00:00,14.70,23.2,180,98,27.91,8.00,22.9,963.99,1007.80,3.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-15-2019,04:00:00,2.60,24.1,000,97,29.22,8.00,23.7,986.15,1006.91,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-15-2019,04:00:00,3.20,24.2,000,100,30.18,8.00,24.2,987.30,1008.33,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-15-2019,04:00:00,5.70,25.8,000,93,31.00,10.00,24.6,1005.84,1006.27,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-15-2019,04:00:00,13.70,25.1,000,96,30.50,6.00,24.4,1005.21,1006.64,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-15-2019,04:00:00,18.80,24.0,000,100,29.82,.90,24.0,1001.88,1006.87,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-15-2019,04:00:00,0.01,26.1,000,88,29.68,10.00,23.9,1003.11,1006.41,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-15-2019,04:00:00,36.20,25.3,000,97,31.41,10.00,24.9,1005.24,1006.35,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-15-2019,04:00:00,3.20,26.0,090,96,32.20,7.00,25.3,1006.29,1006.59,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-15-2019,04:00:00,33.00,25.3,000,97,31.41,10.00,24.9,1005.27,1005.76,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-15-2019,04:00:00,5.00,25.3,000,99,31.96,10.00,25.1,1005.52,1006.93,0.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-15-2019,04:00:00,15.90,24.0,000,98,29.30,8.00,23.7,1000.52,1008.61,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-15-2019,04:00:00,4.30,26.0,000,96,32.20,6.00,25.3,1005.53,1005.82,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,20.00,09-15-2019,04:00:00,46.00,26.0,000,96,32.20,10.00,25.3,1003.41,1006.56,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-15-2019,04:00:00,2.90,26.5,000,92,31.79,10.00,25.1,999.28,1006.23,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,2.30,09-15-2019,04:00:00,17.40,25.0,000,96,30.32,9.00,24.3,1001.11,1006.75,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-15-2019,04:00:00,2.50,25.0,270,97,30.58,8.00,24.4,1006.51,1007.78,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-15-2019,04:00:00,0.20,25.8,330,89,29.66,11.00,23.9,1005.79,1006.23,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-15-2019,04:00:00,40.50,24.1,000,97,28.96,10.00,23.5,994.36,1006.74,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-15-2019,04:00:00,11.00,26.1,000,87,29.41,10.00,23.8,1005.93,1006.64,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,2.30,09-15-2019,04:00:00,7.70,26.0,000,92,30.84,9.00,24.6,1004.80,1007.25,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-15-2019,04:00:00,5.90,26.0,000,94,31.65,10.00,25.0,1006.11,1006.63,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.60,09-15-2019,04:00:00,5.00,26.2,000,93,31.49,8.00,24.9,1001.32,1006.49,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-15-2019,04:00:00,13.70,24.5,000,96,29.41,7.00,23.8,1006.26,1006.68,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-15-2019,04:00:00,22.20,24.3,000,97,29.57,8.00,23.9,1004.55,1007.35,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-15-2019,04:00:00,0.01,26.0,000,82,27.40,10.00,22.6,1006.71,1007.50,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,13.70,09-15-2019,04:00:00,26.90,24.7,000,97,30.03,3.00,24.1,1006.54,1007.01,0.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,15.50,09-15-2019,04:00:00,24.30,23.5,000,96,27.66,7.00,22.8,1007.59,1008.28,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.60,09-15-2019,04:00:00,21.40,24.4,250,95,28.97,8.00,23.5,1007.32,1008.87,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,20.30,09-15-2019,04:00:00,93.20,23.8,190,94,27.67,10.00,22.8,1008.67,1009.60,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.01,09-15-2019,04:00:00,20.00,25.0,300,86,27.19,9.00,22.5,1008.27,1008.97,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.20,09-15-2019,04:00:00,13.80,22.9,000,96,26.91,10.00,22.3,1008.05,1008.86,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.20,09-15-2019,04:00:00,4.80,24.3,000,91,27.51,10.00,22.7,1007.70,1008.34,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.30,09-15-2019,04:00:00,22.00,24.3,000,93,28.28,10.00,23.1,1008.63,1009.04,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-15-2019,04:00:00,17.10,23.8,000,96,28.18,5.00,23.1,1006.70,1010.97,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.01,09-15-2019,04:00:00,10.20,23.0,000,98,27.57,5.00,22.7,1007.22,1008.85,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.20,09-15-2019,04:00:00,14.10,23.2,000,96,27.41,6.00,22.6,1006.42,1009.95,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-15-2019,04:00:00,2.00,24.5,300,89,27.35,8.00,22.6,1007.78,1009.15,7.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.20,09-15-2019,04:00:00,24.00,23.5,240,97,28.17,8.00,23.0,1009.59,1010.49,18.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,2.00,09-15-2019,04:00:00,15.20,23.0,000,96,27.07,10.00,22.4,1005.82,1009.44,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,2.00,09-15-2019,04:00:00,23.70,25.6,260,90,29.56,7.00,23.8,1008.25,1009.25,22.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-15-2019,04:00:00,47.60,26.3,260,94,32.23,10.00,25.3,1008.67,1009.49,18.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,2.50,09-15-2019,04:00:00,15.90,23.6,000,96,28.09,5.00,23.0,1007.78,1009.62,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-15-2019,04:00:00,1.50,26.2,250,79,26.98,10.00,22.3,1008.06,1008.81,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-15-2019,04:00:00,0.01,24.3,230,93,28.28,10.00,23.1,1004.87,1008.91,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-15-2019,04:00:00,13.30,24.0,000,91,27.25,10.00,22.5,1008.47,1009.16,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-15-2019,04:00:00,14.20,25.5,000,96,31.25,10.00,24.8,1007.65,1008.77,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-15-2019,04:00:00,7.60,24.0,000,96,28.53,10.00,23.3,1006.02,1008.97,0.0
