WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,DewPoint,WindSpeed,StationPressure,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure,WindDirection,VaporPressure
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,60,07-31-2019,10:00:00,0.00,32.5,23.7,11.1,999.48,0.00,12.00,1008.64,290,29.38
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,64,07-31-2019,10:00:00,0.00,29.0,21.6,7.4,1006.92,0.00,14.00,1008.17,270,25.71
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,56,07-31-2019,10:00:00,0.00,30.5,20.8,18.5,1006.98,0.00,11.00,1007.41,210,24.48
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,55,07-31-2019,10:00:00,0.00,30.9,20.7,7.4,995.75,0.00,10.00,1007.86,240,24.42
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,59,07-31-2019,10:00:00,0.00,31.6,22.7,13.0,1007.00,0.00,10.00,1007.70,300,27.60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,52,07-31-2019,10:00:00,0.00,33.3,22.0,11.1,1005.59,0.00,10.00,1007.98,290,26.48
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,67,07-31-2019,10:00:00,0.00,31.4,24.4,14.8,1007.56,0.10,12.00,1008.07,260,30.57
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,51,07-31-2019,10:00:00,0.00,32.6,21.2,24.1,1002.75,0.00,12.00,1007.82,290,25.14
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,78,07-31-2019,10:00:00,0.01,30.0,25.8,9.3,1007.85,0.01,8.00,1008.26,250,33.17
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,72,07-31-2019,10:00:00,0.00,30.5,24.8,0.0,1005.76,0.00,8.00,1008.50,000,31.31
