WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,VaporPressure,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed,RelativeHumidity,MinimumTemperature,WindDirection,AirTemperature,Rainfall
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1012.57,10-14-2019,07:00:00,1006.32,32.45,8.00,25.4,0.00,0.0,98,25.3,000,25.7,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1014.07,10-14-2019,07:00:00,997.39,28.11,12.00,23.0,0.00,0.0,91,23.3,000,24.5,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1011.54,10-14-2019,07:00:00,988.90,27.25,4.00,22.5,4.00,14.8,91,23.0,090,24.0,4.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1013.49,10-14-2019,07:00:00,998.93,30.87,6.00,24.6,23.90,0.0,96,24.8,000,25.3,0.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1013.48,10-14-2019,07:00:00,996.88,30.05,7.00,24.1,7.70,0.0,95,23.9,000,25.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1012.59,10-14-2019,07:00:00,1007.31,31.74,10.00,25.0,0.01,0.0,95,25.1,000,25.9,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1011.97,10-14-2019,07:00:00,998.58,28.62,10.00,23.3,0.60,0.0,95,23.5,000,24.2,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1012.90,10-14-2019,07:00:00,1003.50,32.87,10.00,25.6,4.50,0.0,97,25.6,000,26.2,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1013.96,10-14-2019,07:00:00,991.82,24.56,6.00,20.8,0.00,5.6,89,22.5,020,22.8,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1013.36,10-14-2019,07:00:00,995.55,25.19,8.00,21.2,0.00,0.0,87,23.0,000,23.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1013.21,10-14-2019,07:00:00,997.13,24.62,10.00,20.8,0.00,0.0,82,23.5,000,24.2,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1012.97,10-14-2019,07:00:00,993.66,24.89,5.00,21.0,0.00,1.9,94,21.1,330,22.1,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1012.10,10-14-2019,07:00:00,960.09,24.80,7.00,21.0,28.30,0.0,91,20.3,000,22.5,18.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1012.57,10-14-2019,07:00:00,1008.57,31.25,3.00,24.8,9.10,0.0,96,24.5,000,25.5,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1013.29,10-14-2019,07:00:00,917.60,24.44,6.00,20.7,17.50,9.3,95,20.9,050,21.5,13.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1013.69,10-14-2019,07:00:00,997.42,25.03,8.00,21.1,0.00,0.0,85,21.7,000,23.7,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1012.78,10-14-2019,07:00:00,1008.70,32.18,9.00,25.3,1.30,0.0,97,25.2,000,25.7,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1013.27,10-14-2019,07:00:00,1002.46,29.52,9.00,23.8,0.00,0.0,93,24.6,000,25.0,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1012.66,10-14-2019,07:00:00,1010.72,31.33,10.00,24.8,0.00,0.0,91,25.5,000,26.4,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1013.02,10-14-2019,07:00:00,991.87,23.08,10.00,19.8,0.00,0.0,75,24.0,000,24.6,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1012.97,10-14-2019,07:00:00,994.99,24.55,10.00,20.8,0.10,3.7,85,22.2,070,23.4,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1012.93,10-14-2019,07:00:00,996.48,27.83,8.00,22.8,0.00,0.0,97,23.0,000,23.3,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1013.02,10-14-2019,07:00:00,998.74,24.46,9.00,20.7,0.00,3.7,85,22.3,040,23.5,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1013.46,10-14-2019,07:00:00,998.37,25.19,8.00,21.2,0.00,3.7,87,22.0,360,23.5,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1013.02,10-14-2019,07:00:00,998.08,26.99,8.00,22.3,5.30,3.7,94,22.8,040,23.4,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1012.01,10-14-2019,07:00:00,1008.97,32.12,8.00,25.2,0.10,0.0,95,25.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.1,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1012.66,10-14-2019,07:00:00,1004.62,29.82,10.00,24.0,16.70,0.0,91,24.9,000,25.6,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.09,10-14-2019,07:00:00,1010.98,31.41,5.00,24.9,0.00,0.0,92,25.4,000,26.3,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1012.91,10-14-2019,07:00:00,998.04,27.70,8.00,22.8,6.20,0.0,88,24.5,000,25.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1013.78,10-14-2019,07:00:00,877.72,20.36,8.00,17.8,1.80,5.6,92,18.0,100,19.1,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1013.12,10-14-2019,07:00:00,1007.15,28.89,10.00,23.5,0.00,0.0,94,23.7,000,24.5,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.91,10-14-2019,07:00:00,1011.10,32.53,8.00,25.4,0.00,5.6,90,26.8,330,27.3,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.27,10-14-2019,07:00:00,1010.82,32.77,8.00,25.6,5.10,0.0,92,25.2,000,27.0,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1012.05,10-14-2019,07:00:00,1000.61,29.77,6.00,24.0,2.50,0.0,96,24.5,000,24.7,2.50
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1012.23,10-14-2019,07:00:00,1011.21,30.25,7.00,24.2,23.10,0.0,93,23.9,000,25.4,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1012.68,10-14-2019,07:00:00,1010.84,30.76,5.00,24.5,0.00,7.4,91,25.7,020,26.1,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1011.90,10-14-2019,07:00:00,1011.13,30.30,8.00,24.3,21.70,0.0,97,23.0,000,24.7,1.70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.85,10-14-2019,07:00:00,1011.14,31.55,9.00,24.9,4.40,9.3,90,25.5,080,26.8,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1012.05,10-14-2019,07:00:00,1011.34,29.62,7.00,23.9,0.30,3.7,86,25.8,090,26.5,0.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1013.41,10-14-2019,07:00:00,992.00,27.28,8.00,22.5,0.00,0.0,85,24.3,000,25.2,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1012.94,10-14-2019,07:00:00,995.94,25.19,6.00,21.2,2.70,3.7,87,21.6,050,23.5,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1013.34,10-14-2019,07:00:00,996.56,26.25,9.00,21.9,2.70,9.3,96,21.1,040,22.5,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1013.23,10-14-2019,07:00:00,991.03,28.19,8.00,23.1,0.00,0.0,94,23.4,000,24.1,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1013.42,10-14-2019,07:00:00,969.49,26.01,12.00,21.7,0.00,11.1,87,22.7,060,24.0,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1012.86,10-14-2019,07:00:00,991.94,26.66,5.00,22.1,5.00,7.4,92,22.6,040,23.5,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1014.61,10-14-2019,07:00:00,993.39,27.75,8.00,22.8,0.00,13.0,96,21.9,050,23.4,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1011.83,10-14-2019,07:00:00,1011.40,30.60,10.00,24.4,65.20,0.0,95,24.5,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.3,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1011.74,10-14-2019,07:00:00,1010.31,29.69,10.00,23.9,0.20,0.0,95,24.5,000,24.8,0.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1012.34,10-14-2019,07:00:00,1007.36,31.33,8.00,24.8,17.00,0.0,97,23.9,000,25.4,6.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.89,10-14-2019,07:00:00,1008.56,27.87,10.00,22.9,19.40,0.0,89,22.5,000,24.8,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.87,10-14-2019,07:00:00,1010.75,30.32,10.00,24.3,0.00,0.0,96,24.5,000,25.0,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.59,10-14-2019,07:00:00,1011.29,32.91,8.00,25.6,22.30,3.7,95,25.4,090,26.5,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1011.51,10-14-2019,07:00:00,1010.82,32.81,10.00,25.6,2.10,0.0,90,25.9,000,27.3,2.10
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1011.38,10-14-2019,07:00:00,1010.89,31.66,10.00,25.0,4.80,0.0,89,24.8,000,27.0,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.85,10-14-2019,07:00:00,1010.44,31.80,9.00,25.1,0.01,9.3,87,26.8,340,27.5,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1011.70,10-14-2019,07:00:00,1010.02,31.57,8.00,24.9,0.00,9.3,80,26.0,050,28.8,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1013.53,10-14-2019,07:00:00,1005.41,30.30,10.00,24.3,4.20,0.0,97,24.0,000,24.7,4.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1011.49,10-14-2019,07:00:00,1011.20,32.20,4.00,25.3,1.20,5.6,96,25.0,080,26.0,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1011.59,10-14-2019,07:00:00,1008.44,31.79,10.00,25.1,0.40,0.0,92,25.6,000,26.5,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1011.05,10-14-2019,07:00:00,1004.04,31.25,8.00,24.8,42.60,0.0,96,24.8,000,25.5,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1012.61,10-14-2019,07:00:00,1006.96,29.82,8.00,24.0,0.01,0.0,91,24.6,000,25.6,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1012.13,10-14-2019,07:00:00,1002.72,31.25,5.00,24.8,3.60,9.3,96,24.5,110,25.5,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.38,10-14-2019,07:00:00,1011.10,30.48,8.00,24.4,9.50,0.0,97,24.5,000,24.8,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1011.21,10-14-2019,07:00:00,1010.77,29.07,11.00,23.6,8.40,18.5,94,24.0,330,24.6,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.57,10-14-2019,07:00:00,999.13,28.52,4.00,23.3,2.00,0.0,97,23.2,000,23.7,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.44,10-14-2019,07:00:00,1010.71,29.00,10.00,23.5,16.60,0.0,92,24.4,000,25.0,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.31,10-14-2019,07:00:00,1008.85,29.69,9.00,23.9,60.30,3.7,95,24.2,020,24.8,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.66,10-14-2019,07:00:00,1011.13,31.25,8.00,24.8,6.90,0.0,96,25.0,000,25.5,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.51,10-14-2019,07:00:00,1006.30,30.32,10.00,24.3,14.00,3.7,96,24.3,050,25.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.74,10-14-2019,07:00:00,1011.32,29.51,7.00,23.8,17.40,0.0,95,24.0,000,24.7,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1011.70,10-14-2019,07:00:00,1008.89,28.36,8.00,23.2,0.00,0.0,94,24.0,000,24.2,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.49,10-14-2019,07:00:00,1010.69,29.79,10.00,24.0,30.70,0.0,94,23.5,000,25.0,30.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.54,10-14-2019,07:00:00,1011.08,28.10,7.00,23.0,4.40,3.7,93,23.1,070,24.2,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1012.26,10-14-2019,07:00:00,1011.57,30.32,7.00,24.3,4.70,0.0,96,24.7,000,25.0,2.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.96,10-14-2019,07:00:00,1009.42,29.95,8.00,24.1,1.20,0.0,96,24.5,000,24.8,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.73,10-14-2019,07:00:00,1009.80,29.00,10.00,23.5,15.50,0.0,92,24.8,000,25.0,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.74,10-14-2019,07:00:00,1011.05,31.41,7.00,24.9,7.50,7.4,97,24.5,070,25.3,7.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.28,10-14-2019,07:00:00,1010.47,27.75,4.00,22.8,0.00,0.0,96,23.3,000,23.4,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.85,10-14-2019,07:00:00,1010.21,29.57,10.00,23.9,9.90,0.0,97,23.9,000,24.3,9.90
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.15,10-14-2019,07:00:00,1010.74,29.41,8.00,23.8,2.60,0.0,96,24.2,000,24.5,2.60
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.65,10-14-2019,07:00:00,1008.38,29.30,4.00,23.7,0.00,0.0,98,23.2,000,24.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.56,10-14-2019,07:00:00,1007.93,27.66,5.00,22.8,34.60,0.0,96,21.8,000,23.5,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.38,10-14-2019,07:00:00,1006.84,27.91,.60,22.9,1.70,0.0,98,23.0,000,23.2,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.59,10-14-2019,07:00:00,1009.22,31.12,9.00,24.7,0.60,0.0,98,24.5,000,25.0,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.27,10-14-2019,07:00:00,1008.38,28.52,12.00,23.3,3.40,0.0,97,23.4,000,23.7,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.07,10-14-2019,07:00:00,1006.45,27.91,7.00,22.9,5.80,0.0,98,22.2,000,23.2,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.70,10-14-2019,07:00:00,1009.26,30.17,8.00,24.2,7.80,0.0,93,24.9,000,25.5,0.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.76,10-14-2019,07:00:00,1008.76,29.49,10.00,23.8,5.40,0.0,97,22.8,000,24.4,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.15,10-14-2019,07:00:00,1009.33,30.63,10.00,24.4,2.20,5.6,93,24.0,090,25.6,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.19,10-14-2019,07:00:00,1008.35,28.85,.30,23.4,11.50,0.0,99,23.5,000,23.6,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.83,10-14-2019,07:00:00,1010.08,27.95,10.00,22.9,0.30,1.9,80,24.9,220,26.6,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.15,10-14-2019,07:00:00,1007.09,28.33,.80,23.1,25.00,3.7,99,22.9,990,23.3,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.09,10-14-2019,07:00:00,1009.40,28.54,10.00,23.3,14.00,0.0,94,23.8,000,24.3,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.97,10-14-2019,07:00:00,1008.84,28.97,10.00,23.5,0.00,0.0,95,23.3,000,24.4,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.85,10-14-2019,07:00:00,1007.89,28.77,.60,23.4,3.20,0.0,98,22.6,000,23.7,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.06,10-14-2019,07:00:00,1009.36,28.35,9.00,23.2,0.00,0.0,96,23.5,000,23.9,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.07,10-14-2019,07:00:00,1006.89,28.27,9.00,23.1,2.60,0.0,95,23.2,000,24.0,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.36,10-14-2019,07:00:00,1009.77,28.98,9.00,23.5,16.00,5.6,93,.0,210,24.7,0.00
