WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,LandVisibility,VaporPressure,WindDirection,Rainfall,DewPoint,StationPressure,Rainfall24Hr
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,5.6,07-25-2019,04:00:00,1006.75,88,25.5,7.00,28.59,120,0.00,23.3,990.30,2.80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,07-25-2019,04:00:00,1007.42,87,27.6,10.00,32.00,000,0.00,25.2,1002.20,1.20
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-25-2019,04:00:00,1006.76,90,25.7,10.00,29.74,000,0.30,23.9,993.51,3.40
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,07-25-2019,04:00:00,1007.45,86,26.7,8.00,30.26,000,0.10,24.2,998.12,3.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,07-25-2019,04:00:00,1007.25,84,26.0,8.00,28.18,190,0.00,23.1,985.49,4.10
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,5.6,07-25-2019,04:00:00,1008.23,92,25.5,8.00,29.91,210,0.30,24.0,990.62,1.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,07-25-2019,04:00:00,1006.17,91,24.0,10.00,27.25,000,0.00,22.5,990.19,3.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,07-25-2019,04:00:00,1006.64,87,26.3,7.00,29.78,160,0.01,24.0,987.72,5.20
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-25-2019,04:00:00,1007.16,91,23.0,5.00,25.60,000,0.00,21.5,955.48,10.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,07-25-2019,04:00:00,1007.19,85,27.1,6.00,30.48,000,0.00,24.4,1003.24,0.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.2,07-25-2019,04:00:00,1008.05,97,20.4,.10,23.26,190,1.90,19.9,912.53,14.90
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.4,07-25-2019,04:00:00,1007.65,96,24.7,5.00,29.77,220,0.90,24.0,991.53,3.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,07-25-2019,04:00:00,1007.64,72,28.0,10.00,27.32,220,0.00,22.5,1003.61,0.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-25-2019,04:00:00,1008.94,88,26.0,6.00,29.50,000,0.00,23.8,998.21,1.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.6,07-25-2019,04:00:00,1008.59,74,27.0,7.00,26.32,150,0.00,21.9,1006.66,3.60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,07-25-2019,04:00:00,1007.63,85,25.8,10.00,28.34,000,0.00,23.2,986.68,0.80
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.4,07-25-2019,04:00:00,1007.56,94,24.5,10.00,28.89,210,0.60,23.5,989.75,8.20
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,07-25-2019,04:00:00,1007.41,96,24.5,10.00,29.41,220,0.70,23.8,991.11,11.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,7.4,07-25-2019,04:00:00,1008.53,96,23.9,10.00,28.35,180,0.50,23.2,994.33,49.40
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-25-2019,04:00:00,1009.40,96,23.5,7.00,27.66,000,0.00,22.8,994.37,25.60
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,07-25-2019,04:00:00,1009.46,96,24.0,5.00,28.53,000,0.10,23.3,994.61,16.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-25-2019,04:00:00,1007.50,71,27.8,10.00,26.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,22.2,1004.48,0.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-25-2019,04:00:00,1008.02,92,25.5,7.00,29.91,000,0.10,24.0,1000.03,0.30
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,07-25-2019,04:00:00,1008.91,92,26.0,7.00,30.84,180,0.00,24.6,1007.80,14.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-25-2019,04:00:00,1008.92,91,24.0,8.00,27.25,000,0.00,22.5,994.06,15.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,3.7,07-25-2019,04:00:00,1009.65,99,19.1,.10,21.87,110,0.60,18.9,874.14,16.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,07-25-2019,04:00:00,1008.32,88,26.1,10.00,29.68,210,0.00,23.9,1002.42,7.40
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.7,07-25-2019,04:00:00,1009.34,94,27.4,8.00,34.44,260,0.00,26.4,1008.54,1.10
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,5.6,07-25-2019,04:00:00,1008.69,82,28.0,9.00,31.11,240,0.30,24.7,1008.25,2.50
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-25-2019,04:00:00,1010.30,97,23.8,3.00,28.43,000,0.90,23.2,998.84,21.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,07-25-2019,04:00:00,1009.35,77,27.2,10.00,27.72,000,0.00,22.8,1008.33,1.60
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,07-25-2019,04:00:00,1008.77,91,26.2,7.00,30.94,160,0.00,24.6,1006.94,0.20
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.7,07-25-2019,04:00:00,1008.87,67,26.7,3.00,23.30,230,0.00,20.0,1008.10,2.50
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,07-25-2019,04:00:00,1009.17,85,26.9,10.00,30.10,250,0.01,24.1,1008.46,24.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,07-25-2019,04:00:00,1009.14,93,26.4,7.00,31.88,000,0.30,25.1,1008.43,3.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.7,07-25-2019,04:00:00,1008.66,97,25.3,8.00,31.14,200,0.90,24.7,987.35,3.30
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,07-25-2019,04:00:00,1009.03,98,23.7,6.00,28.77,000,0.50,23.4,992.10,18.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,07-25-2019,04:00:00,1009.29,96,24.0,6.00,28.53,000,0.50,23.3,992.66,24.80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,07-25-2019,04:00:00,1009.31,92,25.2,6.00,29.62,000,0.60,23.9,987.28,2.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,07-25-2019,04:00:00,1009.20,87,24.6,10.00,26.76,200,0.00,22.2,965.53,7.90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,07-25-2019,04:00:00,1008.91,91,24.5,10.00,28.11,000,0.20,23.0,988.14,8.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,11.1,07-25-2019,04:00:00,1010.10,100,24.1,6.00,30.00,220,0.40,24.1,989.03,2.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,11.1,07-25-2019,04:00:00,1009.25,89,27.3,9.00,32.25,350,0.00,25.3,1008.81,25.90
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-25-2019,04:00:00,1009.02,97,25.2,6.00,30.96,000,0.00,24.6,1007.60,17.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,07-25-2019,04:00:00,1009.59,97,24.9,7.00,30.40,000,0.00,24.3,1004.61,10.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,07-25-2019,04:00:00,1009.20,78,26.0,10.00,26.37,000,0.01,22.0,1005.89,0.20
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,07-25-2019,04:00:00,1008.77,89,26.2,10.00,30.40,000,0.00,24.3,1007.66,0.10
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,07-25-2019,04:00:00,1008.85,85,27.2,8.00,30.67,000,0.10,24.5,1008.54,17.60
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,07-25-2019,04:00:00,1008.99,89,26.9,10.00,31.46,000,0.00,24.9,1008.50,0.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,07-25-2019,04:00:00,1009.08,82,27.9,10.00,30.92,260,0.01,24.6,1007.68,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,07-25-2019,04:00:00,1011.03,99,25.0,10.00,31.39,000,0.00,24.8,1002.95,6.10
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,07-25-2019,04:00:00,1008.84,88,27.5,6.00,32.36,000,0.00,25.4,1008.56,3.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,07-25-2019,04:00:00,1008.24,92,27.0,10.00,32.77,000,0.00,25.6,1005.10,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,07-25-2019,04:00:00,1009.28,81,28.0,10.00,30.56,000,0.00,24.4,1002.34,1.20
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,07-25-2019,04:00:00,1008.93,90,25.2,9.00,28.83,000,0.00,23.4,1003.29,2.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,07-25-2019,04:00:00,1009.93,95,25.8,6.00,31.55,000,0.00,24.9,1008.65,33.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,07-25-2019,04:00:00,1009.17,89,27.0,11.00,31.66,000,0.00,25.0,1008.74,34.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-25-2019,04:00:00,1009.78,92,25.3,10.00,29.54,000,0.00,23.8,997.42,0.50
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,07-25-2019,04:00:00,1009.37,83,28.2,10.00,31.79,000,0.00,25.1,1008.66,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,07-25-2019,04:00:00,1009.41,84,27.7,9.00,31.08,340,0.40,24.7,1006.98,0.40
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,07-25-2019,04:00:00,1009.43,92,26.7,10.00,32.18,000,0.00,25.3,1008.91,10.30
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,07-25-2019,04:00:00,1008.91,86,27.0,9.00,30.56,000,0.20,24.4,1003.75,0.20
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,07-25-2019,04:00:00,1010.03,95,24.6,4.00,29.33,000,10.90,23.7,1009.62,36.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,07-25-2019,04:00:00,1009.32,98,24.5,8.00,30.20,000,10.10,24.2,1006.52,44.90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,07-25-2019,04:00:00,1009.79,75,28.3,10.00,28.95,000,0.00,23.5,1009.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,07-25-2019,04:00:00,1009.96,96,23.5,5.00,27.66,070,7.00,22.8,1009.49,31.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,07-25-2019,04:00:00,1009.74,85,27.2,8.00,30.67,000,0.00,24.5,1009.06,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-25-2019,04:00:00,1009.63,92,26.0,8.00,30.84,000,0.00,24.6,1008.10,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,07-25-2019,04:00:00,1010.17,90,26.6,10.00,31.16,000,0.00,24.7,1009.26,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,07-25-2019,04:00:00,1010.30,79,27.5,10.00,29.06,000,0.00,23.6,1009.61,0.20
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,07-25-2019,04:00:00,1010.45,95,24.1,8.00,28.44,000,0.00,23.2,1009.64,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,07-25-2019,04:00:00,1009.81,97,23.9,10.00,28.61,000,0.00,23.3,1009.17,14.20
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,07-25-2019,04:00:00,1010.10,96,24.6,10.00,29.59,000,0.00,23.9,1009.69,6.50
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,07-25-2019,04:00:00,1012.31,97,24.2,5.00,29.13,000,0.00,23.6,1008.04,0.20
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-25-2019,04:00:00,1010.47,98,23.3,10.00,28.08,000,0.00,23.0,1008.84,18.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,07-25-2019,04:00:00,1010.68,94,24.2,10.00,28.36,000,0.00,23.2,1007.16,9.60
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,07-25-2019,04:00:00,1009.36,98,24.8,7.00,30.75,000,0.00,24.5,1007.99,4.10
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-25-2019,04:00:00,1010.15,92,25.4,10.00,29.99,000,0.00,24.1,1009.26,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-25-2019,04:00:00,1010.32,94,24.1,10.00,28.19,000,0.00,23.1,1006.72,5.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,07-25-2019,04:00:00,1010.34,80,26.6,10.00,27.95,000,0.00,22.9,1009.91,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,07-25-2019,04:00:00,1009.87,93,25.0,10.00,29.52,000,0.00,23.8,1008.87,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,07-25-2019,04:00:00,1010.06,94,25.5,10.00,30.71,000,0.00,24.5,1009.24,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,07-25-2019,04:00:00,1010.12,96,24.5,10.00,29.41,000,0.00,23.8,1008.29,0.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,07-25-2019,04:00:00,1009.77,91,25.4,8.00,29.46,000,0.01,23.8,1009.01,17.10
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,07-25-2019,04:00:00,1010.02,94,24.8,8.00,29.42,000,0.20,23.8,1005.98,6.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-25-2019,04:00:00,1010.64,97,24.3,10.00,29.57,000,0.00,23.9,1009.95,2.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-25-2019,04:00:00,1010.16,98,24.8,10.00,30.75,000,0.00,24.5,1009.04,9.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-25-2019,04:00:00,1009.79,97,24.4,10.00,29.49,000,0.00,23.8,1006.84,7.20
