WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,StationPressure,RelativeHumidity,Rainfall24Hr,Rainfall,WindDirection,VaporPressure,MaximumTemperature,DewPoint,WindSpeed,MeanSeaLevelPressure
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-08-2019,19:00:00,30.3,977.78,75,0.00,0.00,140,32.34,35.4,25.3,5.6,1000.16
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-08-2019,19:00:00,29.8,970.96,73,0.00,0.00,000,30.47,34.5,24.4,0.0,1000.31
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,08-08-2019,19:00:00,30.0,966.01,75,0.20,0.00,000,31.72,33.0,25.0,0.0,1000.85
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,08-08-2019,19:00:00,30.9,970.08,66,0.00,0.00,000,29.56,36.6,23.9,0.0,999.13
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,08-08-2019,19:00:00,31.7,993.96,67,0.00,0.00,000,31.47,34.8,24.9,0.0,1001.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,15.00,08-08-2019,19:00:00,33.0,979.12,68,0.00,0.00,270,33.96,35.8,26.2,3.7,998.45
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-08-2019,19:00:00,32.3,971.37,54,0.00,0.00,280,25.93,35.6,21.7,9.3,999.28
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,08-08-2019,19:00:00,32.9,979.31,67,0.00,0.00,300,33.44,35.4,25.9,3.7,998.93
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-08-2019,19:00:00,32.0,977.88,73,0.00,0.00,000,34.79,35.6,26.6,0.0,999.07
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,08-08-2019,19:00:00,33.0,979.96,67,0.00,0.00,000,33.66,35.8,26.0,0.0,998.91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,11.00,08-08-2019,19:00:00,31.6,983.74,69,0.00,0.00,000,31.85,34.1,25.1,0.0,1000.12
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,08-08-2019,19:00:00,31.2,983.21,72,0.00,0.00,000,32.76,34.4,25.6,0.0,1000.26
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,13.00,08-08-2019,19:00:00,32.0,973.30,60,0.00,0.00,000,28.66,33.5,23.3,0.0,998.42
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-08-2019,19:00:00,30.5,995.79,75,1.30,0.00,250,32.75,35.0,25.6,5.6,1001.48
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,08-08-2019,19:00:00,30.5,995.51,70,1.50,0.00,260,30.74,34.0,24.5,7.4,1001.59
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-08-2019,19:00:00,31.0,985.22,64,0.00,0.00,000,28.92,35.2,23.5,0.0,1001.35
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,08-08-2019,19:00:00,26.0,980.23,90,9.70,0.40,190,30.30,29.7,24.3,9.3,1002.52
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-08-2019,19:00:00,29.0,988.76,73,9.40,0.00,260,29.19,32.5,23.6,11.1,1002.99
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10.00,08-08-2019,19:00:00,30.0,985.57,71,2.60,0.00,000,30.31,34.0,24.3,0.0,1001.71
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-08-2019,19:00:00,31.3,996.65,65,1.00,0.00,240,29.52,34.4,23.8,11.1,1001.78
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,08-08-2019,19:00:00,30.7,986.90,70,0.00,0.00,000,30.86,34.2,24.6,0.0,999.84
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.00,08-08-2019,19:00:00,30.5,992.72,68,5.10,0.00,290,29.89,33.5,24.0,3.7,1001.89
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-08-2019,19:00:00,30.5,978.49,63,0.00,0.00,230,27.41,36.9,22.6,5.6,999.77
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,08-08-2019,19:00:00,31.5,983.35,60,0.00,0.00,000,27.96,36.7,22.9,0.0,1000.48
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,08-08-2019,19:00:00,32.0,983.76,70,0.00,0.00,000,33.29,34.8,25.8,0.0,999.21
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,08-08-2019,19:00:00,29.6,980.50,76,0.01,0.01,000,31.48,36.5,24.9,0.0,999.08
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,08-08-2019,19:00:00,24.5,954.47,91,32.60,0.00,000,28.11,28.0,23.0,0.0,1005.82
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,6.00,08-08-2019,19:00:00,30.5,997.79,75,4.00,0.00,210,32.75,34.2,25.6,7.4,1001.68
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.10,08-08-2019,19:00:00,21.7,909.19,98,10.00,2.70,230,25.46,23.3,21.4,5.6,1003.93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,08-08-2019,19:00:00,31.1,983.75,70,0.00,0.00,230,31.68,35.7,25.0,3.7,999.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10.00,08-08-2019,19:00:00,30.2,998.71,78,1.60,0.00,190,33.59,33.3,26.0,5.6,1002.68
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,08-08-2019,19:00:00,27.7,993.00,82,0.70,0.00,000,30.53,33.5,24.4,0.0,1003.61
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.00,08-08-2019,19:00:00,27.5,1001.54,92,9.20,6.80,210,33.78,34.5,26.1,5.6,1003.46
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-08-2019,19:00:00,31.4,980.18,59,0.00,0.00,270,27.21,34.7,22.5,7.4,1000.61
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-08-2019,19:00:00,30.3,982.41,66,0.00,0.00,210,28.67,35.6,23.3,11.1,999.75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-08-2019,19:00:00,31.3,983.44,63,0.00,0.00,220,28.68,35.8,23.3,5.6,999.25
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-08-2019,19:00:00,31.9,986.78,64,0.00,0.00,240,30.44,34.4,24.3,3.7,1000.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,08-08-2019,19:00:00,29.8,986.59,84,1.00,1.00,000,35.40,33.9,26.9,0.0,1001.20
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,08-08-2019,19:00:00,32.0,986.55,66,2.50,0.00,260,31.52,34.0,24.9,3.7,1000.89
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-08-2019,19:00:00,28.2,999.36,89,3.20,0.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",34.07,34.2,26.2,0.0,1002.35
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,08-08-2019,19:00:00,31.0,994.16,66,0.01,0.00,000,29.48,32.5,23.8,0.0,1001.97
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-08-2019,19:00:00,29.0,1002.55,76,0.90,0.00,210,30.29,33.7,24.3,11.1,1003.65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-08-2019,19:00:00,32.2,987.93,68,0.00,0.00,000,32.82,34.9,25.6,0.0,1002.29
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,08-08-2019,19:00:00,20.0,870.53,99,12.00,8.40,280,23.13,21.3,19.8,9.3,1005.04
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-08-2019,19:00:00,29.0,996.71,81,0.20,0.20,210,32.55,34.4,25.5,3.7,1002.52
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.00,08-08-2019,19:00:00,29.4,1003.02,72,2.40,0.00,250,29.41,33.5,23.8,11.1,1003.82
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-08-2019,19:00:00,28.4,1003.48,77,0.90,0.00,230,29.68,32.7,23.9,18.5,1003.92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,08-08-2019,19:00:00,25.5,994.04,94,27.30,1.80,000,30.71,28.3,24.5,0.0,1005.37
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,08-08-2019,19:00:00,28.1,1002.84,79,0.70,0.00,270,30.20,33.3,24.2,3.7,1003.84
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,08-08-2019,19:00:00,29.1,1001.77,76,2.40,0.01,250,30.77,33.6,24.5,9.3,1003.58
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,08-08-2019,19:00:00,26.5,1003.07,85,1.80,1.40,230,29.35,31.8,23.7,7.4,1003.84
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-08-2019,19:00:00,28.4,1003.41,70,1.00,0.00,250,27.26,31.9,22.5,18.5,1004.11
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,08-08-2019,19:00:00,29.0,1002.62,83,1.00,0.20,000,33.12,33.4,25.8,0.0,1003.31
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,11.00,08-08-2019,19:00:00,29.6,981.16,69,0.01,0.01,260,28.69,35.0,23.4,9.3,1002.03
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,08-08-2019,19:00:00,31.6,984.61,59,0.00,0.00,000,27.32,34.5,22.5,0.0,1000.97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.00,08-08-2019,19:00:00,31.5,985.08,63,0.00,0.00,190,29.07,34.7,23.6,1.9,1001.18
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-08-2019,19:00:00,29.0,980.47,70,0.01,0.00,270,28.10,33.9,23.0,5.6,1002.07
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,4.00,08-08-2019,19:00:00,25.1,960.25,91,13.00,9.00,190,28.92,31.0,23.5,3.7,1003.61
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-08-2019,19:00:00,29.4,981.25,68,0.00,0.00,240,28.04,35.2,23.0,13.0,1001.54
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,08-08-2019,19:00:00,31.2,981.53,65,0.00,0.00,250,29.32,33.2,23.7,9.3,1001.96
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-08-2019,19:00:00,26.7,1003.89,91,1.10,0.60,250,31.91,30.4,25.1,7.4,1004.33
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,08-08-2019,19:00:00,28.0,1005.16,82,0.01,0.00,000,30.84,32.3,24.6,0.0,1006.57
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,08-08-2019,19:00:00,29.5,998.13,77,0.00,0.00,000,31.85,32.5,25.1,0.0,1003.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-08-2019,19:00:00,27.0,1000.63,92,4.20,0.50,210,32.77,30.0,25.6,7.4,1003.91
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,5.00,08-08-2019,19:00:00,27.9,1003.07,85,1.60,0.01,260,32.03,31.1,25.2,3.7,1004.17
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-08-2019,19:00:00,28.7,1004.14,73,2.90,0.00,260,28.89,32.7,23.5,3.7,1004.44
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-08-2019,19:00:00,29.3,1003.38,73,2.70,0.00,260,29.77,32.8,24.0,13.0,1004.06
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-08-2019,19:00:00,29.0,1003.44,74,2.70,0.00,270,29.74,32.0,23.9,5.6,1003.93
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-08-2019,19:00:00,29.0,1002.60,74,2.60,0.00,250,29.74,32.1,23.9,20.4,1003.99
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-08-2019,19:00:00,28.5,1002.84,85,0.00,0.00,260,32.96,31.5,25.7,22.2,1004.51
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-08-2019,19:00:00,28.3,997.21,76,0.01,0.00,230,29.22,32.7,23.7,11.1,1005.16
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-08-2019,19:00:00,28.5,1003.71,81,0.00,0.00,000,31.54,31.5,24.9,0.0,1003.99
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-08-2019,19:00:00,28.5,1000.88,78,0.00,0.00,250,30.15,32.0,24.2,9.3,1003.99
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-08-2019,19:00:00,28.1,997.51,79,0.00,0.00,270,29.93,30.6,24.1,9.3,1004.40
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,9.00,08-08-2019,19:00:00,30.0,997.43,71,0.40,0.00,270,30.31,33.5,24.3,14.8,1002.95
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,08-08-2019,19:00:00,28.6,995.74,77,0.01,0.01,280,30.07,33.2,24.1,14.8,1004.98
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,8.00,08-08-2019,19:00:00,26.1,1004.03,96,4.70,1.40,180,32.40,29.9,25.4,3.7,1005.30
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-08-2019,19:00:00,26.1,1004.31,92,7.80,6.20,000,31.03,31.4,24.7,0.0,1004.75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-08-2019,19:00:00,26.5,992.76,92,1.70,0.10,000,31.79,29.3,25.1,0.0,1005.01
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-08-2019,19:00:00,27.2,1003.94,97,2.70,0.90,000,34.89,31.1,26.6,0.0,1004.65
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-08-2019,19:00:00,29.2,1003.02,70,0.01,0.00,270,28.48,32.9,23.2,11.1,1005.43
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-08-2019,19:00:00,28.7,1003.45,75,0.30,0.01,290,29.43,31.0,23.8,11.1,1003.97
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,14.00,08-08-2019,19:00:00,28.8,999.06,72,0.30,0.00,230,28.54,31.4,23.3,13.0,1004.17
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-08-2019,19:00:00,27.5,1003.69,92,1.60,0.60,000,33.78,31.6,26.1,0.0,1004.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-08-2019,19:00:00,27.5,1001.89,88,11.40,0.10,000,32.36,31.0,25.4,0.0,1004.65
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-08-2019,19:00:00,26.2,1004.94,87,5.80,0.00,000,29.60,30.6,23.9,0.0,1005.72
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,08-08-2019,19:00:00,27.7,1004.27,89,53.00,0.10,320,33.05,30.2,25.7,3.7,1004.73
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,6.00,08-08-2019,19:00:00,26.6,1005.61,91,7.70,1.20,000,31.71,29.5,25.0,0.0,1006.29
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-08-2019,19:00:00,26.0,1004.48,92,8.20,1.20,000,30.84,29.0,24.6,0.0,1006.01
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-08-2019,19:00:00,28.1,1006.53,87,1.10,0.10,000,33.00,29.9,25.7,0.0,1007.44
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-08-2019,19:00:00,29.0,1004.81,74,0.01,0.01,200,29.46,31.8,23.8,14.8,1005.49
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-08-2019,19:00:00,28.8,1005.91,76,0.00,0.00,000,29.90,33.0,24.0,0.0,1006.70
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-08-2019,19:00:00,30.2,1005.17,64,0.00,0.00,240,27.39,35.5,22.6,3.7,1005.79
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-08-2019,19:00:00,30.0,1005.73,68,0.01,0.00,240,28.91,35.5,23.5,7.4,1006.13
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,08-08-2019,19:00:00,29.3,1004.42,66,0.01,0.00,000,26.78,33.2,22.2,0.0,1008.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-08-2019,19:00:00,27.6,1005.55,80,0.00,0.00,000,29.52,33.5,23.8,0.0,1007.16
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,08-08-2019,19:00:00,28.0,1003.89,83,0.00,0.00,000,31.39,32.5,24.8,0.0,1007.36
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,08-08-2019,19:00:00,30.1,1004.61,66,0.00,0.00,270,28.28,34.0,23.1,9.3,1005.95
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-08-2019,19:00:00,29.2,1005.93,80,0.00,0.00,260,32.38,32.0,25.4,13.0,1006.81
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-08-2019,19:00:00,28.5,1003.24,75,0.00,0.00,000,29.05,32.5,23.6,0.0,1006.78
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-08-2019,19:00:00,30.2,1006.32,73,0.00,0.00,290,31.27,33.9,24.8,9.3,1006.75
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-08-2019,19:00:00,30.0,1005.44,77,0.00,0.00,260,32.59,33.0,25.5,9.3,1006.42
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-08-2019,19:00:00,29.6,1006.06,79,0.00,0.00,270,32.91,31.2,25.6,25.9,1006.87
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-08-2019,19:00:00,29.5,1004.72,72,0.00,0.00,000,29.60,33.7,23.9,0.0,1006.51
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-08-2019,19:00:00,30.5,1005.33,62,0.00,0.00,230,27.14,33.8,22.4,14.8,1006.07
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-08-2019,19:00:00,29.8,1002.53,65,0.00,0.00,240,27.44,33.5,22.6,13.0,1006.49
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-08-2019,19:00:00,29.6,1006.15,70,0.00,0.00,000,28.97,32.8,23.5,0.0,1006.82
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-08-2019,19:00:00,30.8,1004.84,64,0.00,0.00,000,28.26,34.2,23.1,0.0,1005.94
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-08-2019,19:00:00,29.9,1003.67,71,0.00,0.00,000,29.83,34.0,24.0,0.0,1006.56
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.00,08-08-2019,19:00:00,29.5,1005.58,77,0.00,0.00,000,31.85,33.5,25.1,0.0,1006.26
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,08-08-2019,19:00:00,28.5,1003.38,73,0.00,0.00,000,28.24,33.5,23.1,0.0,1007.48
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-08-2019,19:00:00,30.5,1005.95,59,0.00,0.00,000,25.80,34.5,21.6,0.0,1006.53
