WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,AirTemperature,LandVisibility,Rainfall24Hr,RelativeHumidity
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-17-2019,16:00:00,1009.34,140,24.0,1003.28,9.3,29.87,0.00,34.0,10.00,0.50,56
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-17-2019,16:00:00,1009.98,000,21.5,993.82,0.0,25.63,0.00,33.0,12.00,0.00,51
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-17-2019,16:00:00,1007.07,060,20.8,985.19,20.4,24.55,0.00,33.0,12.00,0.00,49
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-17-2019,16:00:00,1010.28,130,23.4,996.08,9.3,28.82,0.00,31.8,7.00,26.00,61
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-17-2019,16:00:00,1009.69,000,22.3,993.56,0.0,26.86,0.00,32.5,12.00,20.00,55
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-17-2019,16:00:00,1009.11,110,20.4,1003.99,9.3,23.99,0.00,34.0,10.00,0.00,45
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-17-2019,16:00:00,1007.97,360,21.7,995.04,5.6,25.95,0.00,33.6,12.00,0.00,50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-17-2019,16:00:00,1009.62,070,22.4,1000.49,5.6,27.01,0.00,34.0,12.00,4.10,51
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-17-2019,16:00:00,1010.25,060,22.5,988.85,11.1,27.27,0.00,32.0,10.00,0.60,57
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-17-2019,16:00:00,1010.02,030,23.1,992.78,11.1,28.25,0.00,32.5,12.00,0.00,58
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-17-2019,16:00:00,1009.32,050,22.4,993.73,3.7,27.13,0.00,32.5,12.00,0.00,55
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-17-2019,16:00:00,1009.15,050,23.5,990.59,7.4,28.97,0.00,33.0,10.00,2.00,58
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-17-2019,16:00:00,1010.08,100,19.7,959.38,9.3,23.00,0.00,29.8,10.00,0.00,55
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-17-2019,16:00:00,1009.23,000,23.4,1005.35,0.0,28.76,0.00,33.6,10.00,0.40,55
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-17-2019,16:00:00,1009.87,060,18.4,915.71,16.7,21.17,0.00,25.5,9.00,13.90,65
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-17-2019,16:00:00,1010.06,000,23.1,994.26,0.0,28.23,0.00,31.5,10.00,0.00,61
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-17-2019,16:00:00,1009.08,000,24.2,1005.13,0.0,30.28,0.00,33.5,12.00,0.00,59
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-17-2019,16:00:00,1010.04,040,21.1,999.54,3.7,25.08,0.00,33.0,10.00,0.00,50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-17-2019,16:00:00,1009.61,000,22.7,1007.71,0.0,27.59,0.00,33.3,14.00,0.00,54
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-17-2019,16:00:00,1009.36,070,21.8,988.82,14.8,26.12,0.00,32.4,10.00,0.00,54
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-17-2019,16:00:00,1009.95,040,21.9,992.50,14.8,26.32,0.00,31.5,10.00,0.00,57
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-17-2019,16:00:00,1009.21,050,22.3,993.30,13.0,26.86,0.00,32.5,10.00,0.00,55
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-17-2019,16:00:00,1008.82,030,20.8,995.05,5.6,24.49,0.00,33.4,10.00,0.00,48
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-17-2019,16:00:00,1009.27,000,21.9,994.66,0.0,26.28,0.00,32.2,12.00,0.00,55
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-17-2019,16:00:00,1009.12,070,22.5,994.70,11.1,27.28,0.00,33.0,10.00,0.00,54
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-17-2019,16:00:00,1009.48,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.1,1006.51,0.0,28.28,0.00,32.8,10.00,0.00,57
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-17-2019,16:00:00,1008.67,060,21.0,1000.89,9.3,24.80,0.00,34.0,10.00,0.00,47
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-17-2019,16:00:00,1008.50,070,24.0,1007.41,13.0,29.87,0.00,34.0,10.00,0.00,56
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-17-2019,16:00:00,1009.16,000,19.0,994.68,0.0,21.96,0.00,32.0,8.00,0.20,46
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-17-2019,16:00:00,1008.70,020,19.2,875.11,3.7,22.19,0.00,23.4,8.00,0.00,77
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-17-2019,16:00:00,1008.87,070,22.0,1003.09,9.3,26.45,0.00,33.0,10.00,0.00,53
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-17-2019,16:00:00,1008.50,090,24.6,1007.71,3.7,30.95,0.00,35.2,12.00,0.00,54
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-17-2019,16:00:00,1008.11,120,23.6,1007.67,14.8,29.05,0.00,32.9,10.00,0.00,58
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-17-2019,16:00:00,1008.83,000,22.4,997.73,0.0,27.11,0.00,33.2,10.00,0.00,53
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-17-2019,16:00:00,1009.10,000,23.3,1008.11,0.0,28.52,0.00,33.2,9.00,0.00,56
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-17-2019,16:00:00,1008.82,080,21.8,1007.04,5.6,26.18,0.00,34.0,13.00,0.00,49
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-17-2019,16:00:00,1008.89,040,23.9,1008.14,3.7,29.66,0.00,32.5,10.00,0.00,61
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-17-2019,16:00:00,1008.66,050,23.2,1007.97,9.3,28.50,0.00,32.2,10.00,0.00,59
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-17-2019,16:00:00,1007.05,100,23.3,1006.37,7.4,28.68,0.00,33.7,12.00,0.00,55
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-17-2019,16:00:00,1009.11,080,21.3,988.27,11.1,25.28,0.00,32.1,10.00,0.00,53
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-17-2019,16:00:00,1009.15,030,20.5,992.68,11.1,24.14,0.00,32.2,11.00,0.00,50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-17-2019,16:00:00,1009.68,050,22.6,993.50,11.1,27.41,0.00,32.5,10.00,0.00,56
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-17-2019,16:00:00,1009.25,060,22.4,987.72,16.7,27.02,0.00,32.3,10.00,0.00,56
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-17-2019,16:00:00,1008.94,040,21.0,966.04,18.5,24.89,0.00,30.0,10.00,0.00,59
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-17-2019,16:00:00,1008.80,040,22.3,988.53,11.1,26.89,0.00,31.8,10.00,0.00,57
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-17-2019,16:00:00,1011.45,050,24.0,990.79,16.7,29.81,0.00,30.6,10.00,0.00,68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-17-2019,16:00:00,1008.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.7,1008.27,0.0,31.06,0.00,30.8,10.00,0.00,70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-17-2019,16:00:00,1008.53,000,26.7,1007.12,0.0,35.03,1.40,28.8,11.00,1.40,89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-17-2019,16:00:00,1009.15,000,25.7,1004.23,0.0,32.96,6.50,28.5,8.00,6.50,85
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-17-2019,16:00:00,1009.17,090,23.6,1005.94,3.7,29.09,0.00,33.2,10.00,0.00,57
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-17-2019,16:00:00,1008.90,350,23.7,1007.81,3.7,29.25,0.00,33.0,10.00,0.00,58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-17-2019,16:00:00,1008.37,100,24.5,1008.07,5.6,30.69,0.00,33.0,10.00,0.00,61
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10-17-2019,16:00:00,1008.54,000,23.2,1007.87,0.0,28.43,0.00,34.0,10.00,0.00,53
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-17-2019,16:00:00,1008.35,110,24.4,1007.87,5.6,30.53,0.00,33.2,10.00,0.00,60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10-17-2019,16:00:00,1008.83,060,24.7,1007.17,14.8,31.10,0.00,31.8,10.00,0.00,66
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-17-2019,16:00:00,1010.10,000,23.8,1002.22,0.0,29.42,0.00,32.8,10.00,0.00,59
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-17-2019,16:00:00,1007.92,060,25.1,1007.64,11.1,31.92,0.00,33.3,12.00,0.00,62
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-17-2019,16:00:00,1007.18,000,25.1,1004.10,0.0,31.81,0.00,32.0,10.00,0.00,67
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-17-2019,16:00:00,1008.03,280,26.2,1001.13,7.4,33.99,2.10,29.0,10.00,2.10,85
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-17-2019,16:00:00,1008.82,050,24.5,1003.32,9.3,30.74,0.00,33.3,8.00,4.50,60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10-17-2019,16:00:00,1008.86,000,24.7,999.68,0.0,31.02,0.00,31.9,10.00,0.00,66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-17-2019,16:00:00,1010.78,260,25.1,1009.51,3.7,31.93,23.50,26.0,10.00,23.50,95
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-17-2019,16:00:00,1008.73,000,25.1,1008.30,0.0,31.86,0.00,32.3,11.00,0.00,66
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-17-2019,16:00:00,1009.20,040,23.9,997.03,7.4,29.63,0.00,29.8,6.00,0.00,71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-17-2019,16:00:00,1009.00,060,25.7,1008.29,7.4,33.08,0.00,30.1,8.00,10.40,78
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-17-2019,16:00:00,1008.83,210,26.4,1006.42,7.4,34.41,0.10,31.0,10.00,0.10,77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-17-2019,16:00:00,1007.90,300,24.7,1007.39,7.4,31.11,0.00,32.5,8.00,0.01,64
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-17-2019,16:00:00,1007.77,230,24.3,1002.69,1.9,30.28,0.20,31.4,11.00,0.60,66
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-17-2019,16:00:00,1007.72,060,24.2,1007.32,9.3,30.20,0.00,33.6,10.00,0.00,58
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-17-2019,16:00:00,1008.05,000,22.5,1005.33,0.0,27.28,0.00,33.0,10.00,0.00,54
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-17-2019,16:00:00,1009.22,000,23.9,1008.43,0.0,29.66,0.50,25.8,10.00,23.80,89
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-17-2019,16:00:00,1007.52,070,25.8,1007.06,3.7,33.12,8.20,29.0,8.00,14.00,83
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-17-2019,16:00:00,1008.17,000,24.6,1007.49,0.0,30.89,0.10,27.6,12.00,54.10,84
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-17-2019,16:00:00,1008.36,150,24.7,1006.83,1.9,31.11,0.00,27.0,7.00,29.80,87
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-17-2019,16:00:00,1008.53,000,23.4,1007.61,0.0,28.76,0.20,26.9,10.00,5.00,81
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-17-2019,16:00:00,1008.11,060,25.9,1007.43,9.3,33.47,0.00,30.7,10.00,24.00,76
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-17-2019,16:00:00,1007.75,030,25.3,1006.96,7.4,32.22,0.00,29.4,10.00,12.60,79
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-17-2019,16:00:00,1008.92,050,24.2,1008.28,5.6,30.23,3.60,25.1,7.00,13.50,95
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-17-2019,16:00:00,1009.19,000,23.9,1008.78,0.0,29.69,26.90,24.8,10.00,34.60,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-17-2019,16:00:00,1009.81,000,27.2,1005.63,0.0,36.14,0.50,30.0,6.00,25.80,85
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-17-2019,16:00:00,1007.85,000,25.1,1006.25,0.0,31.94,0.00,28.7,12.00,0.00,81
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-17-2019,16:00:00,1007.80,210,25.9,1004.35,5.6,33.33,0.00,29.8,8.00,0.30,79
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-17-2019,16:00:00,1008.81,000,23.6,1007.44,0.0,29.16,23.10,24.8,9.00,60.30,93
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-17-2019,16:00:00,1006.91,090,23.0,1006.04,5.6,28.09,0.00,31.0,10.00,0.00,63
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-17-2019,16:00:00,1008.97,040,24.4,1005.43,11.1,30.57,0.00,29.0,10.00,0.20,76
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-17-2019,16:00:00,1006.85,020,24.5,1006.42,3.7,30.73,0.00,32.6,10.00,0.40,62
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-17-2019,16:00:00,1007.44,000,23.6,1006.46,0.0,29.07,0.00,31.5,10.00,0.00,63
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-17-2019,16:00:00,1007.24,000,24.3,1006.43,0.0,30.39,0.00,29.9,10.00,2.60,72
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-17-2019,16:00:00,1007.68,090,24.6,1005.89,27.8,30.90,0.10,31.0,2.00,37.50,69
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-17-2019,16:00:00,1007.99,050,23.2,1007.24,7.4,28.37,5.10,27.7,10.00,33.10,76
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-17-2019,16:00:00,1007.99,060,24.5,1003.97,22.2,30.71,2.40,25.5,10.00,27.40,94
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-17-2019,16:00:00,1006.98,000,24.6,1006.30,0.0,30.98,1.50,28.5,10.00,3.20,80
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-17-2019,16:00:00,1007.60,040,23.7,1006.48,11.1,29.33,5.40,24.6,7.00,141.00,95
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-17-2019,16:00:00,1007.37,040,25.7,1004.47,3.7,33.08,3.40,28.0,10.00,25.00,88
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-17-2019,16:00:00,1006.78,050,25.5,1006.10,9.3,32.67,0.00,29.2,10.00,12.10,81
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-17-2019,16:00:00,1007.66,320,25.9,1003.56,3.7,33.45,0.40,28.6,8.00,14.80,85
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-17-2019,16:00:00,1007.68,080,23.0,1007.10,11.1,28.15,0.00,29.6,10.00,40.40,68
