WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,VaporPressure,Rainfall,DewPoint,AirTemperature,Rainfall24Hr,WindSpeed,LandVisibility,MeanSeaLevelPressure,WindDirection
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,96,09-01-2019,04:00:00,970.83,29.05,0.00,23.6,24.3,116.10,0.0,10.00,1004.50,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,97,09-01-2019,04:00:00,986.14,29.85,0.00,24.0,24.6,25.60,0.0,10.00,1004.72,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,97,09-01-2019,04:00:00,981.83,29.31,0.00,23.7,24.3,26.90,0.0,10.00,1004.76,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,95,09-01-2019,04:00:00,975.28,28.44,0.00,23.2,24.1,30.10,0.0,5.00,1005.34,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,97,09-01-2019,04:00:00,969.24,29.04,0.00,23.6,24.0,32.10,0.0,4.00,1004.92,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,96,09-01-2019,04:00:00,974.92,28.18,0.00,23.1,23.8,15.80,0.0,10.00,1004.81,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,97,09-01-2019,04:00:00,997.38,31.52,5.00,24.9,25.5,13.90,0.0,7.00,1004.70,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,97,09-01-2019,04:00:00,985.20,30.96,0.00,24.6,25.2,4.60,7.4,10.00,1005.16,120
48353,LOEI,เลย,เลย,17.45000,101.73333,93,09-01-2019,04:00:00,976.53,28.63,0.20,23.3,24.5,12.30,0.0,10.00,1005.33,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,93,09-01-2019,04:00:00,985.21,30.63,0.00,24.4,25.6,2.70,5.6,10.00,1005.43,130
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,09-01-2019,04:00:00,984.31,29.44,0.00,23.8,25.1,31.10,0.0,10.00,1006.14,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,96,09-01-2019,04:00:00,985.87,30.32,0.00,24.3,25.0,22.00,0.0,10.00,1005.44,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,96,09-01-2019,04:00:00,989.37,31.25,0.00,24.8,25.5,13.40,0.0,10.00,1006.17,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,96,09-01-2019,04:00:00,988.94,29.41,0.00,23.8,24.5,14.20,0.0,10.00,1006.48,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,95,09-01-2019,04:00:00,978.70,30.42,0.00,24.3,25.2,2.60,0.0,10.00,1004.54,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,100,09-01-2019,04:00:00,998.50,33.60,0.00,26.0,26.0,3.90,0.0,10.00,1004.29,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,100,09-01-2019,04:00:00,996.59,31.66,0.00,25.0,25.0,2.90,0.0,8.00,1002.79,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,94,09-01-2019,04:00:00,989.68,29.79,0.00,24.0,25.0,21.80,0.0,8.00,1006.21,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,97,09-01-2019,04:00:00,981.22,28.43,6.20,23.2,23.8,40.60,0.0,6.00,1003.70,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,96,09-01-2019,04:00:00,991.00,29.41,1.20,23.8,24.5,28.40,0.0,5.00,1005.48,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,99,09-01-2019,04:00:00,988.36,29.20,5.60,23.6,23.8,20.80,0.0,6.00,1004.88,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,92,09-01-2019,04:00:00,998.88,30.84,0.10,24.6,26.0,2.00,0.0,8.00,1004.11,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,97,09-01-2019,04:00:00,991.25,30.58,1.00,24.4,25.0,74.40,0.0,10.00,1004.50,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,98,09-01-2019,04:00:00,995.34,32.65,1.10,25.5,25.8,14.60,3.7,10.00,1004.68,090
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,96,09-01-2019,04:00:00,984.20,30.32,0.00,24.3,25.0,7.90,0.0,9.00,1006.00,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,82,09-01-2019,04:00:00,987.49,27.93,8.50,22.9,26.3,15.00,0.0,7.00,1004.99,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,97,09-01-2019,04:00:00,989.35,30.30,0.00,24.3,24.7,20.70,0.0,10.00,1005.28,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,97,09-01-2019,04:00:00,986.09,30.58,0.40,24.4,25.0,10.70,0.0,8.00,1005.06,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,93,09-01-2019,04:00:00,951.34,26.09,1.80,21.8,23.0,10.50,0.0,5.00,1002.80,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,93,09-01-2019,04:00:00,1001.17,31.76,0.00,25.0,26.2,16.70,14.8,5.00,1005.13,130
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,09-01-2019,04:00:00,910.25,23.64,3.10,20.2,20.5,48.30,0.0,.60,1005.51,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,96,09-01-2019,04:00:00,990.02,30.87,0.00,24.6,25.3,8.20,5.6,6.00,1006.08,200
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,88,09-01-2019,04:00:00,1001.34,30.81,0.00,24.5,26.7,5.20,9.3,10.00,1005.37,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,93,09-01-2019,04:00:00,996.01,30.81,0.00,24.5,25.7,6.60,0.0,7.00,1006.73,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,09-01-2019,04:00:00,1004.55,30.84,0.00,24.6,26.0,0.60,5.6,9.00,1006.48,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,95,09-01-2019,04:00:00,985.25,30.05,0.00,24.1,25.0,3.40,0.0,10.00,1006.23,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,98,09-01-2019,04:00:00,988.08,31.87,0.50,25.1,25.4,7.40,0.0,8.00,1005.81,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,97,09-01-2019,04:00:00,989.74,31.33,1.30,24.8,25.4,4.40,0.0,9.00,1005.96,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,96,09-01-2019,04:00:00,992.28,29.95,0.40,24.1,24.8,14.40,0.0,10.00,1006.41,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,96,09-01-2019,04:00:00,992.29,29.77,0.20,24.0,24.7,8.60,0.0,7.00,1007.24,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,97,09-01-2019,04:00:00,992.20,29.93,0.00,24.1,24.5,8.10,0.0,5.00,1007.00,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,86,09-01-2019,04:00:00,1002.09,29.70,0.00,23.9,26.4,8.30,0.0,10.00,1005.11,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,95,09-01-2019,04:00:00,997.75,31.55,0.00,24.9,25.8,10.00,0.0,7.00,1005.73,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,87,09-01-2019,04:00:00,1005.14,30.16,0.00,24.2,26.5,0.00,7.4,8.00,1006.25,140
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,92,09-01-2019,04:00:00,987.42,29.00,0.00,23.5,25.0,7.10,0.0,8.00,1002.13,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,09-01-2019,04:00:00,872.69,22.42,2.40,19.3,19.5,39.00,7.4,.05,1007.78,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,94,09-01-2019,04:00:00,1000.38,31.08,0.00,24.7,25.7,3.20,0.0,10.00,1006.28,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,89,09-01-2019,04:00:00,1005.35,30.97,0.00,24.6,26.5,0.00,3.7,7.00,1006.16,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,80,09-01-2019,04:00:00,1003.44,30.40,0.00,24.3,28.2,0.00,9.3,10.00,1003.88,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,97,09-01-2019,04:00:00,994.85,29.93,6.00,24.1,24.5,30.50,0.0,3.00,1006.24,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,92,09-01-2019,04:00:00,1005.03,31.99,0.00,25.2,26.6,0.01,0.0,10.00,1006.04,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,92,09-01-2019,04:00:00,1004.33,30.84,0.00,24.6,26.0,0.20,5.6,7.00,1006.16,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,85,09-01-2019,04:00:00,1004.96,27.99,0.00,22.9,25.6,0.01,0.0,7.00,1005.73,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,82,09-01-2019,04:00:00,1005.76,29.58,0.00,23.9,27.2,2.20,9.3,10.00,1006.47,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,89,09-01-2019,04:00:00,1006.04,28.75,0.00,23.4,25.3,5.70,0.0,7.00,1006.74,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,93,09-01-2019,04:00:00,985.24,28.28,0.00,23.1,24.3,0.20,5.6,10.00,1006.57,190
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,96,09-01-2019,04:00:00,989.57,28.88,0.00,23.5,24.2,25.40,0.0,6.00,1006.43,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,94,09-01-2019,04:00:00,990.17,29.25,0.00,23.7,24.7,11.60,3.7,6.00,1006.72,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,96,09-01-2019,04:00:00,984.67,28.53,0.20,23.3,24.0,1.60,0.0,10.00,1006.73,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,90,09-01-2019,04:00:00,963.18,26.09,0.00,21.8,23.6,0.01,0.0,10.00,1006.89,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,98,09-01-2019,04:00:00,985.69,28.60,2.00,23.3,23.6,2.20,0.0,6.00,1006.47,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-01-2019,04:00:00,986.50,30.73,0.00,24.5,24.5,2.20,11.1,8.00,1007.50,220
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,89,09-01-2019,04:00:00,1006.02,30.03,0.20,24.1,26.0,0.50,11.1,10.00,1006.45,190
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,97,09-01-2019,04:00:00,1005.49,29.93,0.00,24.1,24.5,1.50,0.0,6.00,1006.92,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,96,09-01-2019,04:00:00,1002.14,30.69,0.00,24.5,25.2,0.00,0.0,7.00,1007.10,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,82,09-01-2019,04:00:00,1002.44,28.29,0.00,23.1,26.5,0.20,0.0,10.00,1005.73,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,92,09-01-2019,04:00:00,1004.91,29.80,0.20,24.0,25.3,0.20,0.0,10.00,1006.03,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,80,09-01-2019,04:00:00,1006.07,30.28,0.00,24.3,28.0,0.00,7.4,10.00,1006.37,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,80,09-01-2019,04:00:00,1005.68,29.15,0.00,23.6,27.4,1.70,3.7,10.00,1006.17,270
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,88,09-01-2019,04:00:00,1004.95,31.19,0.00,24.7,26.9,6.60,9.3,10.00,1006.36,170
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,93,09-01-2019,04:00:00,1000.92,28.63,0.00,23.3,24.5,0.00,0.0,10.00,1009.00,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,79,09-01-2019,04:00:00,1005.87,28.51,0.00,23.2,27.2,0.00,5.6,10.00,1006.15,150
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,78,09-01-2019,04:00:00,1003.64,29.28,0.00,23.7,27.9,0.00,5.6,10.00,1006.76,200
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,81,09-01-2019,04:00:00,1000.03,29.50,0.00,23.8,27.3,3.10,0.0,10.00,1006.96,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,89,09-01-2019,04:00:00,1003.01,30.59,0.00,24.4,26.3,0.00,0.0,10.00,1008.63,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,95,09-01-2019,04:00:00,1005.68,29.69,0.40,23.9,24.8,1.80,3.7,10.00,1006.96,170
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,81,09-01-2019,04:00:00,1005.80,28.86,0.00,23.4,27.1,0.01,16.7,11.00,1006.23,210
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,86,09-01-2019,04:00:00,994.83,28.42,1.50,23.2,25.7,6.70,0.0,8.00,1007.14,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,87,09-01-2019,04:00:00,1006.21,29.05,0.40,23.6,25.9,2.00,0.0,8.00,1006.93,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,74,09-01-2019,04:00:00,1004.69,27.75,0.00,22.8,27.8,3.10,11.1,10.00,1007.11,230
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,81,09-01-2019,04:00:00,1006.81,30.56,0.00,24.4,28.0,1.40,16.7,10.00,1007.33,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,78,09-01-2019,04:00:00,1002.02,28.53,0.00,23.3,27.5,0.60,5.6,9.00,1007.16,250
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,94,09-01-2019,04:00:00,1007.27,30.34,0.00,24.3,25.3,34.80,0.0,7.00,1007.68,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,09-01-2019,04:00:00,1005.22,29.77,0.00,24.0,24.7,8.50,0.0,8.00,1008.01,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,90,09-01-2019,04:00:00,1006.40,27.95,0.00,22.9,24.7,5.60,0.0,10.00,1007.19,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,95,09-01-2019,04:00:00,1007.46,28.27,1.10,23.1,24.0,18.50,3.7,6.00,1007.92,140
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,97,09-01-2019,04:00:00,1007.11,29.57,0.00,23.9,24.3,2.60,0.0,7.00,1007.80,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,95,09-01-2019,04:00:00,1006.21,28.27,0.00,23.1,24.0,1.00,0.0,8.00,1007.75,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,93,09-01-2019,04:00:00,1007.32,29.52,5.20,23.8,25.0,20.40,7.4,8.00,1008.25,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,78,09-01-2019,04:00:00,1008.13,28.06,0.00,23.0,27.1,0.60,5.6,10.00,1008.82,250
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,100,09-01-2019,04:00:00,1008.12,28.94,2.30,23.5,23.5,2.90,5.6,6.00,1008.93,190
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,94,09-01-2019,04:00:00,1008.27,28.36,7.70,23.2,24.2,7.70,0.0,8.00,1008.91,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,98,09-01-2019,04:00:00,1009.55,28.60,7.30,23.3,23.6,7.30,7.4,8.00,1009.96,210
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,09-01-2019,04:00:00,1006.67,28.09,0.00,23.0,23.6,5.60,0.0,5.00,1010.94,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,09-01-2019,04:00:00,1007.82,28.42,4.60,23.2,23.5,11.00,0.0,6.00,1009.45,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,09-01-2019,04:00:00,1006.68,27.83,11.70,22.8,23.3,11.90,0.0,5.00,1010.21,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,88,09-01-2019,04:00:00,1008.40,28.59,0.00,23.3,25.5,2.10,11.1,7.00,1009.77,300
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,96,09-01-2019,04:00:00,1007.37,31.25,0.80,24.8,25.5,12.40,9.3,10.00,1008.26,200
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,98,09-01-2019,04:00:00,1006.32,27.74,10.40,22.8,23.1,15.20,0.0,10.00,1009.94,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,97,09-01-2019,04:00:00,1008.91,30.58,7.20,24.4,25.0,47.40,0.0,10.00,1009.35,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,92,09-01-2019,04:00:00,1006.86,29.91,5.80,24.0,25.5,24.60,0.0,8.00,1007.86,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,09-01-2019,04:00:00,1008.89,27.49,18.10,22.6,23.4,20.90,0.0,9.00,1010.73,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,87,09-01-2019,04:00:00,1008.07,31.22,0.00,24.8,27.2,0.01,9.3,8.00,1008.83,250
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,96,09-01-2019,04:00:00,1004.93,31.63,0.00,25.0,25.7,0.00,5.6,6.00,1008.95,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,96,09-01-2019,04:00:00,1008.44,32.20,0.00,25.3,26.0,0.00,0.0,10.00,1009.13,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,93,09-01-2019,04:00:00,1008.07,31.57,0.00,24.9,26.1,0.00,0.0,10.00,1009.19,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,09-01-2019,04:00:00,1005.82,29.69,0.00,23.9,24.8,0.00,0.0,10.00,1008.76,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,91,09-01-2019,04:00:00,1007.34,27.25,0.00,22.5,24.0,11.40,0.0,8.00,1007.94,000
