WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,StationPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,DewPoint,Rainfall,MaximumTemperature,WindSpeed
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,10-04-2019,19:00:00,180,988.80,1009.68,27.4,0.00,68,24.97,21.1,0.00,35.1,5.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,10-04-2019,19:00:00,020,991.58,1009.37,25.6,0.00,93,30.63,24.4,0.00,31.5,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,10-04-2019,19:00:00,340,993.02,1009.26,26.1,0.00,93,31.57,24.9,0.00,31.6,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,10-04-2019,19:00:00,280,995.08,1009.01,29.9,0.50,70,29.55,23.8,0.00,32.9,3.7
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,10-04-2019,19:00:00,000,994.34,1009.13,28.3,0.00,81,31.14,24.7,0.00,34.0,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,10-04-2019,19:00:00,000,994.78,1009.38,29.0,0.00,88,35.16,26.8,0.00,33.0,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,10-04-2019,19:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.69,1007.67,31.8,0.00,72,33.75,26.1,0.00,35.6,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,10-04-2019,19:00:00,050,1000.87,1008.77,29.3,0.00,77,31.45,24.9,0.00,35.1,11.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,10-04-2019,19:00:00,150,1007.83,1008.94,27.8,0.00,79,29.63,23.9,0.00,34.7,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,10-04-2019,19:00:00,000,994.78,1009.42,28.6,0.00,80,31.46,24.9,0.00,32.2,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,10-04-2019,19:00:00,140,875.70,1011.35,19.3,41.60,98,21.93,19.0,0.00,25.6,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,10-04-2019,19:00:00,000,1003.20,1009.06,28.5,0.00,79,30.70,24.5,0.00,36.0,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,10-04-2019,19:00:00,000,1008.04,1008.84,26.7,31.40,86,30.26,24.2,0.00,35.0,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.00,10-04-2019,19:00:00,120,1008.35,1008.79,27.9,3.40,81,30.37,24.3,0.00,32.7,11.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.00,10-04-2019,19:00:00,000,998.51,1009.83,27.3,0.40,84,30.59,24.4,0.40,35.7,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.00,10-04-2019,19:00:00,000,1007.37,1008.38,30.2,0.00,74,31.84,25.1,0.00,36.2,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,10-04-2019,19:00:00,000,1006.96,1008.78,29.1,0.00,76,30.49,24.4,0.00,35.1,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,10-04-2019,19:00:00,000,1007.55,1008.31,29.5,0.00,78,32.13,25.2,0.00,35.4,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,10-04-2019,19:00:00,100,1008.79,1009.50,27.0,0.40,84,30.02,24.1,0.40,33.9,14.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,8.00,10-04-2019,19:00:00,020,1008.23,1008.93,27.8,0.00,74,27.75,22.8,0.00,35.2,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.00,10-04-2019,19:00:00,000,987.97,1009.12,27.7,0.00,70,26.00,21.7,0.00,34.2,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,10-04-2019,19:00:00,000,992.67,1009.34,28.6,1.10,80,31.46,24.9,0.00,32.5,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,10-04-2019,19:00:00,000,993.55,1010.02,27.2,27.10,87,31.22,24.8,0.00,33.2,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,6.00,10-04-2019,19:00:00,000,987.35,1009.18,28.0,0.00,72,27.32,22.5,0.00,34.1,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,8.00,10-04-2019,19:00:00,000,965.88,1009.58,24.5,0.01,87,26.84,22.3,0.00,32.0,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,10-04-2019,19:00:00,000,988.43,1008.96,28.0,0.40,85,31.95,25.1,0.00,33.8,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,6.00,10-04-2019,19:00:00,000,989.87,1010.81,26.3,0.00,100,34.20,26.3,0.00,32.5,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,10-04-2019,19:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.73,1009.16,28.4,0.00,68,26.47,22.0,0.00,31.6,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,10-04-2019,19:00:00,000,1007.83,1009.26,25.3,15.60,93,30.07,24.1,0.00,34.2,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,10-04-2019,19:00:00,000,1005.10,1010.06,26.5,18.10,92,31.79,25.1,0.00,31.7,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.00,10-04-2019,19:00:00,170,1006.25,1009.57,25.6,4.70,85,27.99,22.9,2.90,35.9,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,10-04-2019,19:00:00,150,1007.74,1008.83,30.0,0.00,78,33.17,25.8,0.00,35.3,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,10-04-2019,19:00:00,000,1008.55,1008.85,29.5,2.70,79,32.42,25.4,0.00,32.6,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,10-04-2019,19:00:00,000,1007.86,1008.55,29.4,10.20,79,32.22,25.3,0.00,32.1,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,10-04-2019,19:00:00,000,1008.03,1008.51,29.0,14.00,85,33.99,26.2,0.00,33.5,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.00,10-04-2019,19:00:00,140,1008.19,1009.61,27.4,37.60,80,29.15,23.6,0.01,33.0,7.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,8.00,10-04-2019,19:00:00,100,1007.13,1008.80,29.5,0.00,89,36.55,27.4,0.00,31.4,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,10-04-2019,19:00:00,000,1002.96,1011.06,24.7,3.10,97,30.30,24.3,0.01,33.0,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.00,10-04-2019,19:00:00,000,1008.88,1009.17,26.5,15.70,92,31.79,25.1,0.00,33.0,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,10-04-2019,19:00:00,000,1005.98,1009.12,27.3,0.00,82,29.77,24.0,0.00,31.0,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,10-04-2019,19:00:00,000,1002.26,1009.21,27.5,0.00,88,32.36,25.4,0.00,31.5,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,10-04-2019,19:00:00,210,1004.23,1009.79,29.8,0.00,79,33.33,25.9,0.00,32.8,9.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,10-04-2019,19:00:00,000,1000.03,1009.33,28.0,0.01,88,33.37,25.9,0.00,31.8,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,10-04-2019,19:00:00,150,1008.62,1009.89,25.6,0.00,78,25.69,21.5,0.00,34.2,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,10-04-2019,19:00:00,210,1008.32,1008.75,30.6,0.00,74,32.67,25.5,0.00,34.9,7.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,10-04-2019,19:00:00,230,997.35,1009.75,24.2,0.10,86,25.84,21.6,0.10,34.0,3.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,10-04-2019,19:00:00,000,1008.13,1008.84,29.1,0.00,72,29.11,23.6,0.00,31.5,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,10-04-2019,19:00:00,170,1007.16,1009.59,28.5,0.00,79,30.70,24.5,0.00,32.3,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,10-04-2019,19:00:00,000,1009.20,1009.72,28.8,0.00,81,32.14,25.2,0.00,32.5,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,10-04-2019,19:00:00,030,1004.16,1009.32,27.7,2.30,87,32.20,25.3,0.00,31.2,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,10-04-2019,19:00:00,000,1009.16,1009.58,25.3,46.40,93,30.07,24.1,0.60,33.5,0.0
