WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,DewPoint,RelativeHumidity,AirTemperature,StationPressure,LandVisibility,WindDirection
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-24-2019,22:00:00,0.0,23.00,1006.68,33.17,25.8,88,27.9,987.27,10.00,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-24-2019,22:00:00,0.0,55.70,1007.86,31.22,24.8,92,26.2,991.06,10.00,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-24-2019,22:00:00,0.0,32.80,1007.79,32.15,25.3,93,26.4,990.35,10.00,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-24-2019,22:00:00,0.0,5.00,1006.33,30.02,24.1,84,27.0,980.59,10.00,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-24-2019,22:00:00,7.4,2.90,1007.26,27.44,22.6,71,28.5,1001.50,10.00,240
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-24-2019,22:00:00,0.0,3.70,1007.66,29.33,23.7,75,28.5,1001.50,12.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.10,07-24-2019,22:00:00,0.0,4.10,1007.95,29.19,23.6,77,28.0,991.55,8.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.20,07-24-2019,22:00:00,5.6,37.00,1007.96,28.20,23.1,92,24.4,985.43,6.00,230
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-24-2019,22:00:00,11.1,2.10,1008.86,26.86,22.3,73,27.6,994.48,10.00,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.00,07-24-2019,22:00:00,5.6,2.80,1007.21,28.59,23.3,88,25.5,990.75,7.00,120
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-24-2019,22:00:00,0.0,1.20,1008.03,32.19,25.3,83,28.4,1002.82,10.00,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-24-2019,22:00:00,0.0,4.70,1006.54,30.17,24.2,81,27.8,993.38,10.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-24-2019,22:00:00,0.0,2.90,1007.84,27.71,22.8,71,28.5,998.55,10.00,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.10,07-24-2019,22:00:00,0.0,4.10,1007.78,30.76,24.5,91,26.1,986.01,8.00,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-24-2019,22:00:00,0.0,0.20,1008.17,30.42,24.3,83,27.5,990.68,10.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-24-2019,22:00:00,0.0,4.80,1007.27,31.79,25.1,92,26.5,991.41,10.00,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-24-2019,22:00:00,0.0,5.30,1006.71,31.79,25.1,92,26.5,987.80,9.00,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.70,07-24-2019,22:00:00,0.0,10.60,1009.54,26.25,21.9,91,23.4,957.81,6.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-24-2019,22:00:00,0.0,0.10,1007.55,33.70,26.0,84,29.0,1003.62,7.00,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-24-2019,22:00:00,14.8,12.30,1009.12,23.55,20.1,97,20.6,913.56,3.00,180
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-24-2019,22:00:00,0.0,1.10,1007.85,32.49,25.4,91,27.0,991.86,6.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-24-2019,22:00:00,5.6,0.01,1008.28,27.17,22.5,65,29.8,1004.28,10.00,190
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-24-2019,22:00:00,0.0,1.20,1009.41,26.95,22.3,73,27.5,998.73,4.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-24-2019,22:00:00,0.0,3.60,1009.03,26.54,22.1,70,28.0,1007.11,8.00,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-24-2019,22:00:00,3.7,0.80,1008.05,28.76,23.4,81,26.9,987.16,10.00,270
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,3.90,07-24-2019,22:00:00,5.6,6.60,1008.28,30.23,24.2,95,25.1,990.48,7.00,170
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.80,07-24-2019,22:00:00,9.3,12.20,1008.48,30.32,24.3,96,25.0,992.19,7.00,180
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.00,07-24-2019,22:00:00,25.9,58.80,1010.70,30.54,24.4,93,25.7,996.56,6.00,290
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-24-2019,22:00:00,0.0,34.20,1009.46,30.44,24.3,93,25.5,994.52,8.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,12.30,07-24-2019,22:00:00,0.0,15.00,1011.31,27.66,22.8,96,23.5,996.40,1.50,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-24-2019,22:00:00,0.0,0.01,1007.92,25.24,21.2,60,29.9,1004.93,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-24-2019,22:00:00,5.6,0.20,1008.40,30.45,24.3,86,26.8,1000.43,8.00,090
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-24-2019,22:00:00,3.7,14.60,1008.91,30.28,24.2,92,25.7,1007.80,7.00,180
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,14.10,07-24-2019,22:00:00,0.0,14.10,1010.11,29.52,23.8,93,25.0,995.29,8.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.40,07-24-2019,22:00:00,1.9,14.80,1009.65,22.85,19.6,99,19.8,874.44,1.00,290
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-24-2019,22:00:00,3.7,7.40,1009.06,31.00,24.6,93,25.8,1003.15,10.00,230
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.60,07-24-2019,22:00:00,3.7,1.00,1009.31,37.48,27.9,99,28.0,1008.51,4.00,080
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-24-2019,22:00:00,9.3,2.20,1008.91,31.54,24.9,81,28.5,1008.46,9.00,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-24-2019,22:00:00,0.0,18.00,1010.64,29.95,24.1,96,24.8,999.22,5.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-24-2019,22:00:00,0.0,1.60,1009.34,29.00,23.5,73,28.9,1008.33,10.00,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-24-2019,22:00:00,5.6,0.20,1009.07,28.76,23.4,81,26.9,1007.24,8.00,160
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-24-2019,22:00:00,0.0,2.50,1009.09,28.76,23.4,75,28.2,1008.32,5.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-24-2019,22:00:00,3.7,23.80,1009.40,31.89,25.1,87,27.4,1008.69,10.00,140
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.40,07-24-2019,22:00:00,0.0,2.80,1009.44,30.34,24.3,87,26.6,1008.73,7.00,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-24-2019,22:00:00,5.6,1.90,1009.30,28.18,23.1,84,26.0,988.03,10.00,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.50,07-24-2019,22:00:00,0.0,14.00,1010.03,29.93,24.1,97,24.5,993.12,5.00,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,20.00,07-24-2019,22:00:00,0.0,21.50,1010.18,29.79,24.0,94,25.0,993.59,5.00,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1.20,07-24-2019,22:00:00,0.0,1.20,1009.59,26.37,22.0,80,25.7,987.59,10.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,2.30,07-24-2019,22:00:00,7.4,7.90,1009.14,27.36,22.6,87,24.8,965.50,10.00,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,6.00,07-24-2019,22:00:00,5.6,6.20,1009.61,27.94,22.9,91,24.4,988.82,5.00,180
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-24-2019,22:00:00,13.0,0.00,1011.06,31.82,25.1,96,25.8,990.08,7.00,210
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-24-2019,22:00:00,9.3,25.90,1009.03,32.27,25.3,84,28.3,1008.60,9.00,210
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1.20,07-24-2019,22:00:00,0.0,17.10,1009.55,30.96,24.6,97,25.2,1008.12,6.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.40,07-24-2019,22:00:00,0.0,10.00,1009.73,31.33,24.8,97,25.4,1004.76,7.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,07-24-2019,22:00:00,7.4,0.20,1009.34,29.79,24.0,76,28.6,1006.06,10.00,320
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-24-2019,22:00:00,0.0,0.10,1009.36,30.45,24.3,82,27.8,1008.25,10.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-24-2019,22:00:00,0.0,17.40,1009.14,31.74,25.0,90,26.9,1008.84,8.00,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-24-2019,22:00:00,0.0,0.30,1009.05,29.88,24.0,81,27.5,1008.56,10.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,07-24-2019,22:00:00,5.6,0.01,1009.30,30.31,24.3,79,28.3,1007.89,10.00,170
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1.20,07-24-2019,22:00:00,3.7,5.60,1011.23,27.87,22.9,89,24.8,1003.13,10.00,220
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.50,07-24-2019,22:00:00,0.0,3.50,1009.07,32.61,25.5,90,27.2,1008.78,6.00,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-24-2019,22:00:00,0.0,0.00,1009.47,31.95,25.1,85,28.0,1006.34,10.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.40,07-24-2019,22:00:00,0.0,1.20,1009.75,31.38,24.8,88,27.0,1002.80,10.00,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.40,07-24-2019,22:00:00,3.7,2.20,1010.20,31.41,24.9,92,26.3,1004.58,8.00,280
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-24-2019,22:00:00,3.7,33.00,1009.98,31.46,24.9,94,25.9,1008.71,10.00,210
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.30,07-24-2019,22:00:00,0.0,34.20,1009.42,31.25,24.8,85,27.5,1008.98,11.00,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-24-2019,22:00:00,0.0,0.50,1010.00,30.05,24.1,88,26.3,997.68,10.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-24-2019,22:00:00,0.0,0.00,1009.67,34.99,26.7,90,28.5,1008.96,10.00,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,07-24-2019,22:00:00,0.0,0.01,1008.99,33.00,25.7,80,29.5,1008.47,10.00,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.01,07-24-2019,22:00:00,0.0,0.01,1009.54,31.94,25.1,81,28.7,1004.40,10.00,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.80,07-24-2019,22:00:00,0.0,28.30,1009.69,34.24,26.3,87,28.7,1009.28,7.00,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-24-2019,22:00:00,0.0,54.60,1010.19,32.77,25.6,92,27.0,1007.41,8.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-24-2019,22:00:00,0.0,0.00,1010.04,28.21,23.1,70,29.2,1009.26,10.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-24-2019,22:00:00,5.6,45.00,1010.44,31.66,25.0,89,27.0,1009.98,7.00,060
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-24-2019,22:00:00,0.0,0.00,1010.62,30.29,24.3,76,29.0,1009.94,10.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-24-2019,22:00:00,0.0,0.00,1009.86,29.57,23.9,77,28.2,1008.34,8.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-24-2019,22:00:00,0.0,0.00,1011.39,30.90,24.6,79,28.6,1010.48,10.00,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-24-2019,22:00:00,0.0,0.20,1011.24,29.66,23.9,83,27.1,1010.55,10.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-24-2019,22:00:00,0.0,0.00,1011.54,30.34,24.3,87,26.6,1010.74,10.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-24-2019,22:00:00,3.7,14.20,1011.00,30.96,24.6,97,25.2,1010.36,10.00,150
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-24-2019,22:00:00,0.0,6.50,1010.92,30.84,24.6,92,26.0,1010.52,10.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-24-2019,22:00:00,0.0,0.20,1013.18,31.08,24.7,94,25.7,1008.93,5.00,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-24-2019,22:00:00,0.0,18.80,1011.58,29.77,24.0,96,24.7,1009.95,10.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-24-2019,22:00:00,0.0,9.60,1011.63,29.00,23.5,92,25.0,1008.12,10.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-24-2019,22:00:00,0.0,4.10,1011.60,29.91,24.0,92,25.5,1010.23,7.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-24-2019,22:00:00,0.0,0.00,1009.72,29.72,23.9,85,26.7,1008.84,10.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-24-2019,22:00:00,0.0,5.00,1011.61,29.59,23.9,96,24.6,1008.01,10.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-24-2019,22:00:00,0.0,0.00,1011.13,32.22,25.3,82,28.7,1010.69,10.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-24-2019,22:00:00,0.0,0.00,1011.12,30.43,24.3,88,26.5,1010.13,10.00,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-24-2019,22:00:00,5.6,0.00,1011.48,29.52,23.8,86,26.3,1010.66,10.00,090
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-24-2019,22:00:00,0.0,0.60,1011.92,31.08,24.7,94,25.7,1010.09,10.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-24-2019,22:00:00,0.0,16.10,1012.15,28.74,23.4,83,26.6,1011.40,10.00,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,07-24-2019,22:00:00,0.0,5.40,1012.23,28.67,23.3,88,25.4,1008.19,10.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.40,07-24-2019,22:00:00,0.0,6.30,1012.99,29.79,24.0,94,25.0,1012.29,10.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-24-2019,22:00:00,0.0,8.60,1013.07,28.85,23.4,88,25.5,1011.94,10.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-24-2019,22:00:00,0.0,7.20,1012.33,31.25,24.8,96,25.5,1009.38,10.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-24-2019,22:00:00,0.0,4.40,1012.12,29.04,23.6,97,24.0,1011.43,6.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,2.50,07-24-2019,22:00:00,13.0,39.70,1012.75,28.78,23.4,97,24.0,1008.56,6.00,230
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-24-2019,22:00:00,0.0,23.80,1012.05,27.35,22.6,89,24.5,1011.45,8.00,000
