WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility,StationPressure,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.49,08-09-2019,16:00:00,7.4,0.40,69,24.4,11.00,999.16,30.8,260,1000.55,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.44,08-09-2019,16:00:00,3.7,0.00,66,24.9,9.00,995.38,32.1,300,1000.20,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.66,08-09-2019,16:00:00,3.7,2.40,58,23.9,12.00,997.50,33.2,330,1000.71,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.90,08-09-2019,16:00:00,3.7,2.60,64,24.6,10.00,999.37,32.4,280,1000.45,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.92,08-09-2019,16:00:00,7.4,2.00,76,25.6,10.00,1000.53,30.3,210,1000.82,0.10
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,34.22,08-09-2019,16:00:00,9.3,0.80,78,26.3,10.00,999.70,30.5,220,1000.37,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.17,08-09-2019,16:00:00,3.7,1.30,78,25.8,10.00,1000.25,30.0,150,1000.73,0.01
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,32.03,08-09-2019,16:00:00,20.4,4.20,64,25.2,10.00,999.03,32.8,250,1000.41,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.13,08-09-2019,16:00:00,18.5,0.00,78,25.2,10.00,1000.20,29.5,210,1001.86,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.50,08-09-2019,16:00:00,9.3,0.01,65,23.2,10.00,994.62,30.5,270,1002.50,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.75,08-09-2019,16:00:00,7.4,3.00,75,25.6,10.00,1000.62,30.5,200,1000.89,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.72,08-09-2019,16:00:00,5.6,0.00,75,25.0,10.00,998.37,30.0,260,1001.45,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,33.96,08-09-2019,16:00:00,5.6,0.01,80,26.2,10.00,994.87,30.1,230,1001.70,0.01
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,32.16,08-09-2019,16:00:00,5.6,0.00,64,25.3,8.00,1000.87,33.0,110,1006.36,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.98,08-09-2019,16:00:00,13.0,0.80,80,25.2,10.00,992.58,29.0,240,1001.79,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.24,08-09-2019,16:00:00,11.1,2.00,64,24.2,15.00,1005.37,31.8,270,1006.61,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.24,08-09-2019,16:00:00,9.3,32.60,90,24.8,8.00,1001.10,26.5,270,1001.53,26.20
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.15,08-09-2019,16:00:00,3.7,0.60,78,24.2,10.00,983.77,28.5,270,995.83,0.30
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.30,08-09-2019,16:00:00,22.2,0.90,56,22.5,10.00,1000.03,32.3,250,1000.72,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.19,08-09-2019,16:00:00,18.5,0.30,69,24.7,10.00,1000.37,31.0,200,1002.76,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.42,08-09-2019,16:00:00,22.2,0.10,79,25.4,12.00,1001.08,29.5,240,1001.59,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,30.72,08-09-2019,16:00:00,5.6,2.00,75,24.5,12.00,996.42,29.5,300,1001.51,0.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.42,08-09-2019,16:00:00,0.0,23.20,95,24.3,3.00,1001.48,25.2,000,1001.89,21.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.38,08-09-2019,16:00:00,9.3,10.50,88,24.8,8.00,999.28,27.0,320,1002.04,3.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.55,08-09-2019,16:00:00,3.7,1.40,65,22.7,10.00,1003.87,30.0,160,1004.65,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.42,08-09-2019,16:00:00,11.1,122.10,94,25.9,5.00,1001.81,26.9,260,1002.27,14.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.58,08-09-2019,16:00:00,9.3,36.30,89,23.9,6.00,1004.61,25.9,260,1005.30,2.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.46,08-09-2019,16:00:00,14.8,54.00,91,23.8,8.00,1004.12,25.4,270,1005.65,2.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.15,08-09-2019,16:00:00,7.4,64.10,94,24.2,10.00,1006.12,25.2,180,1007.04,16.50
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.41,08-09-2019,16:00:00,0.0,1.10,92,24.9,9.00,1004.53,26.3,000,1005.22,0.90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.42,08-09-2019,16:00:00,1.9,3.50,95,24.3,9.00,1005.65,25.2,250,1006.45,2.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.82,08-09-2019,16:00:00,11.1,1.80,83,23.4,9.00,1004.38,26.5,300,1005.01,0.80
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.69,08-09-2019,16:00:00,7.4,0.01,79,25.0,10.00,1005.08,29.0,270,1005.48,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.22,08-09-2019,16:00:00,7.4,0.50,89,23.1,5.00,1003.60,25.0,210,1007.83,0.50
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.43,08-09-2019,16:00:00,0.0,8.20,90,22.6,8.00,1005.23,24.4,000,1006.85,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.91,08-09-2019,16:00:00,3.7,3.00,92,24.0,6.00,1003.66,25.5,060,1007.16,2.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.92,08-09-2019,16:00:00,9.3,0.01,63,21.0,10.00,1004.11,28.7,260,1005.45,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.31,08-09-2019,16:00:00,9.3,70.20,98,24.8,6.00,1006.53,25.1,240,1007.42,33.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.79,08-09-2019,16:00:00,18.5,3.00,88,22.8,8.00,1002.71,24.9,280,1006.29,2.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.59,08-09-2019,16:00:00,9.3,6.60,88,23.3,6.00,1006.56,25.5,280,1007.00,6.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.16,08-09-2019,16:00:00,9.3,25.60,93,23.6,8.00,1006.29,24.8,300,1007.29,25.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.95,08-09-2019,16:00:00,40.7,1.80,84,22.3,10.00,1005.30,25.3,270,1006.12,1.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.19,08-09-2019,16:00:00,11.1,6.10,90,23.6,6.00,1004.18,25.4,210,1006.00,6.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.07,08-09-2019,16:00:00,5.6,0.01,64,21.8,10.00,1004.43,29.2,110,1005.18,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.38,08-09-2019,16:00:00,13.0,5.20,80,25.4,10.00,1001.51,29.2,250,1005.47,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,33.60,08-09-2019,16:00:00,0.0,26.80,75,26.0,10.00,1005.11,30.9,000,1005.78,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.51,08-09-2019,16:00:00,0.0,5.00,89,24.4,10.00,1004.30,26.4,000,1005.42,4.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.60,08-09-2019,16:00:00,13.0,3.90,70,25.0,11.00,1002.81,31.2,240,1005.69,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.73,08-09-2019,16:00:00,7.4,0.01,75,26.1,9.00,1004.26,31.1,230,1004.94,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.51,08-09-2019,16:00:00,7.4,0.01,62,23.2,8.00,1001.48,31.5,240,1005.53,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.66,08-09-2019,16:00:00,11.1,0.00,61,23.9,10.00,1005.24,32.5,290,1005.82,0.00
