WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,DewPoint,RelativeHumidity,StationPressure,WindSpeed,Rainfall,AirTemperature
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-04-2019,16:00:00,12.00,150,1002.47,33.25,3.50,25.8,64,995.36,9.3,0.00,33.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-04-2019,16:00:00,20.00,250,1000.48,33.61,0.00,26.0,68,981.09,9.3,0.00,32.7
48353,LOEI,เลย,เลย,17.45000,101.73333,09-04-2019,16:00:00,17.00,310,1000.78,29.01,0.00,23.5,59,972.85,7.4,0.00,32.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-04-2019,16:00:00,13.00,000,1000.99,31.27,0.50,24.8,67,981.25,0.0,0.00,31.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-04-2019,16:00:00,8.00,000,1003.07,30.65,11.30,24.4,92,981.37,0.0,4.00,25.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-04-2019,16:00:00,7.00,260,1002.11,30.92,8.90,24.6,93,982.66,3.7,2.20,25.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-04-2019,16:00:00,7.00,000,1002.15,30.23,33.50,24.2,95,985.39,0.0,8.80,25.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-04-2019,16:00:00,6.00,000,1002.14,31.25,51.20,24.8,96,984.74,0.0,10.20,25.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-04-2019,16:00:00,15.00,260,999.87,30.31,0.60,24.3,71,974.55,7.4,0.00,30.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-04-2019,16:00:00,10.00,250,1003.08,36.25,0.00,27.3,70,997.44,5.6,0.00,33.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-04-2019,16:00:00,12.00,260,1002.49,33.66,0.00,26.0,67,996.45,5.6,0.00,33.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-04-2019,16:00:00,10.00,000,1002.84,29.95,0.00,24.1,61,986.76,0.0,0.00,32.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-04-2019,16:00:00,10.00,210,1003.28,27.27,6.90,22.5,76,981.06,20.4,0.00,27.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-04-2019,16:00:00,10.00,260,1003.65,29.22,0.00,23.7,61,989.55,16.7,0.00,32.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-04-2019,16:00:00,12.00,000,1002.15,30.93,0.00,24.6,57,986.24,0.0,0.00,34.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-04-2019,16:00:00,10.00,210,1002.76,32.15,0.20,25.2,66,997.64,5.6,0.00,32.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-04-2019,16:00:00,12.00,000,1001.12,31.52,0.60,24.9,66,988.22,0.0,0.00,32.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-04-2019,16:00:00,12.00,310,1003.15,32.34,0.00,25.4,72,993.99,11.1,0.00,31.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-04-2019,16:00:00,10.00,220,1001.94,32.91,2.90,25.6,79,980.55,3.7,0.00,29.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-04-2019,16:00:00,12.00,210,1001.28,32.13,21.10,25.2,78,984.02,11.1,0.00,29.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-04-2019,16:00:00,10.00,260,1001.46,29.93,54.10,24.1,97,985.59,3.7,9.40,24.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-04-2019,16:00:00,10.00,230,1001.09,32.13,3.30,25.2,78,982.48,3.7,0.00,29.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-04-2019,16:00:00,10.00,000,1004.98,27.54,4.90,22.7,86,953.78,0.0,0.70,25.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-04-2019,16:00:00,11.00,150,1002.86,32.82,0.00,25.6,68,998.98,11.1,0.00,32.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-04-2019,16:00:00,6.00,260,1004.94,24.57,3.70,20.8,90,910.35,9.3,0.00,22.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-04-2019,16:00:00,8.00,000,1002.64,32.71,31.30,25.5,95,986.69,0.0,0.00,26.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-04-2019,16:00:00,10.00,210,1003.53,32.23,0.20,25.3,67,999.58,5.6,0.00,32.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-04-2019,16:00:00,8.00,200,1004.23,30.21,0.00,24.2,68,993.71,5.6,0.00,30.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-04-2019,16:00:00,10.00,220,1004.06,29.89,1.50,24.0,68,1002.16,11.1,0.00,30.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-04-2019,16:00:00,10.00,260,1002.40,27.14,2.70,22.4,62,981.87,13.0,0.00,30.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-04-2019,16:00:00,11.00,080,1002.50,31.74,27.90,25.0,90,984.92,7.4,0.00,26.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-04-2019,16:00:00,10.00,000,1002.35,31.79,28.60,25.1,92,986.24,0.0,0.00,26.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-04-2019,16:00:00,9.00,220,1003.04,30.05,130.30,24.1,95,988.97,5.6,4.70,25.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-04-2019,16:00:00,8.00,000,1003.29,30.03,137.70,24.1,97,988.41,0.0,6.80,24.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-04-2019,16:00:00,5.00,230,1003.62,32.56,136.20,25.5,97,988.95,1.9,1.10,25.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-04-2019,16:00:00,3.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1004.37,29.81,1.20,24.0,68,1001.40,0.0,0.01,30.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-04-2019,16:00:00,10.00,000,1003.12,31.14,27.30,24.7,68,995.31,0.0,0.00,31.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-04-2019,16:00:00,8.00,230,1004.45,33.67,0.80,26.0,79,1003.35,5.6,0.00,30.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-04-2019,16:00:00,5.00,000,1003.20,32.77,86.10,25.6,92,988.57,0.0,0.00,27.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-04-2019,16:00:00,.05,290,1005.93,22.93,34.00,19.7,100,871.17,14.8,0.20,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-04-2019,16:00:00,10.00,180,1003.92,32.26,5.60,25.3,74,998.13,5.6,0.00,30.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-04-2019,16:00:00,8.00,270,1004.92,30.91,0.40,24.6,72,1004.13,16.7,0.00,30.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-04-2019,16:00:00,10.00,230,1005.51,31.67,0.20,25.0,84,1005.07,14.8,0.20,28.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-04-2019,16:00:00,3.00,000,1006.93,31.79,16.20,25.1,92,995.61,0.0,1.60,26.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-04-2019,16:00:00,12.00,230,1004.64,30.90,0.90,24.6,69,1003.64,3.7,0.00,31.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-04-2019,16:00:00,9.00,190,1004.39,30.18,7.40,24.2,69,1002.59,7.4,0.00,30.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-04-2019,16:00:00,8.00,000,1004.75,28.12,3.50,23.0,65,1004.00,0.0,0.01,30.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-04-2019,16:00:00,20.00,220,1005.60,30.95,1.00,24.6,81,1004.90,14.8,0.00,28.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-04-2019,16:00:00,7.00,240,1004.50,31.64,25.90,25.0,74,1003.80,5.6,0.00,30.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-04-2019,16:00:00,10.00,250,1003.59,29.52,6.80,23.8,71,982.69,11.1,0.00,29.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-04-2019,16:00:00,11.00,000,1003.39,31.14,61.50,24.7,86,986.75,0.0,0.00,27.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-04-2019,16:00:00,6.00,000,1003.76,30.97,58.30,24.6,84,987.41,0.0,0.00,27.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-04-2019,16:00:00,10.00,260,1003.50,28.17,14.90,23.1,67,981.93,13.0,0.00,29.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-04-2019,16:00:00,10.00,240,1004.45,27.52,9.70,22.7,78,961.29,18.5,0.00,26.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-04-2019,16:00:00,10.00,230,1003.18,29.74,27.40,23.9,74,982.83,9.3,0.00,29.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-04-2019,16:00:00,10.00,250,1004.54,32.69,28.60,25.5,91,983.78,7.4,0.00,27.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-04-2019,16:00:00,10.00,200,1005.38,31.69,1.80,25.0,79,1004.95,5.6,0.10,29.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-04-2019,16:00:00,10.00,000,1004.42,33.12,27.90,25.8,83,1003.01,0.0,0.00,29.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-04-2019,16:00:00,7.00,220,1004.94,31.46,46.50,24.9,80,1000.04,5.6,0.00,28.6
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-04-2019,16:00:00,12.00,270,1004.92,28.59,5.40,23.3,66,1001.67,7.4,0.00,30.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-04-2019,16:00:00,10.00,270,1004.88,31.03,2.70,24.7,74,1003.78,1.9,0.00,29.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-04-2019,16:00:00,9.00,200,1005.64,31.21,0.40,24.8,78,1005.34,5.6,0.20,28.9
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-04-2019,16:00:00,10.00,230,1005.31,30.56,1.00,24.4,81,1004.63,7.4,0.00,28.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-04-2019,16:00:00,10.00,150,1005.15,32.55,0.80,25.5,81,1004.67,5.6,0.20,29.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-04-2019,16:00:00,10.00,260,1005.22,31.12,0.40,24.7,75,1003.82,16.7,0.00,29.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-04-2019,16:00:00,10.00,210,1005.47,30.79,0.00,24.5,72,1003.81,24.1,0.00,30.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-04-2019,16:00:00,10.00,230,1006.68,30.56,4.20,24.4,81,998.71,3.7,0.00,28.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-04-2019,16:00:00,10.00,000,1005.48,30.56,0.40,24.4,81,1005.19,0.0,0.00,28.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-04-2019,16:00:00,8.00,270,1005.57,31.52,2.10,24.9,86,1002.45,5.6,0.70,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-04-2019,16:00:00,8.00,220,1005.77,31.58,4.10,24.9,88,998.84,11.1,0.20,27.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-04-2019,16:00:00,9.00,000,1004.69,29.13,33.40,23.6,71,999.15,0.0,0.00,29.4
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-04-2019,16:00:00,8.00,240,1006.60,32.21,2.30,25.3,90,997.29,14.8,0.20,27.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-04-2019,16:00:00,15.00,230,1006.07,29.19,2.00,23.6,69,1004.82,7.4,0.00,30.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-04-2019,16:00:00,11.00,300,1005.40,26.70,4.20,22.2,65,1004.98,11.1,0.00,29.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-04-2019,16:00:00,10.00,270,1006.08,28.14,5.10,23.0,73,993.88,3.7,0.10,28.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-04-2019,16:00:00,10.00,000,1005.95,27.80,0.40,22.8,67,1005.24,0.0,0.00,29.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-04-2019,16:00:00,10.00,270,1006.14,34.11,4.70,26.2,88,1003.72,5.6,0.40,28.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-04-2019,16:00:00,8.00,260,1006.28,30.26,9.20,24.2,81,1005.76,20.4,0.50,27.7
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-04-2019,16:00:00,9.00,170,1006.08,31.80,2.60,25.1,87,1000.94,3.7,0.30,27.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-04-2019,16:00:00,7.00,000,1006.26,32.77,33.10,25.6,92,1005.85,0.0,5.20,27.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-04-2019,16:00:00,8.00,000,1006.48,31.12,80.80,24.7,98,1003.70,0.0,6.20,25.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-04-2019,16:00:00,10.00,000,1006.79,28.26,5.70,23.1,77,1006.01,0.0,0.00,27.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-04-2019,16:00:00,6.00,300,1006.18,31.25,156.10,24.8,96,1005.72,11.1,14.60,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-04-2019,16:00:00,7.00,000,1008.38,29.16,31.70,23.6,93,1007.69,0.0,3.50,24.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-04-2019,16:00:00,7.00,000,1008.83,28.59,11.80,23.3,88,1007.29,0.0,2.40,25.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-04-2019,16:00:00,8.00,030,1008.43,30.32,49.70,24.3,96,1007.51,3.7,12.00,25.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-04-2019,16:00:00,9.00,000,1008.16,30.02,0.30,24.1,84,1007.47,0.0,0.30,27.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-04-2019,16:00:00,10.00,000,1008.29,33.53,0.90,26.0,90,1007.50,0.0,0.90,27.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-04-2019,16:00:00,9.00,330,1007.09,30.51,0.30,24.4,79,1006.46,5.6,0.30,28.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-04-2019,16:00:00,10.00,230,1007.10,30.02,0.90,24.1,84,1006.70,7.4,0.90,27.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-04-2019,16:00:00,5.00,000,1010.33,29.52,16.00,23.8,93,1006.08,0.0,16.00,25.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-04-2019,16:00:00,12.00,000,1008.31,32.34,0.00,25.4,81,1006.71,0.0,0.00,28.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-04-2019,16:00:00,12.00,000,1007.49,29.51,0.00,23.8,62,1004.07,0.0,0.00,32.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-04-2019,16:00:00,10.00,270,1007.01,27.49,0.00,22.6,57,1005.68,13.0,0.00,32.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-04-2019,16:00:00,10.00,240,1008.05,33.33,0.00,25.9,79,1007.17,5.6,0.00,29.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-04-2019,16:00:00,10.00,320,1008.11,29.49,0.00,23.8,72,1004.57,7.4,0.00,29.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-04-2019,16:00:00,10.00,000,1008.20,31.60,7.00,25.0,72,1007.77,0.0,0.00,30.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-04-2019,16:00:00,8.00,250,1007.84,31.56,0.00,24.9,74,1006.86,9.3,0.00,30.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-04-2019,16:00:00,10.00,270,1008.20,32.50,0.00,25.4,79,1007.39,16.7,0.00,29.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-04-2019,16:00:00,12.00,240,1007.67,29.92,0.00,24.0,65,1005.89,9.3,0.00,31.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-04-2019,16:00:00,12.00,240,1006.64,25.52,0.00,21.4,46,1005.91,16.7,0.00,34.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-04-2019,16:00:00,10.00,250,1007.11,28.35,0.00,23.2,55,1003.20,18.5,0.00,33.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-04-2019,16:00:00,10.00,250,1007.72,32.69,0.00,25.5,69,1007.05,7.4,0.00,32.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-04-2019,16:00:00,12.00,240,1006.90,27.51,0.00,22.7,53,1005.81,11.1,0.00,33.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-04-2019,16:00:00,12.00,260,1007.22,32.41,0.00,25.4,66,1004.36,9.3,0.00,32.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-04-2019,16:00:00,10.00,270,1005.78,32.42,0.00,25.4,59,1005.11,13.0,0.00,34.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-04-2019,16:00:00,7.00,280,1006.78,25.63,0.01,21.5,48,1002.76,13.0,0.00,34.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-04-2019,16:00:00,10.00,060,1006.62,29.24,5.20,23.7,64,1006.04,7.4,0.00,31.3
