WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,WindSpeed,WindDirection,LandVisibility,StationPressure,DewPoint,AirTemperature,RelativeHumidity
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-12-2019,13:00:00,28.85,1009.11,0.00,3.7,160,10.00,994.54,23.4,32.8,58
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-12-2019,13:00:00,35.33,1009.13,0.00,3.7,140,10.00,994.73,26.8,33.2,69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-12-2019,13:00:00,32.02,1009.06,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.00,1006.10,25.2,33.9,61
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-12-2019,13:00:00,30.29,1008.00,0.00,7.4,290,10.00,1000.23,24.3,34.2,56
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-12-2019,13:00:00,33.34,1010.00,0.00,5.6,310,8.00,1008.92,25.9,34.5,61
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-12-2019,13:00:00,28.01,1009.29,0.00,5.6,100,9.00,994.73,23.0,30.1,66
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,10-12-2019,13:00:00,23.58,1009.57,0.01,5.6,190,2.00,875.16,20.1,21.7,91
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-12-2019,13:00:00,33.95,1008.32,0.00,0.0,000,10.00,1002.58,26.2,34.5,62
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-12-2019,13:00:00,32.42,1009.18,0.00,5.6,010,8.00,1008.40,25.4,34.5,59
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1.10,10-12-2019,13:00:00,31.60,1009.19,0.00,9.3,210,10.00,1008.74,25.0,31.2,70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-12-2019,13:00:00,31.09,1008.94,0.00,0.0,000,10.00,997.88,24.7,34.3,57
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-12-2019,13:00:00,32.65,1008.04,0.00,3.7,270,7.00,1007.05,25.5,33.5,63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-12-2019,13:00:00,32.07,1008.81,0.00,3.7,090,7.00,1007.03,25.2,34.2,60
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-12-2019,13:00:00,32.08,1008.94,0.00,0.0,000,9.00,1008.19,25.2,33.1,63
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,10-12-2019,13:00:00,28.36,1009.22,0.00,9.3,190,10.00,1008.53,23.2,32.7,57
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-12-2019,13:00:00,32.34,1008.75,0.00,5.6,250,10.00,1008.07,25.3,34.6,59
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,10-12-2019,13:00:00,33.78,1008.79,0.01,7.4,100,10.00,987.91,26.1,31.4,74
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.30,10-12-2019,13:00:00,29.42,1009.85,3.20,3.7,210,10.00,992.97,23.8,24.8,94
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.30,10-12-2019,13:00:00,28.85,1010.65,2.20,5.6,230,9.00,994.08,23.4,25.5,88
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,10-12-2019,13:00:00,26.48,1009.37,0.01,3.7,050,10.00,987.46,22.0,26.8,75
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-12-2019,13:00:00,28.37,1008.47,0.00,11.1,290,8.00,965.73,23.2,31.0,63
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-12-2019,13:00:00,30.14,1008.79,0.00,5.6,170,9.00,988.41,24.2,30.2,70
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,4.20,10-12-2019,13:00:00,30.46,1011.44,4.20,27.8,170,2.00,990.36,24.3,24.5,99
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-12-2019,13:00:00,29.92,1009.08,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,1008.65,24.0,31.5,65
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.80,10-12-2019,13:00:00,33.66,1008.61,0.00,0.0,000,11.00,1007.22,26.0,33.0,67
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-12-2019,13:00:00,33.53,1008.57,0.00,5.6,120,8.00,1003.70,26.0,31.7,72
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,10-12-2019,13:00:00,32.28,1009.15,0.00,3.7,020,10.00,1005.91,25.3,32.5,66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-12-2019,13:00:00,31.26,1008.95,0.00,0.0,000,10.00,1007.87,24.8,34.1,58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-12-2019,13:00:00,29.83,1009.27,0.00,7.4,180,10.00,1008.97,24.0,33.0,59
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-12-2019,13:00:00,32.43,1009.57,0.00,5.6,200,10.00,1008.89,25.4,33.4,63
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-12-2019,13:00:00,31.11,1009.40,0.00,7.4,240,10.00,1008.92,24.7,32.5,64
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,10-12-2019,13:00:00,31.07,1009.04,0.01,27.8,300,9.00,1007.66,24.7,32.9,62
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-12-2019,13:00:00,30.47,1009.36,0.00,16.7,200,8.00,1007.69,24.4,29.8,73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,4.50,10-12-2019,13:00:00,32.33,1010.69,0.00,0.0,000,10.00,1002.80,25.3,32.8,65
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.50,10-12-2019,13:00:00,34.40,1008.71,0.00,16.7,270,6.00,1008.43,26.4,32.1,72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,15.90,10-12-2019,13:00:00,32.34,1009.14,0.00,5.6,280,12.00,1006.04,25.4,31.0,72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.20,10-12-2019,13:00:00,31.19,1009.43,0.00,7.4,270,10.00,1002.56,24.7,31.0,69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-12-2019,13:00:00,32.33,1008.27,0.00,5.6,150,10.00,1002.77,25.3,32.8,65
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,65.90,10-12-2019,13:00:00,36.94,1010.36,0.00,13.0,280,10.00,1001.17,27.6,32.0,78
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-12-2019,13:00:00,33.72,1010.39,0.00,0.0,000,14.00,1009.14,26.1,32.2,70
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.10,10-12-2019,13:00:00,34.14,1009.16,0.00,13.0,160,11.00,1008.73,26.3,33.9,65
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-12-2019,13:00:00,30.57,1009.50,0.00,0.0,000,8.00,997.39,24.4,31.4,67
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-12-2019,13:00:00,34.00,1009.43,0.00,9.3,110,8.00,1008.73,26.2,31.5,74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,10-12-2019,13:00:00,32.81,1009.21,0.00,11.1,190,10.00,1006.82,25.6,33.3,64
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-12-2019,13:00:00,33.15,1009.17,0.00,11.1,230,8.00,1008.65,25.8,31.8,71
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.70,10-12-2019,13:00:00,31.06,1008.89,0.00,3.7,290,13.00,1003.79,24.7,30.8,70
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-12-2019,13:00:00,31.35,1009.58,0.00,7.4,220,9.00,1009.17,24.8,32.2,65
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-12-2019,13:00:00,32.99,1009.91,0.00,3.7,200,8.00,1007.18,25.7,32.0,69
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-12-2019,13:00:00,30.61,1008.89,0.00,14.8,130,10.00,1008.12,24.4,33.1,61
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.90,10-12-2019,13:00:00,33.92,1009.51,0.00,0.0,000,8.00,1009.05,26.2,29.8,81
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-12-2019,13:00:00,30.57,1009.18,0.00,7.4,100,12.00,1008.51,24.4,33.5,59
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-12-2019,13:00:00,29.87,1008.77,0.00,5.6,140,9.00,1007.28,24.0,34.0,56
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,19.50,10-12-2019,13:00:00,30.40,1009.20,0.00,5.6,230,10.00,1008.30,24.3,32.3,63
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-12-2019,13:00:00,32.34,1010.01,0.00,11.1,120,10.00,1009.33,25.4,31.0,72
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-12-2019,13:00:00,29.66,1009.56,0.00,0.0,000,10.00,1008.78,23.9,33.2,58
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-12-2019,13:00:00,31.80,1009.26,0.00,7.4,130,10.00,1008.63,25.1,30.6,72
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.30,10-12-2019,13:00:00,31.72,1009.33,0.30,0.0,000,10.00,1008.93,25.0,31.4,69
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-12-2019,13:00:00,32.18,1011.10,0.00,5.6,020,8.00,1006.93,25.3,31.2,71
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.40,10-12-2019,13:00:00,26.20,1009.42,0.00,0.0,000,10.00,1007.83,21.9,32.3,54
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.80,10-12-2019,13:00:00,33.15,1009.35,0.00,0.0,000,8.00,1005.92,25.8,31.8,71
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,6.00,10-12-2019,13:00:00,31.93,1009.30,0.00,1.9,060,10.00,1007.96,25.1,31.5,69
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.10,10-12-2019,13:00:00,33.65,1009.58,0.00,9.3,240,10.00,1008.71,26.0,31.2,74
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-12-2019,13:00:00,31.52,1008.88,0.00,0.0,000,10.00,1005.38,24.9,32.0,66
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1.40,10-12-2019,13:00:00,30.69,1009.17,0.00,0.0,000,10.00,1008.74,24.5,33.0,61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.00,10-12-2019,13:00:00,30.58,1009.11,0.00,11.1,250,10.00,1008.13,24.4,30.7,69
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-12-2019,13:00:00,34.24,1009.82,0.00,11.1,210,10.00,1009.01,26.3,31.2,75
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.50,10-12-2019,13:00:00,29.99,1009.27,0.00,0.0,000,14.00,1007.49,24.1,32.8,60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-12-2019,13:00:00,31.02,1009.32,0.00,9.3,040,12.00,1008.57,24.7,31.2,68
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.60,10-12-2019,13:00:00,27.98,1009.36,0.00,20.4,260,10.00,1005.41,22.9,30.8,63
48570,SATUN,สตูล,สตูล,6.65000,100.08333,3.80,10-12-2019,13:00:00,28.67,1009.47,0.00,0.0,000,10.00,1008.79,23.3,30.3,66
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.40,10-12-2019,13:00:00,31.06,1008.92,0.00,5.6,170,10.00,1007.82,24.7,30.8,70
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-12-2019,13:00:00,31.28,1008.88,0.00,9.3,310,11.00,1006.02,24.8,33.0,62
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-12-2019,13:00:00,30.99,1008.14,0.00,11.1,040,14.00,1007.46,24.6,33.0,62
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-12-2019,13:00:00,28.24,1008.78,0.00,0.0,000,10.00,1004.74,23.1,33.2,56
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-12-2019,13:00:00,30.82,1008.33,0.00,13.0,030,12.00,1007.76,24.5,32.5,63
