WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,VaporPressure,WindSpeed,WindDirection,StationPressure,LandVisibility,Rainfall
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.5,09-13-2019,16:00:00,1009.77,24.5,11.80,94,28.89,0.0,000,1008.14,10.00,11.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,09-13-2019,16:00:00,1011.22,26.0,44.50,88,29.50,0.0,000,1007.72,8.00,1.50
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,21.1,09-13-2019,16:00:00,1008.65,33.7,3.30,48,25.05,16.7,300,1007.32,10.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.5,09-13-2019,16:00:00,1011.33,25.0,1.60,92,29.00,0.0,000,1010.44,8.00,1.60
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.5,09-13-2019,16:00:00,1005.90,23.3,9.40,96,27.33,11.1,030,1002.30,10.00,9.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.7,09-13-2019,16:00:00,1010.10,30.8,0.00,70,31.06,11.1,330,1009.66,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.6,09-13-2019,16:00:00,1011.18,28.0,0.01,77,29.19,5.6,240,1010.18,10.00,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.7,09-13-2019,16:00:00,1010.48,29.1,0.00,73,29.38,14.8,280,1009.67,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.4,09-13-2019,16:00:00,1009.70,33.5,0.00,56,28.84,5.6,290,1007.93,10.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.3,09-13-2019,16:00:00,1008.73,32.0,0.00,64,30.36,5.6,030,1007.99,10.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,21.5,09-13-2019,16:00:00,1008.97,33.0,0.20,51,25.63,22.2,250,1005.05,10.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.1,09-13-2019,16:00:00,1009.94,30.7,1.40,68,30.01,7.4,260,1009.26,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,09-13-2019,16:00:00,1008.54,33.8,29.40,56,29.46,7.4,280,1007.45,10.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.3,09-13-2019,16:00:00,1009.34,31.7,1.50,65,30.32,11.1,270,1006.46,12.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.7,09-13-2019,16:00:00,1008.77,26.3,5.70,91,31.13,0.0,000,1008.08,6.00,2.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.7,09-13-2019,16:00:00,1009.76,26.5,3.30,85,29.35,0.0,000,1005.62,5.00,2.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.6,09-13-2019,16:00:00,1009.10,25.4,0.60,84,27.38,22.2,260,1008.50,6.00,0.60
