WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,WindSpeed,DewPoint,MeanSeaLevelPressure,Rainfall,AirTemperature,StationPressure,VaporPressure,WindDirection,Rainfall24Hr
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-28-2019,22:00:00,75,0.0,23.2,1008.67,0.00,28.0,1000.68,28.39,000,0.10
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-28-2019,22:00:00,76,0.0,24.8,1007.08,0.00,29.5,1006.80,31.28,000,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-28-2019,22:00:00,85,5.6,25.0,1007.10,1.40,27.7,1003.97,31.64,130,1.60
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-28-2019,22:00:00,81,13.0,25.5,1007.57,0.00,29.0,1000.67,32.55,240,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,08-28-2019,22:00:00,85,0.0,25.1,1007.16,0.01,28.0,1001.58,31.95,000,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,6.00,08-28-2019,22:00:00,96,3.7,24.6,1008.48,16.20,25.3,1007.21,30.87,240,21.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-28-2019,22:00:00,74,16.7,23.3,1007.54,0.00,28.4,1007.11,28.59,300,0.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-28-2019,22:00:00,78,0.0,22.7,1008.76,0.00,26.8,996.47,27.52,000,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-28-2019,22:00:00,76,11.1,23.3,1008.08,0.00,27.8,1007.37,28.55,260,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-28-2019,22:00:00,72,11.1,23.9,1007.56,0.00,29.4,1005.14,29.68,240,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-28-2019,22:00:00,78,18.5,24.7,1007.48,0.00,29.0,1006.96,31.13,300,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,11.00,08-28-2019,22:00:00,80,1.9,24.6,1007.65,0.00,28.5,1002.52,30.98,260,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-28-2019,22:00:00,81,9.3,25.1,1007.95,0.00,28.7,1007.54,31.94,200,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-28-2019,22:00:00,83,0.0,25.3,1008.06,0.00,28.4,1005.30,32.19,000,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-28-2019,22:00:00,76,9.3,22.5,1009.30,0.00,27.1,1008.51,27.27,270,1.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-28-2019,22:00:00,85,3.7,25.4,1008.30,0.00,28.1,1007.84,32.43,250,0.00
