WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,DewPoint,StationPressure,WindSpeed,Rainfall24Hr,VaporPressure,Rainfall,MeanSeaLevelPressure,WindDirection,RelativeHumidity
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-10-2019,13:00:00,28.2,8.00,25.2,991.87,5.6,1.90,32.07,0.50,1007.81,200,84
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-10-2019,13:00:00,33.0,12.00,24.5,1003.85,3.7,0.00,30.69,0.00,1007.81,180,61
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-10-2019,13:00:00,34.0,9.00,24.3,997.66,7.4,0.00,30.46,0.00,1008.11,230,57
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-10-2019,13:00:00,33.8,10.00,23.3,1006.48,9.3,0.00,28.59,0.00,1008.37,190,54
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-10-2019,13:00:00,30.9,10.00,22.9,993.13,7.4,0.00,27.90,0.00,1013.87,250,62
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-10-2019,13:00:00,28.9,10.00,24.6,989.81,13.0,9.70,30.93,0.01,1007.37,180,78
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-10-2019,13:00:00,29.4,10.00,24.8,991.33,7.4,5.50,31.36,0.00,1007.37,180,77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-10-2019,13:00:00,29.3,10.00,24.6,994.53,7.4,5.20,30.88,0.00,1008.48,280,76
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-10-2019,13:00:00,28.5,6.00,25.7,993.86,0.0,9.60,32.96,4.40,1008.63,000,85
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-10-2019,13:00:00,28.2,8.00,25.8,994.24,7.4,10.80,33.20,0.01,1008.88,210,87
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-10-2019,13:00:00,34.3,10.00,22.4,1004.87,0.0,0.10,27.05,0.00,1007.82,000,50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-10-2019,13:00:00,32.4,10.00,24.3,1000.01,16.7,0.00,30.32,0.00,1007.83,150,62
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-10-2019,13:00:00,31.7,8.00,24.7,1007.55,7.4,9.70,31.19,0.00,1008.65,230,67
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-10-2019,13:00:00,31.5,8.00,26.3,993.68,0.0,0.00,34.30,0.00,1008.17,000,74
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-10-2019,13:00:00,{'@attributes': {'Unit': 'celcius'}},2.00,{'@attributes': {'Unit': 'celcius'}},874.82,5.6,56.60,{'@attributes': {'Unit': 'mb'}},0.00,{'@attributes': {'Unit': 'hPa'}},250,{'@attributes': {'Unit': '%'}}
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-10-2019,13:00:00,32.0,10.00,24.1,1002.60,7.4,0.00,30.08,0.00,1008.39,240,63
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-10-2019,13:00:00,34.1,8.00,23.6,1007.73,9.3,0.00,29.21,0.00,1008.51,300,55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-10-2019,13:00:00,30.7,10.00,24.7,1008.46,22.2,0.50,31.15,0.00,1008.90,230,71
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-10-2019,13:00:00,28.8,6.00,24.8,998.93,0.0,0.50,31.29,0.00,1010.20,000,79
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-10-2019,13:00:00,33.6,12.00,24.4,1007.46,7.4,2.10,30.49,0.00,1008.45,210,59
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-10-2019,13:00:00,33.2,8.00,22.8,1006.64,13.0,0.01,27.67,0.00,1008.43,180,54
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-10-2019,13:00:00,33.0,9.00,22.7,1007.44,0.0,0.00,27.56,0.00,1008.19,000,55
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-10-2019,13:00:00,31.0,10.00,24.4,1008.30,13.0,0.20,30.61,0.00,1009.00,170,68
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-10-2019,13:00:00,28.8,6.00,24.2,1008.08,5.6,8.50,30.18,1.00,1008.78,200,76
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-10-2019,13:00:00,32.8,10.00,22.5,986.98,13.0,0.01,27.16,0.00,1007.75,290,55
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-10-2019,13:00:00,31.3,11.00,24.9,991.60,9.3,0.01,31.51,0.00,1008.09,220,69
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-10-2019,13:00:00,31.3,9.00,24.1,992.63,9.3,0.10,30.08,0.00,1008.86,230,66
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-10-2019,13:00:00,33.2,10.00,24.2,986.19,3.7,0.00,30.24,0.00,1007.62,050,59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-10-2019,13:00:00,29.7,10.00,20.3,965.27,22.2,1.20,23.85,0.00,1008.17,260,57
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-10-2019,13:00:00,31.8,9.00,22.6,987.36,7.4,0.30,27.43,0.00,1007.61,230,58
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-10-2019,13:00:00,30.1,8.00,26.5,989.08,13.0,4.20,34.55,0.20,1009.74,250,81
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-10-2019,13:00:00,30.9,10.00,24.5,1008.42,20.4,0.00,30.70,0.00,1008.85,170,69
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-10-2019,13:00:00,32.7,10.00,25.8,1007.52,0.0,0.10,33.31,0.00,1008.91,000,67
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-10-2019,13:00:00,30.5,8.00,25.6,1003.74,3.7,37.80,32.75,0.00,1008.62,240,75
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-10-2019,13:00:00,34.6,12.00,22.6,1005.04,9.3,0.90,27.37,0.00,1008.25,220,50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-10-2019,13:00:00,33.4,10.00,24.6,1007.62,3.7,0.01,30.95,0.00,1008.71,270,60
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-10-2019,13:00:00,31.7,10.00,24.1,1008.70,11.1,2.10,30.04,0.00,1009.00,210,64
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-10-2019,13:00:00,32.3,10.00,25.2,1008.00,7.4,17.80,32.15,0.00,1008.68,220,66
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-10-2019,13:00:00,32.3,10.00,24.5,1008.39,7.4,29.20,30.69,0.00,1008.87,240,63
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-10-2019,13:00:00,33.0,10.00,24.5,1007.01,14.8,0.00,30.69,0.00,1008.39,200,61
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-10-2019,13:00:00,30.0,10.00,26.9,1007.57,22.2,0.00,35.53,0.00,1009.23,190,84
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-10-2019,13:00:00,31.9,10.00,24.5,1002.40,11.1,0.00,30.73,0.00,1010.30,230,65
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-10-2019,13:00:00,33.3,10.00,23.5,1008.38,9.3,0.00,29.01,0.00,1008.66,170,57
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-10-2019,13:00:00,31.3,10.00,24.1,1005.95,5.6,0.00,30.08,0.00,1009.05,300,66
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-10-2019,13:00:00,31.8,12.00,23.4,1002.54,7.4,0.00,28.82,0.00,1009.38,270,61
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-10-2019,13:00:00,29.5,8.00,25.2,1003.46,5.6,2.70,32.13,2.70,1009.02,200,78
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-10-2019,13:00:00,31.0,10.00,24.3,1001.03,18.5,0.00,30.33,0.00,1010.25,220,68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-10-2019,13:00:00,33.5,14.00,24.6,1008.21,3.7,0.01,30.87,0.00,1009.44,040,60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-10-2019,13:00:00,33.0,11.00,26.5,1008.30,18.5,0.00,34.57,0.00,1008.73,170,69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-10-2019,13:00:00,33.5,10.00,23.6,997.01,11.1,0.00,29.13,0.00,1009.03,320,56
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-10-2019,13:00:00,34.0,10.00,22.7,1008.17,5.6,0.00,27.58,0.00,1008.86,240,52
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-10-2019,13:00:00,32.0,10.00,24.6,1007.88,7.4,0.00,30.94,0.00,1010.28,200,65
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-10-2019,13:00:00,30.0,12.00,25.2,1009.41,14.8,0.00,32.01,0.00,1009.93,250,75
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-10-2019,13:00:00,32.0,14.00,23.8,1004.42,5.6,0.00,29.51,0.00,1009.50,200,62
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-10-2019,13:00:00,29.9,8.00,25.4,1009.59,5.6,0.20,32.38,0.00,1010.00,220,77
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-10-2019,13:00:00,30.5,8.00,26.3,1007.21,5.6,8.90,34.22,0.00,1009.96,230,78
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-10-2019,13:00:00,32.0,10.00,21.7,1011.86,0.0,13.80,25.91,0.00,1012.64,000,54
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-10-2019,13:00:00,29.9,8.00,25.4,1009.91,7.4,161.40,32.38,0.10,1010.37,270,77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-10-2019,13:00:00,30.7,8.00,23.3,1009.24,3.7,0.90,28.62,0.00,1009.92,060,65
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-10-2019,13:00:00,32.2,9.00,24.0,1008.00,7.4,7.20,29.91,0.00,1009.50,270,62
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-10-2019,13:00:00,31.4,10.00,24.3,1009.91,5.6,40.30,30.28,0.00,1010.81,220,66
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-10-2019,13:00:00,29.9,12.00,24.2,1009.82,9.3,30.10,30.11,0.00,1010.50,180,71
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-10-2019,13:00:00,33.3,10.00,23.5,1009.22,9.3,15.80,29.01,0.00,1010.01,240,57
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-10-2019,13:00:00,33.6,10.00,23.9,1008.65,0.0,14.00,29.62,0.00,1009.27,000,57
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-10-2019,13:00:00,34.2,10.00,25.1,1009.00,0.0,34.80,31.77,0.00,1009.39,000,59
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-10-2019,13:00:00,32.8,10.00,23.0,1007.79,9.3,42.20,28.00,0.00,1011.94,180,56
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-10-2019,13:00:00,31.4,10.00,22.0,1008.64,0.0,8.80,26.40,0.00,1010.23,000,57
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-10-2019,13:00:00,32.0,10.00,21.7,1007.19,0.0,34.60,25.91,0.00,1010.62,000,54
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-10-2019,13:00:00,31.9,10.00,24.0,1008.21,3.7,0.01,29.87,0.00,1009.54,200,63
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-10-2019,13:00:00,31.0,12.00,24.3,1009.52,9.3,7.30,30.33,0.00,1010.40,270,68
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-10-2019,13:00:00,32.4,10.00,21.8,1006.75,5.6,36.00,26.12,0.00,1010.26,170,54
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-10-2019,13:00:00,32.0,10.00,25.7,1009.60,0.0,5.60,32.99,0.00,1010.03,000,69
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-10-2019,13:00:00,30.6,10.00,23.5,1008.91,11.1,1.60,28.97,0.00,1009.89,150,66
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-10-2019,13:00:00,30.9,10.00,27.0,1009.31,7.4,7.40,35.70,0.00,1010.11,260,80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-10-2019,13:00:00,33.2,10.00,23.9,1007.92,7.4,45.80,29.66,0.00,1009.70,310,58
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-10-2019,13:00:00,30.9,8.00,23.9,1008.74,3.7,0.01,29.56,0.00,1009.48,110,66
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-10-2019,13:00:00,32.6,7.00,24.3,1005.77,9.3,0.00,30.44,0.00,1009.70,990,62
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-10-2019,13:00:00,32.5,10.00,20.7,1009.91,7.4,0.00,24.42,0.00,1010.58,240,50
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-10-2019,13:00:00,33.4,12.00,23.5,1008.89,5.6,0.00,28.92,0.00,1009.98,160,56
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-10-2019,13:00:00,33.1,12.00,25.1,1006.10,9.3,0.00,31.79,0.00,1008.97,240,63
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-10-2019,13:00:00,32.7,10.00,25.5,1008.50,0.0,1.20,32.71,0.00,1009.18,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",66
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-10-2019,13:00:00,32.5,6.00,24.7,1005.65,0.0,0.00,31.11,0.00,1009.71,000,64
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-10-2019,13:00:00,31.0,10.00,24.0,1009.13,11.1,13.50,29.76,0.00,1009.71,060,66
