WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,RelativeHumidity,StationPressure,VaporPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,WindDirection,AirTemperature
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-07-2019,13:00:00,5.6,50,994.02,25.08,1009.59,12.00,0.00,21.1,060,33.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,10-07-2019,13:00:00,5.6,58,990.89,29.25,1009.45,10.00,0.00,23.7,080,33.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-07-2019,13:00:00,0.0,56,959.74,23.51,1010.46,10.00,0.00,20.1,000,29.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-07-2019,13:00:00,0.0,60,1006.15,30.53,1010.04,6.00,0.00,24.4,000,33.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.70,10-07-2019,13:00:00,0.0,74,916.38,23.80,1010.70,9.00,0.00,20.3,000,25.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-07-2019,13:00:00,5.6,54,994.21,25.91,1009.98,10.00,0.00,21.7,090,32.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.30,10-07-2019,13:00:00,1.9,60,1006.67,29.79,1010.64,10.00,0.00,24.0,320,32.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-07-2019,13:00:00,5.6,56,1000.22,26.53,1010.76,11.00,0.00,22.1,060,31.9
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,10-07-2019,13:00:00,0.0,58,1008.63,29.25,1010.53,14.00,0.00,23.7,000,33.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.40,10-07-2019,13:00:00,11.1,53,989.47,25.66,1010.03,10.00,0.00,21.5,120,32.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.80,10-07-2019,13:00:00,11.1,59,992.53,27.52,1009.97,10.00,0.00,22.7,070,31.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,13.70,10-07-2019,13:00:00,9.3,58,993.73,28.13,1009.65,10.00,0.00,23.0,100,32.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-07-2019,13:00:00,5.6,54,995.71,27.28,1009.51,10.00,0.00,22.5,100,33.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-07-2019,13:00:00,0.0,63,995.50,29.07,1010.15,10.00,0.00,23.6,000,31.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-07-2019,13:00:00,0.0,66,996.23,31.10,1010.72,10.00,0.00,24.7,000,31.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.80,10-07-2019,13:00:00,0.0,56,1007.34,27.22,1010.32,10.00,0.00,22.5,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",32.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-07-2019,13:00:00,7.4,49,1001.78,24.92,1009.59,10.00,0.00,21.0,020,33.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.60,10-07-2019,13:00:00,0.0,55,1009.40,27.84,1010.49,10.00,0.00,22.9,000,33.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,14.50,10-07-2019,13:00:00,0.0,66,995.35,31.52,1009.84,8.00,0.00,24.9,000,32.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.40,10-07-2019,13:00:00,1.9,97,875.76,23.12,1010.93,2.00,4.20,19.8,200,20.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-07-2019,13:00:00,5.6,64,1004.07,31.11,1009.86,10.00,0.00,24.7,050,32.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-07-2019,13:00:00,3.7,62,1009.22,30.78,1010.01,8.00,0.00,24.5,070,32.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,6.10,10-07-2019,13:00:00,7.4,69,1009.35,30.90,1009.80,10.00,0.00,24.6,210,31.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.60,10-07-2019,13:00:00,0.0,59,998.32,29.54,1009.42,8.00,0.00,23.8,000,33.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.80,10-07-2019,13:00:00,3.7,59,1009.30,28.81,1010.30,12.00,0.00,23.4,050,32.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.20,10-07-2019,13:00:00,3.7,55,1008.01,28.27,1009.80,10.00,0.00,23.1,100,33.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.80,10-07-2019,13:00:00,0.0,64,1009.42,29.24,1010.17,11.00,0.00,23.7,000,31.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,13.40,10-07-2019,13:00:00,11.1,60,1009.00,28.78,1009.69,10.00,0.00,23.4,140,32.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-07-2019,13:00:00,3.7,50,1008.71,26.15,1009.40,12.00,0.00,21.8,150,33.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-07-2019,13:00:00,7.4,61,989.21,27.74,1010.15,10.00,0.00,22.8,040,31.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.40,10-07-2019,13:00:00,5.6,69,993.65,30.90,1010.20,12.00,0.00,24.6,030,31.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.80,10-07-2019,13:00:00,5.6,68,992.89,30.73,1009.13,10.00,0.00,24.5,010,31.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,6.50,10-07-2019,13:00:00,0.0,61,988.25,28.94,1009.80,6.00,0.00,23.5,000,32.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.01,10-07-2019,13:00:00,18.5,61,966.79,25.48,1009.78,10.00,0.00,21.4,060,29.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-07-2019,13:00:00,3.7,60,989.39,28.07,1009.68,10.00,0.00,23.0,010,31.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,44.70,10-07-2019,13:00:00,9.3,74,991.40,32.59,1012.07,9.00,0.00,25.5,060,30.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.30,10-07-2019,13:00:00,0.0,67,1009.91,29.25,1010.34,10.00,0.00,23.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",30.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-07-2019,13:00:00,0.0,55,1008.18,28.56,1009.58,11.00,0.00,23.3,000,33.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.01,10-07-2019,13:00:00,0.0,64,1004.45,29.35,1009.32,10.00,0.00,23.7,000,31.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-07-2019,13:00:00,9.3,54,1006.64,27.47,1009.88,12.00,0.00,22.6,100,33.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,10-07-2019,13:00:00,0.0,63,1008.87,29.79,1009.96,10.00,0.00,24.0,000,32.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,11.70,10-07-2019,13:00:00,3.7,65,1009.51,29.60,1009.80,8.00,0.00,23.9,200,31.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,11.50,10-07-2019,13:00:00,3.7,68,1009.36,31.35,1010.04,10.00,0.00,24.8,120,31.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,16.40,10-07-2019,13:00:00,1.9,63,1008.69,28.76,1009.18,8.00,0.00,23.4,120,31.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,15.00,10-07-2019,13:00:00,16.7,65,1008.60,31.15,1009.99,10.00,0.00,24.7,090,32.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-07-2019,13:00:00,0.0,73,1010.17,29.96,1011.84,7.00,0.00,24.1,000,29.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.70,10-07-2019,13:00:00,1.9,61,1003.03,28.94,1010.94,15.00,0.00,23.5,090,32.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.70,10-07-2019,13:00:00,9.3,79,1009.16,33.33,1009.45,8.00,3.70,25.9,300,29.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-07-2019,13:00:00,5.6,69,1006.57,29.08,1009.69,12.00,0.00,23.6,310,29.8
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-07-2019,13:00:00,11.1,74,1003.28,30.44,1010.19,10.00,0.00,24.3,240,29.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-07-2019,13:00:00,7.4,58,1004.57,29.17,1010.07,9.00,0.00,23.6,170,33.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-07-2019,13:00:00,3.7,75,1001.57,31.20,1010.84,10.00,0.00,24.7,300,29.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.30,10-07-2019,13:00:00,7.4,65,1009.50,29.72,1010.75,12.00,0.00,23.9,360,31.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.50,10-07-2019,13:00:00,13.0,74,1009.69,30.13,1010.12,8.00,0.00,24.2,010,29.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,15.30,10-07-2019,13:00:00,11.1,65,997.78,29.92,1009.89,8.00,0.00,24.0,040,31.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-07-2019,13:00:00,13.0,79,1009.36,32.01,1010.07,8.00,0.00,25.2,030,29.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-07-2019,13:00:00,7.4,69,1007.99,29.47,1010.41,9.00,0.00,23.8,300,30.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.30,10-07-2019,13:00:00,9.3,70,1009.81,32.01,1010.33,12.00,0.00,25.2,190,31.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.50,10-07-2019,13:00:00,5.6,71,1004.62,29.44,1009.75,11.00,0.00,23.8,220,29.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.20,10-07-2019,13:00:00,5.6,52,1008.71,26.56,1009.12,11.00,0.00,22.1,230,33.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.70,10-07-2019,13:00:00,3.7,65,1006.98,31.69,1009.71,10.00,0.00,25.0,200,32.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-07-2019,13:00:00,0.0,68,1012.85,30.73,1013.63,10.00,0.00,24.5,000,31.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.40,10-07-2019,13:00:00,5.6,67,1009.12,33.66,1009.58,10.00,0.00,26.0,310,33.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.00,10-07-2019,13:00:00,5.6,63,1009.37,29.07,1010.05,10.00,0.00,23.6,080,31.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.00,10-07-2019,13:00:00,7.4,59,1008.66,28.50,1010.16,10.00,0.00,23.2,120,32.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.30,10-07-2019,13:00:00,7.4,61,1008.73,27.85,1009.64,10.00,0.00,22.9,340,31.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-07-2019,13:00:00,18.5,76,1009.78,32.42,1010.46,12.00,0.00,25.4,090,30.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,13.90,10-07-2019,13:00:00,5.6,62,1009.17,29.83,1009.96,10.00,0.00,24.0,060,32.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-07-2019,13:00:00,7.4,68,1009.17,31.23,1009.79,10.00,0.00,24.8,030,31.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.80,10-07-2019,13:00:00,7.4,77,1009.63,31.85,1010.03,10.00,0.00,25.1,150,29.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.10,10-07-2019,13:00:00,13.0,70,1007.49,31.47,1011.66,10.00,0.00,24.9,340,31.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-07-2019,13:00:00,0.0,53,1008.33,27.34,1009.91,10.00,0.00,22.6,000,33.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.01,10-07-2019,13:00:00,0.0,61,1006.11,28.23,1009.54,10.00,0.00,23.1,000,31.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-07-2019,13:00:00,7.4,69,1008.39,29.08,1009.74,10.00,0.00,23.6,100,29.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-07-2019,13:00:00,11.1,72,1009.00,31.93,1009.88,10.00,0.00,25.1,270,30.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,3.00,10-07-2019,13:00:00,11.1,57,1006.07,28.48,1009.57,10.00,0.00,23.2,080,32.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.80,10-07-2019,13:00:00,7.4,65,1009.33,28.70,1009.76,10.00,0.00,23.4,290,30.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.30,10-07-2019,13:00:00,9.3,72,1009.33,29.11,1010.32,10.00,0.20,23.6,230,29.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-07-2019,13:00:00,11.1,78,1009.04,34.22,1009.85,10.00,0.00,26.3,300,30.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,36.90,10-07-2019,13:00:00,5.6,75,1007.80,31.40,1009.60,7.00,0.90,24.9,290,29.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,10-07-2019,13:00:00,13.0,79,1008.96,32.71,1009.71,11.00,0.01,25.5,060,29.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.60,10-07-2019,13:00:00,14.8,67,1005.52,29.65,1009.47,10.00,0.00,23.9,070,30.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-07-2019,13:00:00,0.0,55,1007.90,27.84,1008.57,10.00,0.00,22.9,000,33.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,14.00,10-07-2019,13:00:00,9.3,67,1008.39,30.65,1009.49,12.00,0.00,24.5,040,31.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.50,10-07-2019,13:00:00,11.1,62,1006.46,30.53,1009.34,12.00,0.00,24.4,040,32.5
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-07-2019,13:00:00,0.0,68,1008.91,29.81,1009.59,11.00,0.00,24.0,000,30.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,4.00,10-07-2019,13:00:00,0.0,81,1006.41,32.55,1010.52,8.00,0.00,25.5,000,29.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-07-2019,13:00:00,11.1,68,1009.87,27.96,1010.45,10.00,0.00,22.9,060,29.5
