WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,WindSpeed,LandVisibility,StationPressure,Rainfall24Hr,DewPoint,Rainfall,WindDirection,RelativeHumidity,VaporPressure
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.5,07-17-2019,04:00:00,1003.71,0.0,7.00,1003.01,0.00,26.1,0.00,000,87,33.82
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.1,07-17-2019,04:00:00,1004.31,3.7,10.00,983.29,0.00,23.9,0.00,260,78,29.65
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.0,07-17-2019,04:00:00,1003.55,0.0,7.00,986.89,0.00,22.6,0.00,000,77,27.36
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.5,07-17-2019,04:00:00,1003.91,0.0,6.00,987.51,0.00,24.3,0.00,000,88,30.43
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.5,07-17-2019,04:00:00,1003.14,0.0,10.00,981.41,0.00,23.9,0.00,000,81,29.60
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.5,07-17-2019,04:00:00,1003.47,7.4,10.00,960.32,0.00,21.5,0.00,240,74,25.71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.2,07-17-2019,04:00:00,1003.27,0.0,8.00,982.81,0.00,23.9,0.00,000,82,29.58
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.6,07-17-2019,04:00:00,1004.91,3.7,7.00,984.12,0.00,25.5,0.00,180,93,32.54
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.2,07-17-2019,04:00:00,1003.91,9.3,10.00,1003.48,0.00,22.8,0.00,250,72,27.69
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.0,07-17-2019,04:00:00,1003.60,0.0,6.00,1002.19,0.00,25.0,0.00,000,89,31.66
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,27.4,07-17-2019,04:00:00,1004.06,0.0,7.00,999.15,0.00,25.7,0.00,000,90,33.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.0,07-17-2019,04:00:00,1004.01,3.7,10.00,1000.72,0.00,22.9,0.00,240,78,27.88
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.2,07-17-2019,04:00:00,1003.91,3.7,10.00,1002.80,0.00,23.0,0.00,210,82,28.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.2,07-17-2019,04:00:00,1004.06,0.0,10.00,1003.76,0.00,23.5,0.00,000,76,29.03
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.1,07-17-2019,04:00:00,1003.57,1.9,10.00,1003.09,0.00,22.5,0.00,270,72,27.24
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.3,07-17-2019,04:00:00,1004.10,18.5,10.00,1002.70,0.00,23.0,0.00,240,73,28.14
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.5,07-17-2019,04:00:00,1005.44,3.7,10.00,997.43,0.00,24.6,0.00,230,89,30.97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.5,07-17-2019,04:00:00,1003.77,0.0,10.00,1003.49,0.00,24.6,0.00,000,75,31.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.5,07-17-2019,04:00:00,1003.80,9.3,10.00,1000.70,0.00,23.7,0.00,340,71,29.33
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.4,07-17-2019,04:00:00,1003.98,5.6,10.00,997.12,0.00,24.2,0.00,230,74,30.24
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.0,07-17-2019,04:00:00,1003.96,0.0,8.00,998.40,0.00,25.1,0.00,000,85,31.95
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.2,07-17-2019,04:00:00,1005.78,3.7,10.00,1004.51,0.00,23.1,0.00,230,83,28.28
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.0,07-17-2019,04:00:00,1004.32,5.6,11.00,1003.89,0.00,22.9,0.00,270,74,27.85
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.4,07-17-2019,04:00:00,1004.91,0.0,10.00,992.61,0.00,23.2,0.00,000,88,28.41
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.0,07-17-2019,04:00:00,1004.73,0.0,10.00,1004.02,0.00,23.0,0.00,000,74,28.12
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.5,07-17-2019,04:00:00,1005.04,11.1,10.00,1002.62,0.00,25.1,0.00,200,82,31.82
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.5,07-17-2019,04:00:00,1004.19,18.5,10.00,1003.68,0.00,24.9,0.00,290,77,31.56
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.5,07-17-2019,04:00:00,1004.24,1.9,10.00,999.11,0.00,23.9,0.00,270,81,29.60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.1,07-17-2019,04:00:00,1004.25,0.0,7.00,1003.84,3.10,25.4,3.10,000,85,32.43
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.3,07-17-2019,04:00:00,1004.35,0.0,8.00,1001.59,0.00,24.4,0.00,000,84,30.59
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.1,07-17-2019,04:00:00,1006.82,0.0,10.00,1006.03,0.00,23.0,0.00,000,83,28.10
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.5,07-17-2019,04:00:00,1004.35,0.0,3.00,1003.89,6.70,25.4,5.70,000,93,32.35
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.6,07-17-2019,04:00:00,1005.22,0.0,9.00,1004.53,0.01,24.0,0.00,000,91,29.82
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.5,07-17-2019,04:00:00,1005.91,0.0,8.00,1004.38,0.20,24.0,0.00,000,92,29.91
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.3,07-17-2019,04:00:00,1006.38,5.6,10.00,1005.46,39.90,24.1,0.00,200,88,30.05
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.2,07-17-2019,04:00:00,1005.35,0.0,10.00,1004.67,0.00,23.7,0.00,000,81,29.31
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.8,07-17-2019,04:00:00,1006.20,5.6,7.00,1005.39,13.20,23.4,0.00,230,97,28.69
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,07-17-2019,04:00:00,1005.03,0.0,10.00,1004.40,13.70,23.5,0.00,000,92,29.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,07-17-2019,04:00:00,1005.89,7.4,10.00,1005.48,10.10,23.9,0.00,210,96,29.59
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.2,07-17-2019,04:00:00,1007.77,0.0,6.00,1003.52,15.40,22.7,0.00,000,91,27.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.5,07-17-2019,04:00:00,1006.76,0.0,10.00,1005.13,4.60,23.2,0.00,000,98,28.42
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,07-17-2019,04:00:00,1007.46,0.0,6.00,1003.95,17.10,23.3,0.20,000,96,28.53
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.4,07-17-2019,04:00:00,1006.53,9.3,8.00,1005.17,0.40,22.6,0.00,300,84,27.38
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.7,07-17-2019,04:00:00,1006.80,0.0,10.00,1005.91,68.40,24.4,0.00,000,98,30.56
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.9,07-17-2019,04:00:00,1006.94,0.0,10.00,1003.34,35.00,23.3,0.00,000,97,28.61
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,07-17-2019,04:00:00,1006.80,0.0,10.00,1006.36,80.20,23.9,0.20,000,95,29.69
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.4,07-17-2019,04:00:00,1006.72,0.0,8.00,1005.72,40.60,24.7,0.20,000,96,31.06
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.1,07-17-2019,04:00:00,1006.93,18.5,10.00,1006.12,100.00,25.5,0.00,280,91,32.69
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.0,07-17-2019,04:00:00,1007.05,0.0,10.00,1005.22,29.90,23.4,0.00,000,97,28.78
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.6,07-17-2019,04:00:00,1006.86,5.6,10.00,1006.10,0.20,22.4,0.00,270,87,27.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.7,07-17-2019,04:00:00,1007.61,0.0,10.00,1003.57,23.80,23.1,0.00,000,96,28.26
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,07-17-2019,04:00:00,1008.39,0.0,10.00,1007.70,43.30,23.4,0.00,000,97,28.78
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,07-17-2019,04:00:00,1006.97,0.0,10.00,1005.85,0.60,23.3,0.00,000,93,28.63
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,07-17-2019,04:00:00,1007.77,0.0,10.00,1004.82,0.01,23.6,0.00,000,97,29.04
