WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MinimumTemperature,AirTemperature,WindSpeed,VaporPressure,MeanSeaLevelPressure,Rainfall,StationPressure,DewPoint,RelativeHumidity,Rainfall24Hr,WindDirection
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1.50,09-03-2019,07:00:00,22.5,23.6,9.3,28.85,1004.16,8.20,989.37,23.4,99,28.00,250
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-03-2019,07:00:00,25.2,25.8,0.0,31.55,1005.96,0.00,1002.94,24.9,95,3.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,09-03-2019,07:00:00,24.0,25.0,0.0,29.00,1005.99,0.00,998.00,23.5,92,37.80,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.00,09-03-2019,07:00:00,24.0,25.0,3.7,30.32,1006.43,0.00,1005.31,24.3,96,11.40,160
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,9.00,09-03-2019,07:00:00,23.0,26.0,0.0,30.84,1002.30,0.00,987.63,24.6,92,25.50,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,09-03-2019,07:00:00,17.2,18.9,7.4,21.60,1007.14,0.01,871.88,18.7,99,51.60,280
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.00,09-03-2019,07:00:00,24.0,25.0,0.0,30.85,1006.51,0.40,1000.60,24.6,97,48.40,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-03-2019,07:00:00,25.0,25.5,3.7,31.25,1006.57,5.10,1005.76,24.8,96,7.80,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-03-2019,07:00:00,25.6,26.4,11.1,30.51,1006.51,0.00,1006.06,24.4,89,7.70,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,09-03-2019,07:00:00,23.7,24.0,0.0,29.30,1008.22,6.60,996.79,23.7,98,20.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,09-03-2019,07:00:00,24.9,25.5,0.0,31.25,1006.99,0.30,1005.97,24.8,96,3.70,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,09-03-2019,07:00:00,25.0,25.0,0.0,30.32,1006.85,0.00,1005.01,24.3,96,10.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,5.00,09-03-2019,07:00:00,24.5,25.5,0.0,30.98,1006.97,0.20,1006.20,24.6,95,1.50,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,09-03-2019,07:00:00,24.6,25.7,7.4,30.28,1007.14,0.01,1006.43,24.2,92,6.00,250
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,09-03-2019,07:00:00,24.6,25.4,0.0,30.79,1006.49,0.40,1005.79,24.5,95,14.70,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-03-2019,07:00:00,23.0,23.7,16.7,27.50,1005.39,0.01,984.04,22.7,94,41.70,270
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.00,09-03-2019,07:00:00,22.8,24.0,0.0,28.53,1004.41,2.70,987.58,23.3,96,18.80,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.00,09-03-2019,07:00:00,23.0,24.0,5.6,27.25,1004.69,1.90,988.14,22.5,91,17.30,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-03-2019,07:00:00,23.2,23.5,0.0,27.66,1005.15,0.00,983.09,22.8,96,36.10,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,4.00,09-03-2019,07:00:00,22.0,23.1,25.9,26.74,1006.52,0.01,962.75,22.2,95,32.90,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,8.00,09-03-2019,07:00:00,23.5,24.7,14.8,26.68,1004.41,0.00,983.75,22.2,86,21.60,240
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,5.00,09-03-2019,07:00:00,23.5,23.5,11.1,28.94,1005.45,1.00,984.42,23.5,100,11.00,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-03-2019,07:00:00,25.1,25.7,7.4,30.01,1006.85,0.20,1006.41,24.1,91,1.10,250
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-03-2019,07:00:00,24.5,24.6,0.0,30.65,1006.28,0.60,1004.85,24.4,99,18.20,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,09-03-2019,07:00:00,24.2,24.6,0.0,30.65,1006.73,4.20,1001.76,24.4,99,12.60,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,09-03-2019,07:00:00,23.6,25.4,0.0,29.99,1006.62,0.00,1003.31,24.1,92,0.90,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,7.00,09-03-2019,07:00:00,24.8,25.2,0.0,31.49,1006.70,0.10,1005.58,24.9,98,5.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.00,09-03-2019,07:00:00,25.2,26.1,0.0,30.76,1006.89,0.10,1006.59,24.5,91,5.30,000
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,8.00,09-03-2019,07:00:00,25.5,26.0,0.0,32.20,1007.04,10.50,1006.35,25.3,96,10.50,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-03-2019,07:00:00,26.0,26.0,0.0,30.03,1006.74,0.00,1006.25,24.1,89,0.01,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,8.00,09-03-2019,07:00:00,24.9,25.6,3.7,31.44,1007.46,1.00,1006.04,24.9,96,6.10,180
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-03-2019,07:00:00,25.8,28.8,14.8,32.71,1006.74,0.00,1005.07,25.5,83,0.00,220
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-03-2019,07:00:00,23.8,24.0,0.0,29.30,1008.42,1.70,1000.32,23.7,98,19.20,000
