WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,DewPoint,WindDirection,AirTemperature,Rainfall,WindSpeed,StationPressure,LandVisibility,VaporPressure,RelativeHumidity
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.49,07-13-2019,04:00:00,0.00,21.6,000,26.7,0.00,0.0,973.97,10.00,25.80,74
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1006.91,07-13-2019,04:00:00,0.00,21.9,270,26.7,0.00,1.9,988.42,10.00,26.31,75
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1006.02,07-13-2019,04:00:00,0.00,24.3,000,26.5,0.00,0.0,976.18,6.00,30.43,88
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.70,07-13-2019,04:00:00,0.00,22.4,000,25.8,0.00,0.0,972.13,6.00,27.05,81
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1005.45,07-13-2019,04:00:00,0.00,23.3,000,26.2,0.00,0.0,975.77,12.00,28.54,84
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.04,07-13-2019,04:00:00,0.00,23.3,000,27.4,0.00,0.0,999.74,8.00,28.61,78
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1005.70,07-13-2019,04:00:00,0.00,27.4,000,28.1,0.00,0.0,985.92,10.00,36.50,96
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.19,07-13-2019,04:00:00,0.00,21.4,210,28.7,0.00,5.6,977.76,10.00,25.44,65
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.44,07-13-2019,04:00:00,0.00,24.8,000,28.0,0.00,0.0,986.36,12.00,31.39,83
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1006.62,07-13-2019,04:00:00,0.00,24.3,240,27.2,0.00,7.4,984.93,10.00,30.39,84
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1005.72,07-13-2019,04:00:00,0.00,24.1,230,28.0,0.00,1.9,986.34,10.00,30.01,79
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1006.97,07-13-2019,04:00:00,0.00,25.1,000,26.3,0.00,0.0,989.53,10.00,31.96,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.87,07-13-2019,04:00:00,0.00,26.0,000,27.8,0.00,0.0,980.21,10.00,33.53,90
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.46,07-13-2019,04:00:00,0.00,22.2,270,28.3,0.00,5.6,1001.70,10.00,26.81,70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1006.35,07-13-2019,04:00:00,0.00,23.3,000,28.0,0.00,0.0,1000.19,10.00,28.65,76
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1007.48,07-13-2019,04:00:00,0.00,21.3,000,27.6,0.00,0.0,991.07,8.00,25.32,69
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1009.07,07-13-2019,04:00:00,2.80,23.1,000,24.0,0.00,0.0,986.48,10.00,28.27,95
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.62,07-13-2019,04:00:00,0.00,22.1,260,28.0,0.00,14.8,994.27,8.00,26.54,70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.65,07-13-2019,04:00:00,0.00,21.3,240,28.0,0.00,9.3,991.32,7.00,25.24,67
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.58,07-13-2019,04:00:00,0.00,24.3,000,28.5,0.00,0.0,1002.38,10.00,30.42,78
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.32,07-13-2019,04:00:00,10.40,24.5,000,26.7,0.00,0.0,993.12,10.00,30.81,88
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.87,07-13-2019,04:00:00,0.00,22.4,330,27.3,0.00,1.9,998.54,10.00,27.11,75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1006.75,07-13-2019,04:00:00,0.70,23.9,200,27.8,0.70,3.7,985.13,8.00,29.63,79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1006.24,07-13-2019,04:00:00,0.00,23.9,000,27.5,0.00,0.0,988.78,12.00,29.60,81
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.77,07-13-2019,04:00:00,0.00,23.5,230,28.3,0.00,5.6,990.02,10.00,28.95,75
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.63,07-13-2019,04:00:00,0.00,24.4,190,29.4,0.00,7.4,986.92,10.00,30.52,74
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.15,07-13-2019,04:00:00,0.20,22.0,000,23.5,0.00,0.0,956.50,5.00,26.42,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.79,07-13-2019,04:00:00,0.00,24.9,000,26.8,0.00,0.0,1003.83,7.00,31.55,90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.84,07-13-2019,04:00:00,0.50,19.9,220,20.7,0.10,22.2,914.24,4.00,23.24,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1006.24,07-13-2019,04:00:00,0.00,24.4,230,28.6,0.00,7.4,990.35,8.00,30.62,78
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.10,07-13-2019,04:00:00,16.70,25.9,000,26.5,0.00,0.0,1004.05,8.00,33.47,97
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.32,07-13-2019,04:00:00,0.00,23.9,000,26.8,0.00,0.0,998.62,6.00,29.64,84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.03,07-13-2019,04:00:00,0.00,24.7,000,28.0,0.00,0.0,1007.11,8.00,31.11,82
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.57,07-13-2019,04:00:00,0.00,21.5,280,27.5,0.00,9.3,986.74,10.00,25.65,70
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1006.44,07-13-2019,04:00:00,0.10,24.1,180,28.0,0.00,5.6,988.84,10.00,30.01,79
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.30,07-13-2019,04:00:00,0.20,24.6,210,28.5,0.00,11.1,990.24,10.00,30.98,80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.60,07-13-2019,04:00:00,0.00,22.7,210,28.9,0.00,5.6,993.64,10.00,27.65,69
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.36,07-13-2019,04:00:00,0.00,24.4,000,27.0,0.00,0.0,993.51,8.00,30.56,86
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.92,07-13-2019,04:00:00,0.00,22.1,210,28.0,0.00,13.0,994.27,7.00,26.54,70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.08,07-13-2019,04:00:00,0.00,25.3,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",27.6,0.00,0.0,1005.06,10.00,32.28,87
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.55,07-13-2019,04:00:00,63.30,23.8,000,24.5,55.80,0.0,1000.52,5.00,29.41,96
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.81,07-13-2019,04:00:00,0.00,22.9,000,26.4,0.00,0.0,1007.70,8.00,27.85,81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1007.76,07-13-2019,04:00:00,0.00,24.2,000,28.5,0.00,0.0,993.14,10.00,30.15,78
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.26,07-13-2019,04:00:00,0.80,20.2,000,20.4,0.80,0.0,874.35,.05,23.72,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.54,07-13-2019,04:00:00,75.80,24.9,140,25.2,51.00,5.6,1003.61,6.00,31.49,98
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.33,07-13-2019,04:00:00,0.00,26.6,180,28.1,0.00,5.6,1008.52,8.00,34.73,91
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.70,07-13-2019,04:00:00,9.30,24.6,000,25.9,9.30,0.0,1008.25,9.00,30.92,93
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.37,07-13-2019,04:00:00,8.00,23.8,000,25.0,0.00,0.0,999.94,3.00,29.52,93
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.93,07-13-2019,04:00:00,0.00,23.8,000,28.0,0.00,0.0,1007.92,10.00,29.46,78
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.94,07-13-2019,04:00:00,0.00,24.8,150,27.0,0.00,7.4,1007.12,7.00,31.38,88
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.66,07-13-2019,04:00:00,0.00,22.7,000,28.3,0.00,0.0,1007.90,3.00,27.61,72
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.12,07-13-2019,04:00:00,16.90,23.9,180,25.2,15.40,3.7,1008.41,10.00,29.62,92
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.19,07-13-2019,04:00:00,0.00,25.1,230,28.0,0.00,3.7,1008.49,7.00,31.95,85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.49,07-13-2019,04:00:00,0.01,23.7,280,27.9,0.00,5.6,987.38,10.00,29.28,78
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.01,07-13-2019,04:00:00,0.00,22.6,000,27.0,0.00,0.0,991.28,7.00,27.36,77
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.58,07-13-2019,04:00:00,0.00,22.1,210,26.9,0.00,5.6,992.12,7.00,26.66,75
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.90,07-13-2019,04:00:00,0.00,22.6,000,27.0,0.00,0.0,987.01,10.00,27.36,77
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.95,07-13-2019,04:00:00,0.00,22.6,240,27.0,0.00,22.2,965.63,10.00,27.36,77
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.99,07-13-2019,04:00:00,0.00,21.8,220,27.0,0.00,3.7,987.41,10.00,26.06,73
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.21,07-13-2019,04:00:00,0.00,23.8,230,27.1,0.00,13.0,988.36,8.00,29.39,82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.26,07-13-2019,04:00:00,0.00,22.9,330,27.5,0.00,7.4,1008.82,10.00,28.00,76
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.04,07-13-2019,04:00:00,0.00,24.8,000,27.0,0.00,0.0,1007.62,6.00,31.38,88
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.17,07-13-2019,04:00:00,0.00,24.5,000,26.2,0.00,0.0,1004.22,7.00,30.67,90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1009.36,07-13-2019,04:00:00,0.00,22.6,250,28.5,0.00,9.3,1006.07,10.00,27.44,71
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.35,07-13-2019,04:00:00,0.00,23.7,220,26.2,0.00,3.7,1008.24,10.00,29.33,86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.34,07-13-2019,04:00:00,57.70,25.1,000,26.4,27.50,0.0,1009.04,8.00,31.88,93
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.27,07-13-2019,04:00:00,4.50,23.4,000,26.8,0.00,0.0,1008.78,10.00,28.84,82
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.12,07-13-2019,04:00:00,12.40,24.9,210,26.1,0.00,3.7,1007.71,10.00,31.57,93
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.73,07-13-2019,04:00:00,0.50,23.5,000,25.7,0.50,0.0,1002.66,10.00,28.95,88
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.81,07-13-2019,04:00:00,12.80,25.7,000,26.6,12.80,0.0,1008.52,6.00,33.10,95
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.36,07-13-2019,04:00:00,0.00,25.1,200,28.0,0.00,5.6,1005.23,10.00,31.95,85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.26,07-13-2019,04:00:00,0.00,22.4,240,29.0,0.00,11.1,1002.35,10.00,27.03,68
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.14,07-13-2019,04:00:00,0.00,24.5,000,26.5,0.00,0.0,1003.52,8.00,30.70,89
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.51,07-13-2019,04:00:00,7.30,23.2,270,25.8,0.00,11.1,1009.23,10.00,28.34,85
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.58,07-13-2019,04:00:00,0.00,21.7,200,27.5,0.00,5.6,1009.15,11.00,25.91,71
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.92,07-13-2019,04:00:00,0.00,21.3,000,23.3,0.00,0.0,997.48,10.00,25.35,89
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.56,07-13-2019,04:00:00,0.00,22.7,000,26.4,0.00,0.0,1008.84,10.00,27.59,80
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.35,07-13-2019,04:00:00,0.00,23.5,230,29.9,0.00,5.6,1005.93,10.00,29.00,69
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.37,07-13-2019,04:00:00,0.00,25.0,250,30.0,0.00,14.8,1008.86,10.00,31.72,75
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.12,07-13-2019,04:00:00,0.00,24.7,000,28.4,0.00,0.0,1003.98,7.00,31.06,80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.59,07-13-2019,04:00:00,1.50,25.4,000,27.0,0.20,0.0,1009.18,5.00,32.49,91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.84,07-13-2019,04:00:00,2.40,25.3,000,26.0,1.90,0.0,1007.06,8.00,32.20,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.66,07-13-2019,04:00:00,0.00,22.6,000,27.0,0.00,0.0,1007.88,10.00,27.36,77
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.64,07-13-2019,04:00:00,0.00,25.0,090,26.0,0.00,3.7,1009.18,7.00,31.65,94
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.66,07-13-2019,04:00:00,0.00,23.7,000,25.7,0.00,0.0,1009.97,8.00,29.21,89
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.39,07-13-2019,04:00:00,0.00,24.0,000,25.5,0.00,0.0,1008.85,8.00,29.91,92
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.76,07-13-2019,04:00:00,0.00,23.7,000,25.5,0.00,0.0,1009.83,10.00,29.38,90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.40,07-13-2019,04:00:00,12.00,24.4,000,26.3,0.00,0.0,1009.70,10.00,30.59,89
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.23,07-13-2019,04:00:00,6.30,22.8,000,23.3,0.00,0.0,1010.42,7.00,27.83,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.21,07-13-2019,04:00:00,0.30,22.5,230,23.1,0.00,3.7,1009.56,10.00,27.24,96
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.97,07-13-2019,04:00:00,44.90,22.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",23.3,0.00,0.0,1009.56,8.00,27.83,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.91,07-13-2019,04:00:00,37.50,21.7,000,22.5,0.00,0.0,1008.61,5.00,26.01,95
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.54,07-13-2019,04:00:00,0.20,22.9,000,23.2,0.00,0.0,1008.91,5.00,27.91,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.30,07-13-2019,04:00:00,0.10,22.4,000,23.5,0.00,0.0,1007.77,10.00,27.16,94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.79,07-13-2019,04:00:00,0.50,22.7,000,23.2,0.00,0.0,1009.41,8.00,27.66,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.56,07-13-2019,04:00:00,0.00,24.8,000,26.0,0.00,0.0,1009.67,10.00,31.38,93
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.75,07-13-2019,04:00:00,0.00,23.8,000,24.5,0.00,0.0,1007.15,10.00,29.41,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.19,07-13-2019,04:00:00,0.00,25.1,000,27.8,0.00,0.0,1009.76,10.00,31.84,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.16,07-13-2019,04:00:00,0.00,25.5,000,26.9,0.00,0.0,1009.17,9.00,32.58,92
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.59,07-13-2019,04:00:00,9.50,22.9,000,23.1,0.00,0.0,1008.74,.60,27.99,99
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.54,07-13-2019,04:00:00,0.00,23.0,230,23.7,0.00,5.6,1009.78,10.00,28.01,96
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.76,07-13-2019,04:00:00,1.40,22.2,000,22.7,0.00,0.0,1006.69,7.00,26.82,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.40,07-13-2019,04:00:00,6.50,21.7,000,23.4,0.00,0.0,1009.70,10.00,26.00,90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.50,07-13-2019,04:00:00,22.80,22.4,000,22.9,0.00,0.0,1009.36,10.00,27.16,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.84,07-13-2019,04:00:00,19.50,23.1,000,23.8,0.00,0.0,1007.88,10.00,28.18,96
