WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,StationPressure,AirTemperature,WindSpeed,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity,VaporPressure
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,20.5,09-29-2019,04:00:00,0.00,986.94,22.0,0.0,000,1013.29,6.00,0.00,91,24.03
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.6,09-29-2019,04:00:00,0.00,1008.04,26.0,3.7,360,1013.89,6.00,0.00,98,32.76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.5,09-29-2019,04:00:00,0.00,1007.49,25.4,0.0,000,1013.76,8.00,0.00,95,30.79
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,21.5,09-29-2019,04:00:00,0.00,997.79,23.0,0.0,000,1014.56,10.00,0.00,91,25.60
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.0,09-29-2019,04:00:00,0.00,989.64,23.5,0.0,000,1012.33,8.00,0.00,91,26.42
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.3,09-29-2019,04:00:00,0.00,999.74,24.3,0.0,000,1014.36,5.00,0.00,94,28.54
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.3,09-29-2019,04:00:00,0.00,997.30,23.8,0.0,000,1013.97,8.00,0.00,91,26.92
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.3,09-29-2019,04:00:00,0.00,1008.28,26.0,5.6,050,1013.55,10.00,0.00,90,30.30
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,22.2,09-29-2019,04:00:00,0.00,999.25,24.7,0.0,000,1012.62,10.00,0.00,86,26.68
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.6,09-29-2019,04:00:00,0.00,1003.85,24.8,0.0,000,1013.30,6.00,0.00,93,29.16
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.6,09-29-2019,04:00:00,0.00,992.13,24.2,3.7,100,1014.17,7.00,0.00,86,25.84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,20.9,09-29-2019,04:00:00,0.00,996.34,24.0,0.0,000,1012.41,10.00,0.00,83,24.78
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,22.1,09-29-2019,04:00:00,0.00,993.90,23.2,0.0,000,1013.13,5.00,0.00,94,26.66
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.5,09-29-2019,04:00:00,0.00,962.11,22.0,0.0,000,1014.32,5.00,0.00,91,24.03
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.4,09-29-2019,04:00:00,0.00,1008.97,27.5,0.0,000,1012.94,4.00,0.00,88,32.36
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,17.8,09-29-2019,04:00:00,0.00,918.54,18.1,0.0,000,1015.48,1.50,0.00,98,20.33
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,21.0,09-29-2019,04:00:00,0.00,997.35,23.9,3.7,040,1013.61,8.00,0.00,84,24.86
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.6,09-29-2019,04:00:00,0.00,1009.18,25.9,0.0,000,1013.26,7.00,0.00,93,30.92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.3,09-29-2019,04:00:00,0.00,1003.15,25.0,0.0,000,1013.96,6.00,0.00,85,26.94
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.8,09-29-2019,04:00:00,0.00,1011.45,26.0,3.7,310,1013.40,7.00,0.00,88,29.50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.1,09-29-2019,04:00:00,0.00,992.27,24.0,0.0,000,1013.47,7.00,0.00,79,23.58
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.1,09-29-2019,04:00:00,0.00,995.34,23.8,5.6,020,1013.30,8.00,0.00,91,26.67
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,22.7,09-29-2019,04:00:00,0.00,996.67,24.2,0.0,000,1013.08,10.00,0.00,91,27.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,21.7,09-29-2019,04:00:00,0.00,998.39,24.4,0.0,000,1012.62,9.00,0.00,85,25.93
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.2,09-29-2019,04:00:00,0.00,997.86,24.3,0.0,000,1012.91,9.00,0.00,88,26.76
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.1,09-29-2019,04:00:00,0.00,998.21,25.3,5.6,020,1013.05,10.00,0.00,88,28.23
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.2,09-29-2019,04:00:00,0.00,1009.73,25.9,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1012.78,6.00,0.00,90,30.11
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,22.7,09-29-2019,04:00:00,0.00,1005.15,25.2,0.0,000,1013.20,8.00,0.00,86,27.54
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.6,09-29-2019,04:00:00,0.00,1011.40,24.4,0.0,000,1012.52,7.00,0.00,90,27.43
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.7,09-29-2019,04:00:00,0.00,998.96,26.0,3.7,090,1013.79,8.00,0.00,87,29.23
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,15.6,09-29-2019,04:00:00,0.00,878.73,19.0,5.6,070,1014.99,7.00,0.00,81,17.73
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,22.7,09-29-2019,04:00:00,0.00,1007.63,23.7,0.0,000,1013.62,8.00,0.00,94,27.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,22.1,09-29-2019,04:00:00,0.00,1011.82,26.3,0.0,000,1012.63,8.00,0.00,78,26.64
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.5,09-29-2019,04:00:00,0.00,1011.70,28.9,5.6,120,1012.14,8.00,0.00,77,30.65
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,21.8,09-29-2019,04:00:00,0.00,1002.48,23.0,0.0,000,1014.02,5.00,0.00,93,26.09
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.7,09-29-2019,04:00:00,0.00,1012.14,26.2,0.0,000,1013.16,6.00,0.00,86,29.33
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,20.5,09-29-2019,04:00:00,0.00,1011.12,25.4,0.0,000,1012.97,8.00,0.00,74,24.12
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.0,09-29-2019,04:00:00,0.00,1012.05,24.5,0.0,000,1012.83,3.00,0.00,91,28.11
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.9,09-29-2019,04:00:00,0.00,1011.63,27.7,5.6,100,1012.33,8.00,0.00,75,27.83
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,22.0,09-29-2019,04:00:00,0.00,1011.67,27.2,0.0,000,1012.38,7.00,0.00,73,26.41
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.8,09-29-2019,04:00:00,0.00,992.38,24.4,0.0,000,1013.86,7.00,0.00,91,27.69
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.5,09-29-2019,04:00:00,0.00,996.37,25.0,0.0,000,1013.30,6.00,0.00,92,29.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.3,09-29-2019,04:00:00,0.00,997.02,24.3,0.0,000,1013.71,6.00,0.00,94,28.54
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.5,09-29-2019,04:00:00,0.00,991.34,24.0,0.0,000,1013.56,4.00,0.00,91,27.25
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,18.8,09-29-2019,04:00:00,0.00,969.60,22.3,7.4,090,1013.80,8.00,0.00,81,21.71
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,09-29-2019,04:00:00,0.00,992.35,24.4,3.7,360,1013.21,7.00,0.00,94,28.71
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,22.8,09-29-2019,04:00:00,0.00,993.69,22.8,0.0,000,1014.97,6.00,0.00,100,27.74
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.9,09-29-2019,04:00:00,0.00,1011.81,27.0,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1012.24,10.00,0.00,78,27.88
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.4,09-29-2019,04:00:00,0.00,1010.79,25.5,0.0,000,1012.23,6.00,0.00,88,28.85
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.7,09-29-2019,04:00:00,0.00,1007.70,25.1,0.0,000,1012.69,7.00,0.00,97,31.04
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.9,09-29-2019,04:00:00,0.00,1009.62,25.1,3.7,200,1012.96,6.00,0.00,88,27.88
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.4,09-29-2019,04:00:00,0.00,1011.61,25.0,0.0,000,1012.73,8.00,0.00,97,30.58
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,22.9,09-29-2019,04:00:00,0.00,1012.27,28.5,3.7,050,1012.57,10.00,0.00,72,27.97
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.0,09-29-2019,04:00:00,0.00,1011.55,29.0,0.0,000,1012.04,10.00,0.00,79,31.69
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.9,09-29-2019,04:00:00,0.00,1011.21,27.5,5.6,050,1012.63,9.00,0.00,81,29.60
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.2,09-29-2019,04:00:00,0.00,1005.92,25.2,0.0,000,1014.03,10.00,0.00,94,30.15
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.1,09-29-2019,04:00:00,0.00,1011.87,26.9,5.6,060,1012.15,10.00,0.00,85,30.10
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.2,09-29-2019,04:00:00,0.00,1008.75,26.8,0.0,000,1011.90,10.00,0.00,86,30.18
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.1,09-29-2019,04:00:00,0.00,1004.90,27.5,0.0,000,1011.86,6.00,0.00,77,28.26
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,09-29-2019,04:00:00,0.00,1007.05,27.0,3.7,200,1012.68,10.00,0.00,89,31.66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.4,09-29-2019,04:00:00,0.00,1011.71,26.5,7.4,320,1012.98,3.00,0.00,83,28.82
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.3,09-29-2019,04:00:00,3.20,1011.79,27.4,7.4,330,1012.22,11.00,0.00,78,28.61
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.8,09-29-2019,04:00:00,1.00,999.92,24.0,0.0,000,1012.36,6.00,0.00,93,27.76
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,22.8,09-29-2019,04:00:00,0.00,1011.21,27.5,0.0,000,1011.92,7.00,0.00,76,27.73
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.4,09-29-2019,04:00:00,0.00,1009.94,26.4,3.7,360,1012.40,5.00,0.00,89,30.51
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.8,09-29-2019,04:00:00,0.00,1011.39,26.2,7.4,030,1011.92,8.00,0.00,92,31.22
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.3,09-29-2019,04:00:00,0.00,1006.73,26.0,1.9,080,1011.93,7.00,0.00,90,30.30
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.3,09-29-2019,04:00:00,0.00,1011.60,26.0,0.0,000,1012.02,7.00,0.00,90,30.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.7,09-29-2019,04:00:00,34.20,1009.38,25.0,0.0,000,1012.19,8.00,0.00,98,31.12
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.6,09-29-2019,04:00:00,0.00,1007.25,29.3,0.0,000,1008.03,10.00,0.00,76,30.88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.5,09-29-2019,04:00:00,19.00,1010.85,25.0,5.6,100,1011.31,6.00,0.00,92,29.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,22.7,09-29-2019,04:00:00,3.10,1011.08,23.6,0.0,000,1011.78,7.00,0.00,95,27.58
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,22.8,09-29-2019,04:00:00,2.40,1009.98,23.5,0.0,000,1011.53,7.00,0.00,96,27.66
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,21.9,09-29-2019,04:00:00,5.00,1011.00,23.6,1.9,040,1011.93,10.00,0.00,90,26.33
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.7,09-29-2019,04:00:00,5.10,1011.16,25.0,0.0,000,1011.86,10.00,0.00,98,31.12
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,22.2,09-29-2019,04:00:00,9.90,1010.99,22.5,0.0,000,1011.80,7.00,0.00,98,26.74
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.7,09-29-2019,04:00:00,37.10,1010.98,23.0,0.0,000,1011.62,10.00,0.00,98,27.57
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,22.7,09-29-2019,04:00:00,19.50,1011.27,23.2,0.0,000,1011.68,8.00,0.00,97,27.66
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.0,09-29-2019,04:00:00,28.00,1009.80,22.6,0.0,000,1014.10,5.00,0.00,96,26.41
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.9,09-29-2019,04:00:00,1.80,1009.31,24.2,0.0,000,1010.94,6.00,0.60,98,29.66
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.7,09-29-2019,04:00:00,3.10,1010.35,24.0,0.0,000,1011.73,8.00,0.00,98,29.30
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.0,09-29-2019,04:00:00,27.40,1010.35,23.2,0.0,000,1011.25,10.00,0.00,99,28.16
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.3,09-29-2019,04:00:00,1.50,1007.67,24.0,11.1,030,1011.28,10.00,0.00,96,28.53
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.8,09-29-2019,04:00:00,0.80,1010.11,26.0,0.0,000,1010.54,10.00,0.00,88,29.50
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.7,09-29-2019,04:00:00,8.90,1009.91,24.0,3.7,070,1010.91,10.00,0.00,98,29.30
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,22.8,09-29-2019,04:00:00,0.70,1009.09,24.0,0.0,000,1010.92,10.00,0.00,93,27.76
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.7,09-29-2019,04:00:00,8.10,1010.60,25.7,0.0,000,1011.36,10.00,1.40,94,31.08
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.8,09-29-2019,04:00:00,0.60,1007.39,24.2,0.0,000,1011.44,10.00,0.00,97,29.39
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.1,09-29-2019,04:00:00,20.50,1010.75,24.7,0.0,000,1011.45,10.00,0.00,97,30.03
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.0,09-29-2019,04:00:00,1.40,1010.45,24.7,0.0,000,1011.58,10.00,1.40,96,29.77
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.4,09-29-2019,04:00:00,1.20,1008.58,24.8,0.0,000,1011.53,10.00,0.00,97,30.48
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.8,09-29-2019,04:00:00,0.00,1010.41,25.4,0.0,000,1011.11,8.00,0.00,97,31.33
