WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,WindSpeed,AirTemperature,Rainfall,DewPoint,VaporPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,09-14-2019,04:00:00,95,10.00,1006.63,988.08,0.01,0.0,25.6,0.00,24.7,31.17
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-14-2019,04:00:00,94,10.00,1007.00,984.14,0.00,0.0,25.9,0.00,24.9,31.46
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-14-2019,04:00:00,92,6.00,1006.44,976.48,0.00,0.0,25.3,0.00,23.8,29.54
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-14-2019,04:00:00,96,6.00,1007.42,971.71,0.00,0.0,24.5,0.00,23.8,29.41
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,09-14-2019,04:00:00,97,10.00,1006.96,977.01,4.30,0.0,23.8,0.00,23.4,28.69
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-14-2019,04:00:00,93,9.00,1007.11,999.76,16.70,0.0,25.0,0.00,23.8,29.52
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,09-14-2019,04:00:00,93,10.00,1006.57,986.60,1.60,0.0,25.5,0.00,24.2,30.17
48353,LOEI,เลย,เลย,17.45000,101.73333,000,09-14-2019,04:00:00,93,12.00,1007.31,978.45,3.60,0.0,24.5,0.00,23.3,28.63
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,09-14-2019,04:00:00,93,12.00,1007.34,987.16,2.90,0.0,26.7,0.00,25.4,32.46
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,09-14-2019,04:00:00,93,12.00,1007.44,985.57,0.00,0.0,24.8,0.00,23.6,29.16
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,09-14-2019,04:00:00,92,11.00,1007.00,987.45,0.00,0.0,25.9,0.00,24.4,30.65
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,09-14-2019,04:00:00,88,10.00,1007.34,990.51,0.00,0.0,25.5,0.00,23.3,28.59
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,09-14-2019,04:00:00,94,10.00,1007.74,990.18,0.00,0.0,24.5,0.00,23.5,28.89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,09-14-2019,04:00:00,94,10.00,1005.99,980.10,0.60,0.0,25.2,0.00,24.2,30.15
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,360,09-14-2019,04:00:00,98,10.00,1006.23,1000.43,0.00,5.6,26.1,0.00,25.7,32.95
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,09-14-2019,04:00:00,93,10.00,1006.03,999.83,1.40,0.0,26.3,0.00,25.0,31.68
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-14-2019,04:00:00,93,10.00,1007.70,991.15,1.50,0.0,25.0,0.00,23.8,29.52
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,09-14-2019,04:00:00,91,10.00,1006.33,983.84,0.00,0.0,24.5,0.00,23.0,28.11
48376,TAK,ตาก,ตาก,16.87833,99.14333,280,09-14-2019,04:00:00,75,10.00,1007.06,992.70,0.00,5.6,27.5,0.00,22.6,27.47
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,09-14-2019,04:00:00,90,8.00,1006.62,990.17,0.50,0.0,25.6,0.00,23.8,29.56
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,030,09-14-2019,04:00:00,91,10.00,1006.80,1001.56,0.00,5.6,26.3,0.00,24.7,31.13
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-14-2019,04:00:00,93,10.00,1005.66,992.42,0.00,0.0,25.7,0.00,24.4,30.54
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,09-14-2019,04:00:00,86,12.00,1006.45,997.11,0.00,0.0,26.3,0.00,23.7,29.25
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,090,09-14-2019,04:00:00,97,10.00,1007.30,985.47,8.40,1.9,25.0,0.00,24.6,30.85
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,09-14-2019,04:00:00,87,10.00,1005.34,987.79,0.00,0.0,25.6,0.00,23.2,28.51
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,09-14-2019,04:00:00,96,10.00,1005.11,989.23,0.00,0.0,25.5,0.00,24.8,31.25
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,09-14-2019,04:00:00,97,8.00,1006.38,987.36,1.20,0.0,24.6,0.00,24.0,29.85
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,09-14-2019,04:00:00,93,6.00,1008.91,957.14,0.80,0.0,23.0,0.00,21.8,26.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,09-14-2019,04:00:00,88,5.00,1006.39,1002.44,0.00,0.0,27.5,0.00,25.4,32.36
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,260,09-14-2019,04:00:00,98,.50,1008.35,912.98,0.70,5.6,21.0,0.01,20.7,24.38
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,09-14-2019,04:00:00,97,8.00,1006.80,990.73,9.60,0.0,25.3,2.50,24.9,31.41
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,140,09-14-2019,04:00:00,89,9.00,1006.78,1002.75,0.20,3.7,27.0,0.00,25.0,31.66
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,09-14-2019,04:00:00,96,7.00,1007.98,997.23,5.50,0.0,25.0,5.50,24.3,30.32
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,090,09-14-2019,04:00:00,94,1.00,1007.17,1005.23,9.10,3.7,25.6,3.60,24.6,30.90
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,09-14-2019,04:00:00,96,10.00,1006.91,985.91,20.60,0.0,24.9,0.00,24.2,30.13
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,340,09-14-2019,04:00:00,96,10.00,1006.44,988.61,28.50,3.7,23.9,20.20,23.2,28.35
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,09-14-2019,04:00:00,97,10.00,1006.41,990.18,26.70,0.0,25.5,19.60,25.1,31.79
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,09-14-2019,04:00:00,93,10.00,1006.75,992.66,6.80,0.0,25.7,0.00,24.4,30.54
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,09-14-2019,04:00:00,96,8.00,1007.89,992.95,2.20,0.0,25.0,0.00,24.3,30.32
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,290,09-14-2019,04:00:00,94,6.00,1007.42,992.74,17.00,5.6,26.8,0.00,25.7,32.94
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",09-14-2019,04:00:00,93,7.00,1006.76,1003.74,0.10,0.0,26.8,0.10,25.5,32.66
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,09-14-2019,04:00:00,95,7.00,1006.80,998.81,2.60,0.0,25.3,2.40,24.4,30.60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,000,09-14-2019,04:00:00,92,8.00,1006.82,1005.71,0.00,0.0,27.0,0.00,25.6,32.77
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,09-14-2019,04:00:00,96,5.00,1006.14,991.40,47.00,0.0,25.5,4.50,24.8,31.25
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,000,09-14-2019,04:00:00,99,.05,1007.83,872.77,0.00,0.0,19.6,0.00,19.4,22.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,09-14-2019,04:00:00,97,10.00,1007.02,1001.11,12.20,0.0,25.3,0.00,24.9,31.41
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,270,09-14-2019,04:00:00,81,8.00,1007.12,1006.32,1.50,5.6,27.4,0.00,23.9,29.69
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,09-14-2019,04:00:00,78,7.00,1006.92,1006.47,5.00,7.4,27.3,0.01,23.0,28.16
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-14-2019,04:00:00,96,4.00,1009.08,997.66,7.30,0.0,24.5,0.00,23.8,29.41
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,09-14-2019,04:00:00,88,10.00,1007.26,1006.25,0.01,0.0,27.5,0.00,25.4,32.36
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,09-14-2019,04:00:00,95,7.00,1006.98,1005.15,23.20,0.0,25.3,22.70,24.4,30.60
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,09-14-2019,04:00:00,88,3.00,1006.88,1006.11,9.00,0.0,26.1,0.00,23.9,29.68
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,280,09-14-2019,04:00:00,83,9.00,1006.90,1006.19,14.80,9.3,26.1,0.01,23.0,28.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,09-14-2019,04:00:00,92,7.00,1006.76,1006.05,0.70,0.0,27.1,0.00,25.7,32.97
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,09-14-2019,04:00:00,93,10.00,1006.74,985.49,2.10,0.0,25.5,0.00,24.3,30.44
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,09-14-2019,04:00:00,97,4.00,1007.19,990.37,5.40,0.0,25.2,3.50,24.8,31.22
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,09-14-2019,04:00:00,96,5.00,1007.47,990.93,11.60,0.0,25.2,9.20,24.5,30.69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,09-14-2019,04:00:00,95,10.00,1006.54,984.59,0.90,0.0,25.6,0.00,24.7,31.17
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,250,09-14-2019,04:00:00,93,10.00,1007.41,963.84,0.00,7.4,24.8,0.00,23.6,29.16
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,09-14-2019,04:00:00,98,8.00,1006.73,986.00,13.60,0.0,24.5,0.00,24.2,30.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,040,09-14-2019,04:00:00,100,8.00,1008.38,987.33,1.40,16.7,24.0,0.00,24.0,29.82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,330,09-14-2019,04:00:00,75,10.00,1006.91,1006.47,0.00,7.4,27.3,0.00,22.6,27.37
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,09-14-2019,04:00:00,95,6.00,1006.87,1005.45,2.20,0.0,25.4,0.60,24.5,30.79
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,09-14-2019,04:00:00,99,7.00,1007.00,1002.04,4.90,0.0,25.5,0.30,25.3,32.34
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,280,09-14-2019,04:00:00,69,12.00,1007.16,1003.88,0.00,11.1,27.9,0.00,21.6,25.84
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,280,09-14-2019,04:00:00,83,10.00,1007.02,1005.92,0.01,3.7,26.4,0.01,23.3,28.64
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,230,09-14-2019,04:00:00,81,8.00,1007.15,1006.85,1.50,13.0,27.1,0.01,23.4,28.86
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,09-14-2019,04:00:00,92,10.00,1010.89,1010.40,19.30,0.0,26.5,0.00,25.1,31.79
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,270,09-14-2019,04:00:00,85,8.00,1007.59,1006.17,0.20,11.1,26.5,0.20,23.7,29.35
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,09-14-2019,04:00:00,94,3.00,1007.67,999.62,1.50,0.0,25.4,1.50,24.4,30.52
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,270,09-14-2019,04:00:00,77,10.00,1007.08,1006.79,0.60,9.3,27.5,0.00,23.1,28.26
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,09-14-2019,04:00:00,87,10.00,1006.73,1003.60,0.00,0.0,27.6,0.00,25.3,32.28
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,270,09-14-2019,04:00:00,81,10.00,1007.06,1000.13,0.00,5.6,27.3,0.00,23.8,29.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,240,09-14-2019,04:00:00,96,6.00,1007.75,1002.12,5.90,3.7,25.5,2.20,24.8,31.25
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,300,09-14-2019,04:00:00,82,10.00,1008.33,1007.06,0.00,7.4,26.3,0.00,22.9,27.93
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,09-14-2019,04:00:00,80,11.00,1006.89,1006.45,2.10,0.0,27.0,0.00,23.3,28.67
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,09-14-2019,04:00:00,79,10.00,1007.23,994.95,0.00,0.0,26.3,0.00,22.3,26.89
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,09-14-2019,04:00:00,73,10.00,1006.89,1006.18,0.00,0.0,27.3,0.00,22.1,26.59
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,270,09-14-2019,04:00:00,88,9.00,1007.58,1005.14,0.20,5.6,26.7,0.20,24.5,30.81
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,09-14-2019,04:00:00,88,7.00,1007.65,1007.13,0.70,0.0,27.0,0.70,24.8,31.38
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,270,09-14-2019,04:00:00,85,8.00,1007.43,1002.28,0.80,3.7,26.9,0.80,24.1,30.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,09-14-2019,04:00:00,96,5.00,1007.65,1007.23,15.30,0.0,25.8,14.00,25.1,31.82
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,09-14-2019,04:00:00,98,8.00,1007.67,1004.88,40.20,0.0,25.0,32.20,24.7,31.12
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,09-14-2019,04:00:00,71,10.00,1006.99,1006.20,0.00,0.0,26.8,0.00,21.1,24.96
48501,TRAD,ตราด,ตราด,11.76667,102.88333,320,09-14-2019,04:00:00,96,3.00,1007.73,1007.27,97.80,5.6,24.0,24.00,23.3,28.53
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,260,09-14-2019,04:00:00,85,8.00,1008.59,1007.91,0.00,9.3,26.1,0.00,23.5,28.88
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,09-14-2019,04:00:00,88,8.00,1009.23,1007.69,0.00,0.0,25.4,0.00,23.3,28.67
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,09-14-2019,04:00:00,93,10.00,1009.66,1008.74,5.50,0.0,24.8,0.50,23.6,29.16
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,290,09-14-2019,04:00:00,80,10.00,1008.18,1007.49,0.90,9.3,26.9,0.00,23.1,28.23
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,09-14-2019,04:00:00,96,8.00,1009.38,1008.57,0.20,0.0,23.4,0.00,22.8,27.75
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,09-14-2019,04:00:00,90,10.00,1007.96,1007.32,8.00,0.0,24.8,0.00,23.0,28.13
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,09-14-2019,04:00:00,97,8.00,1008.64,1008.23,16.10,0.0,23.9,0.00,23.3,28.61
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,09-14-2019,04:00:00,81,5.00,1011.04,1006.79,0.60,0.0,25.0,0.00,21.5,25.68
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-14-2019,04:00:00,98,5.00,1009.48,1007.85,11.80,0.0,23.2,0.00,22.9,27.91
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,09-14-2019,04:00:00,96,6.00,1009.96,1006.43,1.50,0.0,23.5,0.00,22.8,27.66
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,09-14-2019,04:00:00,97,8.00,1009.65,1008.28,0.00,0.0,24.2,0.00,23.6,29.13
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,09-14-2019,04:00:00,98,10.00,1009.75,1008.86,1.80,0.0,24.7,0.00,24.4,30.56
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,09-14-2019,04:00:00,96,10.00,1009.55,1005.94,10.20,0.0,23.6,0.00,23.0,28.09
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,290,09-14-2019,04:00:00,86,10.00,1009.33,1008.90,0.00,5.6,27.5,0.00,24.9,31.52
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,290,09-14-2019,04:00:00,77,10.00,1009.12,1008.13,0.01,3.7,28.3,0.00,24.0,29.76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,300,09-14-2019,04:00:00,85,10.00,1009.58,1008.77,6.00,11.1,27.9,0.00,25.2,32.03
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,09-14-2019,04:00:00,92,10.00,1009.66,1007.83,0.30,0.0,24.8,0.00,23.3,28.64
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,250,09-14-2019,04:00:00,81,10.00,1009.36,1008.60,0.00,7.4,26.4,0.00,22.9,27.85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,120,09-14-2019,04:00:00,95,10.00,1009.50,1005.46,0.00,5.6,24.7,0.00,23.8,29.51
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,09-14-2019,04:00:00,90,8.00,1009.85,1009.16,1.40,0.0,26.0,0.00,24.3,30.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,09-14-2019,04:00:00,91,10.00,1009.37,1008.25,0.00,0.0,25.5,0.00,23.9,29.64
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,09-14-2019,04:00:00,95,10.00,1009.58,1006.64,0.00,0.0,25.4,0.00,24.5,30.79
