WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,VaporPressure,MeanSeaLevelPressure,Rainfall,WindDirection,AirTemperature,LandVisibility,StationPressure,Rainfall24Hr,WindSpeed
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,80,10-14-2019,22:00:00,23.3,28.67,1013.37,0.00,000,27.0,9.00,1006.02,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,77,10-14-2019,22:00:00,23.1,28.26,1014.25,0.00,010,27.5,6.00,994.25,0.00,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,81,10-14-2019,22:00:00,21.8,26.11,1014.48,0.00,000,25.4,12.00,985.50,0.00,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,75,10-14-2019,22:00:00,22.5,27.19,1014.52,0.00,090,27.2,10.00,994.23,0.00,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,10-14-2019,22:00:00,22.7,27.51,1015.40,0.00,000,24.0,12.00,993.29,9.10,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,74,10-14-2019,22:00:00,21.7,25.97,1014.56,0.00,180,26.8,10.00,994.93,3.10,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,69,10-14-2019,22:00:00,20.8,24.54,1015.30,0.00,000,27.0,12.00,998.43,0.00,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,88,10-14-2019,22:00:00,23.3,28.59,1015.51,0.00,090,25.5,10.00,997.87,0.00,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,80,10-14-2019,22:00:00,23.3,28.67,1013.90,0.00,000,27.0,8.00,987.97,0.00,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,85,10-14-2019,22:00:00,25.7,33.04,1013.17,0.00,000,28.4,8.00,1007.37,0.00,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,84,10-14-2019,22:00:00,24.1,30.02,1013.34,0.00,000,27.0,7.00,1007.11,0.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,73,10-14-2019,22:00:00,21.8,26.06,1014.79,0.00,000,27.0,10.00,998.23,0.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,80,10-14-2019,22:00:00,21.7,26.02,1012.89,0.00,060,25.5,10.00,990.33,11.90,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,86,10-14-2019,22:00:00,23.8,29.52,1014.88,0.00,000,26.3,10.00,1000.36,0.40,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,90,10-14-2019,22:00:00,22.9,27.95,1014.85,0.00,000,24.7,8.00,998.22,0.00,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,87,10-14-2019,22:00:00,25.3,32.28,1013.40,0.00,000,27.6,10.00,1008.15,0.01,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,77,10-14-2019,22:00:00,22.9,27.90,1012.85,0.00,360,27.3,10.00,999.59,0.00,7.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,82,10-14-2019,22:00:00,23.8,29.39,1013.59,0.00,000,27.1,10.00,1004.21,0.00,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,70,10-14-2019,22:00:00,21.7,26.00,1013.81,0.00,030,27.7,9.00,992.03,0.00,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,80,10-14-2019,22:00:00,23.3,28.67,1014.26,0.00,000,27.0,10.00,996.64,0.00,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,72,10-14-2019,22:00:00,22.2,26.78,1013.87,0.00,020,27.7,10.00,997.96,0.00,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,81,10-14-2019,22:00:00,22.4,27.14,1012.99,0.00,010,26.0,8.00,993.94,0.00,5.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,84,10-14-2019,22:00:00,22.1,26.60,1012.59,0.00,000,25.1,6.00,960.99,18.20,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,90,10-14-2019,22:00:00,26.0,33.53,1013.16,0.00,000,27.8,7.00,1009.19,9.10,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,95,10-14-2019,22:00:00,17.7,20.21,1016.38,0.00,000,18.5,8.00,919.48,13.70,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,80,10-14-2019,22:00:00,23.1,28.23,1014.03,0.00,020,26.9,8.00,997.93,0.00,3.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,87,10-14-2019,22:00:00,24.7,31.11,1012.88,0.00,000,27.0,8.00,1008.83,1.30,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,82,10-14-2019,22:00:00,23.1,28.29,1014.16,0.00,000,26.5,6.00,1003.39,0.00,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,83,10-14-2019,22:00:00,24.0,29.85,1013.55,0.00,000,27.2,9.00,1011.61,0.00,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,73,10-14-2019,22:00:00,22.0,26.51,1013.61,0.00,310,27.4,10.00,992.64,0.01,5.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,77,10-14-2019,22:00:00,22.6,27.36,1013.73,0.00,030,27.0,10.00,995.95,1.00,5.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,74,10-14-2019,22:00:00,22.9,27.93,1013.40,0.00,000,27.9,10.00,997.19,0.00,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,71,10-14-2019,22:00:00,21.0,24.79,1011.43,0.00,010,26.7,10.00,997.32,0.00,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,75,10-14-2019,22:00:00,21.2,25.11,1013.67,0.00,000,26.0,10.00,998.70,0.00,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,74,10-14-2019,22:00:00,22.4,27.03,1013.22,0.00,050,27.4,10.00,998.48,0.00,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,79,10-14-2019,22:00:00,24.2,30.20,1012.50,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",28.1,10.00,1009.48,0.10,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,78,10-14-2019,22:00:00,22.9,27.88,1013.20,0.00,000,27.0,8.00,1005.20,0.00,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,91,10-14-2019,22:00:00,24.9,31.52,1012.69,0.00,070,26.5,6.00,1011.57,6.10,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,78,10-14-2019,22:00:00,22.9,27.88,1013.64,0.00,000,27.0,8.00,998.86,0.00,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,94,10-14-2019,22:00:00,18.6,21.46,1014.72,0.00,050,19.6,8.00,878.74,0.00,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,91,10-14-2019,22:00:00,24.9,31.52,1013.36,0.00,000,26.5,10.00,1007.44,0.00,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,88,10-14-2019,22:00:00,24.3,30.43,1012.66,0.00,000,26.5,8.00,1011.85,9.60,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,80,10-14-2019,22:00:00,24.9,31.46,1012.45,0.00,000,28.6,10.00,1012.01,3.60,0.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,93,10-14-2019,22:00:00,23.6,29.16,1014.07,0.00,000,24.8,6.00,1002.61,14.50,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,84,10-14-2019,22:00:00,24.6,30.97,1013.23,0.00,000,27.5,8.00,1012.21,23.10,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,85,10-14-2019,22:00:00,24.9,31.44,1013.05,0.00,000,27.6,8.00,1011.22,0.00,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,92,10-14-2019,22:00:00,23.3,28.55,1011.98,0.00,000,24.6,6.00,1011.20,33.90,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,82,10-14-2019,22:00:00,24.3,30.34,1012.82,0.00,040,27.6,10.00,1012.11,8.40,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,74,10-14-2019,22:00:00,22.9,27.85,1012.40,0.00,000,28.0,7.00,1011.70,0.30,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,84,10-14-2019,22:00:00,24.1,30.02,1013.61,0.00,000,27.0,8.00,992.32,0.00,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,76,10-14-2019,22:00:00,22.9,28.00,1013.00,0.00,000,27.5,7.00,996.22,0.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,92,10-14-2019,22:00:00,23.8,29.54,1013.79,0.00,040,25.3,6.00,997.16,0.00,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,84,10-14-2019,22:00:00,24.1,30.02,1013.45,0.00,000,27.0,10.00,991.46,0.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,90,10-14-2019,22:00:00,22.0,26.42,1013.99,0.00,000,23.8,10.00,970.00,0.00,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,95,10-14-2019,22:00:00,24.7,31.17,1013.35,0.00,000,25.6,10.00,992.57,0.00,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,10-14-2019,22:00:00,24.1,30.00,1014.83,0.00,000,24.1,9.00,993.66,0.00,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,90,10-14-2019,22:00:00,25.3,32.21,1012.73,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.0,10.00,1012.29,54.60,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,91,10-14-2019,22:00:00,24.0,29.82,1011.92,0.00,000,25.6,6.00,1010.49,0.20,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,94,10-14-2019,22:00:00,24.7,31.08,1013.61,0.00,000,25.7,7.00,1008.62,18.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,89,10-14-2019,22:00:00,24.4,30.59,1013.71,0.30,000,26.3,10.00,1010.38,9.60,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,95,10-14-2019,22:00:00,24.9,31.55,1013.01,0.00,000,25.8,10.00,1011.89,9.10,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,78,10-14-2019,22:00:00,24.4,30.54,1012.64,0.00,000,28.7,10.00,1012.34,9.40,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,77,10-14-2019,22:00:00,23.8,29.49,1012.66,0.00,000,28.3,10.00,1012.17,9.40,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,84,10-14-2019,22:00:00,24.6,30.97,1012.53,0.01,340,27.5,10.00,1011.12,30.20,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,90,10-14-2019,22:00:00,24.9,31.55,1013.86,0.00,000,26.8,10.00,1005.80,4.20,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,88,10-14-2019,22:00:00,25.5,32.68,1012.69,0.00,000,27.8,4.00,1012.40,0.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,86,10-14-2019,22:00:00,25.2,32.12,1008.89,0.00,000,27.8,10.00,1005.76,8.90,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,95,10-14-2019,22:00:00,25.6,32.91,1012.22,0.00,000,26.5,10.00,1005.24,14.40,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,85,10-14-2019,22:00:00,24.0,29.91,1013.17,0.00,000,26.8,8.00,1007.54,0.01,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,91,10-14-2019,22:00:00,24.6,30.94,1013.39,0.00,320,26.2,8.00,1012.12,15.30,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,87,10-14-2019,22:00:00,25.9,33.41,1012.82,0.00,000,28.3,11.00,1012.39,8.40,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,93,10-14-2019,22:00:00,23.9,29.70,1013.41,0.00,000,25.1,8.00,1000.99,2.00,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,89,10-14-2019,22:00:00,25.7,33.05,1012.72,0.00,000,27.7,10.00,1012.00,16.60,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,90,10-14-2019,22:00:00,25.0,31.63,1012.56,0.00,360,26.7,9.00,1010.11,0.30,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,92,10-14-2019,22:00:00,25.6,32.77,1012.47,0.00,000,27.0,8.00,1011.95,0.00,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,90,10-14-2019,22:00:00,25.5,32.61,1012.62,0.00,000,27.2,7.00,1007.44,0.00,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,83,10-14-2019,22:00:00,24.0,29.85,1012.33,0.00,000,27.2,7.00,1011.92,0.00,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,86,10-14-2019,22:00:00,24.2,30.18,1012.31,0.00,000,26.8,8.00,1009.52,0.00,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,86,10-14-2019,22:00:00,24.4,30.56,1012.83,0.00,000,27.0,10.00,1012.04,30.70,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,90,10-14-2019,22:00:00,22.7,27.60,1011.61,0.00,070,24.5,6.00,1011.14,3.60,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,95,10-14-2019,22:00:00,24.6,30.98,1012.51,0.80,000,25.5,8.00,1011.83,10.10,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,10-14-2019,22:00:00,25.0,31.60,1012.50,3.00,000,26.4,8.00,1010.96,19.00,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,88,10-14-2019,22:00:00,22.8,27.70,1011.86,0.00,000,25.0,10.00,1010.94,0.00,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,83,10-14-2019,22:00:00,25.2,32.10,1011.67,0.00,090,28.5,10.00,1010.98,15.30,16.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,95,10-14-2019,22:00:00,23.7,29.33,1011.93,0.00,000,24.6,8.00,1011.12,1.30,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,92,10-14-2019,22:00:00,24.1,30.09,1011.79,0.00,000,25.6,10.00,1011.15,23.50,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,92,10-14-2019,22:00:00,24.7,31.03,1011.85,0.60,000,26.1,10.00,1011.44,7.60,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,10-14-2019,22:00:00,24.2,30.12,1013.49,0.00,000,24.6,5.00,1009.22,8.30,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,88,10-14-2019,22:00:00,23.3,28.59,1011.60,0.00,000,25.5,10.00,1009.98,0.00,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,92,10-14-2019,22:00:00,23.1,28.20,1011.82,0.00,000,24.4,10.00,1008.30,0.00,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,94,10-14-2019,22:00:00,25.0,31.65,1011.63,0.00,280,26.0,10.00,1010.26,5.60,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,92,10-14-2019,22:00:00,23.4,28.72,1011.20,0.00,000,24.7,10.00,1010.31,0.80,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,88,10-14-2019,22:00:00,23.2,28.49,1012.05,0.00,050,25.3,10.00,1008.46,0.00,9.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,92,10-14-2019,22:00:00,24.6,30.84,1011.25,28.20,000,26.0,8.00,1010.81,30.40,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,82,10-14-2019,22:00:00,23.1,28.29,1011.12,0.00,000,26.5,10.00,1010.13,0.00,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,86,10-14-2019,22:00:00,24.7,31.14,1011.40,0.00,090,27.3,10.00,1010.58,0.01,11.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,87,10-14-2019,22:00:00,24.5,30.72,1011.48,0.00,000,26.8,10.00,1009.66,0.00,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,80,10-14-2019,22:00:00,24.5,30.67,1011.81,0.00,040,28.2,11.00,1011.05,0.30,1.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,95,10-14-2019,22:00:00,25.2,32.12,1012.15,0.00,240,26.1,10.00,1008.12,7.00,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,94,10-14-2019,22:00:00,25.0,31.65,1012.52,0.00,000,26.0,10.00,1011.83,0.40,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,88,10-14-2019,22:00:00,25.1,31.77,1011.27,0.00,000,27.2,10.00,1010.16,4.20,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,10-14-2019,22:00:00,25.3,32.32,1011.85,0.00,000,26.2,10.00,1008.91,0.01,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,93,10-14-2019,22:00:00,25.0,31.68,1011.41,0.00,000,26.3,9.00,1010.71,12.20,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,94,10-14-2019,22:00:00,23.4,28.71,1012.00,0.00,270,24.4,7.00,1007.83,8.20,5.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,84,10-14-2019,22:00:00,23.5,28.90,1011.33,0.00,240,26.4,10.00,1010.74,16.00,9.3
