WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,DewPoint,WindDirection,LandVisibility,WindSpeed,AirTemperature,StationPressure
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.54,08-02-2019,13:00:00,50,3.10,1005.37,0.00,22.1,240,14.00,7.4,33.9,1003.49
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.63,08-02-2019,13:00:00,58,0.00,1003.81,0.00,21.5,340,10.00,7.4,30.7,983.27
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.21,08-02-2019,13:00:00,68,0.00,1003.46,0.00,21.9,240,10.00,14.8,28.4,985.94
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.07,08-02-2019,13:00:00,64,0.00,1003.30,0.00,21.8,250,10.00,14.8,29.2,987.32
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.81,08-02-2019,13:00:00,60,3.80,1004.12,0.01,22.2,280,10.00,11.1,30.9,990.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.34,08-02-2019,13:00:00,64,5.20,1004.12,0.00,23.1,220,10.00,9.3,30.7,989.51
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.48,08-02-2019,13:00:00,66,2.70,1004.61,0.00,23.8,230,10.00,11.1,31.0,990.16
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,21.64,08-02-2019,13:00:00,39,0.40,1005.03,0.00,18.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,0.0,34.6,1002.09
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.27,08-02-2019,13:00:00,60,4.50,1004.65,0.00,23.1,250,10.00,14.8,31.8,996.85
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.98,08-02-2019,13:00:00,52,0.90,1005.91,0.00,21.7,240,8.00,9.3,32.9,1004.82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.77,08-02-2019,13:00:00,67,0.00,1004.63,0.00,24.5,200,8.00,7.4,31.5,990.19
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.06,08-02-2019,13:00:00,99,14.00,1007.63,0.60,18.3,270,8.00,11.1,18.5,872.14
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.27,08-02-2019,13:00:00,57,8.50,1004.86,0.00,22.5,210,10.00,3.7,32.0,999.09
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.86,08-02-2019,13:00:00,55,0.20,1006.28,0.00,22.3,230,8.00,18.5,32.5,1005.50
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.40,08-02-2019,13:00:00,65,0.01,1006.17,0.00,23.8,230,10.00,20.4,31.1,1005.73
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.02,08-02-2019,13:00:00,56,35.90,1007.92,0.00,21.1,010,10.00,7.4,30.8,996.75
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.27,08-02-2019,13:00:00,44,0.90,1005.69,0.00,19.9,290,12.00,22.2,33.9,1004.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.80,08-02-2019,13:00:00,44,1.40,1005.40,0.00,21.0,250,12.00,11.1,35.0,1003.63
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.79,08-02-2019,13:00:00,45,0.01,1005.58,0.00,19.6,270,9.00,14.8,33.2,1004.83
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.98,08-02-2019,13:00:00,52,0.80,1006.27,0.00,21.7,280,10.00,22.2,32.9,1005.58
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.60,08-02-2019,13:00:00,59,14.00,1005.80,0.00,22.7,300,8.00,13.0,31.6,1005.11
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.02,08-02-2019,13:00:00,56,0.20,1004.53,0.00,22.4,270,10.00,13.0,32.3,983.79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.16,08-02-2019,13:00:00,58,0.20,1004.28,0.00,22.4,230,11.00,7.4,31.8,987.87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.61,08-02-2019,13:00:00,57,0.30,1004.53,0.00,22.1,270,9.00,3.7,31.8,988.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.81,08-02-2019,13:00:00,53,0.10,1004.51,0.00,21.0,270,10.00,16.7,31.7,983.04
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.42,08-02-2019,13:00:00,61,1.60,1005.15,0.00,20.7,250,14.00,40.7,29.0,962.27
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.92,08-02-2019,13:00:00,43,0.01,1004.02,0.00,19.7,260,10.00,25.9,34.0,983.99
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.24,08-02-2019,13:00:00,71,0.20,1005.88,0.00,23.7,260,10.00,16.7,29.6,985.27
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.59,08-02-2019,13:00:00,73,1.80,1006.23,0.40,22.7,250,9.00,9.3,28.0,1005.80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.12,08-02-2019,13:00:00,65,5.70,1005.94,0.00,24.2,280,11.00,3.7,31.6,1004.55
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.73,08-02-2019,13:00:00,67,5.80,1006.13,0.00,23.9,350,9.00,3.7,30.7,1001.26
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.29,08-02-2019,13:00:00,58,0.01,1006.31,0.01,21.9,320,12.00,9.3,31.2,1003.06
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.63,08-02-2019,13:00:00,51,0.01,1006.02,0.00,21.5,280,10.00,7.4,33.0,1004.93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.45,08-02-2019,13:00:00,53,0.01,1006.08,0.00,22.0,300,10.00,14.8,33.0,1005.79
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,27.84,08-02-2019,13:00:00,55,0.00,1006.02,0.00,22.9,000,10.00,0.0,33.0,1005.35
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.45,08-02-2019,13:00:00,53,0.20,1006.39,0.00,22.0,300,10.00,16.7,33.0,1005.91
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.96,08-02-2019,13:00:00,56,0.80,1006.40,0.01,21.7,290,10.00,35.2,31.6,1005.02
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.52,08-02-2019,13:00:00,59,0.00,1006.21,0.00,22.7,250,10.00,37.0,31.7,1004.56
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.29,08-02-2019,13:00:00,63,2.20,1007.57,0.00,23.1,270,12.00,14.8,31.1,999.67
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.14,08-02-2019,13:00:00,68,0.00,1006.56,0.00,24.7,270,10.00,9.3,31.4,1006.28
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.96,08-02-2019,13:00:00,68,0.00,1006.90,0.00,22.9,280,10.00,7.4,29.5,1003.79
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.12,08-02-2019,13:00:00,65,0.00,1007.05,0.00,23.0,250,12.00,14.8,30.3,1000.19
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.68,08-02-2019,13:00:00,60,14.00,1005.71,0.00,22.8,280,7.00,14.8,31.5,1000.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.36,08-02-2019,13:00:00,63,0.01,1007.81,0.01,24.8,300,10.00,18.5,32.9,998.68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.92,08-02-2019,13:00:00,75,1.40,1007.44,0.40,24.6,270,14.00,3.7,29.6,1006.19
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.20,08-02-2019,13:00:00,69,0.70,1006.55,0.00,22.5,240,11.00,5.6,28.8,1006.13
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.28,08-02-2019,13:00:00,80,6.50,1007.18,0.50,24.3,000,8.00,0.0,28.0,994.96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.83,08-02-2019,13:00:00,68,0.10,1006.90,0.00,23.4,300,10.00,11.1,30.1,1006.19
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.99,08-02-2019,13:00:00,58,4.50,1007.69,0.01,21.1,260,10.00,14.8,30.2,1005.28
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.37,08-02-2019,13:00:00,67,1.20,1007.50,0.60,23.2,300,8.00,18.5,30.0,1006.99
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.55,08-02-2019,13:00:00,58,0.00,1007.05,0.00,21.4,260,10.00,14.8,30.8,1001.96
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.39,08-02-2019,13:00:00,84,4.30,1007.62,0.01,24.3,000,8.00,0.0,27.2,1007.21
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.91,08-02-2019,13:00:00,92,39.00,1007.90,19.50,24.0,270,8.00,5.6,25.5,1005.11
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.70,08-02-2019,13:00:00,71,5.10,1008.07,0.40,22.2,270,10.00,16.7,27.8,1007.28
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.03,08-02-2019,13:00:00,85,34.20,1008.21,0.10,25.2,250,7.00,18.5,27.9,1007.75
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.41,08-02-2019,13:00:00,96,13.10,1010.36,5.00,23.8,230,6.00,5.6,24.5,1009.67
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.89,08-02-2019,13:00:00,93,30.00,1010.57,15.60,24.0,250,7.00,3.7,25.2,1009.02
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.36,08-02-2019,13:00:00,94,90.10,1011.75,80.40,23.2,190,7.00,7.4,24.2,1010.82
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.24,08-02-2019,13:00:00,73,0.40,1010.11,0.40,23.1,300,8.00,9.3,28.5,1009.43
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.22,08-02-2019,13:00:00,78,1.90,1009.38,1.90,26.3,000,10.00,0.0,30.5,1008.59
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.31,08-02-2019,13:00:00,53,6.10,1008.46,0.00,22.5,200,10.00,9.3,33.3,1007.83
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.92,08-02-2019,13:00:00,62,1.10,1008.84,0.00,25.6,220,12.00,14.8,33.9,1008.44
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.36,08-02-2019,13:00:00,57,0.00,1010.92,0.00,23.2,260,7.00,13.0,32.7,1006.77
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.56,08-02-2019,13:00:00,58,1.00,1009.47,0.00,22.1,270,10.00,11.1,31.2,1007.88
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.53,08-02-2019,13:00:00,72,9.90,1009.20,0.00,26.0,240,7.00,3.7,31.7,1005.77
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.18,08-02-2019,13:00:00,52,6.50,1008.59,0.00,22.5,270,10.00,7.4,33.8,1007.26
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.34,08-02-2019,13:00:00,72,0.50,1009.81,0.00,25.4,240,10.00,11.1,31.0,1008.94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.57,08-02-2019,13:00:00,67,3.90,1009.55,1.20,24.4,200,10.00,7.4,31.4,1006.04
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.63,08-02-2019,13:00:00,62,0.00,1009.74,0.00,23.9,220,10.00,11.1,32.2,1009.31
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.61,08-02-2019,13:00:00,68,3.00,1009.60,0.00,24.4,260,10.00,13.0,31.0,1008.62
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,34.02,08-02-2019,13:00:00,67,0.00,1009.34,0.00,26.2,270,10.00,14.8,33.3,1008.54
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.91,08-02-2019,13:00:00,60,1.50,1009.39,0.00,24.0,220,9.00,18.5,32.9,1007.61
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.82,08-02-2019,13:00:00,48,0.70,1008.52,0.00,21.6,110,10.00,7.4,34.1,1007.79
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.03,08-02-2019,13:00:00,59,0.20,1009.37,0.00,24.1,240,10.00,16.7,33.1,1005.45
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.66,08-02-2019,13:00:00,60,0.00,1010.05,0.00,23.3,140,10.00,11.1,32.0,1009.37
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,27.41,08-02-2019,13:00:00,51,0.00,1008.69,0.00,22.6,180,10.00,9.3,34.2,1007.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,28.47,08-02-2019,13:00:00,55,0.00,1009.29,0.00,23.2,260,12.00,14.8,33.6,1006.43
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.28,08-02-2019,13:00:00,59,0.00,1008.38,0.00,24.2,240,11.00,9.3,33.5,1007.70
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.84,08-02-2019,13:00:00,54,3.40,1008.82,0.00,23.4,240,9.00,7.4,34.2,1004.78
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,31.37,08-02-2019,13:00:00,60,0.10,1008.16,0.00,24.8,020,10.00,5.6,33.6,1007.58
