WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,VaporPressure,Rainfall,StationPressure,WindSpeed,AirTemperature,WindDirection,MeanSeaLevelPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,48,10-12-2019,16:00:00,22.3,0.00,10.00,26.84,0.00,979.35,0.0,34.9,000,1006.10
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,49,10-12-2019,16:00:00,22.2,0.00,15.00,26.68,0.00,973.02,0.0,34.4,000,1005.65
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,53,10-12-2019,16:00:00,23.9,0.10,10.00,29.63,0.00,987.97,3.7,35.0,270,1005.95
48331,NAN,น่าน,น่าน,18.77972,100.77778,55,10-12-2019,16:00:00,23.6,0.00,10.00,29.17,0.00,983.95,0.0,33.8,000,1006.21
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,58,10-12-2019,16:00:00,23.7,0.00,12.00,29.25,0.00,977.21,13.0,33.0,050,1006.43
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,49,10-12-2019,16:00:00,21.2,0.00,8.00,25.22,0.00,971.37,0.0,33.5,000,1006.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,57,10-12-2019,16:00:00,24.9,0.00,16.00,31.57,0.00,976.49,7.4,34.8,050,1005.34
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,52,10-12-2019,16:00:00,23.6,0.00,9.00,29.05,0.00,998.91,0.0,35.0,000,1006.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,52,10-12-2019,16:00:00,23.6,0.00,6.00,29.05,0.00,986.93,5.6,35.0,210,1006.29
48353,LOEI,เลย,เลย,17.45000,101.73333,44,10-12-2019,16:00:00,20.4,0.01,15.00,24.02,0.00,978.39,5.6,34.3,110,1006.32
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,49,10-12-2019,16:00:00,21.6,0.00,12.00,25.79,0.00,987.00,5.6,33.8,070,1006.71
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,52,10-12-2019,16:00:00,22.5,0.00,12.00,27.26,0.00,986.66,7.4,33.7,120,1007.92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,48,10-12-2019,16:00:00,20.9,0.00,15.00,24.67,0.00,987.86,3.7,33.5,090,1006.92
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,43,10-12-2019,16:00:00,19.6,0.00,13.00,22.84,0.00,990.96,3.7,34.1,120,1007.32
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,51,10-12-2019,16:00:00,21.4,0.00,12.00,25.54,0.00,990.35,0.0,33.1,000,1007.42
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,53,10-12-2019,16:00:00,21.5,0.00,15.00,25.58,0.00,980.19,11.1,32.4,080,1005.46
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,61,10-12-2019,16:00:00,26.7,0.00,10.00,35.07,0.00,1000.40,0.0,35.4,000,1006.02
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,61,10-12-2019,16:00:00,25.9,0.00,12.00,33.34,0.00,1000.51,0.0,34.5,000,1006.55
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,52,10-12-2019,16:00:00,23.0,0.00,12.00,28.10,0.00,990.24,5.6,34.4,140,1006.27
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,52,10-12-2019,16:00:00,22.5,0.00,10.00,27.18,0.00,982.98,7.4,33.8,260,1004.75
48376,TAK,ตาก,ตาก,16.87833,99.14333,54,10-12-2019,16:00:00,24.4,0.00,9.00,30.52,0.00,992.49,0.0,35.0,000,1006.49
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,58,10-12-2019,16:00:00,24.7,0.00,12.00,31.17,0.00,990.07,0.0,34.2,000,1006.05
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,60,10-12-2019,16:00:00,24.6,0.00,12.00,30.95,0.00,1001.63,0.0,33.4,000,1006.75
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,52,10-12-2019,16:00:00,23.6,0.00,12.00,29.05,0.00,991.59,0.0,35.0,000,1004.41
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,58,10-12-2019,16:00:00,24.5,0.00,13.00,30.75,0.00,997.11,3.7,34.0,110,1006.22
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,52,10-12-2019,16:00:00,22.7,0.00,10.00,27.58,0.00,985.32,7.4,34.0,100,1006.50
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,55,10-12-2019,16:00:00,23.9,0.00,12.00,29.71,0.00,989.69,11.1,34.2,110,1006.78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,53,10-12-2019,16:00:00,22.6,0.00,12.00,27.34,0.00,991.25,3.7,33.6,050,1006.74
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,56,10-12-2019,16:00:00,24.0,2.00,10.00,29.79,0.00,987.34,1.9,34.1,090,1005.77
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,66,10-12-2019,16:00:00,21.7,9.40,10.00,25.96,0.00,954.28,0.0,28.7,000,1004.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,55,10-12-2019,16:00:00,24.3,0.00,7.00,30.34,0.00,1002.25,3.7,34.5,250,1006.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,77,10-12-2019,16:00:00,22.0,0.20,8.00,26.47,0.00,913.43,5.6,26.5,200,1007.03
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,58,10-12-2019,16:00:00,24.5,0.00,12.00,30.75,0.00,991.22,0.0,34.0,000,1006.84
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,59,10-12-2019,16:00:00,26.0,0.01,7.00,33.68,0.01,1002.68,0.0,35.2,000,1006.60
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,60,10-12-2019,16:00:00,24.2,0.00,7.00,30.11,0.00,996.57,0.0,33.0,000,1007.04
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,59,10-12-2019,16:00:00,24.5,0.00,14.00,30.78,0.00,1005.03,0.0,33.6,000,1006.92
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,82,10-12-2019,16:00:00,22.6,11.30,6.00,27.40,11.30,986.82,7.4,26.0,120,1007.76
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,52,10-12-2019,16:00:00,21.9,0.00,10.00,26.28,0.00,989.02,0.0,33.2,000,1006.32
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,49,10-12-2019,16:00:00,21.7,0.00,10.00,25.90,0.00,990.40,0.0,34.0,000,1006.18
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,56,10-12-2019,16:00:00,23.2,0.00,10.00,28.40,0.00,993.13,5.6,33.0,160,1006.89
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,55,10-12-2019,16:00:00,23.2,0.00,10.00,28.47,0.00,992.63,0.0,33.6,000,1007.14
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,72,10-12-2019,16:00:00,26.8,0.00,10.00,35.29,0.00,992.58,3.7,32.5,150,1006.98
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,54,10-12-2019,16:00:00,24.4,0.00,8.00,30.52,0.00,1003.63,0.0,35.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.57
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,72,10-12-2019,16:00:00,24.8,0.00,10.00,31.31,0.00,999.24,0.0,30.5,000,1007.10
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,81,10-12-2019,16:00:00,27.5,0.00,8.00,36.67,0.00,1006.14,7.4,31.2,060,1007.23
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,79,10-12-2019,16:00:00,27.4,0.00,9.00,36.42,0.00,994.64,5.6,31.5,110,1009.14
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,10-12-2019,16:00:00,18.3,27.00,8.00,20.98,26.60,873.91,0.0,18.6,000,1009.63
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,85,10-12-2019,16:00:00,24.8,0.20,9.00,31.25,0.20,1001.43,0.0,27.5,000,1007.31
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,78,10-12-2019,16:00:00,25.2,0.00,8.00,32.13,0.00,1006.76,0.0,29.5,000,1007.55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,66,10-12-2019,16:00:00,24.4,1.10,10.00,30.49,0.00,1006.65,9.3,31.5,210,1007.09
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,57,10-12-2019,16:00:00,24.6,0.00,10.00,30.93,0.00,995.51,0.0,34.5,000,1006.53
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,57,10-12-2019,16:00:00,24.8,0.00,8.00,31.22,0.00,1006.07,0.0,34.5,000,1007.06
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,64,10-12-2019,16:00:00,24.7,0.01,6.00,31.19,0.01,1005.50,7.4,32.4,090,1007.29
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,63,10-12-2019,16:00:00,25.1,0.00,9.00,31.87,0.00,1005.91,0.0,33.0,000,1006.66
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,61,10-12-2019,16:00:00,23.3,0.01,10.00,28.63,0.00,1006.43,9.3,31.7,210,1007.12
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,78,10-12-2019,16:00:00,25.9,0.10,8.00,33.38,0.10,1005.80,0.0,30.1,000,1006.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,84,10-12-2019,16:00:00,24.0,0.01,10.00,29.83,0.00,986.49,0.0,26.9,000,1007.66
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,75,10-12-2019,16:00:00,23.8,6.30,12.00,29.43,0.00,990.91,3.7,28.7,130,1007.54
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,76,10-12-2019,16:00:00,24.2,9.30,14.00,30.18,0.00,991.97,5.6,28.8,180,1008.32
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,89,10-12-2019,16:00:00,24.4,0.01,10.00,30.51,0.01,986.19,0.0,26.4,000,1008.11
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,90,10-12-2019,16:00:00,21.4,3.90,2.00,25.52,3.90,964.93,5.6,23.1,040,1008.80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,87,10-12-2019,16:00:00,24.8,0.01,9.00,31.22,0.01,986.62,5.6,27.2,030,1007.17
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,92,10-12-2019,16:00:00,25.2,29.80,10.00,31.99,25.60,988.23,9.3,26.6,210,1009.11
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,65,10-12-2019,16:00:00,24.5,0.00,10.00,30.73,0.00,1006.47,0.0,31.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.89
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,85,10-12-2019,16:00:00,25.1,0.80,10.00,31.95,0.00,1005.36,0.0,28.0,000,1006.78
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,87,10-12-2019,16:00:00,25.4,0.90,8.00,32.40,0.90,1002.23,0.0,27.8,000,1007.16
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,58,10-12-2019,16:00:00,24.2,0.01,10.00,30.20,0.00,1003.46,0.0,33.6,000,1006.68
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,78,10-12-2019,16:00:00,26.1,0.00,10.00,33.72,0.00,1005.93,0.0,30.4,000,1007.02
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,64,10-12-2019,16:00:00,24.9,0.00,10.00,31.40,0.00,1006.57,5.6,32.5,160,1006.86
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,62,10-12-2019,16:00:00,25.0,0.00,10.00,31.70,0.00,1006.87,5.6,33.2,190,1007.55
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,63,10-12-2019,16:00:00,23.6,0.00,10.00,29.07,0.00,1007.40,7.4,31.5,110,1007.88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,68,10-12-2019,16:00:00,24.7,0.01,10.00,31.02,0.01,1005.77,11.1,31.2,270,1007.16
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,76,10-12-2019,16:00:00,25.3,0.00,8.00,32.30,0.00,1005.40,11.1,30.0,210,1007.06
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,90,10-12-2019,16:00:00,27.7,5.40,10.00,37.16,0.90,1000.48,0.0,29.5,000,1008.43
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,70,10-12-2019,16:00:00,25.4,4.50,6.00,32.52,0.00,1006.31,0.0,31.5,000,1006.59
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,72,10-12-2019,16:00:00,25.4,15.90,12.00,32.34,0.00,1003.70,5.6,31.0,310,1006.80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,71,10-12-2019,16:00:00,23.9,24.20,10.00,29.71,0.00,1000.33,5.6,29.7,240,1007.21
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,76,10-12-2019,16:00:00,25.8,0.00,10.00,33.26,0.00,1001.77,3.7,30.6,010,1007.31
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,68,10-12-2019,16:00:00,24.7,65.90,12.00,31.02,0.00,998.86,13.0,31.2,250,1008.05
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,61,10-12-2019,16:00:00,24.5,0.00,14.00,30.69,0.00,1006.26,0.0,33.0,000,1007.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,62,10-12-2019,16:00:00,25.4,0.10,11.00,32.48,0.00,1006.11,11.1,33.7,130,1006.53
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,56,10-12-2019,16:00:00,23.3,0.00,8.00,28.52,0.00,994.90,3.7,33.2,080,1006.91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,73,10-12-2019,16:00:00,25.6,0.00,8.00,32.84,0.00,1006.69,5.6,31.1,120,1007.39
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,64,10-12-2019,16:00:00,24.7,0.01,9.00,31.19,0.00,1005.06,11.1,32.4,230,1007.45
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,72,10-12-2019,16:00:00,25.2,0.00,9.00,32.01,0.00,1006.89,11.1,30.7,250,1007.40
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,65,10-12-2019,16:00:00,23.5,0.70,12.00,28.89,0.00,1002.01,3.7,30.7,280,1007.11
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,76,10-12-2019,16:00:00,25.4,0.00,8.00,32.50,0.00,1007.58,0.0,30.1,000,1007.99
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,78,10-12-2019,16:00:00,25.8,0.00,8.00,33.17,0.00,1005.40,0.0,30.0,000,1008.14
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,67,10-12-2019,16:00:00,25.5,0.00,10.00,32.58,0.00,1006.47,14.8,32.5,150,1007.24
48501,TRAD,ตราด,ตราด,11.76667,102.88333,75,10-12-2019,16:00:00,25.0,0.90,8.00,31.72,0.00,1007.00,5.6,30.0,270,1007.46
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,62,10-12-2019,16:00:00,24.4,0.00,10.00,30.53,0.00,1006.10,7.4,32.5,090,1006.76
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,62,10-12-2019,16:00:00,24.6,0.00,10.00,30.86,0.00,1005.14,5.6,32.8,050,1006.63
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,59,10-12-2019,16:00:00,22.6,9.30,10.00,27.41,9.30,1006.40,5.6,31.5,210,1007.31
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,72,10-12-2019,16:00:00,25.5,0.00,12.00,32.68,0.00,1006.70,16.7,31.3,080,1007.37
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,53,10-12-2019,16:00:00,22.7,0.00,10.00,27.54,0.00,1006.22,5.6,33.7,030,1007.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,66,10-12-2019,16:00:00,24.4,0.00,10.00,30.49,0.00,1006.48,0.0,31.5,000,1007.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,73,10-12-2019,16:00:00,25.7,0.30,10.00,32.93,0.00,1006.79,0.0,31.0,000,1007.19
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,74,10-12-2019,16:00:00,25.8,0.00,6.00,33.22,0.00,1004.69,3.7,31.0,150,1008.85
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,69,10-12-2019,16:00:00,25.7,0.40,10.00,32.99,0.00,1005.38,9.3,32.0,150,1006.96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,75,10-12-2019,16:00:00,25.6,1.40,10.00,32.75,1.40,1003.92,0.0,30.5,000,1007.36
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,65,10-12-2019,16:00:00,23.6,6.00,10.00,29.20,0.00,1005.76,7.4,31.0,110,1007.09
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,76,10-12-2019,16:00:00,25.3,0.00,10.00,32.21,0.00,1006.46,0.0,30.1,000,1007.33
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,75,10-12-2019,16:00:00,25.0,0.00,10.00,31.72,0.00,1003.34,0.0,30.0,000,1006.86
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,61,10-12-2019,16:00:00,23.9,0.80,10.00,29.66,0.00,1006.56,0.0,32.5,000,1006.99
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,71,10-12-2019,16:00:00,24.8,1.00,10.00,31.35,0.00,1006.00,11.1,30.8,280,1006.98
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,77,10-12-2019,16:00:00,25.1,0.00,10.00,31.85,0.00,1006.23,9.3,29.5,240,1007.04
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,89,10-12-2019,16:00:00,25.9,4.10,13.00,33.45,4.10,1005.39,5.6,27.9,220,1007.20
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,65,10-12-2019,16:00:00,23.6,0.00,12.00,29.20,0.00,1006.30,7.4,31.0,010,1007.04
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,75,10-12-2019,16:00:00,25.1,8.60,10.00,31.93,1.60,1003.19,11.1,30.1,300,1007.14
48570,SATUN,สตูล,สตูล,6.65000,100.08333,71,10-12-2019,16:00:00,25.0,1.50,10.00,31.76,0.00,1006.68,0.0,31.0,000,1007.35
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,62,10-12-2019,16:00:00,23.0,3.40,10.00,28.12,3.40,1005.79,7.4,31.3,320,1006.89
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,63,10-12-2019,16:00:00,24.0,0.00,11.00,29.79,0.00,1003.97,9.3,32.0,040,1006.84
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,66,10-12-2019,16:00:00,25.1,0.00,12.00,31.94,0.00,1005.81,9.3,32.2,360,1006.49
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,63,10-12-2019,16:00:00,24.1,0.00,10.00,30.08,0.00,1002.84,0.0,32.0,000,1006.90
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,64,10-12-2019,16:00:00,23.9,0.00,12.00,29.63,0.00,1006.28,14.8,31.5,030,1006.86
