WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,MeanSeaLevelPressure,DewPoint,Rainfall,LandVisibility,WindSpeed,VaporPressure,AirTemperature,RelativeHumidity,Rainfall24Hr
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,908.62,08-05-2019,10:00:00,180,1003.10,19.8,0.40,7.00,16.7,23.08,22.3,86,30.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.68,08-05-2019,10:00:00,210,1004.56,24.3,0.00,10.00,7.4,30.31,28.3,79,0.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.12,08-05-2019,10:00:00,200,1004.10,24.9,0.00,10.00,9.3,31.48,29.6,76,0.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.12,08-05-2019,10:00:00,180,1005.73,23.3,0.00,10.00,5.6,28.68,28.3,75,14.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1002.91,08-05-2019,10:00:00,180,1004.83,22.9,0.00,12.00,5.6,27.93,27.9,74,1.80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,983.66,08-05-2019,10:00:00,230,1004.30,22.9,0.00,10.00,9.3,27.96,29.5,68,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.95,08-05-2019,10:00:00,220,1004.41,23.9,0.00,10.00,22.2,29.71,29.7,71,0.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.26,08-05-2019,10:00:00,190,1004.22,23.9,0.00,10.00,9.3,29.63,29.8,71,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.60,08-05-2019,10:00:00,210,1005.50,23.8,0.00,10.00,5.6,29.41,29.4,72,2.40
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,991.97,08-05-2019,10:00:00,000,1006.70,23.6,0.00,10.00,0.0,29.08,28.8,73,0.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,990.97,08-05-2019,10:00:00,230,1005.50,24.8,0.00,8.00,14.8,31.28,29.5,76,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1000.92,08-05-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1003.92,24.5,0.00,10.00,0.0,30.70,27.5,84,8.80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.51,08-05-2019,10:00:00,150,1004.35,23.8,0.00,10.00,16.7,29.42,30.4,68,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.30,08-05-2019,10:00:00,210,1005.40,23.1,0.00,8.00,14.8,28.26,29.8,67,2.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.68,08-05-2019,10:00:00,200,1005.16,23.4,0.00,8.00,3.7,28.70,30.6,65,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.15,08-05-2019,10:00:00,230,1007.35,18.9,0.00,.05,9.3,21.87,19.1,99,12.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.33,08-05-2019,10:00:00,180,1005.15,24.6,0.00,10.00,11.1,30.83,29.7,74,19.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.15,08-05-2019,10:00:00,180,1005.94,23.2,0.00,8.00,9.3,28.37,30.0,67,1.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.64,08-05-2019,10:00:00,230,1006.08,23.8,0.00,10.00,13.0,29.49,29.3,72,2.50
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,994.20,08-05-2019,10:00:00,000,1005.53,24.1,0.00,6.00,0.0,30.03,26.0,89,41.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.46,08-05-2019,10:00:00,000,1005.47,23.7,0.00,10.00,0.0,29.24,29.6,71,3.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.59,08-05-2019,10:00:00,210,1005.39,22.8,0.00,8.00,11.1,27.82,30.0,66,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.51,08-05-2019,10:00:00,230,1005.27,22.7,0.00,9.00,7.4,27.52,28.4,71,1.30
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.86,08-05-2019,10:00:00,190,1006.56,23.5,0.00,10.00,18.5,28.91,29.0,72,7.60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.36,08-05-2019,10:00:00,000,1006.05,25.0,0.00,7.00,0.0,31.77,29.6,77,0.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,983.81,08-05-2019,10:00:00,270,1004.64,22.7,0.00,10.00,11.1,27.54,31.0,61,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,988.75,08-05-2019,10:00:00,220,1005.25,24.1,0.00,10.00,9.3,29.98,30.4,69,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.34,08-05-2019,10:00:00,180,1005.56,24.3,0.00,8.00,5.6,30.46,30.5,70,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.37,08-05-2019,10:00:00,270,1004.94,23.1,0.00,10.00,3.7,28.31,30.4,65,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.47,08-05-2019,10:00:00,180,1005.67,20.2,0.00,10.00,7.4,23.71,26.8,67,1.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.71,08-05-2019,10:00:00,160,1005.03,23.5,0.00,10.00,9.3,28.91,30.0,68,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,985.92,08-05-2019,10:00:00,210,1006.51,25.6,0.00,9.00,18.5,32.79,30.1,77,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.43,08-05-2019,10:00:00,210,1005.87,23.9,0.00,10.00,14.8,29.74,28.0,79,9.20
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.62,08-05-2019,10:00:00,260,1006.03,24.3,0.00,10.00,5.6,30.45,27.8,82,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.45,08-05-2019,10:00:00,260,1006.36,24.3,0.00,8.00,3.7,30.40,28.2,80,0.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.10,08-05-2019,10:00:00,230,1005.38,23.5,0.30,12.00,7.4,28.95,28.3,75,1.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.62,08-05-2019,10:00:00,000,1005.72,24.3,0.01,10.00,0.0,30.40,28.2,80,0.80
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.98,08-05-2019,10:00:00,210,1006.28,23.9,0.00,10.00,5.6,29.57,29.2,73,18.20
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.37,08-05-2019,10:00:00,220,1006.05,24.9,0.00,10.00,5.6,31.47,27.9,84,7.90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.41,08-05-2019,10:00:00,150,1005.90,24.2,0.00,10.00,5.6,30.15,28.5,78,14.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.58,08-05-2019,10:00:00,210,1005.98,23.2,0.00,10.00,16.7,28.48,29.2,70,4.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.56,08-05-2019,10:00:00,200,1006.22,23.6,0.00,10.00,20.4,29.08,29.8,69,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.10,08-05-2019,10:00:00,180,1008.09,25.5,1.50,10.00,7.4,32.60,27.9,87,20.70
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.03,08-05-2019,10:00:00,000,1006.31,24.7,0.10,10.00,0.0,31.15,30.0,73,6.80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.81,08-05-2019,10:00:00,270,1005.90,24.3,0.00,10.00,5.6,30.31,30.0,71,0.50
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.73,08-05-2019,10:00:00,240,1006.61,23.7,0.00,12.00,11.1,29.33,29.5,71,0.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.93,08-05-2019,10:00:00,290,1006.50,23.1,0.00,7.00,7.4,28.24,28.5,73,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.18,08-05-2019,10:00:00,230,1007.39,24.5,0.00,12.00,14.8,30.74,30.5,70,0.40
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.30,08-05-2019,10:00:00,180,1006.56,24.7,0.30,14.00,7.4,31.14,27.3,86,6.10
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.03,08-05-2019,10:00:00,210,1006.46,23.3,0.40,11.00,5.6,28.65,28.0,76,2.90
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.34,08-05-2019,10:00:00,000,1006.68,23.4,2.50,8.00,0.0,28.72,24.7,92,20.50
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.74,08-05-2019,10:00:00,260,1006.46,24.7,0.20,9.00,9.3,31.16,26.6,90,7.90
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.50,08-05-2019,10:00:00,180,1006.91,23.9,0.01,10.00,11.1,29.60,29.5,72,2.60
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.22,08-05-2019,10:00:00,280,1006.74,24.6,0.20,10.00,18.5,30.98,28.5,80,7.40
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.50,08-05-2019,10:00:00,110,1006.62,24.5,0.10,11.00,5.6,30.65,28.9,77,4.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.11,08-05-2019,10:00:00,000,1007.53,25.2,3.30,6.00,0.0,32.10,26.8,91,35.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.13,08-05-2019,10:00:00,000,1007.90,25.8,11.50,8.00,0.0,33.19,26.5,96,31.70
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.64,08-05-2019,10:00:00,000,1008.42,24.6,10.50,8.00,0.0,30.84,26.0,92,15.60
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.61,08-05-2019,10:00:00,080,1008.08,22.9,25.60,5.00,9.3,27.92,23.8,95,114.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.82,08-05-2019,10:00:00,280,1007.49,25.4,0.50,8.00,5.6,32.51,28.7,83,6.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.59,08-05-2019,10:00:00,000,1007.11,25.1,0.20,8.00,0.0,31.81,29.2,79,5.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.09,08-05-2019,10:00:00,240,1008.00,25.2,0.00,10.00,9.3,32.01,30.0,75,6.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.53,08-05-2019,10:00:00,000,1007.21,24.7,0.00,10.00,0.0,31.19,30.3,72,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.15,08-05-2019,10:00:00,260,1007.94,25.6,0.00,10.00,9.3,32.75,30.5,75,1.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.82,08-05-2019,10:00:00,240,1007.45,21.9,0.00,10.00,22.2,26.31,32.5,54,1.80
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.32,08-05-2019,10:00:00,210,1007.72,25.1,0.00,10.00,18.5,31.80,33.8,60,2.50
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.52,08-05-2019,10:00:00,220,1009.69,24.0,0.00,7.00,18.5,29.89,30.5,68,0.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.91,08-05-2019,10:00:00,000,1008.50,24.5,0.00,10.00,0.0,30.82,31.1,68,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.11,08-05-2019,10:00:00,000,1008.55,24.7,0.00,12.00,0.0,31.06,30.8,70,13.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.97,08-05-2019,10:00:00,260,1008.31,24.3,0.00,10.00,7.4,30.28,31.4,66,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.70,08-05-2019,10:00:00,240,1008.58,25.1,0.70,10.00,16.7,31.89,29.8,76,1.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.09,08-05-2019,10:00:00,240,1008.61,23.2,0.00,10.00,14.8,28.37,31.0,63,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.00,08-05-2019,10:00:00,260,1008.43,23.6,0.00,10.00,11.1,29.09,32.5,59,0.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.83,08-05-2019,10:00:00,210,1008.81,23.7,0.00,10.00,16.7,29.32,31.2,65,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.98,08-05-2019,10:00:00,200,1008.79,24.9,0.20,10.00,24.1,31.48,30.3,73,0.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.95,08-05-2019,10:00:00,220,1008.74,26.6,6.10,10.00,7.4,34.80,29.8,83,7.20
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.74,08-05-2019,10:00:00,230,1008.48,23.5,0.00,10.00,18.5,28.89,32.4,59,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.16,08-05-2019,10:00:00,240,1009.11,24.4,0.00,10.00,14.8,30.49,31.5,66,3.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.71,08-05-2019,10:00:00,000,1009.39,23.7,0.00,10.00,0.0,29.27,31.6,63,8.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.43,08-05-2019,10:00:00,000,1008.53,24.3,0.00,10.00,0.0,30.36,32.0,64,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.09,08-05-2019,10:00:00,240,1008.97,25.2,0.00,11.00,9.3,32.01,31.4,70,0.80
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.34,08-05-2019,10:00:00,220,1009.02,23.6,0.00,10.00,16.7,29.07,31.5,63,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.17,08-05-2019,10:00:00,200,1009.26,23.0,0.00,8.00,7.4,28.09,30.0,66,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.90,08-05-2019,10:00:00,160,1008.48,20.5,0.00,10.00,7.4,24.07,31.0,54,0.00
