WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,LandVisibility,MeanSeaLevelPressure,StationPressure,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed,Rainfall,DewPoint,RelativeHumidity
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,240,09-07-2019,16:00:00,10.00,1004.90,984.43,0.00,28.02,32.1,13.0,0.00,23.0,59
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,200,09-07-2019,16:00:00,11.00,1003.90,986.56,0.20,31.19,31.7,7.4,0.00,24.7,67
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,220,09-07-2019,16:00:00,10.00,1003.90,988.07,0.01,31.35,32.2,11.1,0.00,24.8,65
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,270,09-07-2019,16:00:00,10.00,1004.71,990.96,0.00,29.66,32.5,9.3,0.00,23.9,61
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,09-07-2019,16:00:00,10.00,1005.09,990.58,0.90,32.76,33.0,0.0,0.00,25.6,65
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,050,09-07-2019,16:00:00,10.00,1004.93,990.54,0.00,32.91,32.1,13.0,0.00,25.6,69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",09-07-2019,16:00:00,10.00,1004.82,1001.87,0.00,31.67,33.6,0.0,0.00,25.0,61
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,09-07-2019,16:00:00,10.00,1004.75,996.95,7.10,32.99,32.0,0.0,1.90,25.7,69
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,230,09-07-2019,16:00:00,8.00,1006.93,1005.84,0.00,29.34,32.2,18.5,0.00,23.7,61
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,09-07-2019,16:00:00,8.00,1004.76,990.39,0.00,33.66,33.0,0.0,0.00,26.0,67
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,280,09-07-2019,16:00:00,8.00,1006.46,872.55,8.00,24.11,21.9,7.4,0.00,20.5,92
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,09-07-2019,16:00:00,10.00,1005.15,999.41,19.40,32.65,33.5,0.0,0.00,25.5,63
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,270,09-07-2019,16:00:00,9.00,1005.96,1005.17,4.00,29.09,33.2,11.1,0.00,23.6,57
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,09-07-2019,16:00:00,10.00,1006.02,1005.58,0.00,31.11,30.4,11.1,0.00,24.7,72
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-07-2019,16:00:00,5.00,1008.22,996.96,10.60,27.36,28.6,0.0,0.00,22.6,70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,220,09-07-2019,16:00:00,12.00,1005.83,1004.84,0.00,28.92,34.1,9.3,0.00,23.5,54
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,170,09-07-2019,16:00:00,8.00,1005.54,1003.75,4.20,28.68,33.0,9.3,0.00,23.3,57
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,09-07-2019,16:00:00,9.00,1005.95,1005.20,1.20,27.75,33.1,0.0,0.00,22.8,55
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,240,09-07-2019,16:00:00,10.00,1006.17,1005.48,0.80,29.43,31.4,16.7,0.00,23.8,64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,270,09-07-2019,16:00:00,9.00,1005.52,1004.83,0.00,28.76,33.6,7.4,0.00,23.4,55
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,270,09-07-2019,16:00:00,12.00,1004.87,984.16,0.00,28.28,32.8,13.0,0.00,23.1,57
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,270,09-07-2019,16:00:00,11.00,1004.63,988.28,0.00,30.03,33.1,7.4,0.00,24.1,59
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,09-07-2019,16:00:00,10.00,1005.21,989.13,0.00,31.28,33.0,7.4,0.00,24.8,62
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,270,09-07-2019,16:00:00,10.00,1004.88,983.50,0.00,27.00,33.0,16.7,0.00,22.4,54
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,09-07-2019,16:00:00,10.00,1005.75,962.92,3.90,27.96,29.5,25.9,0.00,22.9,68
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,290,09-07-2019,16:00:00,10.00,1004.56,984.49,0.00,27.43,33.5,13.0,0.00,22.6,53
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,250,09-07-2019,16:00:00,10.00,1006.61,986.11,0.00,33.48,31.4,11.1,0.00,25.9,73
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,170,09-07-2019,16:00:00,10.00,1006.82,1006.39,0.00,30.49,30.8,9.3,0.00,24.4,69
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,250,09-07-2019,16:00:00,11.00,1004.99,1003.61,1.00,32.41,32.7,3.7,0.00,25.4,66
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,09-07-2019,16:00:00,8.00,1005.55,1000.69,0.00,32.68,31.3,0.0,0.00,25.5,72
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,320,09-07-2019,16:00:00,12.00,1006.84,1003.62,0.10,25.17,32.9,9.3,0.00,21.2,50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,290,09-07-2019,16:00:00,11.00,1006.52,1005.44,0.00,27.95,33.2,7.4,0.00,22.9,55
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,170,09-07-2019,16:00:00,10.00,1005.96,1005.66,0.01,30.69,32.3,3.7,0.00,24.5,63
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,280,09-07-2019,16:00:00,10.00,1006.06,1005.38,1.60,29.75,32.4,5.6,0.00,24.0,61
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,240,09-07-2019,16:00:00,10.00,1006.22,1005.74,1.30,31.11,32.5,7.4,0.00,24.7,64
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,260,09-07-2019,16:00:00,10.00,1006.04,1004.66,11.00,28.58,32.1,24.1,0.00,23.3,60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,200,09-07-2019,16:00:00,10.00,1006.05,1004.39,0.00,32.18,31.2,14.8,0.00,25.3,71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,09-07-2019,16:00:00,12.00,1007.70,999.82,0.00,29.59,31.9,3.7,0.00,23.9,63
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,320,09-07-2019,16:00:00,12.00,1006.34,1006.06,0.00,29.11,31.8,5.6,0.00,23.6,62
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,290,09-07-2019,16:00:00,10.00,1005.42,1002.34,0.00,30.05,31.0,5.6,0.00,24.1,67
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,09-07-2019,16:00:00,12.00,1006.40,999.57,0.00,30.49,31.5,7.4,0.00,24.4,66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,300,09-07-2019,16:00:00,10.00,1006.19,1000.70,0.00,32.49,32.6,3.7,0.00,25.4,66
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,240,09-07-2019,16:00:00,10.00,1007.51,998.34,0.01,31.68,31.8,13.0,0.00,25.0,67
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,270,09-07-2019,16:00:00,14.00,1007.96,1006.72,0.00,27.61,32.6,14.8,0.00,22.7,56
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,150,09-07-2019,16:00:00,11.00,1006.18,1005.75,4.20,35.62,32.1,11.1,4.20,27.0,75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,230,09-07-2019,16:00:00,10.00,1007.03,994.90,0.00,30.31,30.0,7.4,0.00,24.3,71
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,140,09-07-2019,16:00:00,10.00,1006.74,1006.04,0.30,32.05,31.0,3.7,0.30,25.2,71
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,220,09-07-2019,16:00:00,10.00,1008.02,1005.62,0.00,31.52,32.0,7.4,0.00,24.9,66
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,230,09-07-2019,16:00:00,10.00,1006.74,1006.22,0.00,33.17,30.0,18.5,0.00,25.8,78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,190,09-07-2019,16:00:00,14.00,1006.27,1001.21,0.00,29.91,32.2,5.6,0.00,24.0,62
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,220,09-07-2019,16:00:00,8.00,1006.90,1006.50,0.20,32.42,30.2,7.4,0.00,25.4,76
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,250,09-07-2019,16:00:00,8.00,1006.85,1004.10,0.00,33.50,29.6,7.4,0.00,25.9,81
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,270,09-07-2019,16:00:00,10.00,1007.20,1006.43,0.00,26.48,31.3,18.5,0.00,22.0,58
48501,TRAD,ตราด,ตราด,11.76667,102.88333,320,09-07-2019,16:00:00,8.00,1007.47,1007.02,4.90,33.21,30.3,5.6,0.00,25.8,77
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,280,09-07-2019,16:00:00,8.00,1007.39,1006.72,0.00,26.58,32.5,9.3,0.00,22.1,54
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,260,09-07-2019,16:00:00,9.00,1007.46,1005.96,0.00,28.17,32.6,3.7,0.00,23.0,57
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,250,09-07-2019,16:00:00,10.00,1008.46,1007.56,0.00,29.68,31.1,7.4,0.00,23.9,66
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,100,09-07-2019,16:00:00,10.00,1008.01,1007.33,0.00,33.72,30.4,11.1,0.00,26.1,78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,09-07-2019,16:00:00,10.00,1007.52,1006.75,0.00,26.66,35.8,0.0,0.00,22.1,45
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,080,09-07-2019,16:00:00,10.00,1007.15,1006.52,0.00,31.64,31.5,5.6,0.00,25.0,68
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,080,09-07-2019,16:00:00,10.00,1007.12,1006.72,0.00,32.15,32.3,7.4,0.00,25.2,66
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,190,09-07-2019,16:00:00,7.00,1009.20,1005.08,0.00,28.59,34.5,7.4,0.00,23.3,52
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,09-07-2019,16:00:00,10.00,1007.04,1005.46,0.00,25.05,33.7,0.0,0.00,21.1,48
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,270,09-07-2019,16:00:00,12.00,1007.62,1004.23,0.00,29.04,34.3,3.7,0.00,23.6,54
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,120,09-07-2019,16:00:00,10.00,1007.00,1005.68,0.00,25.19,35.2,7.4,0.00,21.2,44
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,270,09-07-2019,16:00:00,10.00,1007.85,1006.98,0.00,31.19,31.0,11.1,0.00,24.7,69
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,160,09-07-2019,16:00:00,10.00,1007.61,1004.12,0.00,25.63,33.0,9.3,0.00,21.5,51
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,110,09-07-2019,16:00:00,10.00,1007.80,1007.37,0.00,33.06,33.0,7.4,0.00,25.7,66
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,280,09-07-2019,16:00:00,10.00,1007.58,1006.61,0.00,30.12,32.3,11.1,0.00,24.2,62
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,09-07-2019,16:00:00,10.00,1007.79,1006.99,0.00,33.72,32.2,0.0,0.00,26.1,70
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,220,09-07-2019,16:00:00,10.00,1007.09,1005.32,1.30,27.26,33.7,11.1,1.30,22.5,52
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,200,09-07-2019,16:00:00,10.00,1006.56,1005.82,0.00,32.69,32.0,3.7,0.00,25.5,69
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,280,09-07-2019,16:00:00,1.50,1006.93,1002.96,12.80,27.03,29.0,24.1,12.80,22.4,68
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,09-07-2019,16:00:00,10.00,1007.75,1007.08,0.00,31.29,33.7,0.0,0.00,24.8,60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,080,09-07-2019,16:00:00,8.00,1006.37,1005.27,4.40,30.80,29.4,5.6,4.40,24.5,75
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,250,09-07-2019,16:00:00,12.00,1006.83,1003.98,0.00,30.46,34.0,9.3,0.00,24.3,57
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,030,09-07-2019,16:00:00,8.00,1007.03,1006.36,0.00,34.63,33.3,9.3,0.00,26.5,68
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,120,09-07-2019,16:00:00,7.00,1006.84,1002.80,0.00,32.16,33.0,5.6,0.00,25.3,64
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,080,09-07-2019,16:00:00,10.00,1006.86,1006.28,0.00,30.98,31.6,18.5,0.00,24.6,67
