WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,RelativeHumidity,StationPressure,WindDirection,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,MinimumTemperature,LandVisibility,AirTemperature,WindSpeed
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-08-2019,07:00:00,23.7,98,1006.26,030,29.30,1012.13,0.00,22.9,6.00,24.0,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-08-2019,07:00:00,22.4,96,1006.14,000,27.16,1012.44,0.00,23.0,8.00,23.2,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-08-2019,07:00:00,20.5,84,996.61,000,24.15,1013.36,0.00,22.7,12.00,23.3,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-08-2019,07:00:00,21.0,91,987.95,000,24.80,1010.68,0.00,21.5,8.00,22.5,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-08-2019,07:00:00,22.3,96,998.43,000,26.99,1013.09,0.60,22.5,7.00,23.1,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-08-2019,07:00:00,21.6,94,996.16,000,25.84,1012.87,0.00,22.5,8.00,22.7,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-08-2019,07:00:00,22.7,92,1007.22,350,27.51,1012.53,1.00,23.3,10.00,24.0,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-08-2019,07:00:00,23.0,92,997.57,000,28.02,1010.94,0.00,23.9,10.00,24.3,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-08-2019,07:00:00,22.5,97,1002.81,010,27.32,1012.31,10.20,22.5,11.00,23.0,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-08-2019,07:00:00,22.9,88,990.89,000,27.96,1012.85,0.00,24.0,8.00,25.0,0.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-08-2019,07:00:00,22.3,87,994.14,000,26.84,1011.87,0.00,23.5,8.00,24.5,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-08-2019,07:00:00,23.0,91,995.84,000,28.11,1011.88,0.60,23.5,10.00,24.5,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,10-08-2019,07:00:00,23.6,95,992.42,000,29.15,1011.55,0.00,23.5,5.00,24.5,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-08-2019,07:00:00,19.1,93,959.79,000,22.07,1012.20,0.00,19.5,.20,20.2,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-08-2019,07:00:00,23.6,96,1008.18,000,29.05,1012.19,0.90,23.5,4.00,24.3,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-08-2019,07:00:00,17.6,97,917.01,000,20.11,1013.79,4.00,17.2,7.00,18.1,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-08-2019,07:00:00,23.3,96,995.81,000,28.53,1012.04,1.10,22.9,8.00,24.0,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-08-2019,07:00:00,22.9,97,1008.16,000,28.00,1012.26,6.60,22.8,9.00,23.4,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-08-2019,07:00:00,23.0,97,1002.15,020,28.17,1013.01,0.00,23.0,.80,23.5,3.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-08-2019,07:00:00,22.5,91,1010.72,000,27.25,1012.68,0.00,23.5,12.00,24.0,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-08-2019,07:00:00,23.4,90,990.91,000,28.83,1012.00,0.00,25.0,8.00,25.2,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-08-2019,07:00:00,23.4,94,994.03,000,28.71,1011.93,0.00,23.3,8.00,24.4,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-08-2019,07:00:00,23.7,95,995.26,000,29.33,1011.63,0.00,24.1,10.00,24.6,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-08-2019,07:00:00,23.2,91,997.85,000,28.38,1012.05,0.00,24.0,7.00,24.8,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-08-2019,07:00:00,24.0,96,997.23,000,29.77,1012.25,0.00,23.5,1.50,24.7,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-08-2019,07:00:00,24.7,98,997.56,000,31.12,1012.40,5.40,23.2,8.00,25.0,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-08-2019,07:00:00,23.2,95,1008.53,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",28.44,1011.59,2.50,22.7,10.00,24.1,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-08-2019,07:00:00,23.3,93,1003.89,000,28.63,1011.95,5.50,24.0,10.00,24.5,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-08-2019,07:00:00,24.4,92,1010.68,000,30.65,1011.80,10.70,24.0,5.00,25.9,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-08-2019,07:00:00,23.3,88,997.21,000,28.59,1012.04,0.00,24.0,8.00,25.5,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-08-2019,07:00:00,17.8,89,877.45,090,20.38,1013.22,48.20,17.4,8.00,19.6,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-08-2019,07:00:00,23.8,96,1006.05,000,29.41,1012.01,0.00,23.5,10.00,24.5,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-08-2019,07:00:00,24.0,96,1010.76,060,29.77,1011.57,1.00,24.0,8.00,24.7,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-08-2019,07:00:00,24.1,89,1010.58,140,30.03,1011.03,0.00,25.4,8.00,26.0,5.6
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-08-2019,07:00:00,23.4,97,1000.39,000,28.69,1011.87,9.40,23.4,3.00,23.8,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-08-2019,07:00:00,23.1,88,1010.97,000,28.23,1012.00,0.00,24.6,7.00,25.3,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-08-2019,07:00:00,24.1,96,1010.06,000,29.95,1011.91,23.70,24.5,4.00,24.8,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-08-2019,07:00:00,24.2,96,1010.85,000,30.13,1011.63,0.00,24.4,8.00,24.9,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-08-2019,07:00:00,24.2,94,1011.14,020,30.15,1011.86,1.70,23.7,7.00,25.2,7.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-08-2019,07:00:00,23.5,90,1010.75,000,29.01,1011.46,0.40,24.6,8.00,25.3,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-08-2019,07:00:00,23.6,92,991.05,000,29.18,1012.45,0.01,23.8,7.00,25.1,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-08-2019,07:00:00,23.5,92,994.99,000,28.90,1011.91,0.00,23.2,7.00,24.8,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-08-2019,07:00:00,23.6,97,995.96,000,29.13,1012.64,1.10,22.7,6.00,24.2,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-08-2019,07:00:00,23.3,96,990.22,000,28.53,1012.41,0.01,23.5,8.00,24.0,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-08-2019,07:00:00,22.2,96,968.44,250,26.83,1012.49,0.00,21.0,10.00,23.0,3.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-08-2019,07:00:00,22.8,91,991.27,000,27.77,1012.11,5.70,23.7,8.00,24.3,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-08-2019,07:00:00,24.6,100,992.58,000,30.91,1013.69,0.40,23.0,7.00,24.6,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-08-2019,07:00:00,23.9,93,1011.20,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.70,1011.63,13.50,24.4,8.00,25.1,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-08-2019,07:00:00,23.4,97,1009.83,000,28.78,1011.27,7.30,23.7,8.00,24.0,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-08-2019,07:00:00,23.8,99,1006.77,000,29.56,1011.77,26.00,23.9,6.00,24.0,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-08-2019,07:00:00,23.8,92,1008.47,000,29.54,1011.80,10.90,22.7,5.00,25.3,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-08-2019,07:00:00,24.4,97,1010.44,000,30.48,1011.55,2.50,24.2,8.00,24.8,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-08-2019,07:00:00,23.9,93,1011.04,040,29.70,1011.34,4.90,24.3,10.00,25.1,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,20.40,10-08-2019,07:00:00,24.2,94,1010.93,000,30.15,1011.63,20.40,24.5,8.00,25.2,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-08-2019,07:00:00,24.1,96,1010.35,000,29.95,1010.85,1.30,24.5,8.00,24.8,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-08-2019,07:00:00,24.3,94,1010.23,060,30.34,1011.66,1.60,24.6,10.00,25.3,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-08-2019,07:00:00,24.1,84,1009.84,040,30.02,1011.53,0.00,26.1,8.00,27.0,16.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-08-2019,07:00:00,22.6,99,1005.49,000,27.49,1013.66,45.90,22.5,.50,22.8,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-08-2019,07:00:00,23.7,89,1010.92,080,29.21,1011.21,3.70,24.0,4.00,25.7,3.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-08-2019,07:00:00,24.6,92,1007.65,000,30.84,1010.81,0.00,25.0,10.00,26.0,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-08-2019,07:00:00,24.4,94,1004.16,000,30.52,1011.16,0.00,24.9,10.00,25.4,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-08-2019,07:00:00,24.3,96,1006.17,000,30.32,1011.83,0.00,24.0,10.00,25.0,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-08-2019,07:00:00,24.0,89,1002.72,000,29.76,1012.11,0.00,24.5,8.00,26.0,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-08-2019,07:00:00,24.4,98,1010.90,280,30.56,1012.18,14.30,23.9,1.00,24.7,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-08-2019,07:00:00,24.3,95,1010.86,330,30.42,1011.30,2.20,24.6,8.00,25.2,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-08-2019,07:00:00,23.4,97,999.26,000,28.69,1011.71,0.50,23.3,3.00,23.8,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-08-2019,07:00:00,24.8,96,1010.68,000,31.25,1011.40,0.00,25.2,8.00,25.5,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-08-2019,07:00:00,23.0,91,1008.52,360,28.11,1010.98,0.00,24.1,9.00,24.5,3.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-08-2019,07:00:00,24.3,96,1010.70,000,30.32,1011.23,0.00,24.5,8.00,25.0,0.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-08-2019,07:00:00,23.0,88,1006.00,020,28.14,1011.21,28.80,23.9,13.00,25.1,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-08-2019,07:00:00,23.8,97,1010.58,020,29.49,1011.00,17.30,23.9,7.00,24.4,5.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-08-2019,07:00:00,23.6,97,1008.69,000,29.13,1011.50,0.70,23.7,8.00,24.2,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-08-2019,07:00:00,23.7,92,1010.58,340,29.26,1011.37,0.00,24.2,10.00,25.0,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-08-2019,07:00:00,23.6,96,1010.88,100,29.05,1011.34,8.10,23.5,7.00,24.3,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-08-2019,07:00:00,24.4,96,1009.61,000,30.50,1010.30,0.00,24.4,7.00,25.1,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.20,10-08-2019,07:00:00,23.8,96,1009.02,000,29.41,1010.56,0.20,24.0,8.00,24.5,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-08-2019,07:00:00,23.2,95,1009.33,000,28.44,1010.25,9.40,24.0,10.00,24.1,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-08-2019,07:00:00,24.8,90,1009.96,000,31.35,1010.65,0.00,25.3,12.00,26.7,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-08-2019,07:00:00,23.3,99,1010.06,000,28.68,1010.86,0.00,23.2,.20,23.5,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-08-2019,07:00:00,23.8,97,1009.84,330,29.49,1010.48,1.20,24.0,10.00,24.4,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-08-2019,07:00:00,23.5,96,1010.35,000,28.88,1010.76,0.01,23.7,8.00,24.2,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-08-2019,07:00:00,22.8,97,1008.72,000,27.83,1013.00,0.00,23.0,5.00,23.3,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-08-2019,07:00:00,23.4,97,1008.48,000,28.69,1010.11,4.60,22.0,5.00,23.8,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-08-2019,07:00:00,23.4,97,1007.41,000,28.69,1010.94,0.50,23.3,.50,23.8,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-08-2019,07:00:00,23.7,98,1009.27,000,29.30,1010.65,0.00,24.0,9.00,24.0,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,10-08-2019,07:00:00,23.1,96,1008.56,000,28.26,1009.46,1.60,23.2,10.00,23.7,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-08-2019,07:00:00,23.2,98,1006.28,000,28.42,1009.89,31.40,22.3,10.00,23.5,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-08-2019,07:00:00,24.6,92,1009.92,000,30.84,1010.36,0.60,25.5,10.00,26.0,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-08-2019,07:00:00,24.5,96,1008.69,000,30.69,1009.69,3.70,22.3,9.00,25.2,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-08-2019,07:00:00,24.6,92,1009.23,000,30.84,1010.05,0.00,24.8,10.00,26.0,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-08-2019,07:00:00,23.9,98,1008.66,000,29.66,1010.50,8.80,23.9,.10,24.2,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,10-08-2019,07:00:00,22.6,77,1010.28,170,27.44,1011.04,0.01,24.7,10.00,26.9,1.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-08-2019,07:00:00,23.6,99,1007.00,250,29.20,1011.06,0.20,21.8,10.00,23.8,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-08-2019,07:00:00,22.7,94,1009.90,000,27.50,1010.59,7.00,22.7,10.00,23.7,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-08-2019,07:00:00,24.2,97,1009.53,000,30.12,1010.66,0.00,23.2,10.00,24.6,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-08-2019,07:00:00,23.4,98,1008.14,000,28.77,1011.10,0.01,22.6,8.00,23.7,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-08-2019,07:00:00,23.4,98,1009.62,000,28.77,1010.32,0.00,23.2,7.00,23.7,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-08-2019,07:00:00,23.2,98,1007.23,000,28.42,1011.42,0.20,22.8,9.00,23.5,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-08-2019,07:00:00,22.4,91,1010.10,260,27.00,1010.70,0.00,.0,9.00,24.0,5.6
