WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,WindSpeed,Rainfall,LandVisibility,VaporPressure,MeanSeaLevelPressure,DewPoint,AirTemperature,Rainfall24Hr,RelativeHumidity
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.36,08-03-2019,13:00:00,230,1.9,0.00,13.00,25.14,1004.49,21.2,32.6,0.40,51
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,980.56,08-03-2019,13:00:00,270,18.5,0.00,10.00,20.21,1001.69,17.7,33.2,0.00,40
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,985.26,08-03-2019,13:00:00,240,14.8,0.00,10.00,24.67,1002.31,20.9,33.5,0.00,48
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,985.59,08-03-2019,13:00:00,230,9.3,0.00,12.00,28.09,1001.12,23.0,31.0,0.00,63
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,982.59,08-03-2019,13:00:00,280,5.6,0.00,10.00,23.87,1000.96,20.3,33.5,0.00,46
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.03,08-03-2019,13:00:00,000,0.0,0.00,11.00,25.45,1006.12,21.4,26.2,18.00,75
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.07,08-03-2019,13:00:00,000,0.0,0.00,8.00,40.53,1004.96,29.2,31.5,0.60,88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,910.44,08-03-2019,13:00:00,260,25.9,0.10,6.00,23.18,1005.24,19.9,21.9,11.70,88
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.20,08-03-2019,13:00:00,250,18.5,0.00,10.00,27.99,1001.85,22.9,31.8,0.80,60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.63,08-03-2019,13:00:00,230,11.1,0.00,12.00,27.95,1004.57,22.9,33.2,0.30,55
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,994.90,08-03-2019,13:00:00,210,7.4,0.00,10.00,25.91,1005.38,21.7,32.0,0.20,54
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.09,08-03-2019,13:00:00,210,5.6,0.00,10.00,26.78,1004.98,22.2,32.6,0.00,54
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,983.32,08-03-2019,13:00:00,250,20.4,0.00,12.00,24.32,1003.86,20.6,30.7,2.20,55
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,984.80,08-03-2019,13:00:00,230,22.2,0.00,10.00,25.45,1002.17,21.4,30.6,0.40,58
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,985.90,08-03-2019,13:00:00,240,18.5,0.00,10.00,24.81,1001.73,21.0,31.7,0.40,53
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,989.74,08-03-2019,13:00:00,240,11.1,0.00,10.00,27.16,1003.55,22.4,30.8,8.80,61
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,989.55,08-03-2019,13:00:00,200,11.1,0.00,9.00,29.33,1004.16,23.7,30.5,4.30,67
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.94,08-03-2019,13:00:00,280,33.3,0.00,8.00,30.21,1003.38,24.2,30.8,3.00,68
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.60,08-03-2019,13:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,0.00,10.00,22.70,1004.53,19.5,34.6,0.01,41
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.39,08-03-2019,13:00:00,240,11.1,0.00,10.00,26.75,1004.18,22.2,32.3,0.50,55
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.73,08-03-2019,13:00:00,270,14.8,0.00,8.00,28.10,1005.82,23.0,32.0,0.00,59
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.75,08-03-2019,13:00:00,200,7.4,0.00,8.00,29.03,1004.24,23.5,30.2,0.10,68
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.05,08-03-2019,13:00:00,280,14.8,0.00,4.00,23.41,1006.56,20.0,20.5,0.00,97
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.11,08-03-2019,13:00:00,260,9.3,0.00,10.00,25.27,1004.86,21.3,33.1,0.00,50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.31,08-03-2019,13:00:00,230,14.8,0.00,8.00,26.94,1006.09,22.3,32.4,0.00,55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.56,08-03-2019,13:00:00,230,14.8,0.00,10.00,29.20,1006.00,23.6,31.0,0.01,65
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.79,08-03-2019,13:00:00,330,7.4,1.10,7.00,26.78,1008.01,22.2,29.3,9.80,66
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.31,08-03-2019,13:00:00,300,5.6,0.00,12.00,29.15,1005.30,23.6,31.4,0.50,63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.80,08-03-2019,13:00:00,200,3.7,0.00,9.00,26.59,1005.60,22.1,31.5,0.00,58
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.65,08-03-2019,13:00:00,280,3.7,0.01,8.00,28.37,1005.41,23.2,30.0,0.01,67
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.07,08-03-2019,13:00:00,290,27.8,0.00,10.00,25.61,1005.76,21.5,31.7,0.00,55
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.17,08-03-2019,13:00:00,270,14.8,0.00,12.00,27.52,1005.86,22.7,32.7,0.00,56
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,983.77,08-03-2019,13:00:00,270,11.1,0.00,10.00,25.85,1004.50,21.6,32.4,0.30,53
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,987.52,08-03-2019,13:00:00,210,9.3,0.00,9.00,27.71,1004.03,22.8,29.8,0.10,66
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,988.00,08-03-2019,13:00:00,180,11.1,0.00,9.00,29.65,1004.18,23.9,30.8,0.01,67
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,982.75,08-03-2019,13:00:00,270,33.3,0.00,10.00,23.04,1004.13,19.8,32.9,0.01,46
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.85,08-03-2019,13:00:00,230,37.0,0.00,14.00,23.76,1005.68,20.3,29.5,0.00,58
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,983.48,08-03-2019,13:00:00,120,18.5,0.00,10.00,22.43,1003.57,19.3,33.0,0.20,45
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,984.90,08-03-2019,13:00:00,250,18.5,0.00,9.00,30.99,1005.46,24.6,30.2,2.70,72
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.95,08-03-2019,13:00:00,300,22.2,0.01,10.00,26.09,1006.38,21.8,30.8,0.10,59
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.26,08-03-2019,13:00:00,270,11.1,0.00,11.00,28.99,1005.65,23.5,31.6,0.00,62
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.08,08-03-2019,13:00:00,330,11.1,0.00,8.00,29.63,1005.93,23.9,31.5,0.00,64
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.40,08-03-2019,13:00:00,280,11.1,0.00,12.00,26.86,1005.64,22.3,31.5,0.40,58
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.90,08-03-2019,13:00:00,260,3.7,0.01,5.00,29.33,1006.00,23.7,29.5,0.01,71
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.57,08-03-2019,13:00:00,270,18.5,0.00,10.00,27.19,1005.86,22.5,32.1,0.00,57
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.15,08-03-2019,13:00:00,260,7.4,0.00,10.00,26.53,1006.82,22.1,31.9,0.00,56
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.78,08-03-2019,13:00:00,290,9.3,0.00,10.00,26.23,1006.26,21.9,31.6,0.00,56
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.54,08-03-2019,13:00:00,270,25.9,0.00,10.00,26.50,1005.92,22.0,32.6,0.00,54
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.56,08-03-2019,13:00:00,000,0.0,0.00,10.00,27.21,1006.21,22.5,31.4,0.00,59
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.08,08-03-2019,13:00:00,270,7.4,0.00,10.00,26.19,1007.99,21.9,31.0,0.00,58
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.87,08-03-2019,13:00:00,270,14.8,0.00,12.00,31.72,1006.15,25.0,30.7,0.00,72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.70,08-03-2019,13:00:00,250,7.4,0.00,10.00,28.91,1005.80,23.5,30.0,0.01,68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.67,08-03-2019,13:00:00,270,9.3,0.00,12.00,27.61,1006.55,22.7,29.6,0.00,67
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.39,08-03-2019,13:00:00,280,16.7,0.00,7.00,26.59,1005.90,22.1,31.5,0.00,58
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,997.83,08-03-2019,13:00:00,320,13.0,0.00,15.00,28.73,1007.02,23.4,30.9,0.01,64
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.98,08-03-2019,13:00:00,230,11.1,0.01,14.00,28.34,1008.24,23.1,29.7,0.20,68
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.28,08-03-2019,13:00:00,320,14.8,0.01,11.00,27.71,1006.70,22.8,30.8,3.80,62
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.49,08-03-2019,13:00:00,280,7.4,0.30,10.00,28.82,1007.72,23.4,27.8,15.60,77
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.61,08-03-2019,13:00:00,240,11.1,0.00,10.00,29.08,1007.32,23.6,28.8,9.50,73
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.86,08-03-2019,13:00:00,270,14.8,0.00,10.00,25.39,1007.27,21.3,31.0,0.01,57
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.12,08-03-2019,13:00:00,320,22.2,0.00,10.00,30.18,1006.64,24.2,30.5,0.00,69
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.25,08-03-2019,13:00:00,290,13.0,0.00,10.00,25.68,1006.35,21.5,30.0,0.00,61
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.83,08-03-2019,13:00:00,220,7.4,0.00,10.00,31.35,1006.24,24.8,31.5,7.70,68
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.64,08-03-2019,13:00:00,240,11.1,0.00,8.00,33.99,1006.39,26.2,29.0,14.60,85
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.18,08-03-2019,13:00:00,270,9.3,2.20,4.00,29.08,1007.97,23.6,26.5,8.10,84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.39,08-03-2019,13:00:00,280,11.1,0.10,8.00,32.71,1006.85,25.5,29.5,14.80,79
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.86,08-03-2019,13:00:00,310,7.4,0.00,8.00,28.61,1008.54,23.3,29.7,32.00,69
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.12,08-03-2019,13:00:00,280,7.4,0.00,9.00,29.03,1008.64,23.5,30.2,33.80,68
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.47,08-03-2019,13:00:00,250,7.4,0.00,10.00,28.91,1009.38,23.5,30.0,30.90,68
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.06,08-03-2019,13:00:00,290,5.6,0.01,10.00,31.28,1008.74,24.8,29.5,4.70,76
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.60,08-03-2019,13:00:00,270,5.6,0.70,10.00,32.42,1009.39,25.4,29.5,3.10,79
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.83,08-03-2019,13:00:00,270,5.6,0.00,10.00,28.84,1008.46,23.4,33.5,7.70,56
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.72,08-03-2019,13:00:00,230,18.5,0.00,10.00,30.81,1008.11,24.5,35.0,0.00,55
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.45,08-03-2019,13:00:00,210,5.6,0.00,6.00,30.72,1010.64,24.5,29.5,23.00,75
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.63,08-03-2019,13:00:00,000,0.0,2.00,10.00,30.01,1010.23,24.1,29.0,5.40,75
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.82,08-03-2019,13:00:00,210,11.1,0.00,10.00,33.10,1009.25,25.7,31.5,2.00,72
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.34,08-03-2019,13:00:00,270,16.7,0.00,10.00,25.63,1008.67,21.5,33.0,0.00,51
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.00,08-03-2019,13:00:00,240,13.0,0.00,10.00,29.24,1009.88,23.7,31.3,0.00,64
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.94,08-03-2019,13:00:00,280,11.1,0.00,10.00,29.07,1009.45,23.6,31.5,0.00,63
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.23,08-03-2019,13:00:00,000,0.0,0.00,10.00,29.66,1009.66,23.9,32.5,0.00,61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.48,08-03-2019,13:00:00,270,3.7,0.00,10.00,30.20,1009.46,24.2,32.2,0.50,63
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.74,08-03-2019,13:00:00,270,22.2,0.00,10.00,31.64,1009.55,25.0,30.1,0.00,74
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.54,08-03-2019,13:00:00,260,14.8,0.00,10.00,29.33,1009.32,23.7,33.6,0.00,56
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.07,08-03-2019,13:00:00,250,9.3,0.00,10.00,26.85,1008.81,22.3,34.2,0.00,50
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.18,08-03-2019,13:00:00,230,24.1,0.00,10.00,25.08,1009.10,21.1,33.0,0.20,50
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.48,08-03-2019,13:00:00,000,0.0,0.00,10.00,29.22,1010.15,23.7,32.0,0.00,61
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.59,08-03-2019,13:00:00,180,7.4,0.00,10.00,30.61,1008.69,24.4,32.4,0.80,63
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.72,08-03-2019,13:00:00,240,18.5,0.00,12.00,26.62,1009.58,22.1,33.8,0.00,51
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.63,08-03-2019,13:00:00,240,13.0,0.00,12.00,28.59,1008.31,23.3,33.8,0.00,54
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.15,08-03-2019,13:00:00,260,14.8,0.00,10.00,24.26,1009.18,20.6,34.0,0.00,46
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.46,08-03-2019,13:00:00,030,11.1,0.00,12.00,29.46,1009.04,23.8,34.5,0.00,54
