WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,Rainfall24Hr,WindDirection,WindSpeed,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,50,07-30-2019,16:00:00,21.8,0.00,240,7.4,1004.00,0.00,1004.68,10.00,33.5,26.04
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,49,07-30-2019,16:00:00,21.8,0.00,270,5.6,1003.09,0.00,1003.57,10.00,34.0,26.18
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,53,07-30-2019,16:00:00,22.3,0.00,260,25.9,1002.83,0.00,1004.21,10.00,33.1,26.92
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,58,07-30-2019,16:00:00,23.1,0.00,210,11.1,1002.72,0.00,1004.36,10.00,32.4,28.33
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,55,07-30-2019,16:00:00,22.3,0.00,180,3.7,997.98,0.00,1005.83,10.00,32.5,26.86
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,61,07-30-2019,16:00:00,24.5,0.00,290,9.3,1003.68,0.00,1003.96,10.00,33.2,30.82
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,66,07-30-2019,16:00:00,24.7,0.00,300,5.6,1002.34,0.00,1005.42,10.00,31.8,31.10
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,62,07-30-2019,16:00:00,23.1,0.00,260,7.4,998.21,0.00,1005.03,12.00,31.4,28.32
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,54,07-30-2019,16:00:00,23.5,0.01,290,20.4,998.18,0.00,1003.63,8.00,34.1,28.92
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,56,07-30-2019,16:00:00,23.6,0.00,000,0.0,996.53,0.00,1005.63,12.00,33.5,29.13
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,54,07-30-2019,16:00:00,22.2,0.00,320,11.1,1004.89,0.00,1006.13,14.00,32.6,26.78
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,66,07-30-2019,16:00:00,25.7,0.00,170,14.8,1004.39,0.00,1004.81,11.00,33.0,33.06
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,55,07-30-2019,16:00:00,22.0,0.00,320,7.4,993.75,0.00,1005.78,10.00,32.3,26.47
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,69,07-30-2019,16:00:00,25.4,0.00,270,13.0,1005.37,0.00,1006.07,10.00,31.7,32.35
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,57,07-30-2019,16:00:00,23.7,0.00,230,14.8,1004.23,0.00,1006.62,10.00,33.3,29.29
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,70,07-30-2019,16:00:00,24.9,0.00,240,9.3,1004.85,0.00,1005.36,10.00,31.0,31.47
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,56,07-30-2019,16:00:00,23.1,0.00,210,7.4,999.77,0.00,1004.81,11.00,33.1,28.32
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,62,07-30-2019,16:00:00,24.6,0.00,240,9.3,1004.65,0.00,1005.06,10.00,33.0,30.99
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,75,07-30-2019,16:00:00,26.1,0.00,240,7.4,1002.55,0.00,1005.28,8.00,31.0,33.81
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,41,07-30-2019,16:00:00,18.9,0.00,000,0.0,1005.18,0.00,1005.95,12.00,34.0,21.87
48501,TRAD,ตราด,ตราด,11.76667,102.88333,75,07-30-2019,16:00:00,26.1,0.01,250,5.6,1005.17,0.00,1005.62,8.00,31.0,33.81
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,53,07-30-2019,16:00:00,23.2,0.20,280,11.1,1005.66,0.00,1006.33,10.00,34.0,28.43
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,55,07-30-2019,16:00:00,22.3,0.60,270,3.7,1005.09,0.00,1006.59,9.00,32.5,26.86
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,63,07-30-2019,16:00:00,24.4,0.20,200,9.3,1006.92,0.00,1007.82,10.00,32.4,30.61
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,60,07-30-2019,16:00:00,24.8,0.00,000,0.0,1006.06,0.00,1006.73,10.00,33.7,31.29
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,50,07-30-2019,16:00:00,23.3,0.00,240,9.3,1006.03,0.00,1006.81,10.00,35.5,28.64
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,61,07-30-2019,16:00:00,25.5,0.00,090,5.6,1005.60,0.00,1006.22,10.00,34.2,32.67
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,53,07-30-2019,16:00:00,24.3,0.00,230,7.4,1005.92,0.00,1006.31,12.00,35.2,30.35
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,51,07-30-2019,16:00:00,22.6,0.00,270,5.6,1004.61,0.00,1008.72,10.00,34.2,27.41
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,65,07-30-2019,16:00:00,24.4,0.00,270,9.3,1005.64,0.00,1007.23,12.00,31.7,30.61
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,66,07-30-2019,16:00:00,24.5,0.00,270,5.6,1003.90,0.00,1007.32,12.00,31.6,30.69
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,53,07-30-2019,16:00:00,22.8,0.00,300,13.0,1005.29,0.00,1006.62,10.00,33.8,27.74
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,73,07-30-2019,16:00:00,26.0,1.20,270,9.3,1007.24,0.00,1008.12,10.00,31.3,33.57
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,64,07-30-2019,16:00:00,24.1,0.00,290,5.6,1004.27,0.00,1007.77,10.00,31.8,29.96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,62,07-30-2019,16:00:00,24.4,3.20,240,9.3,1007.53,0.00,1007.96,10.00,32.5,30.53
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,67,07-30-2019,16:00:00,25.0,1.60,220,22.2,1006.95,0.00,1007.92,10.00,31.9,31.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,75,07-30-2019,16:00:00,26.1,0.00,270,27.8,1007.43,0.00,1008.24,10.00,31.0,33.81
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,61,07-30-2019,16:00:00,23.8,0.00,300,13.0,1005.85,0.00,1007.63,10.00,32.4,29.46
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,61,07-30-2019,16:00:00,23.8,0.00,200,7.4,1005.94,0.00,1006.68,10.00,32.3,29.54
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,55,07-30-2019,16:00:00,23.2,0.00,240,20.4,1003.20,0.00,1007.11,10.00,33.4,28.35
48570,SATUN,สตูล,สตูล,6.65000,100.08333,53,07-30-2019,16:00:00,22.1,0.00,250,11.1,1007.26,0.00,1007.93,10.00,32.9,26.53
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,53,07-30-2019,16:00:00,23.2,0.00,220,7.4,1005.81,0.00,1006.90,12.00,34.1,28.35
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,52,07-30-2019,16:00:00,23.4,0.00,270,13.0,1004.33,0.00,1007.17,12.00,34.6,28.80
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,53,07-30-2019,16:00:00,24.1,0.00,260,9.3,1006.03,0.00,1006.70,11.00,35.0,29.92
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,51,07-30-2019,16:00:00,22.8,0.00,230,7.4,1003.29,0.00,1007.32,10.00,34.4,27.81
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,50,07-30-2019,16:00:00,21.8,0.00,080,11.1,1008.02,0.00,1008.60,12.00,33.5,26.04
