WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,WindSpeed,LandVisibility,Rainfall,DewPoint,WindDirection,StationPressure,RelativeHumidity,VaporPressure,Rainfall24Hr
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.59,09-01-2019,13:00:00,30.5,18.5,10.00,0.00,25.3,230,1006.15,74,32.17,1.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1006.86,09-01-2019,13:00:00,28.6,0.0,7.00,3.20,25.9,000,995.62,85,33.45,23.90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.61,09-01-2019,13:00:00,33.0,5.6,12.00,0.00,24.6,150,1005.62,62,30.99,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.41,09-01-2019,13:00:00,33.0,5.6,9.00,0.00,24.0,180,1004.62,59,29.83,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.71,09-01-2019,13:00:00,33.3,0.0,9.00,0.00,23.5,000,1004.96,57,29.01,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.04,09-01-2019,13:00:00,31.2,14.8,10.00,0.00,24.3,230,1006.35,67,30.45,1.60
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.61,09-01-2019,13:00:00,32.0,0.0,7.00,0.00,25.1,000,1005.92,67,31.81,3.70
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1006.03,09-01-2019,13:00:00,31.1,9.3,10.00,0.01,25.3,230,985.18,71,32.26,0.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1005.90,09-01-2019,13:00:00,32.2,9.3,11.00,0.00,24.4,230,989.49,63,30.48,25.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1006.47,09-01-2019,13:00:00,32.0,7.4,10.00,0.00,24.1,270,990.32,63,30.08,11.40
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1005.85,09-01-2019,13:00:00,32.5,3.7,10.00,0.00,24.4,270,984.41,62,30.53,1.40
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1006.09,09-01-2019,13:00:00,30.5,29.6,15.00,0.00,23.2,260,963.38,65,28.50,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1005.73,09-01-2019,13:00:00,32.5,13.0,10.00,0.00,23.9,230,985.56,61,29.66,2.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1007.79,09-01-2019,13:00:00,31.0,14.8,9.00,0.00,25.8,210,987.23,74,33.22,2.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.85,09-01-2019,13:00:00,30.8,14.8,10.00,0.00,24.4,210,1006.42,69,30.49,0.20
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.57,09-01-2019,13:00:00,30.6,0.0,10.00,0.01,25.5,000,1005.17,74,32.67,3.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.74,09-01-2019,13:00:00,31.0,0.0,10.00,0.00,26.1,000,1001.87,75,33.81,0.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.79,09-01-2019,13:00:00,29.1,9.3,12.00,0.01,25.3,210,1003.52,80,32.18,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.46,09-01-2019,13:00:00,32.9,11.1,11.00,0.00,24.8,200,1005.38,63,31.36,0.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.52,09-01-2019,13:00:00,31.7,11.1,10.00,0.00,24.9,210,1006.22,67,31.47,0.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.72,09-01-2019,13:00:00,31.5,7.4,10.00,0.00,25.1,230,1006.05,69,31.93,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.21,09-01-2019,13:00:00,31.8,5.6,10.00,0.00,24.2,120,1005.72,64,30.24,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.45,09-01-2019,13:00:00,31.7,13.0,10.00,0.00,24.1,240,1005.07,64,30.04,0.20
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1007.16,09-01-2019,13:00:00,28.9,24.1,10.00,0.00,27.6,210,1005.49,93,37.04,0.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1009.13,09-01-2019,13:00:00,32.0,0.0,10.00,0.00,24.3,000,1001.24,64,30.36,2.40
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.59,09-01-2019,13:00:00,32.0,0.0,10.00,0.00,24.1,000,1006.31,63,30.08,5.10
