WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,StationPressure,DewPoint,WindSpeed,LandVisibility,VaporPressure,AirTemperature
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-19-2019,22:00:00,84,0.01,1009.70,000,1002.38,24.3,0.0,8.00,30.39,27.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-19-2019,22:00:00,88,3.20,1010.11,100,990.25,26.0,3.7,10.00,33.70,28.3
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-19-2019,22:00:00,92,3.00,1010.76,000,981.81,23.1,0.0,12.00,28.29,24.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-19-2019,22:00:00,93,10.50,1010.69,000,990.40,24.8,0.0,12.00,31.30,26.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-19-2019,22:00:00,97,9.70,1010.97,000,989.05,24.6,0.0,10.00,30.96,25.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-19-2019,22:00:00,94,6.60,1010.65,000,991.04,25.0,0.0,12.00,31.65,26.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.80,09-19-2019,22:00:00,85,16.70,1010.76,000,993.96,24.1,0.0,10.00,30.10,26.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-19-2019,22:00:00,92,0.60,1011.08,000,993.54,24.3,0.0,10.00,30.46,25.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-19-2019,22:00:00,94,7.20,1009.77,000,983.83,24.7,0.0,8.00,31.08,25.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-19-2019,22:00:00,96,4.70,1009.67,270,1003.85,25.4,5.6,10.00,32.40,26.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-19-2019,22:00:00,92,0.60,1010.52,000,1004.30,25.1,0.0,10.00,31.79,26.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-19-2019,22:00:00,77,0.00,1010.72,000,994.25,23.1,0.0,10.00,28.26,27.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-19-2019,22:00:00,84,17.20,1008.50,000,986.17,24.3,0.0,10.00,30.39,27.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-19-2019,22:00:00,95,44.50,1011.27,000,996.77,24.9,0.0,7.00,31.55,25.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-19-2019,22:00:00,96,11.20,1010.55,000,994.00,24.3,0.0,7.00,30.32,25.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-19-2019,22:00:00,82,2.30,1010.20,320,1004.97,24.6,5.6,10.00,30.84,28.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-19-2019,22:00:00,81,0.00,1008.54,000,995.36,24.2,0.0,10.00,30.17,27.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-19-2019,22:00:00,84,54.40,1010.24,320,1000.91,24.6,5.6,10.00,30.89,27.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.20,09-19-2019,22:00:00,92,0.70,1009.21,090,987.43,25.0,3.7,6.00,31.60,26.4
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-19-2019,22:00:00,82,0.00,1009.21,000,991.69,24.0,0.0,10.00,29.77,27.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-19-2019,22:00:00,92,4.30,1009.90,000,993.94,24.0,0.0,10.00,29.91,25.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.20,09-19-2019,22:00:00,92,0.20,1009.45,000,990.50,25.1,0.0,8.00,31.79,26.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-19-2019,22:00:00,91,7.30,1011.57,000,959.87,22.7,0.0,7.00,27.60,24.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,11.30,09-19-2019,22:00:00,93,14.90,1010.10,160,1006.11,24.6,7.4,5.00,31.00,25.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-19-2019,22:00:00,94,9.80,1011.89,000,916.37,20.7,0.0,4.00,24.36,21.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-19-2019,22:00:00,96,0.60,1010.16,000,994.12,26.3,0.0,8.00,34.19,27.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.00,09-19-2019,22:00:00,96,38.00,1011.06,000,1006.98,24.3,0.0,6.00,30.32,25.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,6.80,09-19-2019,22:00:00,96,14.60,1011.47,020,1000.68,24.3,9.3,7.00,30.32,25.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,17.00,09-19-2019,22:00:00,92,30.70,1011.04,000,1009.09,24.0,0.0,7.00,29.91,25.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-19-2019,22:00:00,86,12.60,1009.97,050,989.02,24.0,5.6,10.00,29.80,26.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.50,09-19-2019,22:00:00,92,0.70,1009.68,000,991.97,25.5,0.0,10.00,32.58,26.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.80,09-19-2019,22:00:00,94,1.60,1009.48,000,993.26,25.7,0.0,10.00,33.02,26.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,14.30,09-19-2019,22:00:00,93,23.60,1010.64,000,996.49,24.3,0.0,10.00,30.44,25.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.10,09-19-2019,22:00:00,96,25.20,1010.92,000,995.94,24.3,0.0,7.00,30.32,25.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.00,09-19-2019,22:00:00,98,11.30,1010.89,130,996.10,25.3,3.7,6.00,32.26,25.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.70,09-19-2019,22:00:00,93,34.70,1010.27,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1007.22,24.0,0.0,10.00,29.89,25.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-19-2019,22:00:00,89,0.00,1009.91,000,1001.94,25.2,0.0,7.00,32.05,27.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-19-2019,22:00:00,93,3.00,1010.00,120,1008.89,25.5,5.6,7.00,32.66,26.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,7.80,09-19-2019,22:00:00,92,7.80,1010.89,000,996.13,25.1,0.0,3.00,31.79,26.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-19-2019,22:00:00,98,1.60,1012.04,170,876.30,19.0,5.6,4.00,21.93,19.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-19-2019,22:00:00,94,10.40,1010.29,000,1004.38,25.4,0.0,10.00,32.43,26.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-19-2019,22:00:00,94,21.50,1010.14,000,1009.34,26.2,0.0,8.00,34.03,27.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-19-2019,22:00:00,85,23.60,1010.05,210,1009.60,24.3,5.6,10.00,30.29,27.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.50,09-19-2019,22:00:00,96,26.80,1011.79,000,1000.36,24.3,0.0,4.00,30.32,25.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-19-2019,22:00:00,88,8.90,1010.20,000,1009.19,26.0,0.0,10.00,33.57,28.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-19-2019,22:00:00,92,8.60,1010.41,000,1008.59,25.9,0.0,7.00,33.38,27.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-19-2019,22:00:00,82,0.20,1010.22,000,1009.45,24.6,0.0,5.00,30.84,28.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.20,09-19-2019,22:00:00,87,7.00,1010.75,300,1010.04,23.2,5.6,10.00,28.51,25.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-19-2019,22:00:00,88,36.70,1010.41,090,1009.71,25.6,3.7,7.00,32.76,27.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-19-2019,22:00:00,92,3.80,1010.86,000,989.56,24.6,0.0,10.00,30.84,26.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-19-2019,22:00:00,92,6.80,1010.56,000,993.75,24.9,0.0,6.00,31.41,26.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-19-2019,22:00:00,96,4.60,1010.70,000,994.16,25.3,0.0,7.00,32.20,26.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.20,09-19-2019,22:00:00,91,3.50,1010.64,000,988.68,25.0,0.0,10.00,31.71,26.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-19-2019,22:00:00,98,24.30,1011.17,340,967.20,22.8,3.7,8.00,27.74,23.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,09-19-2019,22:00:00,92,21.40,1010.56,000,989.79,23.5,0.0,10.00,29.00,25.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-19-2019,22:00:00,97,69.40,1011.73,170,990.71,24.9,9.3,8.00,31.41,25.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.40,09-19-2019,22:00:00,91,3.90,1010.55,020,1010.12,24.7,3.7,10.00,31.13,26.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-19-2019,22:00:00,95,3.70,1010.25,000,1008.83,25.7,0.0,6.00,33.10,26.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-19-2019,22:00:00,93,96.90,1010.78,000,1005.81,24.6,0.0,7.00,30.92,25.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-19-2019,22:00:00,83,33.20,1010.48,000,1007.18,24.1,0.0,8.00,30.04,27.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-19-2019,22:00:00,90,26.50,1010.55,000,1009.44,25.0,0.0,10.00,31.63,26.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,49.60,09-19-2019,22:00:00,93,55.90,1010.66,310,1010.36,24.3,7.4,7.00,30.44,25.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,54.40,09-19-2019,22:00:00,96,61.30,1010.66,000,1010.17,25.8,0.0,10.00,33.19,26.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1.40,09-19-2019,22:00:00,96,22.40,1010.60,190,1009.18,24.4,14.8,9.00,30.50,25.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-19-2019,22:00:00,93,10.70,1012.22,000,1004.12,23.8,0.0,10.00,29.52,25.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-19-2019,22:00:00,90,13.20,1010.09,000,1009.80,25.4,0.0,6.00,32.53,27.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-19-2019,22:00:00,90,0.00,1010.45,250,1007.31,25.7,5.6,10.00,32.93,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1.00,09-19-2019,22:00:00,94,1.00,1010.41,000,1003.44,25.4,0.0,10.00,32.43,26.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-19-2019,22:00:00,91,16.00,1011.28,000,1005.66,25.5,0.0,10.00,32.69,27.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.50,09-19-2019,22:00:00,97,24.10,1011.07,000,1009.80,24.9,0.0,4.00,31.52,25.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-19-2019,22:00:00,88,0.30,1011.88,300,1011.44,24.3,5.6,11.00,30.43,26.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.30,09-19-2019,22:00:00,95,27.70,1010.95,000,998.53,23.4,0.0,10.00,28.79,24.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-19-2019,22:00:00,86,0.00,1010.35,250,1009.63,24.0,3.7,10.00,29.89,26.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1.30,09-19-2019,22:00:00,96,39.50,1010.61,010,1008.16,25.3,3.7,8.00,32.20,26.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,6.80,09-19-2019,22:00:00,94,48.40,1009.89,000,1009.37,25.2,0.0,7.00,32.04,26.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-19-2019,22:00:00,94,60.80,1010.45,000,1005.25,24.5,0.0,7.00,30.71,25.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.20,09-19-2019,22:00:00,97,28.30,1010.91,000,1010.50,24.6,0.0,7.00,30.96,25.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,22.00,09-19-2019,22:00:00,98,36.30,1010.87,000,1008.07,24.3,0.0,8.00,30.38,24.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-19-2019,22:00:00,88,0.00,1009.68,000,1008.88,23.1,0.0,10.00,28.31,25.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-19-2019,22:00:00,93,46.70,1010.85,070,1010.39,24.1,7.4,7.00,30.07,25.3
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-19-2019,22:00:00,93,0.50,1011.13,000,1010.44,24.0,0.0,7.00,29.89,25.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-19-2019,22:00:00,89,0.00,1011.18,000,1009.64,24.0,0.0,8.00,29.76,26.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.00,09-19-2019,22:00:00,90,6.50,1012.18,190,1011.26,24.2,3.7,10.00,30.11,25.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-19-2019,22:00:00,87,0.00,1011.85,000,1011.16,25.0,0.0,12.00,31.61,27.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-19-2019,22:00:00,93,0.00,1011.56,190,1010.76,24.2,3.7,9.00,30.25,25.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-19-2019,22:00:00,94,0.00,1011.65,000,1011.01,24.7,0.0,10.00,31.08,25.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.80,09-19-2019,22:00:00,97,47.00,1011.85,000,1011.44,24.9,0.0,8.00,31.41,25.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-19-2019,22:00:00,87,0.00,1013.87,000,1009.62,23.5,0.0,5.00,28.87,25.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-19-2019,22:00:00,92,0.40,1010.13,000,1008.51,24.6,0.0,7.00,30.84,26.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,2.10,09-19-2019,22:00:00,96,3.40,1011.91,000,1008.40,24.5,0.0,5.00,30.69,25.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-19-2019,22:00:00,100,12.30,1011.74,000,1010.37,24.8,0.0,7.00,31.28,24.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-19-2019,22:00:00,93,0.30,1012.22,000,1011.33,24.6,0.0,10.00,31.00,25.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,2.00,09-19-2019,22:00:00,97,2.00,1011.93,000,1008.33,24.3,0.0,10.00,30.40,24.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-19-2019,22:00:00,86,0.20,1011.78,000,1011.34,24.5,0.0,10.00,30.75,27.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-19-2019,22:00:00,87,0.20,1011.26,000,1010.26,24.8,0.0,10.00,31.30,27.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-19-2019,22:00:00,86,0.80,1011.86,090,1011.03,23.3,5.6,10.00,28.60,25.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-19-2019,22:00:00,91,0.00,1012.20,000,1010.37,24.7,0.0,7.00,31.13,26.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-19-2019,22:00:00,88,0.01,1011.61,260,1010.85,24.6,3.7,4.00,31.00,26.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-19-2019,22:00:00,91,0.01,1011.89,300,1007.86,24.4,7.4,5.00,30.57,26.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-19-2019,22:00:00,92,0.00,1011.92,000,1011.23,24.6,0.0,6.00,30.84,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-19-2019,22:00:00,95,0.00,1012.87,000,1011.74,24.9,0.0,10.00,31.55,25.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-19-2019,22:00:00,95,0.00,1011.97,000,1009.03,25.5,0.0,7.00,32.71,26.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-19-2019,22:00:00,98,31.10,1011.22,000,1010.52,24.0,0.0,4.00,29.84,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-19-2019,22:00:00,95,0.40,1012.13,220,1007.95,23.3,3.7,4.00,28.62,24.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-19-2019,22:00:00,88,0.50,1012.84,000,1012.25,23.3,0.0,6.00,28.59,25.5
