WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,StationPressure,Rainfall,AirTemperature,VaporPressure,DewPoint,WindSpeed,WindDirection
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-07-2019,13:00:00,0.00,10.00,56,1008.99,1007.66,0.00,33.1,28.32,23.1,7.4,060
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-07-2019,13:00:00,0.00,10.00,66,1009.61,1008.74,0.00,31.3,30.08,24.1,9.3,270
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-07-2019,13:00:00,0.00,10.00,53,1009.16,1005.67,0.00,33.5,27.43,22.6,11.1,300
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-07-2019,13:00:00,0.00,10.00,70,1009.40,1008.97,0.00,31.7,32.94,25.7,5.6,130
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-07-2019,13:00:00,0.00,10.00,61,1009.16,1008.18,0.00,32.0,29.22,23.7,5.6,340
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-07-2019,13:00:00,0.00,10.00,73,1009.08,1008.28,0.00,32.1,35.01,26.7,9.3,210
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-07-2019,13:00:00,0.00,10.00,52,1008.68,1006.91,0.00,34.4,28.39,23.2,0.0,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-07-2019,13:00:00,0.00,9.00,69,1008.69,1007.94,0.00,31.7,32.06,25.2,9.3,070
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-07-2019,13:00:00,0.00,10.00,54,1008.60,1004.69,0.00,33.9,28.80,23.4,5.6,110
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-07-2019,13:00:00,0.00,10.00,51,1009.54,1008.88,0.00,34.5,28.02,23.0,0.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-07-2019,13:00:00,0.00,10.00,57,1008.32,1007.23,0.00,33.4,29.21,23.6,0.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-07-2019,13:00:00,0.00,12.00,53,1008.53,1005.68,0.00,34.8,29.21,23.7,0.0,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-07-2019,13:00:00,0.00,8.00,67,1008.62,1007.95,0.00,33.5,34.77,26.6,5.6,310
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-07-2019,13:00:00,0.00,7.00,52,1008.48,1004.45,0.00,34.6,28.80,23.4,9.3,360
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-07-2019,13:00:00,0.00,10.00,58,1008.30,1007.72,0.00,32.5,28.25,23.1,14.8,060
