WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,MeanSeaLevelPressure,LandVisibility,DewPoint,AirTemperature,Rainfall24Hr,VaporPressure,Rainfall,WindSpeed,RelativeHumidity
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,190,08-09-2019,10:00:00,999.63,1004.71,15.00,24.3,30.6,2.00,30.38,0.00,5.6,69
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-09-2019,10:00:00,1004.69,1005.10,8.00,25.8,29.9,1.30,33.25,0.00,0.0,79
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-09-2019,10:00:00,1002.69,1005.45,8.00,26.5,28.3,5.10,34.57,1.40,0.0,90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,08-09-2019,10:00:00,1005.59,1006.37,10.00,22.3,29.5,6.60,26.89,0.00,0.0,65
48501,TRAD,ตราด,ตราด,11.76667,102.88333,310,08-09-2019,10:00:00,1004.44,1004.90,7.00,26.7,27.4,60.20,35.02,6.10,7.4,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,240,08-09-2019,10:00:00,1007.25,1007.93,6.00,24.0,25.0,25.20,29.79,13.30,3.7,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,08-09-2019,10:00:00,1006.50,1008.04,8.00,23.8,25.0,49.80,29.52,19.00,0.0,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,190,08-09-2019,10:00:00,1008.39,1009.31,8.00,23.3,25.5,23.60,28.59,9.00,9.3,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,200,08-09-2019,10:00:00,1007.19,1007.87,9.00,24.8,29.5,0.20,31.28,0.01,13.0,76
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,260,08-09-2019,10:00:00,1007.99,1008.79,10.00,23.3,27.5,0.01,28.53,0.01,5.6,78
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,100,08-09-2019,10:00:00,1006.50,1007.12,10.00,24.0,31.5,0.00,29.92,0.00,3.7,65
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,240,08-09-2019,10:00:00,1006.70,1007.10,10.00,24.2,32.6,0.01,30.16,0.00,22.2,61
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,250,08-09-2019,10:00:00,1005.53,1009.70,7.00,24.4,30.3,0.00,30.62,0.00,9.3,71
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-09-2019,10:00:00,1007.14,1008.74,10.00,22.7,29.9,0.00,27.63,0.00,0.0,66
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,240,08-09-2019,10:00:00,1005.03,1008.48,8.00,25.5,29.7,0.00,32.54,0.00,3.7,78
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,240,08-09-2019,10:00:00,1006.11,1007.45,10.00,25.0,31.1,0.00,31.68,0.00,11.1,70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,240,08-09-2019,10:00:00,1008.32,1009.21,8.00,26.3,27.3,18.60,34.23,18.60,9.3,94
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,240,08-09-2019,10:00:00,1004.76,1008.28,10.00,24.5,30.5,1.00,30.74,0.00,5.6,70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,300,08-09-2019,10:00:00,1008.05,1008.48,10.00,24.5,31.2,0.00,30.73,0.00,9.3,68
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,08-09-2019,10:00:00,1007.67,1008.65,10.00,25.3,30.5,0.01,32.17,0.01,0.0,74
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,270,08-09-2019,10:00:00,1007.62,1008.42,10.00,26.6,30.2,0.40,34.77,0.00,29.6,81
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,170,08-09-2019,10:00:00,1006.64,1008.44,12.00,25.8,30.0,0.00,33.17,0.00,7.4,78
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,220,08-09-2019,10:00:00,1006.96,1007.70,12.00,23.1,31.1,0.00,28.29,0.00,5.6,63
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,230,08-09-2019,10:00:00,1004.17,1008.13,10.00,24.3,29.6,5.20,30.35,0.00,16.7,73
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-09-2019,10:00:00,1008.61,1009.29,10.00,24.4,28.0,26.80,30.56,0.00,0.0,81
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,200,08-09-2019,10:00:00,1006.89,1007.99,10.00,24.3,30.0,0.20,30.31,0.00,13.0,71
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,260,08-09-2019,10:00:00,1005.64,1008.55,11.00,24.8,28.2,3.90,31.23,0.00,11.1,82
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,230,08-09-2019,10:00:00,1007.25,1007.94,10.00,25.8,29.0,0.01,33.12,0.00,7.4,83
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,200,08-09-2019,10:00:00,1005.54,1009.65,9.00,22.9,28.5,0.01,27.97,0.01,9.3,72
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-09-2019,10:00:00,1007.23,1007.81,10.00,23.2,30.5,0.00,28.50,0.00,0.0,65
