WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,AirTemperature,MeanSeaLevelPressure,StationPressure,WindDirection,DewPoint,WindSpeed,Rainfall24Hr,LandVisibility,VaporPressure
48376,TAK,ตาก,ตาก,16.87833,99.14333,81,07-24-2019,01:00:00,0.40,27.5,1006.99,992.63,280,23.9,3.7,0.60,6.00,29.60
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,77,07-24-2019,01:00:00,0.00,27.0,1006.10,989.74,000,22.6,0.0,0.20,2.00,27.36
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,79,07-24-2019,01:00:00,0.00,28.0,1006.25,1001.04,080,24.1,3.7,0.00,10.00,30.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,88,07-24-2019,01:00:00,1.60,27.0,1005.37,992.19,000,24.8,0.0,1.60,10.00,31.38
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,82,07-24-2019,01:00:00,0.00,26.5,1007.11,997.77,330,23.1,3.7,0.00,10.00,28.29
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,82,07-24-2019,01:00:00,0.01,28.4,1005.78,984.22,280,25.0,5.6,0.01,7.00,31.62
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,88,07-24-2019,01:00:00,0.00,28.0,1006.09,988.66,000,25.9,0.0,0.50,10.00,33.37
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,97,07-24-2019,01:00:00,2.70,24.5,1005.07,989.14,000,23.9,0.0,13.90,10.00,29.67
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,88,07-24-2019,01:00:00,0.01,28.1,1004.74,985.97,000,26.0,0.0,1.30,7.00,33.57
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,07-24-2019,01:00:00,0.00,24.4,1009.19,957.65,000,22.9,0.0,1.00,5.00,27.94
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,83,07-24-2019,01:00:00,0.00,28.5,1006.18,1002.24,000,25.4,0.0,0.00,7.00,32.39
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,94,07-24-2019,01:00:00,0.10,21.6,1007.56,912.45,220,20.5,13.0,0.50,3.00,24.12
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,97,07-24-2019,01:00:00,0.50,25.5,1005.70,989.66,000,25.1,0.0,22.50,6.00,31.79
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,74,07-24-2019,01:00:00,0.00,29.4,1006.79,1002.79,000,24.2,0.0,0.10,10.00,30.24
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,71,07-24-2019,01:00:00,0.00,28.4,1007.81,997.17,000,22.7,0.0,0.00,8.00,27.52
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,85,07-24-2019,01:00:00,0.00,28.4,1006.86,1004.94,000,25.6,0.0,0.00,8.00,32.75
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,71,07-24-2019,01:00:00,0.00,29.0,1006.25,985.55,250,23.2,7.4,0.00,10.00,28.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,96,07-24-2019,01:00:00,0.30,25.5,1005.47,987.74,000,24.8,0.0,2.50,10.00,31.25
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,99,07-24-2019,01:00:00,0.40,25.3,1005.58,989.35,000,25.1,0.0,2.60,10.00,31.96
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,96,07-24-2019,01:00:00,35.20,23.1,1007.74,993.52,000,22.5,0.0,49.50,8.00,27.24
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,98,07-24-2019,01:00:00,16.80,23.2,1008.60,993.56,000,22.9,0.0,45.60,5.00,27.91
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,95,07-24-2019,01:00:00,1.50,24.6,1007.61,992.81,130,23.7,11.1,1.50,6.00,29.33
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,62,07-24-2019,01:00:00,0.00,30.2,1006.89,1003.90,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",22.1,0.0,0.40,10.00,26.58
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,73,07-24-2019,01:00:00,0.00,29.8,1006.19,998.32,000,24.4,0.0,0.00,7.00,30.47
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,81,07-24-2019,01:00:00,0.00,27.0,1004.46,1003.35,160,23.5,5.6,0.00,8.00,28.94
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,84,07-24-2019,01:00:00,0.00,27.7,1005.49,990.87,000,24.8,0.0,0.00,8.00,31.36
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,74,07-24-2019,01:00:00,0.00,29.0,1006.95,1001.11,000,23.9,0.0,0.00,10.00,29.74
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,90,07-24-2019,01:00:00,0.00,27.3,1007.62,1006.82,240,25.6,7.4,0.00,8.00,32.81
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,87,07-24-2019,01:00:00,0.00,28.2,1006.71,1006.26,000,25.8,0.0,3.50,10.00,33.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,88,07-24-2019,01:00:00,0.20,26.5,1008.62,997.28,000,24.3,0.0,0.20,5.00,30.43
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,75,07-24-2019,01:00:00,0.00,28.6,1007.73,1006.72,180,23.7,5.6,0.00,10.00,29.24
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,80,07-24-2019,01:00:00,0.00,28.2,1007.42,1005.60,000,24.3,0.0,0.01,8.00,30.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,78,07-24-2019,01:00:00,0.00,27.9,1007.48,1006.72,000,23.7,0.0,0.00,8.00,29.28
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,90,07-24-2019,01:00:00,0.00,27.0,1007.79,1007.09,320,25.1,5.6,6.00,10.00,31.94
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,85,07-24-2019,01:00:00,0.00,27.1,1006.29,1005.59,000,24.4,0.0,0.40,7.00,30.48
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,71,07-24-2019,01:00:00,0.00,30.0,1006.54,985.60,260,24.3,3.7,0.01,8.00,30.31
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,80,07-24-2019,01:00:00,0.00,28.3,1006.44,989.81,000,24.4,0.0,0.00,6.00,30.59
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,84,07-24-2019,01:00:00,0.00,27.7,1007.31,990.92,180,24.8,3.7,0.60,6.00,31.36
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,75,07-24-2019,01:00:00,0.00,28.3,1006.74,984.99,000,23.5,0.0,0.00,10.00,28.95
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,74,07-24-2019,01:00:00,0.01,26.4,1007.76,964.40,220,21.3,16.7,0.01,12.00,25.29
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,75,07-24-2019,01:00:00,0.00,28.3,1006.78,986.32,210,23.5,5.6,0.20,10.00,28.95
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,82,07-24-2019,01:00:00,0.00,27.9,1008.11,987.33,220,24.4,11.1,0.00,7.00,30.64
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,65,07-24-2019,01:00:00,0.01,29.8,1007.67,1007.24,290,22.6,5.6,0.01,10.00,27.44
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,93,07-24-2019,01:00:00,0.00,25.5,1007.76,1006.33,000,24.3,0.0,2.00,6.00,30.44
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,89,07-24-2019,01:00:00,0.00,26.0,1007.78,1002.83,000,24.1,0.0,0.00,7.00,30.03
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,71,07-24-2019,01:00:00,0.00,29.0,1007.68,1004.41,000,23.2,0.0,0.00,10.00,28.37
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,94,07-24-2019,01:00:00,0.00,26.5,1007.77,1006.66,000,25.5,0.0,7.00,7.00,32.63
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,94,07-24-2019,01:00:00,0.00,27.7,1007.69,1007.39,000,26.7,0.0,20.70,10.00,35.06
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,96,07-24-2019,01:00:00,0.00,27.0,1007.14,1006.65,000,26.3,0.0,5.30,10.00,34.19
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,85,07-24-2019,01:00:00,0.00,28.7,1008.01,1006.61,290,25.9,9.3,21.80,10.00,33.37
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,84,07-24-2019,01:00:00,0.00,25.5,1009.94,1001.87,000,22.7,0.0,0.00,10.00,27.55
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,95,07-24-2019,01:00:00,0.01,27.6,1007.58,1007.30,000,26.8,0.0,15.50,10.00,35.14
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,81,07-24-2019,01:00:00,0.00,29.0,1007.57,1004.45,000,25.5,0.0,0.00,10.00,32.55
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,70,07-24-2019,01:00:00,0.00,30.2,1007.82,1000.94,270,24.2,11.1,0.00,10.00,30.14
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,82,07-24-2019,01:00:00,0.00,27.3,1007.78,1002.19,250,24.0,5.6,0.20,8.00,29.77
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,74,07-24-2019,01:00:00,0.00,28.5,1008.65,1007.39,210,23.4,7.4,0.01,10.00,28.78
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,70,07-24-2019,01:00:00,0.00,29.0,1007.39,1006.96,000,23.0,0.0,0.00,11.00,28.10
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,88,07-24-2019,01:00:00,0.00,25.5,1008.52,996.18,000,23.3,0.0,0.00,8.00,28.59
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,76,07-24-2019,01:00:00,0.00,28.6,1007.91,1007.20,000,24.0,0.0,0.00,10.00,29.79
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,82,07-24-2019,01:00:00,0.00,29.2,1007.67,1005.25,180,25.8,7.4,0.00,10.00,33.24
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,07-24-2019,01:00:00,0.00,30.5,1007.74,1007.23,260,26.3,7.4,0.00,10.00,34.22
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,86,07-24-2019,01:00:00,0.00,28.8,1007.92,1002.79,000,26.3,0.0,0.00,9.00,34.15
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,94,07-24-2019,01:00:00,1.80,28.3,1007.93,1007.52,000,27.2,0.0,1.90,6.00,36.04
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,98,07-24-2019,01:00:00,5.30,26.3,1008.36,1005.58,000,25.9,0.0,5.30,8.00,33.35
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,79,07-24-2019,01:00:00,0.00,28.0,1007.10,1006.32,000,23.9,0.0,0.00,10.00,29.74
48501,TRAD,ตราด,ตราด,11.76667,102.88333,94,07-24-2019,01:00:00,0.00,26.2,1008.46,1008.00,090,25.2,9.3,0.00,6.00,32.04
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,91,07-24-2019,01:00:00,0.00,25.7,1009.40,1008.72,000,24.1,0.0,0.00,8.00,30.01
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,90,07-24-2019,01:00:00,0.00,26.2,1008.88,1007.35,000,24.5,0.0,0.00,8.00,30.67
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,91,07-24-2019,01:00:00,0.00,25.5,1009.94,1009.02,000,23.9,0.0,0.00,10.00,29.64
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,83,07-24-2019,01:00:00,0.00,27.5,1009.77,1009.08,000,24.3,0.0,0.00,12.00,30.42
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,92,07-24-2019,01:00:00,0.00,24.2,1009.77,1008.97,000,22.9,0.0,0.00,9.00,27.85
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,93,07-24-2019,01:00:00,0.00,26.5,1007.93,1007.30,000,25.2,0.0,0.00,10.00,32.07
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,95,07-24-2019,01:00:00,0.00,25.6,1009.56,1009.15,000,24.7,0.0,0.00,10.00,31.17
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,07-24-2019,01:00:00,0.00,25.5,1011.50,1007.25,000,24.8,0.0,0.00,5.00,31.25
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,97,07-24-2019,01:00:00,0.00,24.7,1010.04,1008.41,000,24.1,0.0,0.00,10.00,30.03
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,95,07-24-2019,01:00:00,0.00,25.8,1010.07,1006.57,000,24.9,0.0,0.00,7.00,31.55
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,95,07-24-2019,01:00:00,0.00,25.0,1009.24,1007.87,000,24.1,0.0,0.00,8.00,30.05
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,90,07-24-2019,01:00:00,0.00,26.0,1009.88,1008.99,000,24.3,0.0,0.00,10.00,30.30
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,93,07-24-2019,01:00:00,0.00,25.1,1009.60,1006.01,000,23.9,0.0,0.00,10.00,29.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,90,07-24-2019,01:00:00,0.00,26.1,1009.96,1009.53,000,24.4,0.0,23.80,10.00,30.48
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,98,07-24-2019,01:00:00,0.00,24.7,1009.31,1008.31,000,24.4,0.0,18.20,10.00,30.56
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,90,07-24-2019,01:00:00,0.00,26.3,1010.00,1009.18,270,24.6,3.7,0.00,10.00,30.86
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,07-24-2019,01:00:00,0.00,25.0,1010.19,1008.36,000,24.3,0.0,6.80,10.00,30.32
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,82,07-24-2019,01:00:00,0.00,27.5,1009.83,1009.08,170,24.2,1.9,0.00,10.00,30.15
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,95,07-24-2019,01:00:00,0.00,25.7,1010.28,1006.26,000,24.8,0.0,0.40,8.00,31.36
48570,SATUN,สตูล,สตูล,6.65000,100.08333,89,07-24-2019,01:00:00,0.00,25.6,1010.64,1009.95,000,23.7,0.0,0.00,10.00,29.29
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,91,07-24-2019,01:00:00,0.00,26.5,1009.61,1008.49,000,24.9,0.0,1.00,10.00,31.52
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,94,07-24-2019,01:00:00,0.00,25.7,1010.43,1007.49,000,24.7,0.0,14.90,10.00,31.08
