WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,StationPressure,VaporPressure,LandVisibility,RelativeHumidity,WindSpeed,AirTemperature,Rainfall,Rainfall24Hr
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1008.60,07-26-2019,04:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.5,1005.56,30.81,7.00,93,0.0,25.7,0.50,1.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.85,07-26-2019,04:00:00,000,24.0,1000.82,29.77,5.00,96,0.0,24.7,1.50,22.20
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.31,07-26-2019,04:00:00,000,23.3,1008.20,28.60,6.00,86,0.0,25.8,0.00,1.90
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1008.80,07-26-2019,04:00:00,000,23.5,993.99,29.00,8.00,92,0.0,25.0,0.00,25.90
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.58,07-26-2019,04:00:00,290,18.2,873.83,20.85,.10,98,7.4,18.5,0.00,16.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.15,07-26-2019,04:00:00,000,24.2,1003.21,30.20,10.00,98,0.0,24.5,0.00,1.80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.09,07-26-2019,04:00:00,000,26.1,1008.28,33.75,8.00,98,0.0,26.5,0.01,0.01
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.72,07-26-2019,04:00:00,000,26.1,1008.28,33.91,10.00,95,0.0,27.0,0.00,0.60
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.86,07-26-2019,04:00:00,000,23.3,998.41,28.53,3.00,96,0.0,24.0,2.30,6.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.82,07-26-2019,04:00:00,000,23.8,1007.81,29.41,8.00,87,0.0,26.1,0.01,0.40
