WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,AirTemperature,StationPressure,Rainfall,LandVisibility,DewPoint,RelativeHumidity,Rainfall24Hr,WindSpeed,VaporPressure
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-06-2019,22:00:00,1009.22,24.0,997.78,18.80,3.00,23.3,96,80.10,0.0,28.53
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,08-06-2019,22:00:00,1008.57,26.7,1007.56,0.00,10.00,25.6,94,17.50,0.0,32.74
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,08-06-2019,22:00:00,1008.06,27.4,1006.24,0.00,7.00,23.9,81,5.70,0.0,29.69
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-06-2019,22:00:00,1008.48,26.9,1007.72,0.01,6.00,26.0,95,3.40,0.0,33.70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,08-06-2019,22:00:00,1008.09,28.4,1007.39,0.00,10.00,25.3,83,5.80,11.1,32.19
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,08-06-2019,22:00:00,1008.10,27.7,1007.40,0.00,7.00,25.0,85,10.00,0.0,31.64
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,280,08-06-2019,22:00:00,1007.13,29.0,986.12,0.00,10.00,23.9,74,0.00,3.7,29.74
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,08-06-2019,22:00:00,1006.46,27.0,989.75,0.10,7.00,24.8,88,0.30,0.0,31.38
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,08-06-2019,22:00:00,1006.74,26.8,990.30,0.20,4.00,25.2,91,0.90,0.0,32.10
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-06-2019,22:00:00,1007.06,28.8,985.33,0.00,10.00,22.5,69,0.01,0.0,27.20
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,08-06-2019,22:00:00,1007.82,26.1,964.42,0.00,10.00,22.2,79,3.20,11.1,26.80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,210,08-06-2019,22:00:00,1006.76,28.7,986.33,0.00,10.00,22.5,69,0.00,7.4,27.28
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,240,08-06-2019,22:00:00,1007.79,27.9,987.02,0.00,8.00,24.4,82,0.00,9.3,30.64
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,240,08-06-2019,22:00:00,1008.71,27.7,1008.28,0.01,9.00,25.7,89,7.50,13.0,33.05
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-06-2019,22:00:00,1007.69,27.3,1006.28,0.00,6.00,25.2,88,1.10,0.0,31.97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-06-2019,22:00:00,1008.43,26.8,1003.49,0.00,7.00,25.2,91,1.30,0.0,32.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,08-06-2019,22:00:00,1008.96,26.9,1005.66,1.20,7.00,24.9,89,2.60,0.0,31.46
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,08-06-2019,22:00:00,1008.42,28.0,1007.32,0.00,10.00,25.9,88,2.50,0.0,33.37
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,230,08-06-2019,22:00:00,1008.41,28.8,1008.11,0.01,8.00,25.8,84,1.20,5.6,33.28
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,08-06-2019,22:00:00,1008.73,28.5,1008.24,0.00,10.00,25.7,85,5.30,0.0,32.96
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,180,08-06-2019,22:00:00,1008.80,28.3,1007.39,0.00,10.00,25.5,85,1.20,7.4,32.55
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,08-06-2019,22:00:00,1010.39,26.0,1002.34,2.40,10.00,25.4,97,4.10,0.0,32.48
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-06-2019,22:00:00,1008.71,28.5,1008.43,0.00,10.00,26.4,88,12.90,0.0,34.40
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,08-06-2019,22:00:00,1008.05,28.5,1004.93,0.00,10.00,25.7,85,3.50,0.0,32.96
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,250,08-06-2019,22:00:00,1008.57,27.9,1001.64,0.00,10.00,24.9,84,11.70,9.3,31.47
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,08-06-2019,22:00:00,1008.64,27.1,1003.03,0.00,8.00,24.8,87,0.20,0.0,31.30
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,320,08-06-2019,22:00:00,1009.48,26.0,1008.21,0.01,6.00,24.6,92,17.20,11.1,30.84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,290,08-06-2019,22:00:00,1008.65,27.0,1008.21,1.20,11.00,25.6,92,6.60,5.6,32.77
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,190,08-06-2019,22:00:00,1008.97,25.4,996.62,0.00,8.00,24.8,97,17.20,3.7,31.33
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,08-06-2019,22:00:00,1008.90,26.5,1008.18,0.00,10.00,25.9,97,4.30,0.0,33.47
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,000,08-06-2019,22:00:00,1008.64,27.7,1006.21,0.00,9.00,25.3,87,2.70,0.0,32.20
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,250,08-06-2019,22:00:00,1009.01,28.5,1008.49,0.00,8.00,25.7,85,0.20,7.4,32.96
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,08-06-2019,22:00:00,1008.58,27.8,1003.43,0.00,10.00,25.4,87,0.40,0.0,32.40
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-06-2019,22:00:00,1009.18,26.7,1008.77,0.00,7.00,25.6,94,102.30,0.0,32.74
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,08-06-2019,22:00:00,1008.93,26.7,1006.16,0.00,8.00,25.0,90,67.40,0.0,31.63
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,08-06-2019,22:00:00,1009.19,26.2,1008.40,3.80,10.00,24.8,92,8.40,0.0,31.22
48501,TRAD,ตราด,ตราด,11.76667,102.88333,000,08-06-2019,22:00:00,1010.02,25.4,1009.56,10.40,5.00,25.0,97,142.60,0.0,31.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,08-06-2019,22:00:00,1009.38,27.6,1008.70,0.30,7.00,24.9,85,5.30,0.0,31.44
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,190,08-06-2019,22:00:00,1009.18,27.6,1007.65,0.00,6.00,24.4,83,2.60,1.9,30.61
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,220,08-06-2019,22:00:00,1009.82,27.6,1008.90,0.30,10.00,24.6,84,9.50,1.9,30.89
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,08-06-2019,22:00:00,1009.47,29.5,1008.78,0.00,12.00,23.6,70,0.00,0.0,29.05
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,08-06-2019,22:00:00,1009.89,26.0,1009.09,0.00,9.00,23.2,85,0.00,0.0,28.44
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,08-06-2019,22:00:00,1009.23,27.5,1008.60,0.00,10.00,24.0,81,0.00,0.0,29.88
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,210,08-06-2019,22:00:00,1009.46,27.7,1009.06,0.00,10.00,23.0,76,0.00,7.4,28.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,08-06-2019,22:00:00,1011.11,27.5,1006.89,0.00,6.00,23.3,78,0.00,0.0,28.53
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-06-2019,22:00:00,1010.14,24.1,1008.51,0.00,8.00,23.1,94,0.00,0.0,28.19
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-06-2019,22:00:00,1009.98,25.5,1006.47,0.00,10.00,23.3,88,0.00,0.0,28.59
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,08-06-2019,22:00:00,1009.55,28.6,1008.20,0.00,8.00,23.4,73,0.00,0.0,28.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,240,08-06-2019,22:00:00,1009.72,29.0,1008.84,0.00,10.00,23.2,71,0.00,9.3,28.37
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,08-06-2019,22:00:00,1009.58,26.0,1006.00,0.00,10.00,23.5,86,0.00,0.0,28.97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,08-06-2019,22:00:00,1009.61,29.1,1009.17,0.00,10.00,24.8,78,0.00,0.0,31.33
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,08-06-2019,22:00:00,1008.96,27.2,1007.97,0.00,10.00,23.2,79,0.00,0.0,28.51
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,260,08-06-2019,22:00:00,1009.94,26.2,1009.12,0.00,10.00,23.9,87,0.00,5.6,29.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-06-2019,22:00:00,1009.90,27.2,1008.08,0.00,10.00,24.9,87,0.00,0.0,31.49
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,000,08-06-2019,22:00:00,1009.93,29.1,1009.19,0.00,11.00,23.1,70,0.00,0.0,28.29
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,250,08-06-2019,22:00:00,1009.98,27.8,1005.98,0.00,10.00,24.0,80,0.00,7.4,29.90
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-06-2019,22:00:00,1010.01,27.7,1009.33,0.00,10.00,25.0,85,0.00,0.0,31.64
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,08-06-2019,22:00:00,1009.73,28.0,1008.62,0.00,10.00,23.6,77,0.00,0.0,29.19
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-06-2019,22:00:00,1010.02,28.6,1007.11,0.00,10.00,23.7,75,0.00,0.0,29.24
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,08-06-2019,22:00:00,1010.08,28.0,1005.96,0.00,7.00,23.6,77,0.00,0.0,29.19
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-06-2019,22:00:00,1009.70,28.5,1009.12,0.00,10.00,24.9,81,0.00,0.0,31.54
