WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,WindSpeed,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,LandVisibility,RelativeHumidity
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.8,07-11-2019,01:00:00,0.00,0.0,000,29.43,984.48,0.70,1007.31,26.4,10.00,86
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.9,07-11-2019,01:00:00,0.00,0.0,000,29.64,977.70,0.00,1007.69,25.5,8.00,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.4,07-11-2019,01:00:00,0.00,0.0,000,27.12,972.52,0.00,1008.15,25.4,6.00,84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.4,07-11-2019,01:00:00,0.00,0.0,000,28.84,977.40,0.00,1007.06,26.8,12.00,82
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.3,07-11-2019,01:00:00,0.00,0.0,000,30.29,1000.89,0.00,1008.21,27.0,9.00,85
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.6,07-11-2019,01:00:00,0.00,0.0,000,32.77,987.15,1.80,1007.03,27.0,10.00,92
48353,LOEI,เลย,เลย,17.45000,101.73333,23.0,07-11-2019,01:00:00,0.00,0.0,000,28.12,978.49,0.00,1007.01,28.0,12.00,74
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.7,07-11-2019,01:00:00,0.00,3.7,230,29.28,987.33,0.00,1007.43,27.9,12.00,78
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.2,07-11-2019,01:00:00,0.00,3.7,180,30.18,986.69,0.00,1008.44,26.8,10.00,86
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.7,07-11-2019,01:00:00,0.00,3.7,270,29.23,988.09,0.00,1007.56,27.3,10.00,81
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.0,07-11-2019,01:00:00,0.00,0.0,000,28.10,991.77,0.00,1008.59,26.1,12.00,83
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.7,07-11-2019,01:00:00,0.00,0.0,000,29.27,991.31,0.00,1008.76,26.6,10.00,84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.3,07-11-2019,01:00:00,0.00,0.0,000,28.53,980.29,0.00,1005.98,27.5,11.00,78
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.1,07-11-2019,01:00:00,0.00,3.7,260,28.28,1002.04,0.00,1007.81,27.8,10.00,76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.7,07-11-2019,01:00:00,0.00,0.0,000,31.11,1000.66,0.00,1006.82,28.0,12.00,82
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.6,07-11-2019,01:00:00,0.00,0.0,000,29.08,990.63,0.00,1007.09,26.5,8.00,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.3,07-11-2019,01:00:00,1.10,0.0,000,28.53,985.86,6.60,1008.42,24.0,10.00,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.6,07-11-2019,01:00:00,0.00,9.3,290,27.44,995.20,0.00,1009.63,26.9,6.00,77
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.1,07-11-2019,01:00:00,0.00,0.0,000,26.59,991.86,0.00,1008.24,27.3,8.00,73
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.9,07-11-2019,01:00:00,0.00,0.0,000,31.55,1003.08,0.01,1008.32,26.8,10.00,90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.8,07-11-2019,01:00:00,0.00,0.0,000,31.30,993.77,1.70,1006.96,27.1,10.00,87
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.0,07-11-2019,01:00:00,0.00,0.0,000,28.13,999.06,0.00,1008.40,26.7,11.00,80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.2,07-11-2019,01:00:00,0.00,3.7,240,28.39,986.44,0.00,1008.08,28.0,10.00,75
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.6,07-11-2019,01:00:00,0.00,0.0,000,29.19,990.14,0.00,1007.60,28.0,12.00,77
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.6,07-11-2019,01:00:00,0.00,0.0,000,29.08,991.75,0.00,1007.62,26.5,10.00,84
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.7,07-11-2019,01:00:00,0.00,0.0,000,29.22,988.30,1.80,1007.10,28.3,8.00,76
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.7,07-11-2019,01:00:00,0.00,0.0,000,25.92,957.84,0.60,1009.50,23.8,5.00,88
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.9,07-11-2019,01:00:00,0.00,0.0,000,33.41,1004.17,0.10,1008.12,27.6,7.00,91
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.7,07-11-2019,01:00:00,0.60,20.4,230,22.91,914.03,6.80,1009.85,20.0,.80,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.4,07-11-2019,01:00:00,0.00,0.0,000,32.46,992.15,1.60,1008.17,26.7,6.00,93
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,22.9,07-11-2019,01:00:00,0.00,1.9,260,27.88,1004.54,0.01,1008.58,27.0,10.00,78
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.2,07-11-2019,01:00:00,0.00,0.0,000,30.26,998.96,0.00,1009.67,26.7,7.00,86
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.2,07-11-2019,01:00:00,0.00,0.0,000,28.41,1007.08,0.00,1009.01,27.0,7.00,80
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.2,07-11-2019,01:00:00,0.00,3.7,220,28.49,987.61,0.00,1008.42,28.2,10.00,75
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.8,07-11-2019,01:00:00,0.00,0.0,000,33.19,990.21,14.40,1007.92,26.5,10.00,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.4,07-11-2019,01:00:00,0.00,0.0,000,34.36,991.53,8.00,1007.71,26.8,10.00,98
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.4,07-11-2019,01:00:00,0.00,0.0,000,28.78,994.54,7.00,1008.52,28.5,10.00,74
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.9,07-11-2019,01:00:00,0.00,0.0,000,31.52,994.21,47.60,1009.04,27.5,8.00,86
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.7,07-11-2019,01:00:00,0.00,3.7,220,29.36,994.23,0.00,1008.89,27.8,6.00,79
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.8,07-11-2019,01:00:00,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",29.44,1005.35,0.00,1008.36,27.7,10.00,79
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.6,07-11-2019,01:00:00,0.00,0.0,000,30.97,1000.23,0.60,1008.17,27.5,7.00,84
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.6,07-11-2019,01:00:00,0.00,0.0,000,29.08,1008.29,0.00,1009.41,26.5,6.00,84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.1,07-11-2019,01:00:00,0.00,0.0,000,30.02,994.09,0.00,1008.80,27.0,8.00,84
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},17.9,07-11-2019,01:00:00,0.00,7.4,140,20.51,874.55,0.60,1009.83,19.7,.10,89
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.8,07-11-2019,01:00:00,0.00,7.4,230,29.52,1003.13,0.00,1008.98,28.6,10.00,75
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.0,07-11-2019,01:00:00,0.00,0.0,000,35.69,1008.64,0.01,1009.44,28.0,8.00,94
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.6,07-11-2019,01:00:00,0.00,5.6,210,34.83,1008.49,0.00,1008.93,29.4,10.00,85
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.2,07-11-2019,01:00:00,0.00,0.0,000,28.37,999.34,0.30,1010.78,24.5,3.00,92
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.8,07-11-2019,01:00:00,0.00,0.0,000,29.52,1008.41,0.00,1009.42,27.6,10.00,80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.3,07-11-2019,01:00:00,0.00,3.7,140,28.67,1007.17,0.00,1009.00,27.0,7.00,80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.5,07-11-2019,01:00:00,0.00,0.0,000,28.92,1008.44,0.00,1009.20,28.0,5.00,77
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.8,07-11-2019,01:00:00,0.00,3.7,210,33.20,1008.76,0.00,1009.46,28.2,10.00,87
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.6,07-11-2019,01:00:00,0.00,0.0,000,30.97,1008.66,0.00,1009.37,27.5,7.00,84
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.6,07-11-2019,01:00:00,0.00,5.6,230,29.09,987.81,0.00,1008.94,27.8,10.00,78
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.6,07-11-2019,01:00:00,0.00,0.0,000,32.79,991.95,0.00,1008.73,26.3,6.00,96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.3,07-11-2019,01:00:00,0.00,1.9,180,28.67,992.78,0.00,1009.25,27.0,6.00,80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.4,07-11-2019,01:00:00,0.00,0.0,000,28.86,987.04,0.00,1008.92,27.1,10.00,81
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.7,07-11-2019,01:00:00,0.00,11.1,260,25.96,965.83,0.00,1009.23,26.5,8.00,75
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.2,07-11-2019,01:00:00,0.00,0.0,000,28.46,988.70,0.00,1009.35,26.3,10.00,83
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.4,07-11-2019,01:00:00,0.00,11.1,230,30.61,989.55,0.00,1010.39,27.6,7.00,83
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.4,07-11-2019,01:00:00,0.00,3.7,280,27.06,1009.19,0.00,1009.63,28.0,10.00,72
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.8,07-11-2019,01:00:00,0.00,0.0,000,31.27,1007.92,0.00,1009.34,26.8,6.00,89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,07-11-2019,01:00:00,0.00,0.0,000,32.20,1004.80,0.40,1009.77,26.0,7.00,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.6,07-11-2019,01:00:00,0.00,0.0,000,27.49,1006.55,0.00,1009.84,27.8,10.00,74
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.9,07-11-2019,01:00:00,0.00,0.0,000,29.70,1008.41,0.00,1009.52,26.4,10.00,86
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.1,07-11-2019,01:00:00,0.00,0.0,000,33.78,1009.04,0.00,1009.34,28.9,10.00,85
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.7,07-11-2019,01:00:00,0.00,0.0,000,31.06,1009.03,0.00,1009.52,28.4,10.00,80
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.6,07-11-2019,01:00:00,0.00,11.1,190,32.84,1008.16,0.00,1009.57,28.3,10.00,85
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.2,07-11-2019,01:00:00,0.00,0.0,000,30.28,1003.83,0.00,1011.90,25.7,10.00,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.4,07-11-2019,01:00:00,0.00,0.0,000,32.39,1008.92,0.00,1009.20,28.5,10.00,83
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.5,07-11-2019,01:00:00,0.00,5.6,310,32.55,1005.97,0.00,1009.09,29.0,10.00,81
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.9,07-11-2019,01:00:00,0.00,5.6,260,29.74,1002.42,0.00,1009.33,29.0,10.00,74
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.8,07-11-2019,01:00:00,0.00,0.0,000,31.38,1004.10,0.00,1009.72,27.0,7.00,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,22.6,07-11-2019,01:00:00,0.00,3.7,180,27.40,1009.00,0.00,1010.27,26.0,10.00,82
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.5,07-11-2019,01:00:00,0.00,3.7,300,27.21,1009.10,0.00,1009.53,27.5,11.00,74
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.3,07-11-2019,01:00:00,0.00,0.0,000,26.84,997.96,0.00,1010.36,24.5,10.00,87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.0,07-11-2019,01:00:00,0.00,0.0,000,28.16,1009.27,0.00,1009.99,27.3,10.00,78
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.7,07-11-2019,01:00:00,0.00,0.0,000,31.16,1007.42,0.00,1009.87,26.6,10.00,90
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.0,07-11-2019,01:00:00,0.00,11.1,240,33.58,1010.76,0.00,1011.28,29.5,10.00,81
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.7,07-11-2019,01:00:00,0.00,0.0,000,33.04,1004.44,0.00,1009.58,28.4,10.00,85
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.0,07-11-2019,01:00:00,0.00,0.0,000,31.74,1009.58,11.50,1009.99,26.9,7.00,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.5,07-11-2019,01:00:00,0.00,0.0,000,30.71,1007.45,16.90,1010.25,25.5,8.00,94
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.3,07-11-2019,01:00:00,0.00,0.0,000,28.67,1009.25,0.00,1010.04,27.0,10.00,80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.8,07-11-2019,01:00:00,0.00,5.6,080,29.52,1009.76,4.10,1010.22,25.0,7.00,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.5,07-11-2019,01:00:00,0.00,0.0,000,30.67,1010.20,0.00,1010.89,26.2,10.00,90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,07-11-2019,01:00:00,0.00,0.0,000,29.79,1009.38,0.00,1010.92,25.0,7.00,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.1,07-11-2019,01:00:00,0.00,3.7,070,30.03,1010.63,0.00,1011.55,26.0,10.00,89
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.9,07-11-2019,01:00:00,0.00,0.0,000,31.52,1010.45,0.00,1011.14,27.5,10.00,86
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.9,07-11-2019,01:00:00,0.00,0.0,000,29.57,1010.69,8.40,1011.49,24.3,7.00,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.3,07-11-2019,01:00:00,0.00,0.0,000,28.67,1009.87,0.00,1010.51,25.4,10.00,88
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,07-11-2019,01:00:00,0.00,0.0,000,30.90,1010.49,0.00,1010.90,25.6,10.00,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.1,07-11-2019,01:00:00,0.00,0.0,000,29.93,1008.79,37.70,1013.06,24.5,6.00,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.3,07-11-2019,01:00:00,0.00,0.0,000,30.32,1009.47,0.00,1011.10,25.0,10.00,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,07-11-2019,01:00:00,0.00,0.0,000,29.52,1007.64,0.40,1011.15,25.0,7.00,93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.8,07-11-2019,01:00:00,0.00,3.7,290,31.25,1009.86,4.50,1011.22,25.5,9.00,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.6,07-11-2019,01:00:00,0.00,0.0,000,30.84,1010.20,0.00,1011.09,26.0,10.00,92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.6,07-11-2019,01:00:00,0.00,0.0,000,30.84,1007.16,0.00,1010.75,26.0,10.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,07-11-2019,01:00:00,0.00,0.0,000,31.30,1010.16,0.00,1010.60,27.1,10.00,87
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.6,07-11-2019,01:00:00,0.00,0.0,000,32.77,1009.32,6.40,1010.32,27.0,10.00,92
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.8,07-11-2019,01:00:00,0.00,7.4,090,29.46,1009.83,0.00,1010.65,25.4,10.00,91
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.5,07-11-2019,01:00:00,0.00,0.0,000,30.76,1008.80,0.00,1010.63,26.1,10.00,91
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.5,07-11-2019,01:00:00,0.00,5.6,260,30.67,1009.55,0.00,1010.30,27.2,10.00,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.4,07-11-2019,01:00:00,0.00,0.0,000,30.52,1006.46,4.20,1010.49,25.4,9.00,94
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.8,07-11-2019,01:00:00,0.00,0.0,000,31.35,1009.60,0.00,1010.29,26.7,10.00,90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.2,07-11-2019,01:00:00,0.00,0.0,000,30.15,1008.89,4.40,1010.02,25.2,10.00,94
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.6,07-11-2019,01:00:00,0.00,0.0,000,30.87,1007.50,0.00,1010.45,25.3,10.00,96
