WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,RelativeHumidity,LandVisibility,AirTemperature,Rainfall,StationPressure,Rainfall24Hr,WindSpeed,VaporPressure,WindDirection
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.11,09-17-2019,04:00:00,22.9,98,2.00,23.2,0.00,977.08,0.00,0.0,27.91,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.99,09-17-2019,04:00:00,23.3,88,10.00,25.5,0.00,999.65,0.00,0.0,28.59,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.83,09-17-2019,04:00:00,25.5,88,10.00,27.8,0.00,987.01,0.00,3.7,32.68,330
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.59,09-17-2019,04:00:00,22.0,89,4.00,24.0,0.00,978.68,0.00,0.0,26.50,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.96,09-17-2019,04:00:00,24.8,90,10.00,26.5,0.00,986.77,0.00,0.0,31.24,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1008.00,09-17-2019,04:00:00,23.5,92,10.00,25.0,0.00,986.13,0.00,0.0,29.00,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.09,09-17-2019,04:00:00,24.8,93,10.00,26.0,0.00,987.55,0.00,0.0,31.38,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.47,09-17-2019,04:00:00,23.6,84,10.00,26.5,0.00,990.69,0.01,0.0,29.08,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.51,09-17-2019,04:00:00,23.7,94,10.00,24.7,0.00,989.97,0.00,0.0,29.25,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1004.03,09-17-2019,04:00:00,24.6,92,10.00,26.0,0.00,978.27,0.00,0.0,30.84,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.22,09-17-2019,04:00:00,26.9,99,10.00,27.0,0.00,1001.43,1.70,0.0,35.35,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.00,09-17-2019,04:00:00,25.6,96,8.00,26.3,0.00,1000.79,0.00,0.0,32.79,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1007.78,09-17-2019,04:00:00,22.3,87,10.00,24.5,0.00,991.20,0.00,0.0,26.84,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1006.44,09-17-2019,04:00:00,22.6,91,10.00,24.1,0.00,983.92,0.00,0.0,27.42,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,1007.80,09-17-2019,04:00:00,23.8,92,7.00,25.3,0.00,993.32,0.00,0.0,29.54,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.11,09-17-2019,04:00:00,23.2,87,7.00,25.6,0.00,990.65,0.00,0.0,28.51,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.08,09-17-2019,04:00:00,24.7,90,10.00,26.6,0.00,1001.85,0.00,0.0,31.16,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1005.81,09-17-2019,04:00:00,23.5,92,10.00,25.0,0.00,992.54,0.00,0.0,29.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1006.99,09-17-2019,04:00:00,23.9,89,10.00,25.9,0.00,997.64,0.00,0.0,29.58,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1006.93,09-17-2019,04:00:00,24.9,93,8.00,26.2,0.00,985.20,0.00,1.9,31.49,330
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1004.68,09-17-2019,04:00:00,23.3,88,10.00,25.5,0.00,987.13,0.00,3.7,28.59,330
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.42,09-17-2019,04:00:00,24.6,92,10.00,26.0,0.00,989.56,0.00,0.0,30.84,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.87,09-17-2019,04:00:00,24.7,94,7.00,25.7,0.00,986.93,0.00,0.0,31.08,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.40,09-17-2019,04:00:00,21.2,95,5.00,22.0,0.00,956.49,0.00,0.0,25.21,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.59,09-17-2019,04:00:00,25.0,90,6.00,26.7,0.00,1002.63,0.00,0.0,31.63,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.57,09-17-2019,04:00:00,18.1,96,6.00,18.8,0.00,913.41,0.00,5.6,20.82,300
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1006.77,09-17-2019,04:00:00,24.6,89,8.00,26.5,0.00,990.76,0.00,0.0,30.97,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.85,09-17-2019,04:00:00,25.5,92,10.00,26.9,0.00,1002.82,0.00,0.0,32.58,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1007.76,09-17-2019,04:00:00,23.0,91,7.00,24.5,0.00,996.99,0.00,0.0,28.11,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.74,09-17-2019,04:00:00,24.6,92,6.00,26.0,0.00,1004.81,0.00,0.0,30.84,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1006.67,09-17-2019,04:00:00,24.0,92,10.00,25.5,0.00,985.71,0.00,0.0,29.91,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1006.49,09-17-2019,04:00:00,25.0,91,10.00,26.6,0.00,988.81,0.00,7.4,31.71,070
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.28,09-17-2019,04:00:00,25.5,90,10.00,27.2,0.00,990.15,0.00,0.0,32.61,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1006.17,09-17-2019,04:00:00,24.9,87,10.00,27.3,0.00,992.17,0.00,0.0,31.41,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1006.93,09-17-2019,04:00:00,25.4,95,8.00,26.3,0.00,992.07,0.00,0.0,32.51,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1006.68,09-17-2019,04:00:00,25.6,95,10.00,26.5,0.00,992.00,0.00,3.7,32.91,290
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.47,09-17-2019,04:00:00,24.9,93,8.00,26.1,0.00,1003.45,0.60,0.0,31.57,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1006.92,09-17-2019,04:00:00,24.3,93,7.00,25.5,0.00,998.93,0.00,0.0,30.44,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.12,09-17-2019,04:00:00,24.5,93,7.00,25.8,0.00,1006.01,16.80,0.0,30.73,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1006.20,09-17-2019,04:00:00,25.2,94,8.00,26.2,0.00,991.49,16.00,0.0,32.04,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1010.07,09-17-2019,04:00:00,16.7,96,4.00,17.4,0.00,873.78,3.60,0.0,19.03,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1006.80,09-17-2019,04:00:00,24.2,95,8.00,25.1,0.00,1000.88,0.00,0.0,30.23,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.63,09-17-2019,04:00:00,25.4,97,8.00,26.0,0.00,1005.82,14.60,0.0,32.48,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.13,09-17-2019,04:00:00,23.7,79,10.00,27.8,0.00,1005.68,0.20,0.0,29.36,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1007.90,09-17-2019,04:00:00,24.2,94,4.00,25.2,0.00,996.52,1.20,0.0,30.15,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.82,09-17-2019,04:00:00,25.6,94,10.00,26.7,0.20,1005.81,0.30,0.0,32.74,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.88,09-17-2019,04:00:00,24.7,96,7.00,25.4,0.00,1005.04,44.60,0.0,31.06,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.60,09-17-2019,04:00:00,24.5,89,3.00,26.5,0.00,1005.84,0.00,3.7,30.70,230
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.68,09-17-2019,04:00:00,25.1,94,10.00,26.1,0.00,1005.98,24.00,0.0,31.85,000
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.28,09-17-2019,04:00:00,25.2,93,7.00,26.5,0.00,1005.58,0.00,0.0,32.07,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1006.74,09-17-2019,04:00:00,24.1,92,10.00,25.6,0.00,985.50,0.00,1.9,30.09,030
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1006.61,09-17-2019,04:00:00,24.2,90,7.00,25.9,0.00,989.84,0.00,0.0,30.11,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.31,09-17-2019,04:00:00,24.7,95,6.00,25.6,0.00,990.80,0.00,0.0,31.17,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1006.57,09-17-2019,04:00:00,23.5,91,10.00,25.1,0.00,984.59,0.00,0.0,28.92,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1007.53,09-17-2019,04:00:00,22.9,96,8.00,23.5,0.00,963.78,21.50,0.0,27.92,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1006.06,09-17-2019,04:00:00,23.2,90,10.00,25.0,0.00,985.39,0.00,0.0,28.48,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1008.16,09-17-2019,04:00:00,24.7,100,7.00,24.7,0.00,987.17,0.20,7.4,31.10,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.53,09-17-2019,04:00:00,24.6,91,9.00,26.2,1.70,1006.09,1.70,7.4,30.94,080
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1006.67,09-17-2019,04:00:00,25.2,98,7.00,25.5,0.00,1001.71,0.01,0.0,32.07,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.93,09-17-2019,04:00:00,23.7,86,12.00,26.3,0.00,1003.63,0.00,0.0,29.25,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.56,09-17-2019,04:00:00,25.7,98,10.00,26.1,0.00,1005.45,0.00,0.0,32.95,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.59,09-17-2019,04:00:00,26.0,94,6.00,27.0,0.00,1006.29,17.00,0.0,33.62,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.89,09-17-2019,04:00:00,25.9,98,10.00,26.2,0.00,1007.40,34.50,0.0,33.43,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1007.06,09-17-2019,04:00:00,25.3,93,10.00,26.6,0.00,1005.65,0.01,5.6,32.26,200
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.51,09-17-2019,04:00:00,24.6,96,10.00,25.3,0.00,1000.45,0.00,0.0,30.87,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.19,09-17-2019,04:00:00,25.3,96,10.00,26.0,0.00,1005.90,0.20,0.0,32.20,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.36,09-17-2019,04:00:00,25.4,90,10.00,27.3,0.00,1003.23,0.00,0.0,32.53,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.82,09-17-2019,04:00:00,23.9,81,10.00,27.5,0.00,999.90,0.00,7.4,29.60,210
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.92,09-17-2019,04:00:00,25.1,92,8.00,26.5,0.00,1001.31,0.20,0.0,31.79,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.93,09-17-2019,04:00:00,24.6,92,6.00,26.0,0.01,1006.66,0.01,3.7,30.84,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.56,09-17-2019,04:00:00,24.3,87,11.00,26.6,0.00,1006.13,0.00,0.0,30.34,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.05,09-17-2019,04:00:00,22.7,91,10.00,24.3,0.00,994.68,0.00,0.0,27.51,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.89,09-17-2019,04:00:00,23.3,85,10.00,26.1,0.00,1006.18,0.00,0.0,28.62,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.76,09-17-2019,04:00:00,24.0,86,10.00,26.5,0.00,1004.32,0.01,0.0,29.89,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.76,09-17-2019,04:00:00,24.4,81,10.00,28.0,0.00,1006.24,0.30,9.3,30.56,270
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.56,09-17-2019,04:00:00,25.0,91,10.00,26.6,0.00,1001.40,16.90,0.0,31.71,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.80,09-17-2019,04:00:00,25.6,97,7.00,26.2,4.80,1006.39,5.80,0.0,32.87,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.79,09-17-2019,04:00:00,25.2,98,8.00,25.5,0.20,1004.01,13.10,0.0,32.07,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1004.32,09-17-2019,04:00:00,22.1,78,10.00,26.3,0.00,1003.54,22.80,0.0,26.64,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.34,09-17-2019,04:00:00,24.2,98,5.00,24.5,27.60,1006.88,72.50,3.7,30.20,090
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.80,09-17-2019,04:00:00,23.9,95,7.00,24.8,2.70,1007.11,4.80,0.0,29.69,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.05,09-17-2019,04:00:00,23.5,94,7.00,24.5,0.60,1006.50,3.00,0.0,28.89,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.27,09-17-2019,04:00:00,23.3,96,7.00,24.0,9.30,1007.34,62.10,3.7,28.53,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.99,09-17-2019,04:00:00,23.1,84,10.00,26.0,0.00,1007.30,1.40,0.0,28.18,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.27,09-17-2019,04:00:00,23.9,97,7.00,24.3,0.00,1007.46,1.30,0.0,29.57,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.68,09-17-2019,04:00:00,22.4,87,10.00,24.8,0.00,1007.04,0.20,5.6,27.10,180
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.85,09-17-2019,04:00:00,23.3,97,10.00,23.9,0.00,1007.44,3.20,0.0,28.61,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.84,09-17-2019,04:00:00,23.1,95,5.00,24.0,0.00,1005.57,0.60,0.0,28.27,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.35,09-17-2019,04:00:00,23.3,98,10.00,23.6,0.00,1006.72,5.80,0.0,28.60,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.68,09-17-2019,04:00:00,22.8,96,10.00,23.5,0.00,1005.16,15.70,0.0,27.66,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.43,09-17-2019,04:00:00,23.7,93,7.00,24.9,0.00,1007.06,0.00,0.0,29.34,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.32,09-17-2019,04:00:00,24.2,86,10.00,26.8,0.00,1007.43,10.60,13.0,30.18,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.65,09-17-2019,04:00:00,23.6,97,10.00,24.0,0.40,1005.05,6.80,0.0,29.04,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.54,09-17-2019,04:00:00,24.0,91,10.00,25.6,2.20,1007.10,3.80,0.0,29.82,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.07,09-17-2019,04:00:00,25.1,97,9.00,25.5,0.00,1007.07,5.30,7.4,31.79,240
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.35,09-17-2019,04:00:00,24.4,80,10.00,28.1,0.00,1006.54,0.00,18.5,30.48,290
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.17,09-17-2019,04:00:00,24.0,96,10.00,24.7,0.00,1006.34,0.90,0.0,29.77,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.30,09-17-2019,04:00:00,23.2,87,10.00,25.6,0.00,1007.55,0.00,3.7,28.51,180
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.69,09-17-2019,04:00:00,22.9,97,10.00,23.4,0.00,1004.64,0.20,0.0,28.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.50,09-17-2019,04:00:00,23.7,95,10.00,24.6,0.00,1007.81,30.90,0.0,29.33,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.78,09-17-2019,04:00:00,23.9,92,10.00,25.2,0.00,1007.66,0.00,0.0,29.62,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.87,09-17-2019,04:00:00,24.3,96,10.00,25.0,0.00,1005.93,5.50,0.0,30.32,000
