WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,AirTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,DewPoint,WindSpeed
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-19-2019,16:00:00,972.98,39.3,0.00,0.00,34,999.17,24.35,10.00,20.7,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-19-2019,16:00:00,967.05,39.0,0.00,0.00,35,999.00,24.31,15.00,20.6,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,240,07-19-2019,16:00:00,981.57,38.3,0.00,0.00,40,999.24,26.91,15.00,22.3,9.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,150,07-19-2019,16:00:00,977.72,38.3,0.00,0.00,41,999.52,27.80,10.00,22.8,3.7
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-19-2019,16:00:00,970.79,36.9,0.00,0.00,49,999.45,30.44,12.00,24.3,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-19-2019,16:00:00,965.34,39.5,0.00,0.00,35,999.09,25.34,7.00,21.3,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-19-2019,16:00:00,970.63,36.8,0.00,0.50,44,999.13,27.56,17.00,22.7,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-19-2019,16:00:00,993.29,38.0,0.00,0.00,41,1000.28,27.16,12.00,22.4,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,210,07-19-2019,16:00:00,981.13,37.6,0.00,0.00,52,1000.22,33.89,18.00,26.1,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,170,07-19-2019,16:00:00,972.23,36.5,0.00,0.00,45,999.78,27.23,17.00,22.5,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,200,07-19-2019,16:00:00,980.92,37.6,0.00,0.00,50,1000.26,32.32,15.00,25.3,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,07-19-2019,16:00:00,980.14,34.0,0.00,0.00,67,1001.24,35.60,15.00,27.0,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,290,07-19-2019,16:00:00,981.89,35.5,0.00,0.00,57,1000.72,32.82,14.00,25.6,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,270,07-19-2019,16:00:00,985.35,35.2,0.00,0.00,58,1001.56,32.76,12.00,25.6,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,260,07-19-2019,16:00:00,984.84,36.5,0.00,0.00,58,1001.62,35.43,12.00,26.9,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,200,07-19-2019,16:00:00,975.32,37.2,0.00,0.00,45,1000.07,28.70,12.00,23.4,3.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,120,07-19-2019,16:00:00,995.11,37.5,0.00,0.00,49,1000.67,31.47,10.00,24.9,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-19-2019,16:00:00,993.49,37.8,0.00,0.00,48,999.42,31.23,12.00,24.8,0.0
