WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,WindSpeed,LandVisibility,Rainfall,DewPoint,StationPressure,AirTemperature,MinimumTemperature,VaporPressure
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,98,09-05-2019,07:00:00,0.00,1006.23,000,0.0,4.00,0.00,23.7,970.50,24.0,23.8,29.30
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,98,09-05-2019,07:00:00,2.10,1006.07,140,5.6,12.00,2.00,22.9,976.08,23.2,23.2,27.91
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,92,09-05-2019,07:00:00,0.01,1006.40,000,0.0,10.00,0.00,24.0,999.07,25.5,25.4,29.91
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,98,09-05-2019,07:00:00,70.40,1005.23,230,3.7,5.00,1.00,24.4,985.23,24.7,24.2,30.56
48353,LOEI,เลย,เลย,17.45000,101.73333,95,09-05-2019,07:00:00,2.70,1006.28,000,0.0,10.00,1.80,23.1,977.41,24.0,23.8,28.27
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,96,09-05-2019,07:00:00,13.60,1005.98,160,3.7,7.00,4.10,23.3,985.64,24.0,23.5,28.53
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,96,09-05-2019,07:00:00,31.30,1005.68,280,3.7,5.00,7.10,23.3,983.79,24.0,23.7,28.53
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,97,09-05-2019,07:00:00,27.20,1005.24,000,0.0,6.00,7.10,23.6,985.61,24.0,23.5,29.04
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,97,09-05-2019,07:00:00,52.50,1005.49,270,1.9,7.00,4.30,23.5,988.62,24.1,23.8,28.96
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,97,09-05-2019,07:00:00,65.30,1005.72,000,0.0,7.00,4.20,23.8,988.19,24.2,22.9,29.39
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,100,09-05-2019,07:00:00,37.10,1005.60,280,5.6,4.00,4.70,24.0,979.62,24.0,22.8,29.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,86,09-05-2019,07:00:00,0.00,1006.24,000,0.0,10.00,0.00,24.4,1000.46,27.0,25.3,30.56
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,94,09-05-2019,07:00:00,0.00,1006.32,100,5.6,10.00,0.00,25.4,1000.12,26.4,24.5,32.43
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,88,09-05-2019,07:00:00,0.00,1007.19,000,0.0,10.00,0.00,23.3,990.67,25.5,25.2,28.59
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,96,09-05-2019,07:00:00,32.50,1006.47,000,0.0,6.00,6.50,22.8,983.91,23.5,22.5,27.66
48376,TAK,ตาก,ตาก,16.87833,99.14333,76,09-05-2019,07:00:00,0.00,1006.76,280,9.3,10.00,0.00,22.2,992.37,26.8,26.0,26.74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,84,09-05-2019,07:00:00,0.30,1006.09,000,0.0,7.00,0.00,23.1,989.67,26.0,25.0,28.18
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,95,09-05-2019,07:00:00,0.80,1006.82,000,0.0,10.00,0.00,25.2,1001.58,26.1,25.1,32.12
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,92,09-05-2019,07:00:00,0.00,1005.40,000,0.0,10.00,0.00,23.5,992.14,25.0,24.5,29.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,96,09-05-2019,07:00:00,0.01,1006.11,000,0.0,10.00,0.00,24.7,996.75,25.4,24.8,31.06
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,99,09-05-2019,07:00:00,13.40,1006.61,000,0.0,7.00,4.80,24.4,984.76,24.6,23.7,30.65
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,96,09-05-2019,07:00:00,20.80,1004.85,000,0.0,8.00,4.40,23.8,987.24,24.5,24.0,29.41
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,97,09-05-2019,07:00:00,33.00,1004.83,000,0.0,10.00,0.30,23.7,988.88,24.1,24.0,29.22
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,96,09-05-2019,07:00:00,12.40,1005.80,000,0.0,8.00,8.60,23.8,986.78,24.5,24.0,29.41
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,95,09-05-2019,07:00:00,7.20,1009.20,000,0.0,6.00,2.50,21.7,957.34,22.5,22.0,26.01
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,92,09-05-2019,07:00:00,0.00,1006.41,100,3.7,8.00,0.00,25.1,1002.45,26.5,25.5,31.79
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,09-05-2019,07:00:00,11.00,1007.70,240,13.0,.50,6.50,20.0,912.18,20.3,19.8,23.34
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,98,09-05-2019,07:00:00,31.10,1006.59,000,0.0,6.00,7.60,23.7,990.45,24.0,22.9,29.30
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,87,09-05-2019,07:00:00,1.80,1006.24,000,0.0,10.00,0.00,24.0,1002.20,26.3,25.6,29.78
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,90,09-05-2019,07:00:00,0.00,1007.65,000,0.0,8.00,0.00,23.4,996.90,25.2,24.7,28.83
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,88,09-05-2019,07:00:00,0.10,1006.69,180,3.7,9.00,0.00,23.3,1004.75,25.5,25.3,28.59
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,86,09-05-2019,07:00:00,0.00,1006.79,000,0.0,10.00,0.00,22.5,985.80,25.0,23.5,27.19
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,96,09-05-2019,07:00:00,42.40,1006.32,260,5.6,8.00,9.30,23.1,988.48,23.7,23.2,28.26
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,99,09-05-2019,07:00:00,26.60,1006.00,000,0.0,8.00,8.50,23.5,989.68,23.7,22.8,29.03
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,98,09-05-2019,07:00:00,58.30,1006.17,000,0.0,6.00,7.30,24.2,992.03,24.5,24.3,30.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,97,09-05-2019,07:00:00,53.90,1006.72,000,0.0,6.00,3.50,24.1,991.77,24.5,23.7,29.93
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,98,09-05-2019,07:00:00,53.90,1006.94,240,3.7,4.00,0.20,24.5,992.16,24.8,24.2,30.75
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,92,09-05-2019,07:00:00,8.50,1006.38,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,0.00,24.4,1003.35,25.9,24.8,30.65
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,84,09-05-2019,07:00:00,0.00,1006.78,000,0.0,10.00,0.00,23.2,998.81,26.1,25.4,28.36
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,85,09-05-2019,07:00:00,0.01,1007.32,210,7.4,7.00,0.01,23.4,1006.21,26.2,25.2,28.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,83,09-05-2019,07:00:00,9.80,1006.21,000,0.0,8.00,0.00,21.5,991.42,24.5,23.5,25.60
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,100,09-05-2019,07:00:00,4.40,1009.24,290,16.7,.10,0.20,18.5,873.53,18.5,18.0,21.28
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,89,09-05-2019,07:00:00,0.20,1007.31,170,3.7,10.00,0.00,23.8,1001.41,25.7,24.9,29.48
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,85,09-05-2019,07:00:00,0.10,1007.42,000,0.0,8.00,0.10,23.9,1006.62,26.7,25.1,29.72
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,78,09-05-2019,07:00:00,0.20,1007.30,230,7.4,10.00,0.00,23.7,1006.86,27.9,27.4,29.28
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,97,09-05-2019,07:00:00,25.80,1008.33,000,0.0,3.00,0.20,23.4,996.90,23.8,23.4,28.69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,88,09-05-2019,07:00:00,0.01,1007.46,000,0.0,10.00,0.00,24.0,1006.44,26.2,25.5,29.86
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,85,09-05-2019,07:00:00,0.00,1007.13,000,0.0,8.00,0.00,23.6,1005.30,26.2,25.8,29.07
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,96,09-05-2019,07:00:00,1.20,1007.31,000,0.0,8.00,0.60,24.3,1006.54,25.0,24.6,30.32
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,83,09-05-2019,07:00:00,0.20,1007.91,250,9.3,10.00,0.00,23.6,1007.20,26.8,25.7,29.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,90,09-05-2019,07:00:00,0.90,1007.63,000,0.0,7.00,0.00,24.5,1006.93,26.2,25.7,30.67
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,82,09-05-2019,07:00:00,0.00,1007.00,270,3.7,10.00,0.00,22.4,985.76,25.7,23.2,27.13
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,97,09-05-2019,07:00:00,3.80,1006.82,000,0.0,6.00,0.00,24.0,989.97,24.6,23.5,29.85
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,96,09-05-2019,07:00:00,2.90,1007.10,000,0.0,5.00,0.10,23.8,990.54,24.5,23.5,29.41
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,88,09-05-2019,07:00:00,0.40,1007.06,000,0.0,10.00,0.00,22.9,985.06,25.1,24.5,27.88
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,83,09-05-2019,07:00:00,0.20,1007.47,240,18.5,10.00,0.00,21.4,963.88,24.6,24.0,25.51
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,88,09-05-2019,07:00:00,0.20,1006.83,260,5.6,8.00,0.01,23.1,986.15,25.2,25.0,28.31
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-05-2019,07:00:00,0.00,1008.48,270,3.7,7.00,0.00,24.4,987.45,24.4,23.9,30.54
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,80,09-05-2019,07:00:00,0.10,1007.75,210,7.4,10.00,0.00,23.6,1007.32,27.4,26.3,29.15
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,09-05-2019,07:00:00,0.30,1007.13,000,0.0,6.00,0.00,24.6,1005.70,25.3,25.1,30.87
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,98,09-05-2019,07:00:00,2.00,1008.12,000,0.0,6.00,0.50,24.8,1003.15,25.1,25.0,31.31
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,85,09-05-2019,07:00:00,0.00,1007.67,000,0.0,12.00,0.00,23.3,1004.37,26.1,23.9,28.62
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,96,09-05-2019,07:00:00,0.60,1007.49,000,0.0,10.00,0.30,24.3,1006.38,25.0,24.8,30.32
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,78,09-05-2019,07:00:00,0.20,1007.68,000,0.0,10.00,0.00,23.4,1007.38,27.5,27.0,28.80
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,84,09-05-2019,07:00:00,0.00,1007.30,000,0.0,10.00,0.00,24.1,1006.61,27.0,26.5,30.02
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,84,09-05-2019,07:00:00,0.30,1007.44,180,5.6,10.00,0.00,23.7,1006.95,26.6,26.5,29.27
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,75,09-05-2019,07:00:00,0.01,1007.72,240,11.1,10.00,0.01,22.6,1006.31,27.3,26.8,27.37
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,78,09-05-2019,07:00:00,0.00,1007.01,210,16.7,10.00,0.00,24.2,1005.34,28.5,27.5,30.15
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,96,09-05-2019,07:00:00,0.70,1009.46,000,0.0,10.00,0.00,24.3,1001.39,25.0,24.8,30.32
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,82,09-05-2019,07:00:00,0.00,1006.89,000,0.0,10.00,0.00,24.0,1006.61,27.3,26.6,29.77
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,79,09-05-2019,07:00:00,0.70,1007.63,310,7.4,10.00,0.00,23.7,1004.51,27.8,26.5,29.36
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,89,09-05-2019,07:00:00,4.80,1007.57,210,7.4,10.00,1.20,23.9,1000.60,25.8,25.4,29.66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,94,09-05-2019,07:00:00,5.90,1007.77,000,0.0,10.00,0.20,24.3,1002.14,25.3,24.5,30.34
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,79,09-05-2019,07:00:00,1.60,1008.47,240,16.7,10.00,0.00,22.8,999.14,26.8,25.0,27.78
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,96,09-05-2019,07:00:00,0.01,1008.15,000,0.0,12.00,0.00,24.8,1006.88,25.5,25.1,31.25
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,86,09-05-2019,07:00:00,2.80,1007.74,000,0.0,11.00,0.00,24.2,1007.31,26.8,25.3,30.18
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,93,09-05-2019,07:00:00,1.90,1007.81,000,0.0,10.00,0.00,23.3,995.44,24.5,24.2,28.63
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,85,09-05-2019,07:00:00,0.10,1007.82,300,5.6,10.00,0.00,23.5,1007.10,26.3,25.8,28.98
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,89,09-05-2019,07:00:00,6.20,1007.88,000,0.0,9.00,2.30,24.4,1005.43,26.3,25.6,30.59
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,77,09-05-2019,07:00:00,2.10,1008.25,250,9.3,8.00,0.00,23.6,1007.73,28.0,27.5,29.19
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,86,09-05-2019,07:00:00,1.80,1007.94,260,3.7,9.00,0.00,23.7,1002.77,26.3,25.8,29.25
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,93,09-05-2019,07:00:00,18.80,1008.36,000,0.0,7.00,0.00,25.3,1007.95,26.6,25.5,32.26
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,92,09-05-2019,07:00:00,62.20,1008.10,000,0.0,8.00,0.00,24.6,1005.32,26.0,24.8,30.84
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,84,09-05-2019,07:00:00,3.80,1008.95,000,0.0,10.00,1.30,22.4,1008.16,25.2,24.5,27.03
48501,TRAD,ตราด,ตราด,11.76667,102.88333,92,09-05-2019,07:00:00,84.40,1008.30,350,9.3,6.00,12.30,25.1,1007.84,26.5,25.2,31.79
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,96,09-05-2019,07:00:00,67.60,1010.07,280,5.6,6.00,17.80,22.8,1009.37,23.5,23.2,27.66
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,96,09-05-2019,07:00:00,56.40,1010.67,080,1.9,6.00,27.20,23.0,1009.12,23.6,23.6,28.09
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,90,09-05-2019,07:00:00,112.60,1011.98,360,5.6,6.00,49.00,21.9,1011.04,23.6,23.4,26.33
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,84,09-05-2019,07:00:00,0.30,1010.26,290,5.6,10.00,0.01,24.4,1009.57,27.3,26.3,30.59
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,98,09-05-2019,07:00:00,0.90,1010.97,000,0.0,6.00,0.00,24.4,1010.16,24.7,24.5,30.56
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,97,09-05-2019,07:00:00,0.30,1009.80,000,0.0,8.00,0.00,24.2,1009.16,24.8,24.3,30.22
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,09-05-2019,07:00:00,1.00,1009.83,000,0.0,10.00,0.00,25.3,1009.42,25.7,24.5,32.18
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,09-05-2019,07:00:00,16.00,1012.23,000,0.0,5.00,0.00,24.4,1007.97,24.8,23.8,30.48
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,09-05-2019,07:00:00,0.00,1010.77,000,0.0,10.00,0.00,24.1,1009.14,24.4,24.0,30.02
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,98,09-05-2019,07:00:00,0.00,1010.72,000,0.0,8.00,0.00,24.3,1007.21,24.6,24.5,30.38
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,98,09-05-2019,07:00:00,0.00,1009.84,000,0.0,8.00,0.00,24.9,1008.48,25.2,25.0,31.49
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,94,09-05-2019,07:00:00,0.00,1009.51,000,0.0,10.00,0.00,25.2,1008.62,26.2,26.0,32.04
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,97,09-05-2019,07:00:00,0.00,1010.42,000,0.0,10.00,0.00,24.3,1006.83,24.9,24.2,30.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,94,09-05-2019,07:00:00,0.00,1010.16,000,0.0,10.00,0.00,25.1,1009.73,26.1,25.6,31.85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,93,09-05-2019,07:00:00,0.00,1009.83,000,0.0,10.00,0.00,25.1,1008.83,26.4,24.0,31.88
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,94,09-05-2019,07:00:00,0.00,1009.94,090,5.6,10.00,0.00,24.7,1009.12,25.7,25.0,31.08
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,09-05-2019,07:00:00,0.00,1010.19,000,0.0,6.00,0.00,24.3,1008.36,25.0,24.6,30.32
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,84,09-05-2019,07:00:00,0.00,1009.99,240,5.6,6.00,0.00,24.8,1009.24,27.7,26.5,31.36
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,96,09-05-2019,07:00:00,0.00,1010.38,000,0.0,2.00,0.00,25.0,1006.35,25.7,23.7,31.63
48570,SATUN,สตูล,สตูล,6.65000,100.08333,95,09-05-2019,07:00:00,0.00,1010.18,000,0.0,7.00,0.00,25.2,1009.49,26.1,25.7,32.12
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,94,09-05-2019,07:00:00,0.00,1010.41,000,0.0,10.00,0.00,25.2,1009.29,26.2,25.1,32.04
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,97,09-05-2019,07:00:00,0.00,1010.05,000,0.0,8.00,0.00,24.3,1007.10,24.9,23.0,30.40
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,97,09-05-2019,07:00:00,0.00,1009.71,000,0.0,7.00,0.00,24.7,1009.02,25.1,24.2,31.04
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,91,09-05-2019,07:00:00,0.00,1010.58,270,5.6,6.00,0.00,22.9,1006.41,24.5,24.0,27.86
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,91,09-05-2019,07:00:00,0.00,1009.84,000,0.0,9.00,0.00,22.9,1009.24,24.5,.0,27.86
