WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,WindSpeed,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,WindDirection,RelativeHumidity,Rainfall,LandVisibility
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1014.41,10-15-2019,10:00:00,26.7,3.7,32.0,35.09,1008.67,0.00,080,74,0.00,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1014.73,10-15-2019,10:00:00,23.8,5.6,31.0,29.48,1008.57,0.00,030,66,0.00,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1015.25,10-15-2019,10:00:00,21.2,0.0,31.3,25.14,998.91,0.00,000,55,0.00,12.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1012.88,10-15-2019,10:00:00,21.3,18.5,29.5,25.30,990.62,0.00,060,61,0.00,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1015.56,10-15-2019,10:00:00,23.6,0.0,28.4,29.14,1001.12,0.00,000,75,0.00,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1014.75,10-15-2019,10:00:00,24.3,0.0,28.5,30.42,998.33,0.00,000,78,0.00,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1014.46,10-15-2019,10:00:00,21.7,5.6,31.2,26.02,1009.27,0.00,340,57,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1012.62,10-15-2019,10:00:00,21.8,7.4,31.7,26.15,999.55,0.00,020,56,0.00,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1014.67,10-15-2019,10:00:00,23.5,3.7,30.7,28.89,1005.40,0.00,020,65,0.00,13.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1014.48,10-15-2019,10:00:00,21.7,13.0,31.0,25.92,992.92,0.00,060,58,0.00,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1013.85,10-15-2019,10:00:00,22.2,9.3,31.0,26.73,996.46,0.00,060,60,0.00,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1013.60,10-15-2019,10:00:00,23.0,11.1,31.0,28.09,997.87,0.00,050,63,0.00,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1013.58,10-15-2019,10:00:00,22.3,5.6,30.7,26.97,994.80,0.00,030,61,0.00,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1015.78,10-15-2019,10:00:00,20.5,0.0,24.0,24.06,963.83,0.00,000,81,0.00,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1013.87,10-15-2019,10:00:00,23.3,7.4,32.0,28.66,1009.95,0.00,320,60,0.00,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1015.43,10-15-2019,10:00:00,21.0,9.3,21.9,24.82,919.67,0.00,040,95,0.00,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1013.93,10-15-2019,10:00:00,22.4,5.6,29.0,27.03,997.95,0.00,010,68,0.00,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1014.34,10-15-2019,10:00:00,23.8,7.4,31.6,29.55,1010.34,0.00,060,64,0.00,6.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1014.95,10-15-2019,10:00:00,21.4,13.0,30.8,25.55,1004.33,0.00,040,58,0.00,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1014.11,10-15-2019,10:00:00,21.9,5.6,31.6,26.23,1012.19,0.00,060,56,0.00,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1014.15,10-15-2019,10:00:00,21.5,11.1,31.0,25.65,993.42,0.01,040,57,0.00,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1013.62,10-15-2019,10:00:00,22.6,13.0,30.2,27.39,996.03,1.00,040,64,0.00,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1013.54,10-15-2019,10:00:00,22.7,14.8,31.0,27.54,997.49,0.00,080,61,0.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1013.48,10-15-2019,10:00:00,21.9,9.3,31.0,26.19,999.55,0.00,080,58,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1013.79,10-15-2019,10:00:00,23.2,7.4,31.5,28.51,999.08,0.00,040,62,0.00,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1014.36,10-15-2019,10:00:00,23.4,7.4,30.1,28.83,999.73,0.00,050,68,0.00,12.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1013.53,10-15-2019,10:00:00,21.6,0.0,31.5,25.78,1010.54,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",56,0.00,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1013.78,10-15-2019,10:00:00,19.9,14.8,32.0,23.25,1005.91,0.00,030,49,0.00,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1013.89,10-15-2019,10:00:00,23.3,18.5,30.8,28.53,1012.79,6.10,060,64,0.00,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1010.35,10-15-2019,10:00:00,26.0,3.7,28.0,33.66,995.66,0.00,100,89,0.00,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1012.59,10-15-2019,10:00:00,18.4,7.4,22.7,21.15,878.19,0.00,030,77,0.00,9.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1014.15,10-15-2019,10:00:00,22.5,13.0,30.7,27.25,1008.30,0.00,070,62,0.00,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1013.51,10-15-2019,10:00:00,24.0,11.1,30.5,29.89,1012.71,3.60,050,68,0.00,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1014.02,10-15-2019,10:00:00,22.2,16.7,31.0,26.73,1013.58,0.00,120,60,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1014.13,10-15-2019,10:00:00,24.1,0.0,27.0,30.02,1002.75,12.00,000,84,0.00,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1013.75,10-15-2019,10:00:00,23.8,9.3,31.0,29.48,1012.75,0.00,020,66,0.00,8.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1013.60,10-15-2019,10:00:00,22.4,9.3,31.3,27.02,1011.79,0.00,050,59,0.00,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1013.65,10-15-2019,10:00:00,24.5,0.0,30.8,30.78,1012.89,12.20,000,69,0.00,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1013.19,10-15-2019,10:00:00,22.6,20.4,30.5,27.41,1012.49,0.00,070,63,0.00,12.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1012.65,10-15-2019,10:00:00,20.8,11.1,32.1,24.48,1011.96,0.00,080,51,0.00,9.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1014.39,10-15-2019,10:00:00,21.8,13.0,28.8,26.14,993.21,0.00,080,66,0.00,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1013.56,10-15-2019,10:00:00,22.3,7.4,29.5,26.89,996.88,0.00,040,65,0.00,9.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1013.89,10-15-2019,10:00:00,23.6,3.7,30.0,29.19,997.51,0.00,040,69,0.00,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1014.20,10-15-2019,10:00:00,22.9,14.8,29.5,27.96,992.37,0.00,060,68,0.00,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1014.23,10-15-2019,10:00:00,20.9,16.7,26.1,24.78,970.56,0.00,070,73,0.00,11.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1013.76,10-15-2019,10:00:00,22.6,13.0,28.5,27.44,993.16,0.00,040,71,0.00,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1015.75,10-15-2019,10:00:00,24.5,20.4,29.5,30.72,994.93,0.00,060,75,0.00,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1013.27,10-15-2019,10:00:00,24.7,0.0,30.1,31.07,1012.84,9.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",73,0.00,9.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1012.89,10-15-2019,10:00:00,23.3,7.4,30.0,28.64,1011.48,0.00,100,68,0.00,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1012.84,10-15-2019,10:00:00,24.5,5.6,31.1,30.82,1007.95,1.00,120,68,0.00,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1013.64,10-15-2019,10:00:00,23.5,7.4,31.0,28.92,1010.37,9.60,070,64,0.00,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1013.66,10-15-2019,10:00:00,24.5,3.7,30.6,30.66,1012.56,0.80,020,70,0.00,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1013.12,10-15-2019,10:00:00,24.0,7.4,30.5,29.89,1012.83,0.20,050,68,0.00,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1012.82,10-15-2019,10:00:00,24.4,0.0,32.5,30.53,1012.14,0.01,000,62,0.00,9.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1013.23,10-15-2019,10:00:00,24.7,0.0,30.7,31.15,1012.74,0.00,000,71,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1013.38,10-15-2019,10:00:00,24.1,7.4,30.0,30.03,1011.98,0.01,040,71,0.00,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1012.94,10-15-2019,10:00:00,24.3,22.2,29.9,30.39,1011.27,0.00,050,72,0.00,9.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1014.91,10-15-2019,10:00:00,23.5,7.4,30.0,28.91,1006.92,0.00,240,68,0.00,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1013.19,10-15-2019,10:00:00,24.2,18.5,31.8,30.24,1012.91,0.00,080,64,0.00,6.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1012.75,10-15-2019,10:00:00,25.0,5.6,31.8,31.68,1009.65,8.90,270,67,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1012.62,10-15-2019,10:00:00,24.0,0.0,30.5,29.89,1005.72,14.40,000,68,0.00,8.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1013.16,10-15-2019,10:00:00,23.8,7.4,31.0,29.48,1007.61,0.00,040,66,0.00,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1013.64,10-15-2019,10:00:00,24.4,9.3,31.7,30.61,1004.41,11.50,120,65,0.00,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1013.77,10-15-2019,10:00:00,24.7,7.4,29.6,31.20,1012.51,32.80,360,75,0.00,12.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1012.96,10-15-2019,10:00:00,24.5,13.0,29.8,30.75,1012.53,1.20,310,73,0.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1013.29,10-15-2019,10:00:00,23.7,14.8,29.5,29.33,1001.05,0.00,020,71,0.00,6.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1012.99,10-15-2019,10:00:00,25.0,7.4,31.5,31.64,1012.29,0.00,020,68,0.00,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1012.78,10-15-2019,10:00:00,24.7,11.1,32.5,31.11,1010.38,0.00,070,64,0.00,9.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1012.06,10-15-2019,10:00:00,22.8,5.6,31.5,27.68,1011.55,0.00,060,60,0.00,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1012.43,10-15-2019,10:00:00,22.2,7.4,31.0,26.73,1007.32,0.00,040,60,0.00,12.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1012.66,10-15-2019,10:00:00,22.9,9.3,30.3,27.85,1012.25,0.00,050,65,0.00,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1013.14,10-15-2019,10:00:00,25.2,0.0,29.5,32.13,1010.38,0.00,000,78,0.00,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1013.04,10-15-2019,10:00:00,24.3,3.7,31.0,30.33,1012.26,0.00,030,68,0.00,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.99,10-15-2019,10:00:00,23.8,11.1,32.4,29.46,1011.54,3.60,040,61,0.00,10.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1013.18,10-15-2019,10:00:00,25.0,0.0,27.7,31.64,1012.49,5.90,000,85,2.30,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.88,10-15-2019,10:00:00,24.3,0.0,25.5,30.44,1010.34,10.20,000,93,5.80,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1013.08,10-15-2019,10:00:00,22.8,3.7,28.2,27.69,1012.16,0.00,090,72,0.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1012.71,10-15-2019,10:00:00,25.6,14.8,27.7,32.76,1012.02,14.00,080,88,0.00,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.98,10-15-2019,10:00:00,24.8,0.0,26.4,31.33,1012.18,2.10,000,91,0.80,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1012.57,10-15-2019,10:00:00,24.4,5.6,28.0,30.56,1011.94,10.40,300,81,1.60,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1012.53,10-15-2019,10:00:00,26.1,0.0,27.5,33.78,1012.12,2.90,000,92,0.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1014.54,10-15-2019,10:00:00,24.5,0.0,25.2,30.69,1010.28,11.10,000,96,8.20,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.55,10-15-2019,10:00:00,24.1,0.0,27.0,30.02,1010.93,0.00,000,84,0.00,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1012.50,10-15-2019,10:00:00,23.9,0.0,27.5,29.60,1009.01,0.10,000,81,0.00,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.43,10-15-2019,10:00:00,24.7,0.0,29.6,31.20,1011.08,10.20,000,75,0.00,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.46,10-15-2019,10:00:00,22.8,0.0,31.5,27.68,1010.58,0.80,000,60,0.00,12.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.61,10-15-2019,10:00:00,24.0,5.6,30.2,29.86,1008.07,0.00,050,70,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.89,10-15-2019,10:00:00,24.9,7.4,31.3,31.51,1011.45,28.20,070,69,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.28,10-15-2019,10:00:00,23.0,9.3,31.3,28.12,1010.30,0.00,070,62,0.00,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.97,10-15-2019,10:00:00,25.8,14.8,30.6,33.26,1011.16,0.01,080,76,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.25,10-15-2019,10:00:00,24.3,7.4,30.0,30.31,1010.45,0.00,070,71,0.00,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.96,10-15-2019,10:00:00,25.1,5.6,30.9,31.84,1011.22,11.20,030,71,0.00,12.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.10,10-15-2019,10:00:00,24.4,7.4,29.1,30.49,1008.11,7.00,050,76,0.00,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.72,10-15-2019,10:00:00,23.7,9.3,31.2,29.32,1011.04,0.00,100,65,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1012.13,10-15-2019,10:00:00,24.6,0.0,29.7,30.83,1011.02,4.20,000,74,0.00,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.95,10-15-2019,10:00:00,25.5,5.6,29.5,32.71,1009.04,0.01,040,79,0.00,11.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.59,10-15-2019,10:00:00,25.9,0.0,31.4,33.48,1010.91,12.20,000,73,0.00,11.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1012.17,10-15-2019,10:00:00,24.1,0.0,30.3,30.06,1008.07,8.20,000,70,0.00,8.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1012.00,10-15-2019,10:00:00,23.9,0.0,29.0,29.74,1011.42,0.00,000,74,0.00,10.00
