WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,Rainfall24Hr,RelativeHumidity,WindSpeed,LandVisibility,DewPoint,Rainfall,AirTemperature,MeanSeaLevelPressure,StationPressure,WindDirection
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-22-2019,22:00:00,29.52,0.30,93,0.0,10.00,23.8,0.01,25.0,1007.94,978.07,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-22-2019,22:00:00,29.52,24.60,93,0.0,7.00,23.8,20.50,25.0,1008.68,1001.31,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-22-2019,22:00:00,32.94,3.60,94,0.0,12.00,25.7,0.00,26.8,1007.89,987.98,000
48353,LOEI,เลย,เลย,17.45000,101.73333,08-22-2019,22:00:00,29.91,0.80,92,0.0,12.00,24.0,0.10,25.5,1007.91,979.13,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-22-2019,22:00:00,31.38,4.20,88,3.7,10.00,24.8,0.01,27.0,1007.67,987.51,110
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-22-2019,22:00:00,30.32,9.40,96,0.0,10.00,24.3,0.00,25.0,1008.16,986.28,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-22-2019,22:00:00,31.39,15.70,99,3.7,12.00,24.8,0.00,25.0,1007.89,988.27,160
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-22-2019,22:00:00,30.15,25.10,94,3.7,10.00,24.2,0.00,25.2,1008.71,991.85,100
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-22-2019,22:00:00,30.25,18.70,93,0.0,10.00,24.2,0.20,25.4,1008.62,991.10,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-22-2019,22:00:00,32.77,1.70,92,3.7,9.00,25.6,1.00,27.0,1007.91,982.12,260
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-22-2019,22:00:00,31.49,14.60,98,0.0,8.00,24.9,5.40,25.2,1008.97,1003.14,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-22-2019,22:00:00,31.12,53.70,98,0.0,7.00,24.7,7.50,25.0,1008.13,1001.89,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-22-2019,22:00:00,28.10,20.60,93,0.0,8.00,23.0,16.90,24.2,1010.20,993.56,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-22-2019,22:00:00,29.79,17.30,94,0.0,10.00,24.0,0.50,25.0,1007.27,984.80,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-22-2019,22:00:00,31.25,9.20,96,0.0,6.00,24.8,1.20,25.5,1008.77,994.29,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-22-2019,22:00:00,30.71,3.20,94,0.0,7.00,24.5,0.20,25.5,1008.02,991.55,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-22-2019,22:00:00,30.79,15.00,95,0.0,7.00,24.5,6.10,25.4,1009.40,1004.13,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-22-2019,22:00:00,28.11,13.80,91,0.0,8.00,23.0,11.60,24.5,1008.23,994.91,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-22-2019,22:00:00,31.41,4.70,97,3.7,8.00,24.9,2.30,25.3,1008.61,999.22,090
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-22-2019,22:00:00,31.25,0.10,85,0.0,9.00,24.8,0.00,27.5,1007.89,986.23,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-22-2019,22:00:00,33.82,6.40,91,0.0,10.00,26.1,0.00,27.8,1008.22,990.75,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-22-2019,22:00:00,31.08,12.50,94,0.0,10.00,24.7,0.00,25.7,1007.42,991.51,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-22-2019,22:00:00,31.25,0.00,85,0.0,8.00,24.8,0.00,27.5,1007.08,988.23,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-22-2019,22:00:00,26.66,12.40,94,0.0,7.00,22.1,0.00,23.2,1010.13,958.33,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-22-2019,22:00:00,30.32,25.50,96,3.7,4.00,24.3,0.20,25.0,1008.54,1004.55,050
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-22-2019,22:00:00,24.22,16.10,96,5.6,2.00,20.6,2.20,21.2,1009.53,914.11,320
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-22-2019,22:00:00,31.02,30.90,99,7.4,4.00,24.6,26.90,24.8,1007.97,991.86,160
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-22-2019,22:00:00,33.79,10.90,96,0.0,5.00,26.1,3.50,26.8,1008.65,1004.60,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-22-2019,22:00:00,31.79,7.40,92,0.0,8.00,25.1,7.40,26.5,1009.58,998.86,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-22-2019,22:00:00,32.77,6.70,92,3.7,9.00,25.6,3.00,27.0,1008.69,1006.76,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-22-2019,22:00:00,31.52,0.80,86,0.0,10.00,24.9,0.10,27.5,1008.81,987.95,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-22-2019,22:00:00,31.94,16.00,90,0.0,8.00,25.1,2.30,27.0,1007.76,990.08,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-22-2019,22:00:00,34.19,13.80,92,7.4,8.00,26.3,2.40,27.7,1007.75,991.62,210
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-22-2019,22:00:00,32.07,13.50,93,5.6,10.00,25.2,0.20,26.5,1009.04,994.95,220
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-22-2019,22:00:00,30.63,15.40,93,0.0,8.00,24.4,2.60,25.6,1009.76,994.82,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-22-2019,22:00:00,29.93,2.30,97,0.0,3.00,24.1,2.30,24.5,1010.18,995.34,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-22-2019,22:00:00,34.27,2.40,93,0.0,10.00,26.3,0.00,27.6,1007.62,1004.61,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-22-2019,22:00:00,30.97,0.01,84,0.0,7.00,24.6,0.01,27.5,1008.64,1000.69,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-22-2019,22:00:00,28.51,5.50,87,5.6,7.00,23.2,2.30,25.6,1008.74,1007.63,170
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-22-2019,22:00:00,34.81,1.50,92,3.7,7.00,26.6,1.50,28.0,1005.90,991.28,100
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-22-2019,22:00:00,21.87,47.00,99,5.6,.10,18.9,26.80,19.1,1010.91,875.23,260
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-22-2019,22:00:00,28.71,0.20,78,5.6,10.00,23.4,0.00,27.6,1008.72,1002.84,190
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-22-2019,22:00:00,31.79,1.70,92,0.0,8.00,25.1,0.60,26.5,1009.03,1008.22,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-22-2019,22:00:00,33.87,0.01,82,5.6,10.00,26.1,0.01,29.5,1008.46,1008.02,240
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-22-2019,22:00:00,31.25,9.60,96,0.0,4.00,24.8,3.30,25.5,1009.94,998.54,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-22-2019,22:00:00,31.84,0.20,85,0.0,10.00,25.1,0.00,27.8,1008.78,1007.77,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-22-2019,22:00:00,29.35,0.10,85,3.7,8.00,23.7,0.00,26.5,1008.76,1006.93,120
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-22-2019,22:00:00,31.08,0.30,89,0.0,8.00,24.7,0.00,26.7,1007.36,1006.59,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-22-2019,22:00:00,32.07,0.01,93,3.7,10.00,25.2,0.01,26.5,1009.32,1008.62,070
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-22-2019,22:00:00,29.60,0.01,87,0.0,7.00,23.9,0.01,26.2,1008.89,1008.19,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-22-2019,22:00:00,29.90,1.40,76,0.0,10.00,24.0,0.00,28.8,1008.37,987.31,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-22-2019,22:00:00,33.74,1.30,94,0.0,7.00,26.1,0.01,27.2,1008.08,991.36,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-22-2019,22:00:00,32.74,1.20,94,0.0,6.00,25.6,0.00,26.7,1008.63,992.15,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-22-2019,22:00:00,28.02,0.00,75,0.0,10.00,23.0,0.00,27.8,1008.32,986.49,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-22-2019,22:00:00,26.17,7.00,86,5.6,12.00,21.8,3.80,24.4,1009.19,965.50,220
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-22-2019,22:00:00,28.95,0.01,75,3.7,9.00,23.5,0.00,28.3,1008.13,987.64,170
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-22-2019,22:00:00,32.42,0.20,100,3.7,8.00,25.4,0.20,25.4,1009.87,988.89,010
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-22-2019,22:00:00,30.94,23.90,86,0.0,10.00,24.6,0.70,27.2,1008.75,1008.32,000
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-22-2019,22:00:00,28.92,0.10,83,0.0,8.00,23.5,0.00,26.7,1008.73,1007.31,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-22-2019,22:00:00,31.33,17.70,97,0.0,7.00,24.8,0.20,25.4,1008.78,1003.81,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-22-2019,22:00:00,28.90,0.01,78,0.0,10.00,23.5,0.00,27.7,1008.70,1005.41,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-22-2019,22:00:00,32.87,1.30,97,0.0,10.00,25.6,0.00,26.2,1008.86,1007.75,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-22-2019,22:00:00,33.62,3.40,94,0.0,10.00,26.0,2.60,27.0,1009.06,1008.76,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-22-2019,22:00:00,33.75,18.40,98,0.0,8.00,26.1,3.30,26.5,1008.66,1008.17,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-22-2019,22:00:00,30.94,6.40,86,7.4,10.00,24.6,1.00,27.2,1009.12,1007.71,240
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-22-2019,22:00:00,31.52,0.00,86,3.7,10.00,24.9,0.00,27.5,1010.73,1002.71,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-22-2019,22:00:00,32.83,0.00,79,0.0,10.00,25.6,0.00,29.7,1008.80,1008.52,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-22-2019,22:00:00,28.91,0.00,72,0.0,10.00,23.5,0.00,29.0,1008.70,1005.59,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-22-2019,22:00:00,29.74,0.00,74,7.4,10.00,23.9,0.00,29.0,1009.21,1002.30,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-22-2019,22:00:00,31.05,4.10,90,0.0,8.00,24.7,1.50,26.4,1009.34,1003.72,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-22-2019,22:00:00,33.04,15.90,98,0.0,6.00,25.7,0.01,26.0,1009.25,1007.98,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-22-2019,22:00:00,30.07,0.00,77,0.0,11.00,24.1,0.00,28.6,1008.77,1008.34,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-22-2019,22:00:00,28.47,0.00,82,0.0,10.00,23.2,0.00,26.6,1009.19,996.89,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-22-2019,22:00:00,29.65,0.00,78,3.7,10.00,23.9,0.00,28.1,1009.01,1008.29,200
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-22-2019,22:00:00,30.92,0.00,82,0.0,10.00,24.6,0.00,27.9,1009.16,1006.73,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-22-2019,22:00:00,32.46,0.00,81,14.8,12.00,25.4,0.00,29.1,1009.24,1008.72,220
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-22-2019,22:00:00,32.02,0.00,82,1.9,9.00,25.2,0.00,28.6,1009.26,1004.12,190
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-22-2019,22:00:00,32.36,0.80,88,0.0,7.00,25.4,0.00,27.5,1009.80,1009.39,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-22-2019,22:00:00,32.21,0.00,90,0.0,8.00,25.3,0.00,27.0,1009.92,1007.14,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-22-2019,22:00:00,27.19,0.00,75,3.7,10.00,22.5,0.00,27.2,1009.93,1009.14,270
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-22-2019,22:00:00,29.95,20.30,96,0.0,7.00,24.1,0.10,24.8,1010.22,1009.76,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-22-2019,22:00:00,29.48,35.10,89,0.0,8.00,23.8,0.00,25.7,1010.73,1010.04,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-22-2019,22:00:00,29.33,2.60,86,0.0,7.00,23.7,0.00,26.2,1009.58,1008.05,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-22-2019,22:00:00,29.44,1.20,92,0.0,10.00,23.8,0.00,25.1,1011.24,1010.31,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-22-2019,22:00:00,32.46,0.00,81,0.0,10.00,25.4,0.00,29.1,1010.58,1009.89,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-22-2019,22:00:00,30.22,0.00,89,0.0,9.00,24.2,0.00,26.1,1011.01,1010.21,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-22-2019,22:00:00,30.97,0.20,84,0.0,10.00,24.6,0.00,27.5,1010.39,1009.75,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-22-2019,22:00:00,31.38,0.00,88,0.0,10.00,24.8,0.00,27.0,1010.62,1010.21,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-22-2019,22:00:00,30.39,0.00,84,5.6,5.00,24.3,0.00,27.2,1012.37,1008.14,230
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-22-2019,22:00:00,31.41,1.60,97,0.0,10.00,24.9,0.00,25.3,1012.55,1010.92,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-22-2019,22:00:00,31.25,4.20,96,0.0,7.00,24.8,0.00,25.5,1010.94,1007.44,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-22-2019,22:00:00,29.77,0.00,82,0.0,8.00,24.0,0.00,27.3,1010.71,1009.35,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-22-2019,22:00:00,31.00,37.70,93,0.0,10.00,24.6,0.00,25.8,1010.57,1009.68,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-22-2019,22:00:00,30.84,8.60,92,0.0,10.00,24.6,0.00,26.0,1010.75,1007.16,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-22-2019,22:00:00,32.19,4.80,83,0.0,10.00,25.3,0.00,28.4,1010.80,1010.36,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-22-2019,22:00:00,32.26,20.30,93,0.0,9.00,25.3,0.00,26.6,1010.22,1009.23,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-22-2019,22:00:00,29.33,4.20,86,0.0,10.00,23.7,1.20,26.2,1010.53,1009.71,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-22-2019,22:00:00,30.84,3.90,92,0.0,10.00,24.6,0.00,26.0,1011.04,1009.21,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-22-2019,22:00:00,28.18,3.30,71,1.9,10.00,23.1,0.00,28.9,1010.79,1010.04,210
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-22-2019,22:00:00,29.08,0.60,84,5.6,10.00,23.6,0.00,26.5,1011.08,1007.06,110
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-22-2019,22:00:00,30.62,19.20,88,0.0,10.00,24.4,0.00,26.6,1011.31,1010.63,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-22-2019,22:00:00,29.36,3.00,79,0.0,10.00,23.7,0.00,27.8,1010.83,1009.71,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-22-2019,22:00:00,30.50,1.30,84,0.0,10.00,24.4,0.00,27.4,1011.13,1008.21,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-22-2019,22:00:00,30.89,0.00,84,0.0,10.00,24.6,0.00,27.6,1011.00,1010.31,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-22-2019,22:00:00,28.01,0.20,82,0.0,8.00,23.0,0.00,26.2,1011.33,1007.18,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-22-2019,22:00:00,28.67,0.00,80,5.6,9.00,23.3,0.00,27.0,1011.24,1010.65,250
